,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Figueiró dos Vinhos,288,23,3,0,2,1,0,133,0,17,0
Leiria,7501,3752,916,110,189,167,34,107,25,268,46
Marinha Grande,2845,953,360,81,85,38,7,17,21,104,16
Pedrógão Grande,622,18,0,14,7,0,0,260,1,3,11
Pombal,2027,853,254,18,370,17,3,34,8,57,14
Porto de Mós,886,244,231,50,15,18,2,32,15,61,6
Viseu Dão Lafões,6186,3052,364,104,138,200,44,189,17,256,121
Aguiar da Beira,45,13,7,0,1,2,0,0,0,11,0
Carregal do Sal,210,80,2,3,19,1,0,37,1,6,0
Castro Daire,164,64,8,2,1,3,12,4,0,28,6
Mangualde,404,169,40,0,3,2,2,4,3,12,0
Nelas,272,125,14,0,4,16,6,10,1,14,0
Oliveira de Frades,404,259,24,1,34,6,3,11,0,9,1
Penalva do Castelo,67,16,2,1,0,1,0,0,0,8,0
Santa Comba Dão,298,46,8,9,30,12,0,36,3,16,1
São Pedro do Sul,272,122,8,2,2,14,0,5,0,10,17
Sátão,109,28,8,0,3,0,1,6,0,12,0
Tondela,429,170,8,16,3,12,1,29,0,18,15
Vila Nova de Paiva,57,20,0,2,4,2,0,0,0,11,0
Viseu,3321,1889,223,68,30,126,19,39,9,99,64
Vouzela,134,51,12,0,4,3,0,8,0,2,17
Beira Baixa,3562,723,159,152,216,92,112,683,1,81,46
Castelo Branco,2122,574,119,125,150,78,94,203,1,61,5
Idanha-a-Nova,475,21,9,19,33,6,13,94,0,4,41
Oleiros,156,22,0,3,1,5,0,58,0,5,0
Penamacor,398,6,8,0,5,1,0,237,0,4,0
Proença-a-Nova,228,67,15,0,15,2,1,50,0,7,0
Vila Velha de Ródão,183,33,8,5,12,0,4,41,0,0,0
Médio Tejo,7960,2298,768,124,560,334,80,786,47,284,91
Abrantes,608,189,45,14,105,17,13,31,3,22,2
Alcanena,443,139,90,17,32,20,8,4,14,17,1
Constância,48,11,0,1,9,7,0,7,0,4,0
Entroncamento,984,504,63,42,20,129,23,4,5,49,8
Ferreira do Zêzere,387,34,10,1,9,3,0,153,2,10,0
Mação,146,34,2,0,19,0,0,41,0,8,1
Ourém,2684,833,425,19,255,69,13,33,12,54,10
Sardoal,68,15,5,0,4,0,0,4,0,3,0
Sertã,560,59,4,1,2,25,1,182,0,14,42
Tomar,1151,216,54,18,37,39,16,268,3,60,5
Torres Novas,684,210,67,10,57,19,4,39,8,34,9
Vila de Rei,90,12,1,1,6,1,2,15,0,5,12
Vila Nova da Barquinha,107,42,2,0,5,5,0,5,0,4,1
Beiras e Serra da Estrela,5249,1371,166,234,83,222,198,476,10,189,155
Almeida,105,27,12,2,7,0,0,0,3,12,0
Belmonte,91,26,5,1,0,0,0,6,0,13,0
Celorico da Beira,160,29,2,0,4,2,0,54,0,6,0
Covilhã,1497,627,28,90,7,165,8,11,4,24,11
Figueira de Castelo Rodrigo,43,11,6,1,4,0,0,1,0,5,0
Fornos de Algodres,77,14,3,0,1,0,0,31,0,3,0
Fundão,1206,244,17,3,16,6,39,222,1,21,16
Gouveia,225,21,5,9,1,7,2,36,0,12,0
Guarda,973,190,59,114,18,24,145,14,2,34,84
Manteigas,40,17,1,0,0,2,0,2,0,1,5
Mêda,42,6,4,0,3,0,0,0,0,10,0
Pinhel,84,15,16,0,7,5,0,0,0,13,0
Sabugal,131,31,2,2,10,6,0,7,0,7,0
Seia,475,94,2,10,0,5,4,89,0,13,39
Trancoso,100,19,4,2,5,0,0,3,0,15,0
A. M. Lisboa,343995,94746,8707,27115,12349,18716,16554,9600,1989,11759,8723
Alcochete,1388,356,55,9,319,68,4,59,7,32,6
Almada,16570,6454,323,1804,293,946,258,240,105,413,585
Amadora,23834,5851,563,5599,765,1466,2678,240,62,443,930
Barreiro,5768,2039,86,785,64,618,479,44,27,176,230
Cascais,34097,11074,924,897,1220,541,892,2460,333,846,91
Lisboa,108653,19457,1445,2113,1949,2566,1295,4768,139,6190,850
Loures,21579,5050,798,1902,988,1969,1892,107,117,453,2281
Mafra,6116,2872,301,37,287,79,18,283,100,147,23
Moita,4460,1114,91,719,100,596,733,50,21,165,238
Montijo,5848,2082,172,81,952,347,32,41,76,127,47
Odivelas,20788,5541,917,905,790,2056,1769,149,84,443,585
Oeiras,14070,5653,395,1399,409,431,214,221,107,453,95
Palmela,3469,1184,170,88,502,172,33,116,71,121,20
Seixal,12904,4805,214,2081,289,1108,424,90,57,250,1198
Sesimbra,3290,1336,99,115,166,107,15,124,69,83,18
Setúbal,9509,4423,346,495,764,534,67,162,141,322,41
Sintra,42475,11994,1452,7364,2059,4474,5260,457,360,875,1253
Vila Franca de Xira,9177,3817,411,731,752,706,495,48,120,252,238
Alentejo,39702,8543,2329,604,3849,583,293,1255,492,1540,74
Alentejo Litoral,14622,1442,514,211,747,56,19,399,122,168,3
Alcácer do Sal,492,71,13,5,167,4,0,22,11,17,0
Grândola,765,282,18,7,98,4,1,11,2,38,0
Odemira,10927,328,367,15,135,9,6,330,82,34,0
Santiago do Cacém,1348,306,64,30,223,25,0,30,13,36,2
Sines,1090,455,52,154,124,14,12,6,14,43,1
Baixo Alentejo,5026,851,278,104,690,55,161,328,76,214,6
Aljustrel,178,47,26,1,6,2,3,10,4,12,0
Almodôvar,247,63,18,4,17,1,1,20,3,8,0
Alvito,82,9,10,10,2,3,0,7,9,1,0
Barrancos,18,2,0,0,4,0,1,0,0,2,0
Beja,1808,426,112,50,156,36,130,14,35,105,2
Castro Verde,201,42,17,2,16,1,0,17,5,13,0
Cuba,451,26,16,15,74,5,3,2,0,5,0
Ferreira do Alentejo,692,46,12,0,191,3,9,48,12,12,0
Mértola,181,39,6,9,16,0,6,23,0,7,3
Moura,249,24,5,2,115,2,4,1,0,25,0
Ourique,383,32,11,0,5,1,0,181,2,7,1
Serpa,386,71,16,3,56,0,3,5,1,11,0
Vidigueira,150,24,29,8,32,1,1,0,5,6,0
Lezíria do Tejo,12276,3911,1161,90,1380,331,72,211,167,721,38
Almeirim,1000,253,61,7,219,24,2,20,4,39,1
Alpiarça,339,31,30,0,148,4,1,6,0,8,0
Azambuja,1333,628,189,11,51,54,14,30,17,18,3
Benavente,2278,833,199,13,258,50,3,15,62,415,11
Cartaxo,978,420,123,9,29,14,3,30,9,30,1
Chamusca,118,24,4,0,30,3,1,3,0,16,1
Coruche,350,84,48,1,26,4,0,8,1,18,0
Golegã,100,13,5,1,13,2,0,6,0,14,1
Rio Maior,1786,474,176,7,83,26,3,35,21,31,2
Salvaterra de Magos,589,251,47,9,31,20,2,8,0,28,3
Santarém,3405,900,279,32,492,130,43,50,53,104,15
Alto Alentejo,2881,687,106,62,480,50,19,173,69,129,7
Alter do Chão,114,21,0,0,75,4,0,0,4,3,0
Arronches,70,4,1,1,8,0,1,14,5,6,0
Avis,61,15,1,0,18,0,1,4,2,3,0
Campo Maior,262,56,2,2,111,1,0,1,24,3,0
Castelo de Vide,142,9,9,0,8,2,0,27,0,3,0
Crato,66,15,3,3,26,0,0,2,2,4,1
Elvas,624,160,37,3,96,17,5,7,21,24,0
Fronteira,71,8,1,0,40,0,0,4,0,0,0
Gavião,18,6,2,0,2,1,0,0,0,3,0
Marvão,212,21,1,0,2,0,0,58,0,0,0
Monforte,36,4,6,1,5,1,0,0,5,3,0
Nisa,92,14,1,0,9,1,0,2,0,8,0
Ponte de Sor,395,168,24,6,19,3,2,11,0,23,0
Portalegre,619,154,18,46,21,20,9,41,6,41,6
Sousel,99,32,0,0,40,0,1,2,0,5,0
Alentejo Central,4897,1652,270,137,552,91,22,144,58,308,20
Alandroal,119,12,9,0,11,1,1,12,0,1,0
Arraiolos,164,30,2,0,18,0,2,15,2,17,0
Borba,129,39,9,2,40,3,3,3,0,8,0
Estremoz,326,74,26,2,110,0,0,33,1,11,0
Évora,2282,989,118,110,73,65,13,46,19,128,16
Montemor-o-Novo,452,186,20,5,42,7,0,5,3,35,2
Mora,47,3,1,0,17,1,0,4,0,8,1
Mourão,51,2,0,0,12,0,0,2,4,0,0
Portel,129,31,6,2,18,3,0,3,2,6,0
Redondo,194,32,15,1,95,0,0,5,0,5,0
Reguengos de Monsaraz,307,74,24,0,82,1,0,14,24,13,0
Vendas Novas,451,110,29,7,29,8,2,2,1,44,1
Viana do Alentejo,108,38,10,8,1,2,1,0,2,10,0
Vila Viçosa,138,32,1,0,4,0,0,0,0,22,0
Algarve,105137,17496,5445,1896,6855,601,1250,20770,1800,1438,108
Albufeira,16433,3443,1184,282,593,86,459,2777,242,289,24
Alcoutim,219,4,1,3,7,0,0,98,0,3,0
Aljezur,2192,184,52,5,37,3,8,472,14,12,0
Castro Marim,997,51,23,2,38,1,1,150,1,4,1
Faro,9714,2260,789,249,801,63,139,808,244,137,5
Lagoa,5459,665,200,113,83,28,48,1690,46,59,2
Lagos,11651,1365,342,90,537,42,6,3753,160,143,10
Loulé,18707,3422,952,586,2285,128,147,3608,320,257,17
Monchique,907,41,6,3,55,1,0,355,0,5,0
Olhão,5288,724,334,120,352,69,107,757,28,70,10
Portimão,12014,3091,744,241,953,118,232,1286,527,194,16
São Brás de Alportel,1511,193,124,14,29,12,0,525,14,23,0
Silves,7231,1144,324,89,391,24,82,1634,162,110,11
Tavira,7238,455,169,56,412,13,13,1773,29,55,1
Vila do Bispo,2345,142,54,32,56,1,4,792,1,8,6
Vila Real de Santo António,3231,312,147,11,226,12,4,292,12,69,5
R. A. Açores,4462,878,73,170,40,30,32,248,5,340,11
Santa Maria,163,6,1,2,0,0,0,16,0,2,0
Vila do Porto,163,6,1,2,0,0,0,16,0,2,0
São Miguel,2007,382,30,33,27,14,21,68,2,214,0
Lagoa (R.A.A.),162,25,0,2,1,0,0,6,0,17,0
Nordeste,58,10,0,1,0,0,2,2,0,2,0
Ponta Delgada,1337,272,20,29,21,14,16,32,2,128,0
Povoação,104,15,4,0,2,0,0,9,0,14,0
Ribeira Grande,248,53,6,0,3,0,3,10,0,44,0
Vila Franca do Campo,98,7,0,1,0,0,0,9,0,9,0
Terceira,671,164,16,33,8,9,10,25,1,49,5
Angra do Heroísmo,445,101,8,24,6,7,7,21,0,38,3
Vila da Praia da Vitória,226,63,8,9,2,2,3,4,1,11,2
Graciosa,52,14,0,0,0,0,0,2,0,4,0
Santa Cruz da Graciosa,52,14,0,0,0,0,0,2,0,4,0
São Jorge,134,51,2,1,1,0,0,4,1,12,0
Calheta (R.A.A.),39,15,1,1,1,0,0,2,1,2,0
Velas,95,36,1,0,0,0,0,2,0,10,0
Pico,538,126,9,45,0,0,0,35,1,27,3
Lajes do Pico,180,51,1,1,0,0,0,15,1,2,0
Madalena,221,58,5,21,0,0,0,7,0,17,0
São Roque do Pico,137,17,3,23,0,0,0,13,0,8,3
Faial,714,118,9,47,2,6,0,93,0,25,3
Horta,714,118,9,47,2,6,0,93,0,25,3
Flores,172,14,5,6,2,1,1,5,0,7,0
Lajes das Flores,117,9,2,1,1,0,1,3,0,2,0
Santa Cruz das Flores,55,5,3,5,1,1,0,2,0,5,0
Corvo,11,3,1,3,0,0,0,0,0,0,0
Corvo,11,3,1,3,0,0,0,0,0,0,0
R. A. Madeira,10405,987,244,59,267,37,36,1215,22,228,74
Calheta (R.A.M.),982,23,7,0,2,0,0,229,0,5,1
Câmara de Lobos,458,66,1,2,5,0,1,27,1,7,1
Funchal,5280,554,179,41,182,26,27,578,17,146,20
Machico,400,75,15,7,4,1,0,36,0,17,1
Ponta do Sol,516,6,1,1,5,0,0,83,0,6,0
Porto Moniz,105,1,0,0,1,0,0,4,0,0,0
Ribeira Brava,503,28,4,0,1,2,0,44,0,5,0
Santa Cruz,1429,171,26,8,18,4,4,142,0,29,1
Santana,117,12,2,0,1,1,0,6,0,0,0
São Vicente,195,13,0,0,0,1,0,16,0,6,0
Porto Santo,420,38,9,0,48,2,4,50,4,7,50
