,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Mafra,541,460,81,67,0,67,477,358,119
Moita,427,427,0,40,0,40,443,365,78
Montijo,353,353,0,37,0,37,374,264,110
Odivelas,990,952,38,53,53,0,1003,791,212
Oeiras,1161,1066,95,77,0,77,1239,640,599
Palmela,514,424,90,0,0,0,463,276,187
Seixal,1031,961,70,25,0,25,1017,688,329
Sesimbra,362,362,0,16,0,16,423,315,108
Setúbal,867,854,13,213,53,160,961,627,334
Sintra,2448,2246,202,139,0,139,2570,1693,877
Vila Franca de Xira,953,926,27,31,0,31,932,625,307
Alentejo,5310,5209,101,523,138,385,5788,4682,1106
Alentejo Litoral,625,594,31,90,30,60,789,638,151
Alcácer do Sal,87,87,0,0,0,0,95,92,3
Grândola,89,89,0,30,30,0,116,110,6
Odemira,151,120,31,35,0,35,246,177,69
Santiago do Cacém,198,198,0,0,0,0,233,207,26
Sines,100,100,0,25,0,25,99,52,47
Baixo Alentejo,886,875,11,179,36,143,1112,913,199
Aljustrel,65,65,0,0,0,0,72,64,8
Almodôvar,48,48,0,0,0,0,49,41,8
Alvito,17,17,0,20,0,20,41,22,19
Barrancos,12,12,0,0,0,0,22,22,0
Beja,299,288,11,23,0,23,248,169,79
Castro Verde,63,63,0,0,0,0,73,63,10
Cuba,25,25,0,27,0,27,67,54,13
Ferreira do Alentejo,36,36,0,0,0,0,63,56,7
Mértola,44,44,0,16,0,16,38,32,6
Moura,123,123,0,30,0,30,152,127,25
Ourique,34,34,0,0,0,0,46,44,2
Serpa,101,101,0,36,36,0,176,168,8
Vidigueira,19,19,0,27,0,27,65,51,14
Lezíria do Tejo,1691,1691,0,122,0,122,1691,1340,351
Almeirim,165,165,0,0,0,0,198,144,54
Alpiarça,57,57,0,0,0,0,54,50,4
Azambuja,146,146,0,0,0,0,233,193,40
Benavente,205,205,0,0,0,0,198,160,38
Cartaxo,180,180,0,0,0,0,141,115,26
Chamusca,55,55,0,0,0,0,67,67,0
Coruche,93,93,0,15,0,15,94,77,17
Golegã,34,34,0,0,0,0,39,32,7
Rio Maior,186,186,0,33,0,33,183,151,32
Salvaterra de Magos,150,150,0,33,0,33,141,93,48
Santarém,420,420,0,41,0,41,343,258,85
Alto Alentejo,881,862,19,88,72,16,878,761,117
Alter do Chão,23,23,0,35,35,0,46,46,0
Arronches,20,20,0,0,0,0,21,20,1
Avis,19,19,0,0,0,0,33,33,0
Campo Maior,63,63,0,0,0,0,88,69,19
Castelo de Vide,18,18,0,0,0,0,7,3,4
Crato,19,19,0,16,0,16,25,19,6
Elvas,213,194,19,0,0,0,178,132,46
Fronteira,16,16,0,0,0,0,27,26,1
Gavião,25,25,0,0,0,0,40,36,4
Marvão,17,17,0,0,0,0,28,28,0
Monforte,17,17,0,0,0,0,38,38,0
Nisa,33,33,0,0,0,0,16,16,0
Ponte de Sor,135,135,0,0,0,0,121,101,20
Portalegre,223,223,0,37,37,0,186,172,14
Sousel,40,40,0,0,0,0,24,22,2
Alentejo Central,1227,1187,40,44,0,44,1318,1030,288
Alandroal,16,16,0,0,0,0,5,5,0
Arraiolos,43,43,0,0,0,0,58,44,14
Borba,24,24,0,0,0,0,47,41,6
Estremoz,104,104,0,0,0,0,91,85,6
Évora,510,485,25,44,0,44,577,388,189
Montemor-o-Novo,96,96,0,0,0,0,117,97,20
Mora,30,30,0,0,0,0,41,37,4
Mourão,19,19,0,0,0,0,24,24,0
Portel,25,25,0,0,0,0,38,30,8
Redondo,45,45,0,0,0,0,39,36,3
Reguengos de Monsaraz,88,88,0,0,0,0,60,57,3
Vendas Novas,103,88,15,0,0,0,93,73,20
Viana do Alentejo,48,48,0,0,0,0,53,51,2
Vila Viçosa,76,76,0,0,0,0,75,62,13
Algarve,3962,3781,181,193,133,60,4219,3235,984
Albufeira,349,349,0,0,0,0,419,373,46
Alcoutim,11,11,0,0,0,0,36,27,9
Aljezur,34,17,17,0,0,0,54,48,6
Castro Marim,30,30,0,0,0,0,57,48,9
Faro,584,566,18,87,72,15,678,470,208
Lagoa,226,173,53,0,0,0,244,157,87
Lagos,325,312,13,0,0,0,322,242,80
Loulé,665,625,40,27,0,27,785,642,143
Monchique,25,25,0,0,0,0,28,28,0
Olhão,375,358,17,0,0,0,344,266,78
Portimão,572,572,0,51,33,18,381,247,134
São Brás de Alportel,85,85,0,0,0,0,70,61,9
Silves,283,269,14,0,0,0,295,233,62
Tavira,176,176,0,0,0,0,213,134,79
