,"Média de alunas/os matriculadas/os por computador, Total (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador, Ensino secundário, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Total, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 1º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 2º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino básico, 3º Ciclo (N.º)","Média de alunas/os matriculadas/os por computador com ligação à Internet, Ensino secundário, 3º Ciclo (N.º)"
Portugal,x,x,x,x,x,x,x,x,x,x
Terras de Trás-os-Montes,1.3,1.3,1.1,1.3,1.5,1.4,1.4,1.1,1.3,1.6
Alfândega da Fé,0.9,1.1,0.7,0.8,1.1,1,1.3,0.7,0.8,1.1
Bragança,1.7,1.4,1.4,2,2.1,1.8,1.5,1.6,2,2.1
Macedo de Cavaleiros,1.2,1.1,1,1.1,1.6,1.3,1.2,1,1.2,1.7
Miranda do Douro,0.8,1,0.7,0.7,0.7,0.8,1,0.7,0.7,0.7
Mirandela,1.7,1.6,1.5,1.9,1.7,1.8,1.6,1.5,2.1,1.9
Mogadouro,0.9,1.3,0.8,0.8,0.8,0.9,1.3,0.8,0.8,0.8
Vila Flor,0.9,1.2,0.8,0.8,0.9,0.9,1.2,0.8,0.8,0.9
Vimioso,0.6,1.2,0.5,0.5,//,0.6,1.2,0.5,0.5,//
Vinhais,1.2,1.6,0.9,1,1.3,1.2,1.6,0.9,1,1.3
Centro,1.9,2,1.8,1.9,2.1,2,2,1.8,1.9,2.2
Oeste,2.1,2,1.9,2.2,2.5,2.2,2.1,2,2.3,2.5
Alcobaça,1.8,2,1.8,2,1.6,1.9,2,1.8,2,1.7
Alenquer,2.2,1.8,1.9,2.5,3,2.4,2,2.1,2.8,3
Arruda dos Vinhos,3.3,2.6,3.4,4,3.3,3.7,2.6,4.1,5.1,3.8
Bombarral,2,1.8,1.9,2,2.3,2,1.8,1.9,2,2.3
Cadaval,1.5,1.4,1.6,1.6,2,1.6,1.5,1.6,1.6,2
Caldas da Rainha,2.3,2.1,2.5,2.6,2.2,2.4,2.2,2.6,2.7,2.2
Lourinhã,1.7,1.9,1.5,1.7,1.8,1.8,2,1.5,1.7,1.8
Nazaré,2.2,1.8,2.1,2.4,2.9,2.3,1.9,2.1,2.4,2.9
Óbidos,1.8,1.8,1.9,1.7,1.7,1.9,1.8,1.9,2.1,2.2
Peniche,2,1.8,1.7,1.7,4.3,2.2,1.9,2.1,2.1,4.3
Sobral de Monte Agraço,2.2,2.7,1.6,2,2.5,2.2,2.7,1.6,2,2.5
