,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Mêda,96,49,47,114,114,0,64,64,0,88,88,0
Pinhel,132,69,63,173,173,0,104,104,0,177,177,0
Sabugal,167,100,67,228,228,0,131,90,41,180,119,61
Seia,419,216,203,587,586,1,317,306,11,531,508,23
Trancoso,147,79,68,180,180,0,94,94,0,190,190,0
A. M. Lisboa,77487,33434,44053,119616,93020,26596,66471,54160,12311,104415,87334,17081
Alcochete,659,338,321,859,769,90,498,463,35,775,775,0
Almada,4833,2268,2565,7492,6474,1018,4132,3704,428,6493,5875,618
Amadora,4168,1884,2284,6593,5654,939,3543,3121,422,5531,4980,551
Barreiro,2112,1148,964,3364,2943,421,1955,1780,175,3034,2822,212
Cascais,6013,1573,4440,9279,5052,4227,5314,2948,2366,8450,4866,3584
Lisboa,17670,5933,11737,25161,13863,11298,13989,8621,5368,22083,14626,7457
Loures,5296,2945,2351,8120,7211,909,4449,3940,509,6388,5710,678
Mafra,2552,1811,741,3813,3524,289,2186,1669,517,3328,2605,723
Moita,1478,850,628,2680,2568,112,1445,1445,0,2270,2270,0
Montijo,1471,835,636,2320,2083,237,1320,1217,103,1959,1930,29
Odivelas,3574,1856,1718,5914,5397,517,3407,3167,240,5275,5020,255
Oeiras,4756,1497,3259,6611,5019,1592,3475,3089,386,5812,5305,507
Palmela,1533,826,707,2906,2375,531,1669,1333,336,2661,2167,494
Seixal,3789,1651,2138,6671,5754,917,3683,3251,432,6044,5355,689
Sesimbra,1358,868,490,2234,2155,79,1265,1265,0,1901,1901,0
Setúbal,3168,975,2193,4989,4405,584,2967,2866,101,4762,4762,0
Sintra,9049,4704,4345,15121,12854,2267,8177,7424,753,12929,11834,1095
Vila Franca de Xira,4008,1472,2536,5489,4920,569,2997,2857,140,4720,4531,189
Alentejo,17615,11062,6553,25057,24393,664,14001,13581,420,22329,21323,1006
Alentejo Litoral,2346,1612,734,3350,3347,3,1858,1712,146,2919,2667,252
Alcácer do Sal,232,162,70,341,341,0,209,209,0,316,316,0
Grândola,333,265,68,538,538,0,280,280,0,477,477,0
Odemira,624,419,205,872,869,3,495,349,146,725,476,249
Santiago do Cacém,716,518,198,1003,1003,0,537,537,0,903,903,0
Sines,441,248,193,596,596,0,337,337,0,498,495,3
Baixo Alentejo,2985,1989,996,4319,4265,54,2329,2275,54,3664,3438,226
Aljustrel,218,139,79,305,305,0,152,152,0,255,255,0
Almodôvar,168,139,29,164,164,0,115,115,0,225,225,0
Alvito,56,56,0,81,81,0,39,39,0,46,46,0
Barrancos,38,38,0,42,42,0,25,25,0,34,34,0
Beja,1009,450,559,1470,1416,54,815,761,54,1314,1135,179
Castro Verde,167,130,37,238,238,0,134,134,0,229,229,0
Cuba,114,114,0,164,164,0,81,81,0,159,121,38
Ferreira do Alentejo,194,127,67,242,242,0,135,135,0,179,179,0
Mértola,113,113,0,166,166,0,77,77,0,144,144,0
Moura,374,278,96,604,604,0,325,325,0,471,462,9
Ourique,103,64,39,142,142,0,73,73,0,118,118,0
Serpa,313,252,61,483,483,0,255,255,0,365,365,0
Vidigueira,118,89,29,218,218,0,103,103,0,125,125,0
Lezíria do Tejo,6007,3798,2209,8598,8363,235,4906,4882,24,7942,7812,130
Almeirim,602,357,245,847,847,0,550,550,0,733,733,0
Alpiarça,141,107,34,211,211,0,100,100,0,177,177,0
Azambuja,634,258,376,818,818,0,462,462,0,779,779,0
Benavente,790,549,241,1191,1191,0,683,683,0,1087,1071,16
Cartaxo,533,296,237,821,821,0,447,447,0,758,758,0
Chamusca,169,169,0,254,254,0,133,133,0,233,233,0
Coruche,326,196,130,522,521,1,281,281,0,425,419,6
Golegã,128,85,43,173,173,0,81,81,0,141,141,0
Rio Maior,626,432,194,836,728,108,447,447,0,775,775,0
Salvaterra de Magos,525,306,219,750,750,0,444,443,1,727,698,29
Santarém,1533,1043,490,2175,2049,126,1278,1255,23,2107,2028,79
Alto Alentejo,2491,1597,894,3603,3481,122,1981,1921,60,3251,3089,162
Alter do Chão,67,67,0,105,105,0,52,52,0,77,77,0
Arronches,77,56,21,81,81,0,51,51,0,72,72,0
Avis,77,77,0,129,129,0,68,68,0,96,80,16
Campo Maior,207,102,105,382,380,2,198,194,4,352,322,30
Castelo de Vide,71,51,20,84,84,0,44,44,0,65,65,0
Crato,70,33,37,90,90,0,42,42,0,71,71,0
Elvas,548,290,258,891,797,94,488,432,56,767,697,70
Fronteira,56,38,18,75,75,0,51,51,0,89,89,0
Gavião,60,51,9,82,82,0,54,54,0,91,91,0
Marvão,57,57,0,64,64,0,33,33,0,47,47,0
Monforte,66,66,0,103,103,0,66,66,0,85,85,0
Nisa,71,71,0,119,119,0,75,75,0,94,94,0
Ponte de Sor,352,239,113,504,478,26,249,249,0,440,440,0
Portalegre,597,327,270,762,762,0,434,434,0,753,737,16
Sousel,115,72,43,132,132,0,76,76,0,152,122,30
Alentejo Central,3786,2066,1720,5187,4937,250,2927,2791,136,4553,4317,236
Alandroal,84,84,0,124,124,0,63,63,0,101,101,0
Arraiolos,146,62,84,175,175,0,100,100,0,172,172,0
Borba,161,103,58,216,216,0,106,106,0,164,164,0
Estremoz,301,250,51,386,386,0,237,237,0,325,325,0
Évora,1488,470,1018,2028,1847,181,1188,1086,102,1808,1689,119
Montemor-o-Novo,343,208,135,503,503,0,244,244,0,431,395,36
Mora,88,68,20,94,94,0,54,54,0,93,93,0
Mourão,66,66,0,89,89,0,60,60,0,94,76,18
Portel,138,85,53,159,159,0,98,98,0,147,147,0
Redondo,130,95,35,199,199,0,114,114,0,157,157,0
Reguengos de Monsaraz,235,185,50,393,393,0,215,213,2,336,317,19
Vendas Novas,283,168,115,437,368,69,219,187,32,355,311,44
Viana do Alentejo,141,121,20,159,159,0,106,106,0,152,152,0
Vila Viçosa,182,101,81,225,225,0,123,123,0,218,218,0
Algarve,12938,7452,5486,19215,17742,1473,10371,9965,406,16504,15832,672
Albufeira,1382,1031,351,2083,2083,0,1090,1090,0,1625,1625,0
Alcoutim,31,0,31,45,45,0,33,33,0,46,46,0
Aljezur,175,175,0,261,261,0,121,121,0,178,178,0
Castro Marim,200,119,81,253,253,0,134,134,0,172,172,0
Faro,1814,515,1299,2754,2399,355,1451,1398,53,2373,2298,75
Lagoa,715,398,317,1051,935,116,576,486,90,888,737,151
Lagos,878,282,596,1252,1068,184,709,659,50,1230,1182,48
Loulé,2376,1713,663,3295,3101,194,1741,1635,106,2795,2585,210
Monchique,114,114,0,150,150,0,77,77,0,134,134,0
Olhão,1124,658,466,1718,1641,77,1034,983,51,1591,1533,58
Portimão,1580,961,619,2599,2293,306,1425,1425,0,2247,2212,35
São Brás de Alportel,313,239,74,437,437,0,240,240,0,392,392,0
Silves,981,560,421,1478,1393,85,736,720,16,1141,1107,34
Tavira,630,247,383,912,831,81,511,488,23,871,824,47
Vila do Bispo,133,133,0,262,187,75,102,85,17,109,95,14
Vila Real de Santo António,492,307,185,665,665,0,391,391,0,712,712,0
R. A. Açores,6590,4286,2304,10181,9268,913,5746,5582,164,9079,8980,99
Santa Maria,166,166,0,194,194,0,109,109,0,194,194,0
Vila do Porto,166,166,0,194,194,0,109,109,0,194,194,0
São Miguel,3851,2694,1157,6168,5465,703,3576,3449,127,5711,5612,99
Lagoa (R.A.A.),375,327,48,556,556,0,361,361,0,700,700,0
Nordeste,87,87,0,144,144,0,106,106,0,183,183,0
Ponta Delgada,2035,1221,814,3090,2387,703,1809,1682,127,2866,2767,99
Povoação,128,109,19,246,246,0,118,118,0,272,272,0
Ribeira Grande,988,790,198,1667,1667,0,932,932,0,1308,1308,0
Vila Franca do Campo,238,160,78,465,465,0,250,250,0,382,382,0
Terceira,1418,695,723,2132,1987,145,1161,1124,37,1777,1777,0
Angra do Heroísmo,899,314,585,1405,1260,145,742,705,37,1133,1133,0
Vila da Praia da Vitória,519,381,138,727,727,0,419,419,0,644,644,0
Graciosa,114,62,52,171,171,0,81,81,0,134,134,0
Santa Cruz da Graciosa,114,62,52,171,171,0,81,81,0,134,134,0
São Jorge,208,64,144,281,281,0,155,155,0,259,259,0
Calheta (R.A.A.),77,24,53,121,121,0,64,64,0,120,120,0
Velas,131,40,91,160,160,0,91,91,0,139,139,0
Pico,365,317,48,562,562,0,260,260,0,408,408,0
Lajes do Pico,85,85,0,154,154,0,80,80,0,133,133,0
Madalena,195,158,37,294,294,0,108,108,0,186,186,0
São Roque do Pico,85,74,11,114,114,0,72,72,0,89,89,0
Faial,373,226,147,543,478,65,333,333,0,470,470,0
Horta,373,226,147,543,478,65,333,333,0,470,470,0
Flores,87,62,25,113,113,0,65,65,0,108,108,0
Lajes das Flores,23,23,0,30,30,0,23,23,0,0,0,0
Santa Cruz das Flores,64,39,25,83,83,0,42,42,0,108,108,0
Corvo,8,0,8,17,17,0,6,6,0,18,18,0
Corvo,8,0,8,17,17,0,6,6,0,18,18,0
R. A. Madeira,6205,3407,2798,8995,6612,2383,5154,4475,679,8950,7868,1082
Calheta (R.A.M.),243,189,54,445,403,42,200,200,0,341,341,0
Câmara de Lobos,690,452,238,1006,1006,0,546,546,0,971,971,0
Funchal,3213,1233,1980,4439,2523,1916,2620,1941,679,4554,3472,1082
Machico,427,341,86,685,589,96,377,377,0,657,657,0
Ponta do Sol,173,158,15,356,356,0,165,165,0,275,275,0
Porto Moniz,44,44,0,62,62,0,46,46,0,60,60,0
Ribeira Brava,279,279,0,425,425,0,247,247,0,454,454,0
Santa Cruz,797,422,375,1056,853,203,674,674,0,1187,1187,0
Santana,132,111,21,187,155,32,97,97,0,136,136,0
São Vicente,102,96,6,123,123,0,81,81,0,141,141,0
Porto Santo,105,82,23,211,117,94,101,101,0,174,174,0
