,"Farmácias e postos farmacêuticos móveis, Total (N.º)","Farmácias e postos farmacêuticos móveis, Farmácias (N.º)","Farmácias e postos farmacêuticos móveis, Postos farmacêuticos móveis  (N.º)","Farmacêuticos de oficina, Postos farmacêuticos móveis  (N.º)","Técnicos de farmácia, Postos farmacêuticos móveis  (N.º)"
R. A. Açores,71,53,18,135,66
Santa Maria,2,2,0,4,0
Vila do Porto,2,2,0,4,0
São Miguel,35,27,8,65,43
Lagoa (R.A.A.),3,3,0,8,5
Nordeste,2,1,1,0,0
Ponta Delgada,19,14,5,37,25
Povoação,2,1,1,4,3
Ribeira Grande,7,6,1,12,8
Vila Franca do Campo,2,2,0,4,2
Terceira,16,12,4,33,12
Angra do Heroísmo,10,8,2,20,5
Vila da Praia da Vitória,6,4,2,13,7
Graciosa,1,1,0,1,0
Santa Cruz da Graciosa,1,1,0,1,0
São Jorge,4,2,2,6,2
Calheta (R.A.A.),2,1,1,3,0
Velas,2,1,1,3,2
Pico,5,5,0,16,3
Lajes do Pico,2,2,0,6,1
Madalena,2,2,0,7,1
São Roque do Pico,1,1,0,3,1
Faial,5,3,2,9,2
Horta,5,3,2,9,2
Flores,2,1,1,1,4
Lajes das Flores,0,0,0,0,1
Santa Cruz das Flores,2,1,1,1,3
Corvo,1,0,1,0,0
Corvo,1,0,1,0,0
R. A. Madeira,66,65,1,180,42
Calheta (R.A.M.),4,4,0,4,1
Câmara de Lobos,8,8,0,21,2
Funchal,28,28,0,90,14
Machico,5,5,0,17,9
Ponta do Sol,2,2,0,3,0
Porto Moniz,1,1,0,2,0
Ribeira Brava,4,3,1,11,2
Santa Cruz,7,7,0,20,8
Santana,3,3,0,5,1
São Vicente,3,3,0,5,1
Porto Santo,1,1,0,2,4
