,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Tabuaço,222,89,133,14305,7027,7278,227,109,118
Tarouca,368,157,211,17511,8623,8888,286,155,130
Torre de Moncorvo,287,114,173,17238,7398,9840,252,111,141
Vila Nova de Foz Côa,313,146,167,24179,12097,12082,375,202,172
Vila Real,3338,1250,2088,183567,67974,115593,3253,1315,1938
Terras de Trás-os-Montes,5020,1956,3064,268259,109804,158455,4576,1906,2670
Alfândega da Fé,202,79,123,11512,5328,6184,177,87,90
Bragança,1822,717,1105,96236,40172,56064,1825,782,1042
Macedo de Cavaleiros,566,246,320,29385,14298,15087,465,217,248
Miranda do Douro,314,136,178,17599,7416,10183,272,105,167
Mirandela,911,307,604,43778,14678,29100,770,282,488
Mogadouro,365,143,222,21042,8636,12406,301,119,181
Vila Flor,353,124,229,23881,8903,14978,383,140,243
Vimioso,177,67,110,8389,3323,5066,128,52,76
Vinhais,310,137,173,16437,7050,9387,256,122,134
Centro,172179,72913,99266,9437898,4089964,5347934,182714,89834,92879
Oeste,26608,11051,15557,1697583,725130,972453,33735,16220,17514
Alcobaça,4530,2013,2517,276567,127505,149062,5516,2901,2615
Alenquer,3242,1387,1855,241696,108998,132698,5271,2750,2521
Arruda dos Vinhos,956,405,551,60395,23558,36837,1336,607,729
Bombarral,820,354,466,45026,20921,24105,854,431,422
Cadaval,832,351,481,63262,25118,38144,1154,517,637
Caldas da Rainha,3845,1550,2295,191709,81783,109926,3615,1692,1922
Lourinhã,1924,761,1163,132039,58753,73286,2512,1303,1209
Nazaré,1186,474,712,69241,27179,42062,1311,604,707
Óbidos,785,328,457,44011,19597,24414,864,449,415
Peniche,1899,744,1155,114192,47070,67122,2164,1004,1160
Sobral de Monte Agraço,768,346,422,57406,27750,29656,1255,665,590
Torres Vedras,5821,2338,3483,402039,156898,245141,7882,3296,4586
Região de Aveiro,33230,14098,19132,1704592,748944,955648,33757,17155,16603
Águeda,3814,1651,2163,187840,83545,104295,3477,1779,1698
Albergaria-a-Velha,2349,1038,1311,133091,58503,74588,2621,1320,1301
Anadia,2303,948,1355,111450,48438,63012,2050,999,1051
Aveiro,6513,2593,3920,292760,124337,168423,5966,2964,3002
Estarreja,2635,1212,1423,156418,73858,82560,3284,1838,1446
Ílhavo,3654,1485,2169,188051,81946,106105,3911,2167,1744
Murtosa,1050,481,569,48773,25657,23116,1087,700,388
Oliveira do Bairro,1902,752,1150,88400,36470,51930,1626,709,917
Ovar,6091,2676,3415,333955,141978,191977,6704,3134,3570
Sever do Vouga,937,428,509,56756,27836,28920,1045,587,457
Vagos,1982,834,1148,107098,46376,60722,1987,958,1028
Região de Coimbra,35047,14503,20544,1492996,651774,841222,28834,14194,14641
Arganil,775,319,456,46589,20615,25974,767,360,407
Cantanhede,2554,1099,1455,111568,49739,61829,2159,1015,1145
Coimbra,10552,4133,6419,380613,159188,221425,7756,3515,4242
Condeixa-a-Nova,1635,613,1022,58527,24525,34002,1202,579,623
Figueira da Foz,4641,2045,2596,225857,104914,120943,4886,2798,2087
Góis,283,121,162,13119,5510,7609,218,100,118
Lousã,1604,676,928,63709,28786,34923,1183,612,570
Mealhada,1685,728,957,72845,31356,41489,1459,725,735
Mira,813,369,444,40914,20076,20838,767,382,385
Miranda do Corvo,1096,465,631,47731,21233,26498,859,449,410
Montemor-o-Velho,2226,935,1291,96894,42364,54530,1807,890,917
Mortágua,721,333,388,28575,15032,13543,491,277,214
Oliveira do Hospital,1625,679,946,90095,36588,53507,1505,660,845
Pampilhosa da Serra,226,87,139,10529,4444,6085,155,63,92
Penacova,1004,448,556,48998,23451,25547,815,460,355
Penela,428,174,254,14627,7298,7329,245,125,121
Soure,1481,600,881,68210,27245,40965,1326,640,687
Tábua,1028,415,613,50729,21562,29167,837,388,449
Vila Nova de Poiares,670,264,406,22867,7848,15019,396,158,238
Região de Leiria,23345,10217,13128,1334315,596797,737518,28632,15077,13555
Alvaiázere,398,181,217,21016,10326,10690,333,180,153
Ansião,861,372,489,45256,20790,24466,784,406,378
Batalha,1401,589,812,77387,28946,48441,1566,684,882
Castanheira de Pêra,203,85,118,9300,4140,5160,150,69,81
Figueiró dos Vinhos,350,162,188,16669,8741,7928,291,157,134
Leiria,10405,4444,5961,590432,259829,330603,12812,6622,6190
Marinha Grande,4046,1917,2129,256077,120739,135338,6493,3786,2707
Pedrógão Grande,205,79,126,9082,4411,4671,142,81,62
Pombal,3518,1521,1997,198347,90559,107788,3878,1989,1889
Porto de Mós,1958,867,1091,110749,48316,62433,2183,1102,1081
Viseu Dão Lafões,17989,7680,10309,949033,419975,529058,17148,8394,8754
Aguiar da Beira,294,127,167,21521,9679,11842,352,156,196
Carregal do Sal,675,283,392,33170,15495,17675,568,290,278
Castro Daire,792,369,423,52711,25314,27397,907,534,374
Mangualde,1395,646,749,72977,36379,36598,1327,756,571
Nelas,970,433,537,61643,27002,34641,1125,545,580
Oliveira de Frades,839,384,455,47544,23695,23849,858,492,366
Penalva do Castelo,472,232,240,29637,15418,14219,495,280,215
Santa Comba Dão,858,337,521,53113,19177,33936,992,428,564
São Pedro do Sul,1033,436,597,54859,24973,29886,869,453,416
Sátão,740,336,404,45549,21630,23919,761,375,386
Tondela,2044,841,1203,111191,46142,65049,2044,906,1138
Vila Nova de Paiva,223,88,135,11111,4246,6865,178,68,110
Viseu,6956,2845,4111,314106,133110,180996,6005,2801,3204
Vouzela,698,323,375,39901,17715,22186,666,310,357
Beira Baixa,5154,2098,3056,239482,101029,138453,4290,1938,2351
Castelo Branco,3683,1431,2252,163298,67783,95515,3007,1356,1651
Idanha-a-Nova,347,147,200,15791,7403,8388,261,135,126
Oleiros,264,119,145,14426,5314,9112,267,94,173
Penamacor,195,83,112,12287,5484,6803,202,87,115
Proença-a-Nova,418,209,209,21967,10531,11436,350,177,173
Vila Velha de Ródão,247,109,138,11713,4514,7199,202,89,113
Médio Tejo,17065,7556,9509,1062982,461285,601697,19805,9652,10153
Abrantes,2543,1175,1368,180591,78063,102528,3332,1633,1699
Alcanena,1219,549,670,78828,35974,42854,1496,755,741
Constância,289,131,158,19551,9323,10228,377,221,156
Entroncamento,1548,667,881,82218,33347,48871,1693,793,900
Ferreira do Zêzere,575,253,322,41493,17830,23663,746,369,376
Mação,377,151,226,21719,8072,13647,333,128,205
Ourém,3485,1497,1988,192051,81931,110120,3621,1706,1915
Sardoal,241,101,140,15261,6879,8382,266,130,136
Sertã,1009,475,534,54216,26154,28062,892,456,435
Tomar,2235,997,1238,154097,64298,89799,2822,1385,1437
Torres Novas,2854,1292,1562,182803,84879,97924,3504,1773,1731
Vila de Rei,195,69,126,9198,3791,5407,161,75,86
Vila Nova da Barquinha,495,199,296,30956,10744,20212,562,228,335
Beiras e Serra da Estrela,13741,5710,8031,956915,385030,571885,16513,7204,9309
Almeida,320,133,187,27955,11829,16126,485,231,254
Belmonte,440,192,248,26682,9826,16856,421,174,247
Celorico da Beira,458,177,281,33458,11411,22047,564,214,350
Covilhã,3327,1366,1961,182347,76517,105830,3213,1455,1759
Figueira de Castelo Rodrigo,248,92,156,19546,7215,12331,328,122,206
Fornos de Algodres,231,98,133,19902,8867,11035,313,160,153
Fundão,1800,786,1014,106702,42683,64019,1779,770,1008
Gouveia,704,287,417,49225,21407,27818,813,361,452
Guarda,2588,1079,1509,182972,73578,109394,3457,1572,1885
Manteigas,173,73,100,10082,4299,5783,178,77,101
Mêda,221,101,120,18250,7057,11193,250,92,158
Pinhel,566,273,293,54371,28082,26289,847,465,381
Sabugal,596,241,355,54396,20131,34265,913,341,571
Seia,1630,637,993,137912,50651,87261,2379,958,1422
Trancoso,439,175,264,33115,11477,21638,573,211,362
A. M. Lisboa,181791,71392,110399,9234617,3721359,5513258,204797,93109,111688
Alcochete,1251,500,751,99522,39744,59778,2564,1289,1275
Almada,11689,4496,7193,629851,250120,379731,13637,6011,7626
Amadora,11181,4167,7014,469159,182207,286952,9097,3900,5196
Barreiro,5295,2055,3240,329853,126446,203407,7462,3433,4030
Cascais,11756,4660,7096,473677,200509,273168,11121,5059,6062
Lisboa,27414,11061,16353,1091873,458303,633570,27034,11666,15368
Loures,12940,5051,7889,582826,237061,345765,12175,5554,6621
Mafra,5385,2175,3210,349388,144015,205373,7576,3495,4082
Moita,5316,2087,3229,384163,155393,228770,8406,4083,4323
Montijo,3953,1560,2393,301901,111090,190811,6551,2847,3704
Odivelas,9080,3586,5494,395385,167962,227423,8240,3798,4441
Oeiras,8685,3282,5403,351765,136217,215548,9066,3853,5213
Palmela,5474,2220,3254,448725,175014,273711,10256,4779,5477
Seixal,11747,4622,7125,640752,258601,382151,13766,6325,7441
Sesimbra,4176,1685,2491,272234,103677,168557,5962,2753,3209
Setúbal,9732,3964,5768,766260,295290,470970,18283,8566,9717
Sintra,26889,10284,16605,1163150,478628,684522,23138,10738,12400
Vila Franca de Xira,9828,3937,5891,484133,201082,283051,10462,4959,5503
Alentejo,53632,22216,31416,3110702,1222243,1888459,60658,27283,33375
Alentejo Litoral,6312,2685,3627,355279,150544,204735,7543,3770,3773
Alcácer do Sal,695,276,419,51416,17965,33451,944,327,617
Grândola,1005,414,591,59517,25671,33846,1063,485,577
Odemira,1688,783,905,72036,33676,38360,1297,627,670
Santiago do Cacém,1870,772,1098,107625,43362,64263,2704,1410,1294
Sines,1054,440,614,64685,29870,34815,1535,921,614
Baixo Alentejo,7460,3121,4339,325624,134765,190859,6381,3137,3244
Aljustrel,647,296,351,34437,15566,18871,774,445,330
Almodôvar,382,188,194,16700,7978,8722,414,265,149
Alvito,167,68,99,8036,2929,5107,157,64,93
Barrancos,48,21,27,2184,1242,942,46,31,15
Beja,2557,983,1574,92049,34425,57624,1771,736,1035
Castro Verde,490,225,265,24462,12330,12132,641,421,220
Cuba,311,140,171,14429,5034,9395,253,95,158
Ferreira do Alentejo,477,196,281,22149,9754,12395,427,221,207
Mértola,289,131,158,14829,6681,8148,244,112,132
Moura,624,260,364,27565,11874,15691,434,205,229
Ourique,320,141,179,16647,7500,9147,336,181,155
Serpa,822,337,485,38201,13873,24328,649,269,380
Vidigueira,326,135,191,13936,5579,8357,234,91,143
Lezíria do Tejo,20111,8543,11568,1302185,522407,779778,25540,11817,13724
Almeirim,1760,727,1033,116232,48359,67873,2124,1025,1099
Alpiarça,558,202,356,35467,13166,22301,614,261,353
Azambuja,1359,597,762,73371,33069,40302,1446,788,659
Benavente,2726,1084,1642,170330,67178,103152,3706,1679,2026
Cartaxo,2025,868,1157,129437,50697,78740,2626,1207,1418
Chamusca,731,336,395,50200,20716,29484,879,424,455
Coruche,1318,524,794,93717,34974,58743,1771,745,1026
Golegã,480,224,256,30558,13898,16660,571,293,277
Rio Maior,2267,1037,1230,140687,55340,85347,2679,1213,1466
Salvaterra de Magos,1935,795,1140,166422,63890,102532,3291,1478,1813
Santarém,4952,2149,2803,295764,121120,174644,5833,2704,3130
Alto Alentejo,8215,3254,4961,469880,168254,301626,8496,3306,5190
Alter do Chão,194,67,127,13374,3874,9500,217,63,154
Arronches,255,108,147,13962,3622,10340,255,67,189
Avis,257,105,152,18447,7672,10775,323,146,177
Campo Maior,987,432,555,43297,16637,26660,883,350,533
Castelo de Vide,201,82,119,8460,1723,6737,140,27,113
Crato,217,69,148,15707,4631,11076,263,86,177
Elvas,1807,743,1064,99029,39306,59723,1765,800,965
Fronteira,178,67,111,11189,4658,6531,197,86,112
Gavião,235,81,154,15845,5804,10041,322,166,156
Marvão,215,79,136,12587,3749,8838,208,57,151
Monforte,172,56,116,10445,3563,6882,179,66,114
Nisa,425,155,270,28627,10166,18461,514,206,308
Ponte de Sor,972,380,592,69988,25144,44844,1270,491,779
Portalegre,1799,705,1094,89022,29993,59029,1622,565,1057
Sousel,301,125,176,19901,7712,12189,337,131,206
Alentejo Central,11534,4613,6921,657734,246273,411461,12698,5253,7444
Alandroal,392,160,232,26509,9619,16890,463,182,281
Arraiolos,501,203,298,29304,9672,19632,515,191,323
Borba,426,186,240,32255,13189,19066,600,280,319
Estremoz,741,273,468,53080,20558,32522,954,416,538
Évora,4434,1769,2665,204248,78871,125377,4181,1779,2402
Montemor-o-Novo,1148,454,694,59815,22644,37171,1127,448,680
Mora,255,111,144,16111,7030,9081,278,138,140
Mourão,111,42,69,6156,2860,3296,105,52,53
Portel,449,185,264,26764,9326,17438,451,167,284
Redondo,442,184,258,21782,8024,13758,407,153,254
Reguengos de Monsaraz,657,283,374,41711,18498,23213,734,351,383
Vendas Novas,975,381,594,77053,25019,52034,1747,673,1073
Viana do Alentejo,414,156,258,23979,8160,15819,459,164,295
Vila Viçosa,589,226,363,38967,12803,26164,677,259,418
Algarve,31046,12639,18407,1704705,703386,1001319,33502,14913,18589
Albufeira,3034,1266,1768,177947,76436,101511,3599,1664,1935
Alcoutim,155,61,94,9625,2788,6837,169,59,110
Aljezur,251,99,152,13676,6988,6688,267,147,120
Castro Marim,412,163,249,25020,10615,14405,457,219,238
Faro,4811,1933,2878,252361,103345,149016,5394,2391,3004
Lagoa,1570,681,889,79900,38469,41431,1637,824,813
Lagos,2044,801,1243,108307,43841,64466,2046,850,1196
Loulé,4501,1875,2626,279075,118293,160782,5420,2492,2929
Monchique,320,135,185,22166,11256,10910,404,221,183
Olhão,3222,1279,1943,166773,59654,107119,3164,1279,1885
Portimão,4114,1685,2429,202368,84528,117840,4008,1787,2220
São Brás de Alportel,711,299,412,39219,18044,21175,790,399,391
Silves,2478,1015,1463,153283,61767,91516,2885,1260,1625
Tavira,1836,748,1088,89913,36248,53665,1737,752,985
Vila do Bispo,311,124,187,14355,5826,8529,257,98,158
Vila Real de Santo António,1276,475,801,70717,25288,45429,1268,472,796
R. A. Açores,19559,8463,11096,1366130,547023,819107,26939,12141,14798
Santa Maria,428,175,253,27842,10198,17644,596,217,378
Vila do Porto,428,175,253,27842,10198,17644,596,217,378
São Miguel,10261,4475,5786,793662,327806,465856,16010,7457,8552
Lagoa (R.A.A.),1032,421,611,84272,31826,52446,1569,706,863
Nordeste,290,159,131,16468,8375,8093,245,126,120
Ponta Delgada,5418,2263,3155,413002,164051,248951,8991,4036,4955
Povoação,427,180,247,43212,17189,26023,833,366,467
Ribeira Grande,2476,1161,1315,198385,87964,110421,3667,1839,1828
Vila Franca do Campo,618,291,327,38323,18401,19922,704,384,320
Terceira,4645,2011,2634,257117,95746,161371,5020,2174,2845
Angra do Heroísmo,2952,1272,1680,155047,61645,93402,3072,1410,1662
Vila da Praia da Vitória,1693,739,954,102070,34101,67969,1948,765,1183
Graciosa,392,171,221,36604,11287,25317,577,196,381
Santa Cruz da Graciosa,392,171,221,36604,11287,25317,577,196,381
São Jorge,828,345,483,44942,18098,26844,760,318,442
Calheta (R.A.A.),306,119,187,15517,4858,10659,224,67,156
Velas,522,226,296,29425,13240,16185,536,251,285
Pico,1304,592,712,89427,40564,48863,1680,833,847
Lajes do Pico,407,204,203,31817,15896,15921,568,297,271
Madalena,535,230,305,34518,13783,20735,715,331,384
São Roque do Pico,362,158,204,23092,10885,12207,397,205,192
Faial,1317,528,789,86622,31871,54751,1691,690,1000
Horta,1317,528,789,86622,31871,54751,1691,690,1000
Flores,316,135,181,26363,9225,17138,528,204,324
Lajes das Flores,103,43,60,9164,3705,5459,202,84,118
Santa Cruz das Flores,213,92,121,17199,5520,11679,326,120,206
Corvo,68,31,37,3551,2228,1323,79,51,28
Corvo,68,31,37,3551,2228,1323,79,51,28
R. A. Madeira,15849,7358,8491,1158530,542469,616061,24382,13412,10970
Calheta (R.A.M.),503,240,263,45018,21618,23400,892,514,377
Câmara de Lobos,2200,1058,1142,141948,68880,73068,2598,1440,1159
Funchal,6176,2661,3515,378037,165706,212331,8012,3726,4285
Machico,1935,1120,815,218251,133155,85096,5799,4439,1360
Ponta do Sol,392,190,202,30379,13068,17311,484,229,255
Porto Moniz,125,62,63,10116,3999,6117,156,67,89
Ribeira Brava,705,352,353,52061,27126,24935,941,560,380
Santa Cruz,2872,1273,1599,196295,81739,114556,4034,1841,2193
Santana,359,144,215,37904,10750,27154,575,234,340
São Vicente,245,109,136,25797,8370,17427,376,140,236
Porto Santo,337,149,188,22724,8058,14666,517,222,295
