,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por agregado fiscal, 4º quintil, €","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de agregados fiscais por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Vila Nova de Gaia,8026,10797,15481,24889,15392,39386,27622,24745,30179,18075
Alto Tâmega,6121,9310,12134,19660,5807,13459,6718,5481,5921,2607
Boticas,5781,9135,10809,17829,372,875,387,305,290,106
Chaves,6485,9505,13468,22103,2417,5457,3025,2512,3133,1582
Montalegre,5680,8982,11162,18048,756,1584,753,573,580,208
Ribeira de Pena,6133,9310,11501,17711,398,994,497,425,333,130
Valpaços,5691,8778,10920,17275,1103,2504,1157,842,844,262
Vila Pouca de Aguiar,6404,9310,11848,18578,761,2045,899,824,741,319
Tâmega e Sousa,6815,9405,11964,18732,25214,71836,35673,29304,28645,10202
Amarante,6399,9336,11908,19203,3543,8954,4427,3356,3628,1593
Baião,6739,9389,11745,18041,984,2898,1398,1190,1085,307
Castelo de Paiva,7103,9415,12039,18737,862,2703,1512,1136,1181,302
Celorico de Basto,6371,9310,11169,17731,1112,2991,1385,1102,983,325
Cinfães,5827,8914,10829,16719,1248,3068,1399,1044,905,305
Felgueiras,7401,9415,12117,18905,3050,10636,5320,4313,4314,1433
Lousada,7114,9415,12166,18822,2886,8723,4153,3764,3602,1130
Marco de Canaveses,6210,9310,11623,18321,3470,8366,4086,3328,3175,1123
Paços de Ferreira,7224,9415,12023,18604,3046,10413,5116,4434,3798,1370
Penafiel,6998,9415,12645,19888,4213,11355,6175,5132,5496,2091
Resende,5520,8645,10499,16999,800,1729,702,505,478,223
Douro,6759,9437,13158,21617,10703,27811,14839,12169,14423,7251
Alijó,6028,9091,11340,18206,748,1906,873,690,719,231
Armamar,6460,9310,11693,18715,314,900,426,330,349,128
Carrazeda de Ansiães,6470,9288,12013,19550,331,866,430,328,368,150
Freixo de Espada à Cinta,6828,9427,12492,19715,//,//,//,//,//,//
Lamego,6880,9528,13345,22551,1415,3690,1935,1525,1997,1074
Mesão Frio,6135,9287,11313,17523,221,664,334,237,222,72
Moimenta da Beira,6710,9530,13108,20583,522,1240,719,602,687,261
Murça,5995,9310,11668,18948,382,827,460,334,357,142
Penedono,//,//,//,//,//,//,//,//,//,//
Peso da Régua,6772,9415,12854,20788,824,2363,1224,1032,1111,524
Sabrosa,6764,9425,12160,18722,317,934,530,417,386,140
Santa Marta de Penaguião,5683,8651,11024,17988,534,1151,554,375,441,132
São João da Pesqueira,6028,8990,11456,18314,470,1162,504,427,436,149
Sernancelhe,7120,9365,11880,18156,250,848,398,366,298,95
Tabuaço,6429,9245,11655,18486,275,758,354,288,277,107
Tarouca,6827,9415,12456,19756,401,1007,543,447,498,169
Torre de Moncorvo,6495,9415,12526,19477,434,1115,590,520,523,185
Vila Nova de Foz Côa,6133,9310,12312,19616,447,978,551,421,450,183
Vila Real,7818,10677,16325,26767,2447,6380,3894,3401,4897,3367
Terras de Trás-os-Montes,6744,9600,13782,22632,6340,15762,8558,7137,9306,4803
Alfândega da Fé,6404,9311,12274,19625,275,734,343,319,296,139
Bragança,7384,10704,16377,26222,1954,4244,2698,2337,3676,2216
Macedo de Cavaleiros,6180,9310,12014,20446,934,2304,1108,839,1005,496
Miranda do Douro,7019,9872,14430,21787,377,943,530,501,630,252
Mirandela,6839,9667,13781,22741,1188,3128,1682,1411,1795,971
Mogadouro,6591,9386,12348,20402,499,1389,696,538,661,274
Vila Flor,6404,9422,12426,19275,370,871,507,400,393,165
Vimioso,6366,9310,12061,19170,265,724,326,298,305,108
Vinhais,6256,9310,11587,18622,478,1425,668,494,545,182
Centro,8060,10611,15088,23975,102979,307608,208102,181013,224926,113457
Oeste,7768,10295,14569,23261,18878,53563,34352,29871,35893,17711
Alcobaça,8031,10380,14287,22285,2551,8176,5608,4799,5469,2151
Alenquer,8257,10943,15516,24409,1979,5801,4255,3808,4747,2233
Arruda dos Vinhos,8792,11759,17654,28085,510,1685,1191,1139,1532,1132
Bombarral,7315,9844,13752,21639,716,1943,1151,1014,1114,505
Cadaval,7375,9984,13979,22114,707,1939,1176,1063,1226,491
Caldas da Rainha,7284,10077,14349,23022,3175,7634,4812,4211,4887,2643
Lourinhã,7299,9935,14027,22590,1462,4072,2407,2065,2476,1182
Nazaré,7048,9925,13760,21485,954,2314,1473,1313,1412,574
Óbidos,7414,10050,14314,22847,647,1786,1072,936,1112,575
Peniche,7677,10107,14259,22590,1417,4048,2484,2184,2595,1157
Sobral de Monte Agraço,8117,10623,15383,24474,488,1422,948,853,1046,575
Torres Vedras,7861,10212,14573,23917,4272,12743,7775,6486,8277,4493
Região de Aveiro,8162,10822,15331,24534,17223,49135,35871,30236,38546,20119
Águeda,8358,10518,14513,23150,1971,6982,4820,3830,4840,2134
Albergaria-a-Velha,8453,10885,15020,23440,1021,3329,2561,2170,2641,1082
Anadia,7781,10246,14198,22531,1356,4185,2779,2296,2658,1225
Aveiro,8621,11724,17531,28293,3683,9518,7410,6668,9160,6596
Estarreja,7980,10769,14919,23488,1269,3464,2657,2249,2750,1192
Ílhavo,8089,11094,15957,25472,1955,4914,3734,3194,4255,2397
Murtosa,6792,9864,14025,22410,636,1309,806,700,918,368
Oliveira do Bairro,8044,10503,14782,23313,1021,3209,2166,1760,2428,998
Ovar,8223,10836,15212,24142,2597,7427,5543,4770,5752,2910
Sever do Vouga,7977,10362,13998,22318,485,1652,1191,890,1083,416
Vagos,7525,10081,13741,21880,1229,3146,2204,1709,2061,801
Região de Coimbra,8316,10990,16149,25696,19263,57000,38970,35212,46582,27131
Arganil,7615,9682,13026,19794,551,1757,1023,886,879,292
Cantanhede,7324,10068,14165,22899,1848,4918,3101,2543,3201,1485
Coimbra,8987,12337,19240,31039,5792,15717,11663,11253,16517,13806
Condeixa-a-Nova,8927,11898,17688,27868,590,1859,1404,1364,1838,1179
Figueira da Foz,8487,11404,16886,26385,2733,7214,5246,4892,6918,3816
Góis,7732,9598,12871,19163,169,657,384,331,309,86
Lousã,8159,10832,15661,23757,758,2179,1480,1379,1878,753
Mealhada,8343,11048,15736,24748,860,2501,1877,1696,2110,1019
Mira,7206,9933,13941,22101,664,1755,1065,943,1033,514
Miranda do Corvo,7980,10367,14165,21972,533,1659,1175,958,1170,406
Montemor-o-Velho,8637,11200,16030,24443,847,3134,2250,2034,2779,1153
Mortágua,7822,10049,13477,21244,433,1389,939,686,858,291
Oliveira do Hospital,7792,9678,13141,20302,860,3198,1776,1499,1643,525
Pampilhosa da Serra,7736,9755,13199,19265,132,606,350,316,300,70
Penacova,7446,9905,13357,20606,659,2090,1346,1095,1244,337
Penela,7363,9619,13334,21086,247,937,474,417,488,169
Soure,8559,11044,15629,23758,627,2245,1740,1511,1952,746
Tábua,7187,9415,12180,18830,578,2053,990,880,825,270
Vila Nova de Poiares,7315,9740,13141,20901,382,1132,687,529,640,214
Região de Leiria,8422,11002,15513,24354,12451,37736,27923,25148,30778,14590
Alvaiázere,7185,9423,12544,19077,296,1070,590,465,452,157
Ansião,7732,9861,13440,20635,503,1859,1109,976,972,344
Batalha,8553,11105,15777,24399,658,2029,1466,1409,1747,749
Castanheira de Pêra,7583,9424,12237,18273,121,531,291,230,194,65
Figueiró dos Vinhos,7304,9462,12722,19671,286,914,502,422,443,148
Leiria,8714,11506,16504,26127,5411,15722,12189,11171,14632,8052
Marinha Grande,8706,11456,16116,24728,1717,5008,4052,3915,4715,2143
Pedrógão Grande,7106,9416,12449,18751,192,631,325,291,253,92
Pombal,8070,10647,14688,22649,2346,6657,4970,4299,5017,1899
Porto de Mós,8425,10592,14587,22913,921,3315,2429,1970,2353,941
Viseu Dão Lafões,7954,10383,14788,23428,11277,33588,21691,18306,23723,11203
Aguiar da Beira,7476,9577,13113,19572,233,738,395,384,367,109
Carregal do Sal,8106,10061,13666,20839,370,1264,833,685,741,264
Castro Daire,6591,9320,11888,18620,741,2157,1136,884,851,288
Mangualde,8142,10604,15220,23013,772,2378,1576,1408,1860,703
Nelas,8044,10430,14809,23094,540,1798,1174,994,1285,527
Oliveira de Frades,7881,9993,13563,21201,450,1467,941,740,857,322
Penalva do Castelo,7229,9738,13118,20330,332,1012,629,510,558,178
Santa Comba Dão,7941,10088,13812,21491,439,1630,1000,835,951,370
São Pedro do Sul,7050,9525,12865,20161,847,2310,1332,1067,1175,449
Sátão,6901,9648,13431,20984,605,1613,896,779,940,332
Tondela,8152,10534,14191,22294,1043,3446,2562,2034,2444,863
Vila Nova de Paiva,6947,9438,12790,19938,241,633,354,285,324,121
Viseu,8389,11129,16911,26991,4268,11742,7995,7004,10517,6429
Vouzela,7936,9978,13550,21077,396,1400,868,697,853,248
Beira Baixa,8091,10481,14808,23381,3623,11584,7611,6577,8147,3825
Castelo Branco,8481,11018,15929,25144,2264,6967,4900,4362,5871,3027
Idanha-a-Nova,7352,9464,12493,19083,434,1448,847,651,648,206
Oleiros,7233,9434,12397,19342,215,854,462,371,347,147
Penamacor,7609,9686,12760,19110,218,724,454,357,353,90
Proença-a-Nova,7301,9590,13291,20969,375,1121,604,526,596,247
Vila Velha de Ródão,8497,10657,14468,21857,117,470,344,310,332,108
Médio Tejo,8016,10456,14635,23046,10422,33165,22198,19119,22515,10408
Abrantes,8109,10477,14496,23141,1471,5092,3428,2834,3359,1596
Alcanena,7914,9968,13242,20532,639,2119,1418,1107,1158,401
Constância,8839,11149,16414,24488,132,519,354,318,446,201
Entroncamento,8999,12276,18480,28167,833,2120,1745,1684,2469,1544
Ferreira do Zêzere,7580,9809,13094,19903,375,1239,773,636,678,174
Mação,7980,9837,13229,20418,269,1068,644,511,543,209
Ourém,7811,10214,14059,22011,2181,6438,4331,3666,4207,1610
Sardoal,8190,9991,13387,20592,172,590,387,303,317,129
Sertã,7108,9418,12420,19444,678,2522,1366,1059,1086,394
Tomar,7634,10270,14453,23071,1937,5372,3527,3055,3464,1795
Torres Novas,8568,10945,15557,24513,1380,4670,3297,3045,3641,1849
Vila de Rei,7842,9626,13566,20087,123,552,269,289,277,72
Vila Nova da Barquinha,9157,11674,17180,26633,232,864,659,612,870,434
Beiras e Serra da Estrela,7758,10036,13959,21950,9842,31837,19486,16544,18742,8470
Almeida,7574,10293,14674,21282,302,877,519,554,601,184
Belmonte,7887,9743,13418,20145,273,973,538,511,488,172
Celorico da Beira,7356,9689,13508,20684,300,996,538,486,546,191
Covilhã,8106,10134,13961,21986,2072,7456,4679,3907,4163,2116
Figueira de Castelo Rodrigo,6591,9357,12181,18967,311,927,460,388,346,172
Fornos de Algodres,7270,9445,12611,19388,194,683,352,291,318,91
Fundão,7676,9912,13703,21343,1332,4076,2474,2110,2424,917
Gouveia,7280,9622,12858,20427,554,1998,1130,881,966,372
Guarda,8494,11363,16949,26670,1683,4716,3379,3165,4290,2572
Manteigas,7542,9523,12493,19030,130,548,341,228,246,69
Mêda,6782,9376,12439,19485,249,762,389,309,337,119
Pinhel,6931,9415,12721,19782,459,1388,764,639,682,219
Sabugal,7001,9872,13047,19811,641,1447,1086,837,817,279
Seia,7790,9822,13233,20837,917,3657,2141,1661,1888,735
Trancoso,7144,9448,12720,20408,425,1333,696,577,630,262
A. M. Lisboa,8056,11385,17224,28109,160311,348992,244660,238907,316067,235963
Alcochete,8862,12165,19265,32030,762,1992,1403,1375,1964,1814
Almada,7997,11302,16887,27246,9804,21753,15188,14934,19423,13361
Amadora,7620,10500,15096,24361,10685,24031,16239,14719,17693,10191
Barreiro,8458,11369,16233,24927,4046,9642,7666,7395,9075,4718
Cascais,7998,11738,18539,31201,11765,24230,15890,16224,22587,20841
Lisboa,7836,11837,19021,33284,36556,66735,42875,45221,61753,66108
Loures,8105,10986,16021,25844,10796,25936,18402,17151,21246,13446
Mafra,8357,11505,17899,29182,3969,9788,6619,6267,9003,6962
Moita,7916,10608,14585,22608,3618,8781,6717,5678,6637,2844
Montijo,7920,10856,16446,26374,3031,6965,4497,4225,5788,3741
Odivelas,7826,10870,16198,26123,8854,19895,13015,12562,16458,10354
Oeiras,9199,13714,21759,35251,7536,16441,12323,13765,21159,21203
Palmela,8148,11362,16938,27157,3292,7983,5501,5504,7121,4740
Seixal,8379,11585,17154,26732,8436,19116,14390,14251,19232,11367
Sesimbra,8459,11692,17535,26975,2530,5949,4441,4424,6265,3554
Setúbal,8207,11416,17007,27088,6411,14587,10558,10207,13632,8935
Sintra,7959,10800,15448,24780,22039,50045,36578,32665,40363,22557
Vila Franca de Xira,8901,11905,17498,26771,6181,15123,12358,12340,16668,9227
Alentejo,7962,10369,14487,23112,34342,105183,69578,58406,69508,34138
Alentejo Litoral,7120,9629,13284,22412,6293,16900,9983,7405,8838,5146
Alcácer do Sal,7960,10186,13653,21598,525,1759,1207,938,1037,430
Grândola,7790,10211,14247,22719,659,1987,1277,1103,1195,624
Odemira,5789,8897,10573,15828,3198,7639,3755,1966,2133,816
Santiago do Cacém,8247,11122,16654,27650,1234,3640,2467,2199,2876,2191
Sines,8314,11276,16797,27358,677,1875,1277,1199,1597,1085
Baixo Alentejo,7892,10274,14391,23132,5454,16454,10597,8828,10547,5463
Aljustrel,8534,10910,15574,25257,328,1204,814,737,926,488
Almodôvar,7259,10045,14276,24302,339,1094,623,519,625,398
Alvito,//,//,//,//,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//,//,//,//,//
Beja,8475,11126,16306,26418,1477,4221,3046,2576,3626,2169
Castro Verde,9088,11739,17753,29117,221,806,534,536,709,527
Cuba,7449,9866,13930,21993,250,671,390,371,370,200
Ferreira do Alentejo,7090,9415,12496,19473,459,1342,746,587,574,250
Mértola,7788,9693,12830,19671,292,1031,635,495,496,158
Moura,7329,9611,12970,20569,678,1859,1165,862,966,405
Ourique,7270,9561,13128,20554,261,817,486,374,414,181
Serpa,7242,9528,12832,20079,744,2126,1286,1012,1075,405
Vidigueira,7904,10002,13667,21088,254,782,505,426,433,191
Lezíria do Tejo,7955,10499,14699,23366,11467,34024,23055,19839,23713,11372
Almeirim,7280,9840,13682,21831,1264,3489,2108,1796,2016,866
Alpiarça,7282,9902,13657,21471,384,1112,697,589,608,298
Azambuja,8291,10842,15035,23566,943,2825,2151,1807,2182,975
Benavente,8166,10806,15559,24593,1407,3945,2785,2394,3210,1564
Cartaxo,8173,10946,15590,23987,1188,3087,2274,2165,2598,1173
Chamusca,7759,9978,12979,20106,352,1427,975,693,747,228
Coruche,7980,10418,13911,21472,698,2589,1815,1522,1548,618
Golegã,8159,10669,14474,22460,215,797,600,475,555,251
Rio Maior,7591,9990,13752,21864,1135,3381,2147,1724,2012,860
Salvaterra de Magos,7791,10406,14490,22521,1121,3135,2081,1904,2134,941
Santarém,8103,10716,15461,25201,2760,8237,5422,4770,6103,3598
Alto Alentejo,7896,10219,14062,22149,5116,16341,10798,8845,10265,4412
Alter do Chão,8253,10393,13996,20653,145,460,345,308,281,109
Arronches,7853,10180,13694,21274,//,//,//,//,//,//
Avis,7566,9787,13102,20023,194,642,415,334,320,110
Campo Maior,8948,11312,15225,24037,279,993,843,660,845,350
Castelo de Vide,8024,10544,14603,22337,141,489,310,298,333,128
Crato,8156,10111,13816,21274,156,508,336,283,314,105
Elvas,7937,10253,14117,22305,1057,3073,2075,1667,2000,872
Fronteira,7674,9830,13732,21918,141,509,286,230,304,108
Gavião,8165,10079,13338,20037,116,604,383,307,308,98
Marvão,7120,9486,13070,20105,189,527,291,249,310,67
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,7968,10206,13893,21496,267,1002,648,533,606,231
Ponte de Sor,6880,9415,12481,19675,979,2724,1668,1192,1227,519
Portalegre,8639,11088,16163,25484,892,3128,2207,1973,2537,1413
Sousel,7026,9415,12526,19718,240,801,436,346,377,121
Alentejo Central,8589,10919,15286,23861,6012,21464,15145,13489,16145,7745
Alandroal,7948,9734,12770,18875,218,931,578,455,431,102
Arraiolos,8601,10777,14638,22574,228,1007,718,581,707,263
Borba,8450,10436,14350,21226,245,972,635,638,594,208
Estremoz,8583,10701,14777,23005,449,1845,1348,1089,1322,545
Évora,9009,11886,17659,27596,2046,6472,5038,4626,6516,4014
Montemor-o-Novo,8550,10521,14577,22635,604,2367,1514,1377,1529,667
Mora,8002,10179,13760,21101,//,//,//,//,//,//
Mourão,//,//,//,//,//,//,//,//,//,//
Portel,7905,9680,12835,19434,245,940,541,470,479,108
Redondo,8158,9782,12796,19338,264,1113,701,528,500,187
Reguengos de Monsaraz,8212,10613,14470,22340,433,1392,1005,848,974,393
Vendas Novas,8564,11044,15544,24055,504,1520,1055,1100,1204,569
Viana do Alentejo,8137,10363,14066,21743,237,782,530,471,485,196
Vila Viçosa,8759,10862,14812,22522,264,1079,789,712,789,289
Algarve,6410,9499,13340,21824,36117,74659,44001,36985,42412,21394
Albufeira,5335,9102,12000,19327,4866,8433,4294,3652,3668,1786
Alcoutim,//,//,//,//,//,//,//,//,//,//
Aljezur,6083,9310,11862,19903,461,1004,519,363,460,192
Castro Marim,6764,9425,12916,21354,413,1145,579,461,615,236
Faro,7223,10455,15298,25385,4705,9643,6275,5587,7225,4677
Lagoa,6204,9424,12982,21288,1854,3736,2175,1780,2041,1002
Lagos,6177,9421,12791,21124,2639,5262,3044,2456,2775,1362
Loulé,6285,9492,13275,21353,6012,11762,7154,6126,6576,3366
Monchique,6638,9418,12385,18847,//,//,//,//,//,//
Olhão,7007,9741,13441,21946,2860,6528,4148,3220,3951,1771
Portimão,6404,9524,13418,21923,4705,9732,5814,4965,5574,2818
São Brás de Alportel,7065,10039,14482,23300,699,1569,979,856,1036,577
Silves,6591,9521,13148,20814,2723,6014,3649,3077,3372,1353
Tavira,6516,9420,12944,21700,1900,4488,2444,1938,2330,1185
Vila do Bispo,5966,9345,12365,19582,469,927,520,418,435,189
Vila Real de Santo António,6709,9420,13211,21187,1352,3100,1733,1497,1756,678
R. A. Açores,7560,10418,15213,24718,12060,31919,21836,16915,22894,14413
Santa Maria,7489,10596,16248,26635,270,725,488,368,564,409
Vila do Porto,7489,10596,16248,26635,270,725,488,368,564,409
São Miguel,7280,10291,15039,24812,6908,17688,11712,8659,12397,7977
Lagoa (R.A.A.),6788,9750,13208,22517,779,2125,1234,824,1173,668
Nordeste,6424,9388,11602,18765,260,807,455,260,321,114
Ponta Delgada,8231,11216,17351,28131,3127,8158,6090,4887,7430,5481
Povoação,6019,8921,11597,18957,381,1009,475,356,398,156
Ribeira Grande,6750,9804,13410,22254,1726,3998,2538,1802,2422,1218
Vila Franca do Campo,6335,9415,11645,19628,635,1591,920,530,653,340
Terceira,8202,10782,15840,25503,2560,7053,5184,4246,5551,3554
Angra do Heroísmo,8078,10739,15865,26111,1654,4638,3250,2680,3487,2445
Vila da Praia da Vitória,8379,10842,15769,24507,906,2415,1934,1566,2064,1109
Graciosa,7086,10023,14094,22522,208,621,386,305,365,199
Santa Cruz da Graciosa,7086,10023,14094,22522,208,621,386,305,365,199
São Jorge,7045,9941,13666,21585,504,1291,841,660,780,357
Calheta (R.A.A.),6787,9806,12983,20473,218,542,362,261,315,111
Velas,7370,10071,14167,22315,286,749,479,399,465,246
Pico,7569,10172,14381,22347,713,2080,1393,1171,1298,685
Lajes do Pico,7679,10181,14143,21875,196,636,436,361,388,185
Madalena,7913,10392,14807,22652,318,908,640,556,620,315
São Roque do Pico,6926,9850,13816,22355,199,536,317,254,290,185
Faial,8324,10951,16295,26233,674,1865,1409,1188,1562,1024
Horta,8324,10951,16295,26233,674,1865,1409,1188,1562,1024
Flores,7110,10154,14161,22423,200,531,382,291,327,179
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,7438,10404,14938,24661,13888,30806,21345,17279,22227,14060
Calheta (R.A.M.),5848,9422,12551,20900,729,1310,720,585,631,382
Câmara de Lobos,6669,9493,12111,18744,1814,4379,2866,1962,1924,731
Funchal,8011,11032,16400,27468,5894,12857,9272,7942,10776,8125
Machico,7249,10038,13821,21953,1050,2599,1759,1437,1565,774
Ponta do Sol,6028,9422,12206,20383,551,1037,645,441,501,261
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,6995,9773,13066,20854,621,1562,1011,785,838,360
Santa Cruz,8062,11141,16905,26400,2140,4429,3393,2851,4438,2567
Santana,6828,9520,12152,19254,363,961,576,395,427,170
São Vicente,6149,9415,12353,20471,//,//,//,//,//,//
Porto Santo,8384,11834,17116,27949,289,645,538,494,653,465
