,"Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 1º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, Total, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 2º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 2º Ciclo, das quais, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, Total, Cursos de educação e formação (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino regular (N.º)","Ensino básico, 3º Ciclo, das quais, Ensino artístico (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos profissionais (N.º)","Ensino básico, 3º Ciclo, das quais, Cursos de educação e formação (N.º)"
Arruda dos Vinhos,655,655,0,480,465,0,0,833,670,0,0,89
Bombarral,391,391,0,256,256,0,0,383,362,0,0,7
Cadaval,426,426,0,226,226,0,0,301,271,0,0,16
Caldas da Rainha,1893,1893,0,1079,1079,0,0,1931,1895,0,0,36
Lourinhã,947,947,0,515,515,0,0,762,744,0,0,18
Nazaré,509,509,0,221,221,0,0,381,336,0,0,45
Óbidos,447,447,0,213,213,0,0,298,270,0,0,28
Peniche,1025,1025,0,570,570,0,0,862,804,0,0,58
Sobral de Monte Agraço,410,410,0,246,246,0,0,370,370,0,0,0
Torres Vedras,3191,3191,0,1805,1805,0,0,3046,2865,0,0,105
Região de Aveiro,13246,13246,0,7093,7079,0,0,11321,10580,0,0,620
Águeda,1569,1569,0,863,863,0,0,1324,1277,0,0,47
Albergaria-a-Velha,912,912,0,535,535,0,0,770,751,0,0,19
Anadia,969,969,0,542,542,0,0,796,760,0,0,36
Aveiro,3341,3341,0,1703,1703,0,0,2932,2617,0,0,281
Estarreja,936,936,0,530,516,0,0,842,732,0,0,51
Ílhavo,1365,1365,0,654,654,0,0,1013,982,0,0,16
Murtosa,388,388,0,234,234,0,0,322,322,0,0,0
Oliveira do Bairro,870,870,0,471,471,0,0,649,634,0,0,15
Ovar,1861,1861,0,924,924,0,0,1591,1495,0,0,83
Sever do Vouga,304,304,0,192,192,0,0,309,293,0,0,16
Vagos,731,731,0,445,445,0,0,773,717,0,0,56
