,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Com menos de 21 alunas/os (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado (N.º)","Ensino secundário, 3º Ciclo, Total (N.º)","Ensino secundário, 3º Ciclo, Público (N.º)","Ensino secundário, 3º Ciclo, Privado (N.º)"
Mação,3,3,0,2,0,2,0,1,1,0,1,1,0,1,1,0
Ourém,28,22,6,25,1,24,1,7,4,3,7,4,3,5,1,4
Sardoal,2,2,0,1,0,1,0,1,1,0,1,1,0,1,1,0
Sertã,10,8,2,8,2,8,0,2,1,1,2,1,1,4,2,2
Tomar,23,17,6,20,2,18,2,3,3,0,5,5,0,3,2,1
Torres Novas,19,10,9,11,0,8,3,4,3,1,6,4,2,3,2,1
Vila de Rei,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Vila Nova da Barquinha,6,5,1,2,0,2,0,1,1,0,1,1,0,1,1,0
Beiras e Serra da Estrela,167,110,57,133,34,131,2,34,29,5,42,35,7,30,20,10
Almeida,2,2,0,3,1,3,0,2,2,0,2,2,0,2,2,0
Belmonte,7,4,3,2,0,2,0,1,1,0,1,1,0,1,1,0
Celorico da Beira,5,2,3,6,3,6,0,1,1,0,1,1,0,1,1,0
Covilhã,38,26,12,29,3,28,1,6,5,1,9,8,1,5,4,1
Figueira de Castelo Rodrigo,5,3,2,4,3,4,0,1,1,0,1,1,0,1,1,0
Fornos de Algodres,4,4,0,2,1,2,0,1,1,0,1,1,0,1,1,0
Fundão,22,15,7,23,3,23,0,4,3,1,6,4,2,3,1,2
Gouveia,14,10,4,8,2,8,0,2,2,0,3,2,1,2,1,1
Guarda,28,16,12,25,6,24,1,5,4,1,5,4,1,4,2,2
Manteigas,2,1,1,1,0,1,0,1,1,0,1,1,0,2,1,1
Mêda,2,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0
Pinhel,4,2,2,6,5,6,0,1,1,0,1,1,0,1,1,0
Sabugal,7,4,3,7,3,7,0,2,1,1,2,1,1,1,1,0
Seia,19,13,6,11,2,11,0,4,3,1,5,4,1,3,1,2
Trancoso,8,7,1,5,2,5,0,2,2,0,3,3,0,2,1,1
A. M. Lisboa,1349,570,779,881,6,623,258,294,182,112,340,241,99,218,123,95
Alcochete,10,5,5,7,0,6,1,2,1,1,2,2,0,1,1,0
Almada,94,38,56,51,0,39,12,17,14,3,22,18,4,14,10,4
Amadora,75,30,45,46,0,30,16,17,12,5,18,14,4,9,6,3
Barreiro,38,21,17,25,0,20,5,8,7,1,10,8,2,7,5,2
Cascais,110,37,73,81,1,44,37,31,11,20,27,13,14,19,10,9
Lisboa,276,92,184,188,1,91,97,88,40,48,101,54,47,76,31,45
Loures,91,51,40,65,3,59,6,16,13,3,22,18,4,10,7,3
Mafra,37,25,12,20,0,17,3,7,4,3,7,4,3,5,2,3
Moita,26,19,7,22,0,21,1,6,6,0,8,8,0,3,2,1
Montijo,28,14,14,22,0,19,3,5,3,2,6,5,1,3,2,1
Odivelas,64,29,35,38,0,31,7,10,8,2,16,14,2,8,6,2
Oeiras,80,19,61,44,0,29,15,15,10,5,16,13,3,12,8,4
Palmela,30,14,16,25,0,20,5,7,3,4,7,5,2,5,3,2
Seixal,80,33,47,44,0,34,10,10,8,2,15,13,2,8,5,3
Sesimbra,24,14,10,15,0,14,1,5,5,0,6,6,0,3,2,1
Setúbal,56,17,39,41,1,32,9,10,6,4,11,10,1,10,7,3
Sintra,179,86,93,109,0,83,26,29,22,7,36,27,9,17,10,7
Vila Franca de Xira,51,26,25,38,0,34,4,11,9,2,10,9,1,8,6,2
Alentejo,474,336,138,373,44,363,10,97,91,6,133,118,15,71,54,17
Alentejo Litoral,65,48,17,54,8,54,0,13,12,1,17,15,2,10,7,3
