,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Sines,954,434,520,60469,24252,36217,1354,762,593
Baixo Alentejo,6584,2774,3810,269442,123755,145687,4732,2500,2231
Aljustrel,557,268,289,30712,14703,16009,602,365,236
Almodôvar,378,193,185,18082,10526,7556,387,269,117
Alvito,136,55,81,4864,2004,2860,84,41,43
Barrancos,43,23,20,1587,704,883,24,10,14
Beja,2384,916,1468,75854,34287,41567,1291,630,662
Castro Verde,424,213,211,20448,9879,10569,514,307,208
Cuba,241,101,140,12398,5343,7055,216,110,106
Ferreira do Alentejo,500,219,281,21592,10460,11132,349,185,164
Mértola,272,126,146,12866,5604,7262,203,84,118
Moura,489,188,301,21991,8446,13545,315,136,179
Ourique,242,104,138,12562,5363,7199,199,100,99
Serpa,634,253,381,24534,12093,12441,379,202,177
Vidigueira,284,115,169,11952,4343,7609,169,61,108
Lezíria do Tejo,18098,7314,10784,1129980,407904,722076,19640,8211,11429
Almeirim,1475,586,889,90513,33441,57072,1487,632,856
Alpiarça,475,179,296,28361,7941,20420,447,144,303
Azambuja,1816,726,1090,102662,36664,65998,1782,752,1030
Benavente,2366,928,1438,149976,50066,99910,2893,1106,1787
Cartaxo,1940,811,1129,116258,44077,72181,2133,965,1168
Chamusca,688,297,391,45468,17870,27598,683,295,387
Coruche,1222,467,755,80404,27125,53279,1252,506,746
Golegã,428,166,262,31770,10112,21658,493,190,303
Rio Maior,1809,843,966,107380,43655,63725,1868,789,1078
Salvaterra de Magos,1618,628,990,138990,45578,93412,2405,948,1457
Santarém,4261,1683,2578,238198,91375,146823,4196,1883,2313
Alto Alentejo,7160,2823,4337,394457,149349,245108,6300,2623,3677
Alter do Chão,140,46,94,7224,2279,4945,104,30,75
Arronches,218,89,129,12028,4292,7736,180,66,114
Avis,236,81,155,14564,4448,10116,206,64,142
Campo Maior,899,387,512,47432,20844,26588,924,437,486
Castelo de Vide,154,59,95,6668,3120,3548,98,45,53
Crato,177,60,117,11234,3855,7379,167,62,106
Elvas,1526,623,903,72888,30932,41956,1170,564,606
Fronteira,157,51,106,7791,2888,4903,111,35,76
Gavião,207,83,124,12520,4241,8279,175,68,108
Marvão,200,74,126,11205,3722,7483,172,67,105
Monforte,160,49,111,6763,2373,4390,112,42,70
Nisa,376,121,255,25619,6731,18888,377,106,271
Ponte de Sor,862,329,533,62141,23867,38274,935,374,561
Portalegre,1597,674,923,76313,28667,47646,1285,555,730
Sousel,251,97,154,20067,7090,12977,283,107,175
Alentejo Central,10189,3911,6278,534021,184061,349960,9000,3401,5598
Alandroal,322,123,199,17613,6447,11166,277,112,165
Arraiolos,454,181,273,23992,9102,14890,382,158,224
Borba,408,167,241,24358,7808,16550,378,145,233
Estremoz,693,239,454,38294,12994,25300,606,228,377
Évora,3998,1522,2476,178001,62296,115705,3138,1194,1944
Montemor-o-Novo,1005,375,630,55551,18759,36792,933,335,599
Mora,269,100,169,17631,6876,10755,290,130,160
Mourão,102,41,61,5421,2434,2987,78,36,42
Portel,422,167,255,16478,5515,10963,237,86,151
Redondo,344,153,191,15433,7018,8415,234,109,125
Reguengos de Monsaraz,585,251,334,30585,12186,18399,469,196,272
Vendas Novas,704,242,462,62402,14478,47924,1221,343,878
Viana do Alentejo,365,136,229,19007,6935,12072,292,118,174
Vila Viçosa,518,214,304,29255,11213,18042,466,211,255
Algarve,28495,11251,17244,1531027,611982,919045,26085,11505,14580
Albufeira,2786,1102,1684,165905,67577,98328,2929,1271,1658
Alcoutim,116,29,87,7029,1664,5365,109,29,81
Aljezur,281,105,176,17401,7129,10272,293,134,159
Castro Marim,388,151,237,22599,10056,12543,384,199,184
Faro,4519,1719,2800,222697,83805,138892,4224,1787,2436
Lagoa,1482,630,852,67123,32652,34471,1143,616,527
Lagos,1900,737,1163,91917,34298,57619,1467,612,855
Loulé,3890,1557,2333,260628,101477,159151,4486,1922,2564
Monchique,293,137,156,17276,8541,8735,264,128,135
Olhão,2923,1119,1804,160702,60191,100511,2599,1102,1497
Portimão,3932,1550,2382,169550,65343,104207,2807,1179,1627
São Brás de Alportel,667,279,388,44088,19912,24176,770,387,383
Silves,2336,963,1373,125917,54067,71850,2044,979,1065
Tavira,1659,646,1013,84414,35810,48604,1399,664,735
Vila do Bispo,242,103,139,10703,4511,6192,171,81,90
Vila Real de Santo António,1081,424,657,63078,24949,38129,998,415,582
R. A. Açores,16238,7026,9212,1082267,430553,651714,18989,8484,10505
Santa Maria,362,164,198,22784,9611,13173,400,181,219
Vila do Porto,362,164,198,22784,9611,13173,400,181,219
São Miguel,8806,3821,4985,606031,248375,357656,10950,4983,5967
Lagoa (R.A.A.),911,407,504,64498,27226,37272,1045,527,518
Nordeste,230,127,103,12659,4347,8312,180,55,125
