,"Quintis do rendimento bruto declarado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado, 32 500 € ou mais, N.º"
São Miguel,5248,8463,11106,18035,15891,31050,15662,9990,11072,5581
Lagoa (R.A.A.),4862,7431,9973,15227,2009,3623,1483,868,905,455
Nordeste,4551,6476,9334,12499,734,1224,491,258,177,51
Ponta Delgada,6273,9511,12804,21989,6032,15003,8722,6185,7378,4196
Povoação,4304,6410,9133,12663,980,1581,522,305,266,83
Ribeira Grande,4735,7537,10101,14368,4287,7076,3563,1863,1782,623
Vila Franca do Campo,4191,6152,9260,13201,1849,2543,881,511,564,173
Terceira,6205,9229,11898,18555,5152,13085,7464,5187,5180,2186
Angra do Heroísmo,6242,9334,12226,19534,3260,8102,4616,3351,3413,1655
Vila da Praia da Vitória,6142,9039,11420,17245,1892,4983,2848,1836,1767,531
Graciosa,5349,7964,10350,15700,503,1138,509,281,299,126
Santa Cruz da Graciosa,5349,7964,10350,15700,503,1138,509,281,299,126
São Jorge,5396,8134,10288,14897,1021,2351,1118,700,552,184
Calheta (R.A.A.),5253,7626,10027,13507,445,1044,502,254,192,55
Velas,5547,8511,10617,15837,576,1307,616,446,360,129
Pico,5687,8363,10472,15523,1496,4010,1802,1130,1027,352
Lajes do Pico,5544,7942,10123,14765,483,1283,515,343,294,85
Madalena,5894,8613,10717,15461,649,1828,899,530,468,159
São Roque do Pico,5549,8408,10690,16731,364,899,388,257,265,108
Faial,6510,9369,12257,19167,1213,3496,2107,1506,1454,661
Horta,6510,9369,12257,19167,1213,3496,2107,1506,1454,661
Flores,5549,8264,10669,16344,//,//,//,//,//,//
Lajes das Flores,//,//,//,//,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
Corvo,//,//,//,//,//,//,//,//,//,//
R. A. Madeira,5460,8706,11486,18567,27349,54703,27876,19347,21434,9569
Calheta (R.A.M.),4367,6959,9681,14503,1566,2054,862,558,591,146
Câmara de Lobos,4817,7139,9356,12534,3978,8119,3173,1619,1249,273
Funchal,6106,9338,12988,22481,10256,22118,12395,9352,11528,6786
Machico,5028,7640,10114,14845,2528,5042,2143,1427,1338,299
Ponta do Sol,4398,6895,9490,13945,1118,1718,697,400,430,113
Porto Moniz,//,//,//,//,//,//,//,//,//,//
Ribeira Brava,4925,7557,9779,14080,1458,2908,1179,711,661,151
Santa Cruz,5928,9295,12404,19162,4049,8263,5294,4000,4225,1294
Santana,4792,7055,9494,13043,888,1670,653,340,317,84
São Vicente,4584,7008,9513,14073,//,//,//,//,//,//
Porto Santo,6674,9874,13031,20852,496,1202,881,578,682,299
