,"Rendimento bruto declarado por habitante, €","IRS liquidado por habitante, €","Rendimento bruto declarado deduzido do IRS liquidado por habitante, €","Rendimento bruto declarado por agregado fiscal, €","Valor mediano do rendimento bruto declarado por agregado fiscal, €","IRS liquidado por agregado fiscal, €","Rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal, €"
Alcochete,11654,1862,9792,25087,15569,4008,21079
Almada,11727,1661,10066,21157,14077,2996,18160
Amadora,9346,1131,8215,18636,12757,2255,16381
Barreiro,10766,1254,9512,19258,13965,2243,17015
Cascais,13319,2448,10871,25614,15193,4708,20907
Lisboa,17448,3558,13890,28072,15794,5725,22348
Loures,9890,1271,8619,20054,13553,2578,17476
Mafra,10774,1481,9293,21912,14376,3013,18899
Moita,8806,840,7966,16964,12634,1619,15346
Montijo,9477,1169,8307,19714,13259,2432,17282
Odivelas,9730,1200,8531,19732,13570,2433,17299
Oeiras,14881,2785,12095,28736,18456,5379,23357
Palmela,10693,1373,9319,20603,13993,2646,17957
Seixal,10325,1310,9016,20328,14321,2578,17750
Sesimbra,10332,1256,9077,20182,14493,2453,17729
Setúbal,11541,1543,9997,20797,14191,2781,18016
Sintra,9755,1181,8574,18993,13069,2299,16694
Vila Franca de Xira,10038,1146,8892,20056,14826,2290,17765
Alentejo,9082,949,8133,17429,12173,1821,15608
Alentejo Litoral,9757,1103,8654,16984,11195,1920,15064
Alcácer do Sal,8187,770,7417,16191,11661,1524,14667
Grândola,7974,910,7065,17492,11943,1995,15497
Odemira,9635,812,8824,12495,9183,1053,11443
Santiago do Cacém,10527,1380,9147,20907,13719,2741,18166
Sines,11593,1535,10058,20926,14064,2770,18156
Baixo Alentejo,8475,886,7589,17323,12074,1811,15512
Aljustrel,9999,1057,8942,18373,13085,1942,16432
Almodôvar,9129,943,8187,17172,11525,1773,15399
Alvito,6952,641,6311,16624,//,1533,15091
Barrancos,6542,507,6035,15219,//,1178,14041
Beja,10077,1236,8841,19873,13597,2437,17436
Castro Verde,10136,1301,8835,21461,14689,2754,18708
Cuba,7926,763,7163,16145,11312,1555,14590
Ferreira do Alentejo,7354,642,6712,14761,10808,1288,13472
Mértola,7426,575,6850,14512,10969,1124,13388
Moura,6533,571,5962,15225,11095,1331,13894
Ourique,8316,754,7562,15327,11362,1390,13936
Serpa,6805,571,6233,14899,10964,1251,13648
Vidigueira,7320,637,6683,15655,11279,1362,14292
Lezíria do Tejo,8952,920,8031,17476,12325,1797,15680
Almeirim,8039,724,7314,15858,11366,1429,14429
Alpiarça,8210,708,7502,15863,11332,1368,14495
Azambuja,8215,788,7427,17325,12727,1661,15663
Benavente,9024,997,8026,18330,12676,2026,16304
Cartaxo,9258,957,8301,17970,13200,1858,16113
Chamusca,7081,530,6551,14780,11218,1106,13674
Coruche,8213,716,7497,16217,11969,1413,14804
Golegã,9123,853,8270,17095,12572,1599,15496
Rio Maior,8813,829,7984,16253,11563,1528,14725
Salvaterra de Magos,8656,817,7839,16712,12150,1577,15134
Santarém,10195,1221,8974,19216,12903,2302,16914
Alto Alentejo,8897,856,8041,16723,11937,1608,15115
Alter do Chão,8188,713,7475,15855,11943,1381,14474
