,"Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 1º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 2º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 3º quintil, €","Quintis do rendimento bruto declarado deduzido do IRS Liquidado por sujeito passivo, 4º quintil, €","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, Menos de
 5 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 5 000  a menos de 10 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 10 000 a menos de 13 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 13 500 a menos de 19 000 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, De 19 000 a menos de 32 500 €, N.º","Distribuição do número de sujeitos passivos por escalões de rendimento bruto declarado deduzido do IRS Liquidado, 32 500 € ou mais, N.º"
Marinha Grande,6806,9315,11955,15998,3214,10258,6822,5467,3117,530
Pedrógão Grande,4947,7203,9087,12320,//,//,//,//,//,//
Pombal,5642,8396,10502,13980,5633,14493,7815,5045,2455,394
Porto de Mós,6016,8633,10641,14231,2153,6990,3651,2336,1305,184
Viseu Dão Lafões,5325,8191,10365,14570,29990,68462,32536,21339,15773,3334
Aguiar da Beira,4792,7198,9152,11902,728,1532,554,293,158,27
Carregal do Sal,5230,7911,9597,12880,1053,2686,1085,631,403,42
Castro Daire,4462,6217,8650,11383,2411,4071,1188,730,421,44
Mangualde,5466,8229,10191,13673,2104,5321,2613,1532,971,150
Nelas,5287,7925,10162,13772,1633,3782,1864,1143,700,105
Oliveira de Frades,5396,8094,9882,13242,1129,2908,1349,796,394,64
Penalva do Castelo,4640,6770,9148,12128,1134,2122,803,469,227,28
Santa Comba Dão,5436,7917,9877,13484,1230,3340,1420,895,522,77
São Pedro do Sul,4970,7389,9318,12741,2054,4603,1717,962,646,128
Sátão,4621,6941,9315,12509,1812,3221,1264,727,474,63
Tondela,5465,8232,10363,13875,2887,7195,3819,2288,1271,235
Vila Nova de Paiva,4475,6755,9311,12582,721,1143,488,272,157,31
Viseu,5872,8997,11596,17301,9952,23598,13104,9949,9040,2278
Vouzela,5235,7649,9642,12718,1142,2940,1268,652,389,62
Beira Baixa,5859,8620,10787,15075,8217,23603,11527,8131,5613,1116
Castelo Branco,6253,9031,11508,16199,4873,14210,8053,5887,4487,931
Idanha-a-Nova,5325,7735,9495,12446,988,2869,1101,637,275,51
Oleiros,5223,7081,9001,12280,632,1776,487,314,189,43
Penamacor,5225,7562,9383,12516,561,1463,565,346,142,23
Proença-a-Nova,5194,7610,9602,13509,882,2251,813,561,377,50
Vila Velha de Ródão,6067,8704,10710,14119,281,1034,508,386,143,18
Médio Tejo,5866,8578,10726,14856,23120,66618,33488,22687,15528,2551
Abrantes,5908,8417,10652,14769,3334,10478,5025,3276,2454,371
Alcanena,5800,8247,9999,13157,1357,4259,2027,1016,620,79
Constância,6448,9070,11265,15599,335,1096,627,447,305,32
Entroncamento,7344,10138,13236,18462,1394,4262,3296,2879,2319,386
Ferreira do Zêzere,5320,7603,9601,12582,931,2532,1137,543,277,42
Mação,5662,8068,9825,13497,674,2097,847,538,330,36
Ourém,5615,8407,10361,13909,4939,12873,6550,4093,2249,358
Sardoal,5647,8071,9994,13864,391,1185,493,315,210,28
Sertã,4833,6989,9183,12280,2215,4627,1659,986,533,91
Tomar,5713,8438,10751,15231,4017,10405,5121,3671,2553,565
Torres Novas,6349,8890,11314,15883,2760,9898,5161,3700,2865,487
Vila de Rei,5856,8234,9973,13382,298,997,431,280,130,9
Vila Nova da Barquinha,7072,9375,12166,16555,475,1909,1114,943,683,67
Beiras e Serra da Estrela,5432,7982,9951,13988,24994,64887,26799,17556,12294,2404
Almeida,5458,8140,10140,13852,721,1834,844,540,332,41
Belmonte,5287,7711,9325,12717,757,2063,688,468,240,39
Celorico da Beira,4922,7566,9570,13035,906,1889,824,494,273,27
Covilhã,5976,8403,10199,14382,4387,15390,6248,3974,2918,787
Figueira de Castelo Rodrigo,4640,6816,9031,12213,859,1735,524,343,247,36
Fornos de Algodres,4731,6962,9000,11929,641,1312,424,254,147,14
Fundão,5265,7848,9763,13521,3395,8241,3399,2203,1334,244
Gouveia,5125,7206,9268,12610,1592,4082,1325,821,505,109
Guarda,6166,9069,11790,17055,3783,9964,5683,4512,3764,708
Manteigas,5373,7342,9225,12034,368,1137,367,192,120,25
Mêda,4591,6697,9071,12147,783,1369,483,287,184,22
Pinhel,4641,6849,9076,12238,1460,2686,997,567,334,52
Sabugal,4989,7432,9632,13136,1433,3046,1323,796,454,69
Seia,5404,7638,9415,12912,2569,7581,2761,1594,1069,166
Trancoso,4718,6954,9219,12335,1340,2558,909,511,373,65
A. M. Lisboa,6697,9664,13316,20011,253798,604886,382502,348987,334242,117387
Alcochete,7055,10032,14221,21422,1402,3735,2254,2248,2425,853
Almada,6580,9521,13062,19376,16237,37469,23649,21717,20512,5462
Amadora,6365,9240,12150,17746,16188,40128,23771,19994,16911,3835
Barreiro,6883,9468,12376,17457,6252,18618,12349,10261,7743,1387
Cascais,6556,9847,14274,22366,19764,41318,24253,24246,27725,12248
Lisboa,6898,10573,16103,25955,50866,99789,59205,61148,83421,49266
Loures,6676,9315,12377,17863,17225,47015,29212,24328,19858,5235
Mafra,6318,9316,12818,19078,7842,18641,10741,9994,9407,2537
Moita,6370,9091,11423,15569,5774,16344,10379,7506,4527,552
Montijo,6253,9195,12192,18041,5135,12652,7127,6269,5703,1127
Odivelas,6478,9315,12610,18114,14057,34341,21180,19331,16143,3275
Oeiras,7942,11738,16945,25366,11479,27411,19831,22533,29154,12832
Palmela,6351,9315,12549,18027,6082,14922,9014,8277,6680,1539
Seixal,6766,9602,12760,17989,14112,35828,24823,21948,17318,3191
Sesimbra,6424,9315,12508,17413,4824,11938,7641,7237,4982,972
Setúbal,6545,9400,12763,18527,11095,27095,17037,15392,13219,3249
Sintra,6479,9317,12183,17165,35288,87133,57626,46879,34673,7597
Vila Franca de Xira,7191,9839,12800,17541,10176,30509,22410,19679,13841,2230
Alentejo,5944,8637,10850,15122,69033,205319,102860,71331,49468,9795
Alentejo Litoral,5509,8330,10636,15238,11909,28393,13205,9445,7392,1680
