,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Santa Cruz das Flores,1138.99,//,898.9,869.63,951.74,1210.27,//,…,2724.68,1339.16,//
Corvo,1238.9,//,1743.9,1017.41,1007.18,1390.36,//,//,1581.26,//,//
Corvo,1238.9,//,1743.9,1017.41,1007.18,1390.36,//,//,1581.26,//,//
R. A. Madeira,1171.42,928.86,999.02,1012.93,979.04,1057.1,925.06,1838.34,1855.72,2116.41,2143.44
Calheta (R.A.M.),1217.43,1024.02,1178.62,1130.41,1056.4,1093.13,//,1180.69,2421.12,2316.81,//
Câmara de Lobos,1015.88,875.04,924.96,953.47,894.5,1001.03,…,1441.52,1736.7,1372.38,//
Funchal,1238.74,958.56,1022.64,1047.63,1017.77,1077.68,933.81,1739.18,1877.86,2237.48,2267.29
Machico,1111.9,790.52,927.73,955.43,922.57,1082.78,…,2913.18,1749.31,2314.35,…
Ponta do Sol,873.45,…,875.69,865.68,846.73,850.81,…,…,1072.92,//,…
Porto Moniz,880.67,//,912.51,787.16,819.48,930.95,//,//,1303.09,…,//
Ribeira Brava,956.57,765.72,897.41,905.82,851.42,950.77,//,1136.64,1324.97,1534.44,…
Santa Cruz,1066.1,855.32,912.65,956.72,936.36,1042.47,…,2107.54,1849.18,1420.17,…
Santana,906.12,683.82,856.74,892.03,804.44,893,//,1674.98,1308.79,…,//
São Vicente,862.97,753.76,796.19,834.41,802.86,875.79,//,…,1223.09,…,//
Porto Santo,1205.99,…,1233.45,1207.96,1044.34,1103.54,…,3614.85,2729.76,1417.88,//
