,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Elvas,941.56,976.69,901.72,917,931.85,866.19,942.44,945.01,932.53,945.7,1000.31,902.26
Fronteira,956.73,1042.95,854.18,1062.96,1088.16,977.25,889.97,881.21,938.65,918.19,1107.26,825.76
Gavião,864.77,1092.45,753.91,1154.79,1201.22,853.01,988.31,1029.83,849.89,801.89,1066.78,746.83
Marvão,858.92,926.25,814.28,812.18,765.2,912.85,1032.5,1031.08,1042.41,827.98,895.68,802.24
Monforte,1034.52,1131.73,940.87,998.8,1009.77,965.05,909.29,916.01,890.81,1063.68,1274.21,940.62
Nisa,854.34,929.91,812.4,759.4,772.63,698.2,933.65,1011.41,730.25,847.12,932.63,821.39
Ponte de Sor,1073.04,1197.76,932.82,887,933.75,791.4,1158.32,1205.33,992.63,1060.32,1259.27,933.94
Portalegre,1041.27,1115.1,948.46,883.64,920.05,766.7,1205.2,1208.81,1190.09,965.61,1041.69,911.52
Sousel,963.02,1008.64,893.98,895.27,906.84,840.9,984.49,996.7,966.39,977.61,1074.27,871.81
Alentejo Central,1086.77,1165.41,993.2,977.82,1004.95,893.73,1170.8,1197.81,1099.28,1063.82,1186.54,975.67
Alandroal,994.8,1050.71,913.99,870.34,865.46,907.27,1183.59,1280.93,966.58,896.07,904.89,892.3
Arraiolos,1024.82,1142.43,895.89,1209.93,1264.49,1066.87,1029.26,1061.88,952.33,925.93,1073.47,847.77
Borba,992.77,1059.64,921.24,954.79,971.25,924.62,1068.47,1114.17,985.11,943.01,1020.84,892.63
Estremoz,1001.64,1067.49,927.75,984.2,999.97,937.42,1004.93,1035.6,938.97,1003.14,1101.13,924.93
Évora,1166.56,1250.18,1066.41,1040.55,1077.02,884.03,1249.83,1275.05,1181.05,1139.07,1255.33,1046.57
Montemor-o-Novo,1007.41,1068.4,927.84,898.02,925.79,824.48,1089.55,1097.27,1049.66,1002.92,1126.68,927.18
Mora,1010.62,1170.49,888.47,864.44,899.93,783.33,1183.24,1251.07,971.27,997.08,1285.63,891.66
Mourão,937.73,977.54,896.4,866,904.99,749.02,1003.96,934.9,1241.83,945.83,1048,886.62
Portel,965.51,1064.81,882.51,1184.44,1234.57,1058.48,936.19,930.36,950.34,892.41,1007.17,847.91
Redondo,985.61,1034.72,910.86,900.66,895.58,913.72,1056.74,1058.69,1052.05,994.55,1130.59,866.72
Reguengos de Monsaraz,985.79,1059.11,910.41,835.43,860.44,768.05,1110.6,1136.44,1046.29,972.15,1082.07,900.73
Vendas Novas,1095.44,1166.85,1013.19,830.7,848.49,773.9,1177,1217.73,1115.86,1048.28,1170.38,952.65
Viana do Alentejo,951.15,993.97,902.51,975.5,985.14,928.11,903.59,922.96,847.92,961.27,1059.44,908.62
Vila Viçosa,1112.94,1182.63,983.48,913.4,935.95,861.34,1199.65,1217.35,1096.52,1031.71,1134.53,956.46
Algarve,1070.96,1129.2,1005.57,961.7,968.06,943.63,1041.69,1050.81,1002.58,1081.13,1166.36,1006.99
Albufeira,1062.14,1125.62,994.34,1060.08,963.64,1179.2,1097.66,1111.53,1021.82,1058.33,1130.78,991.33
Alcoutim,897.43,942.31,859.28,863.03,856.92,886.44,779.99,787.23,756.85,926.94,1041.25,865.85
Aljezur,915.74,930.2,899.84,1153.38,1031.87,1358.43,894.08,915.99,799.77,905.14,926.2,886.58
