,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Flores,411,205,206,…,…,…,…,…,…,356,…,…
Lajes das Flores,128,63,65,…,0,…,…,…,…,106,…,…
Santa Cruz das Flores,283,142,141,…,…,0,…,…,…,250,…,…
Corvo,47,24,23,…,…,0,…,…,…,33,…,…
Corvo,47,24,23,…,…,0,…,…,…,33,…,…
R. A. Madeira,41801,23215,18586,444,320,124,9518,8193,1325,31839,14702,17137
Calheta (R.A.M.),1583,1053,530,17,…,…,827,…,…,739,287,452
Câmara de Lobos,2350,1531,819,95,57,38,969,844,125,1286,630,656
Funchal,26500,13984,12516,53,41,12,4476,3829,647,21971,10114,11857
Machico,2244,1371,873,10,…,…,879,…,…,1355,597,758
Ponta do Sol,733,424,309,19,9,10,198,177,21,516,238,278
Porto Moniz,212,90,122,…,…,0,…,…,…,167,…,…
Ribeira Brava,1538,843,695,0,0,0,445,386,59,1093,457,636
Santa Cruz,4569,2848,1721,234,181,53,1186,980,206,3149,1687,1462
Santana,475,197,278,…,…,…,…,…,…,365,118,247
São Vicente,570,320,250,7,…,…,179,152,27,384,…,…
Porto Santo,1027,554,473,…,…,…,…,…,…,814,353,461
