,"Total, HM (N.º)","Total, H (N.º)","Total, M (N.º)","0 a 14 anos, HM (N.º)","0 a 14 anos, H (N.º)","0 a 14 anos, M (N.º)","15 a 24 anos, HM (N.º)","15 a 24 anos, H (N.º)","15 a 24 anos, M (N.º)"
Ferreira do Zêzere,7812,3691,4121,838,417,421,722,377,345
Mação,6379,3052,3327,480,239,241,478,254,224
Ourém,44725,20996,23729,5405,2785,2620,4704,2334,2370
Sardoal,3532,1699,1833,306,152,154,321,177,144
Sertã,14760,7116,7644,1570,825,745,1415,746,669
Tomar,36416,17125,19291,3776,2012,1764,3554,1842,1712
Torres Novas,34203,16301,17902,4053,2124,1929,3428,1778,1650
Vila de Rei,3317,1550,1767,307,149,158,287,154,133
Vila Nova da Barquinha,7112,3366,3746,917,445,472,710,358,352
Beiras e Serra da Estrela,210317,99862,110455,20413,10413,10000,18593,9516,9077
Almeida,5846,2736,3110,354,181,173,406,207,199
Belmonte,6211,2955,3256,638,327,311,506,252,254
Celorico da Beira,6568,3107,3461,615,309,306,578,298,280
Covilhã,46391,22056,24335,4804,2466,2338,4347,2213,2134
Figueira de Castelo Rodrigo,5147,2448,2699,509,257,252,398,203,195
Fornos de Algodres,4398,2038,2360,386,186,200,373,176,197
Fundão,26476,12729,13747,2658,1393,1265,2362,1256,1106
Gouveia,12201,5707,6494,1098,555,543,991,512,479
Guarda,40100,19096,21004,4450,2230,2220,4167,2123,2044
Manteigas,2899,1357,1542,215,102,113,234,112,122
Mêda,4638,2202,2436,381,193,188,363,187,176
Pinhel,8041,3847,4194,613,328,285,670,347,323
Sabugal,11260,5316,5944,847,420,427,721,353,368
Seia,21719,10271,11448,2104,1073,1031,1779,913,866
Trancoso,8422,3997,4425,741,393,348,698,364,334
A. M. Lisboa,2869627,1348805,1520822,410804,210742,200062,308497,156710,151787
Alcochete,19309,9284,10025,3081,1544,1537,2341,1186,1155
Almada,176500,82707,93793,24092,12417,11675,18530,9480,9050
Amadora,172533,79883,92650,24716,12600,12116,17904,8993,8911
Barreiro,77821,36371,41450,10212,5202,5010,8183,4135,4048
Cascais,213812,99459,114353,30686,15839,14847,23628,12157,11471
Lisboa,544095,253235,290860,71777,37080,34697,53518,27034,26484
Loures,202636,95557,107079,29909,15447,14462,21722,11040,10682
Mafra,86795,42059,44736,14017,7161,6856,10000,5080,4920
Moita,65950,31147,34803,9745,5017,4728,7322,3736,3586
Montijo,56051,27257,28794,9027,4727,4300,5862,2991,2871
Odivelas,149150,70214,78936,22708,11527,11181,15290,7781,7509
Oeiras,172093,79829,92264,24132,12482,11650,18086,9323,8763
Palmela,68605,33014,35591,9831,4971,4860,7818,4013,3805
Seixal,166468,78460,88008,24415,12438,11977,18023,9194,8829
Sesimbra,52427,25432,26995,7727,3947,3780,5786,2984,2802
Setúbal,122300,57876,64424,17167,8791,8376,13416,6834,6582
Sintra,385777,181561,204216,56836,28807,28029,45882,23139,22743
Vila Franca de Xira,137305,65460,71845,20726,10745,9981,15186,7610,7576
Alentejo,705410,342071,363339,86756,44338,42418,69436,36100,33336
Alentejo Litoral,96904,49281,47623,11384,5773,5611,8656,4692,3964
Alcácer do Sal,11092,5360,5732,1198,599,599,1026,555,471
Grândola,13909,7091,6818,1703,877,826,1295,698,597
Odemira,29757,16460,13297,3039,1553,1486,2615,1533,1082
Santiago do Cacém,27842,13488,14354,3413,1744,1669,2332,1213,1119
Sines,14304,6882,7422,2031,1000,1031,1388,693,695
Baixo Alentejo,114946,56434,58512,14538,7527,7011,11277,5821,5456
Aljustrel,8842,4358,4484,1069,536,533,769,387,382
Almodôvar,6728,3309,3419,732,363,369,590,307,283
Alvito,2285,1089,1196,291,150,141,249,121,128
Barrancos,1429,702,727,171,90,81,151,82,69
Beja,33468,16356,17112,4714,2453,2261,3569,1865,1704
Castro Verde,6895,3339,3556,823,419,404,655,329,326
Cuba,4375,2160,2215,575,301,274,441,225,216
Ferreira do Alentejo,7719,3885,3834,907,473,434,701,362,339
Mértola,6187,3075,3112,544,294,250,442,234,208
Moura,13278,6439,6839,1973,1021,952,1494,747,747
Ourique,4816,2363,2453,486,231,255,405,217,188
Serpa,13732,6836,6896,1583,840,743,1307,692,615
Vidigueira,5192,2523,2669,670,356,314,504,253,251
Lezíria do Tejo,236735,113576,123159,30231,15393,14838,24655,12772,11883
Almeirim,22042,10486,11556,2903,1484,1419,2289,1187,1102
Alpiarça,6972,3325,3647,839,466,373,715,386,329
Azambuja,21687,10903,10784,2791,1431,1360,2301,1155,1146
Benavente,30073,14435,15638,4514,2298,2216,3512,1778,1734
Cartaxo,23272,11170,12102,2901,1464,1437,2423,1270,1153
Chamusca,8498,4100,4398,902,460,442,742,373,369
Coruche,17251,8144,9107,1836,918,918,1551,791,760
Golegã,5391,2538,2853,615,302,313,536,275,261
Rio Maior,21083,10267,10816,2815,1428,1387,2205,1168,1037
Salvaterra de Magos,21679,10396,11283,2680,1357,1323,2244,1135,1109
Santarém,58787,27812,30975,7435,3785,3650,6137,3254,2883
Alto Alentejo,104462,49613,54849,12208,6156,6052,9977,5054,4923
Alter do Chão,3052,1406,1646,334,164,170,270,124,146
Arronches,2791,1381,1410,301,155,146,247,141,106
Avis,3809,1792,2017,424,206,218,340,156,184
Campo Maior,8012,3862,4150,1166,592,574,912,481,431
Castelo de Vide,3102,1484,1618,290,153,137,250,138,112
Crato,3188,1473,1715,285,136,149,228,129,99
Elvas,20628,9802,10826,2845,1448,1397,2205,1114,1091
Fronteira,2853,1350,1503,293,155,138,246,130,116
Gavião,3350,1565,1785,254,134,120,242,122,120
Marvão,3013,1435,1578,294,133,161,227,115,112
Monforte,2994,1412,1582,404,213,191,336,152,184
Nisa,5883,2784,3099,446,221,225,472,233,239
Ponte de Sor,15203,7303,7900,1711,873,838,1377,695,682
Portalegre,22259,10555,11704,2680,1329,1351,2236,1124,1112
Sousel,4325,2009,2316,481,244,237,389,200,189
Alentejo Central,152363,73167,79196,18395,9489,8906,14871,7761,7110
Alandroal,4962,2402,2560,488,228,260,423,225,198
Arraiolos,6624,3249,3375,740,389,351,612,312,300
Borba,6426,3145,3281,750,362,388,567,300,267
Estremoz,12658,6017,6641,1453,736,717,1118,589,529
Évora,53620,25458,28162,7047,3712,3335,5655,2930,2725
Montemor-o-Novo,15772,7570,8202,1802,918,884,1425,727,698
Mora,4097,1954,2143,356,179,177,324,177,147
Mourão,2371,1202,1169,335,175,160,240,126,114
Portel,5739,2817,2922,663,347,316,564,308,256
Redondo,6281,3067,3214,724,365,359,597,309,288
Reguengos de Monsaraz,9861,4779,5082,1211,621,590,968,534,434
Vendas Novas,11261,5415,5846,1340,701,639,1157,610,547
Viana do Alentejo,5318,2535,2783,671,332,339,539,280,259
Vila Viçosa,7373,3557,3816,815,424,391,682,334,348
Algarve,465701,224881,240820,62555,31863,30692,45664,23466,22198
Albufeira,44314,21604,22710,6132,3170,2962,4594,2416,2178
Alcoutim,2467,1198,1269,149,79,70,171,87,84
Aljezur,6028,3003,3025,769,395,374,482,260,222
Castro Marim,6414,3133,3281,704,340,364,556,272,284
Faro,67396,31900,35496,9182,4635,4547,6918,3517,3401
Lagoa,23701,11528,12173,3217,1653,1564,2478,1262,1216
Lagos,33296,16087,17209,4215,2151,2064,3272,1698,1574
Loulé,72044,34663,37381,9822,4974,4848,6969,3532,3437
Monchique,5371,2681,2690,545,285,260,388,182,206
Olhão,44403,21601,22802,6299,3288,3011,4610,2365,2245
Portimão,59681,28516,31165,8526,4311,4215,6073,3161,2912
São Brás de Alportel,11205,5383,5822,1512,788,724,1036,548,488
Silves,37658,18442,19216,5098,2600,2498,3448,1777,1671
Tavira,27304,13408,13896,3176,1618,1558,2332,1193,1139
Vila do Bispo,5692,2767,2925,732,360,372,442,213,229
Vila Real de Santo António,18727,8967,9760,2477,1216,1261,1895,983,912
R. A. Açores,236488,114995,121493,34281,17553,16728,27993,14231,13762
