,"Educação pré-escolar, Total (N.º)","Educação pré-escolar, Público (N.º)","Educação pré-escolar, Privado  (N.º)","Ensino básico, 1º Ciclo, Total (N.º)","Ensino básico, 1º Ciclo, Público (N.º)","Ensino básico, 1º Ciclo, Privado  (N.º)","Ensino básico, 2º Ciclo, Total (N.º)","Ensino básico, 2º Ciclo, Público (N.º)","Ensino básico, 2º Ciclo, Privado  (N.º)","Ensino básico, 3º Ciclo, Total (N.º)","Ensino básico, 3º Ciclo, Público (N.º)","Ensino básico, 3º Ciclo, Privado  (N.º)"
Porto de Mós,554,414,140,801,762,39,476,320,156,720,504,216
Viseu Dão Lafões,5521,3715,1806,8398,7889,509,4526,4302,224,7534,7050,484
Aguiar da Beira,82,82,0,131,131,0,59,59,0,126,126,0
Carregal do Sal,185,185,0,265,265,0,166,166,0,278,278,0
Castro Daire,260,221,39,367,367,0,252,252,0,388,348,40
Mangualde,434,267,167,595,595,0,312,312,0,551,551,0
Nelas,354,178,176,417,396,21,253,253,0,409,409,0
Oliveira de Frades,201,147,54,348,348,0,173,173,0,280,280,0
Penalva do Castelo,127,127,0,214,214,0,102,102,0,193,193,0
Santa Comba Dão,184,142,42,297,297,0,196,196,0,293,293,0
São Pedro do Sul,265,206,59,468,468,0,222,222,0,396,396,0
Sátão,212,189,23,346,346,0,172,172,0,305,305,0
Tondela,436,356,80,699,699,0,386,386,0,725,706,19
Vila Nova de Paiva,80,80,0,147,147,0,79,79,0,135,135,0
Viseu,2492,1357,1135,3824,3336,488,2024,1800,224,3153,2774,379
Vouzela,209,178,31,280,280,0,130,130,0,302,256,46
Beira Baixa,1532,748,784,2473,2272,201,1293,1293,0,2075,2018,57
Castelo Branco,1117,454,663,1825,1624,201,935,935,0,1562,1526,36
Idanha-a-Nova,130,103,27,232,232,0,122,122,0,169,148,21
Oleiros,56,35,21,81,81,0,45,45,0,65,65,0
Penamacor,53,33,20,87,87,0,64,64,0,72,72,0
Proença-a-Nova,116,63,53,174,174,0,92,92,0,154,154,0
Vila Velha de Ródão,60,60,0,74,74,0,35,35,0,53,53,0
Médio Tejo,5127,3371,1756,7445,6950,495,4156,3705,451,6984,6149,835
Abrantes,631,412,219,943,932,11,550,550,0,1036,1036,0
Alcanena,320,211,109,434,434,0,257,257,0,409,409,0
Constância,92,92,0,168,168,0,87,87,0,182,182,0
Entroncamento,536,323,213,791,599,192,466,456,10,687,642,45
Ferreira do Zêzere,163,137,26,232,232,0,126,126,0,223,223,0
Mação,94,94,0,134,134,0,78,78,0,143,143,0
Ourém,1124,794,330,1580,1514,66,859,500,359,1443,791,652
Sardoal,70,70,0,120,120,0,67,67,0,108,108,0
Sertã,305,145,160,417,417,0,230,173,57,407,292,115
Tomar,718,477,241,1078,961,117,595,595,0,1008,1008,0
Torres Novas,835,423,412,1211,1102,109,637,612,25,1066,1043,23
Vila de Rei,58,41,17,80,80,0,46,46,0,62,62,0
Vila Nova da Barquinha,181,152,29,257,257,0,158,158,0,210,210,0
Beiras e Serra da Estrela,3927,1839,2088,5797,5600,197,3347,3213,134,5413,5176,237
Almeida,79,79,0,116,116,0,66,66,0,103,103,0
Belmonte,126,43,83,203,203,0,101,101,0,165,165,0
Celorico da Beira,109,21,88,170,170,0,122,122,0,190,190,0
Covilhã,878,420,458,1387,1308,79,757,733,24,1289,1263,26
Figueira de Castelo Rodrigo,113,28,85,158,158,0,67,67,0,121,121,0
Fornos de Algodres,73,73,0,112,112,0,79,79,0,126,126,0
Fundão,488,233,255,752,752,0,431,394,37,693,603,90
Gouveia,217,107,110,333,333,0,196,196,0,322,296,26
Guarda,869,322,547,1238,1120,118,733,696,37,1154,1122,32
Manteigas,39,20,19,51,51,0,34,34,0,66,66,0
Mêda,84,41,43,117,117,0,62,62,0,104,104,0
Pinhel,124,69,55,178,178,0,104,104,0,177,177,0
Sabugal,156,92,64,234,234,0,125,89,36,174,122,52
Seia,440,217,223,547,547,0,339,339,0,522,511,11
Trancoso,132,74,58,201,201,0,131,131,0,207,207,0
A. M. Lisboa,76742,32761,43981,122035,94933,27102,65910,53847,12063,101218,84625,16593
Alcochete,598,288,310,903,810,93,478,451,27,752,752,0
Almada,4836,2302,2534,7582,6610,972,4126,3678,448,6392,5765,627
Amadora,4158,1835,2323,6856,5831,1025,3510,3140,370,5057,4581,476
Barreiro,2085,1182,903,3372,2949,423,1874,1749,125,2961,2773,188
Cascais,6060,1581,4479,9632,5213,4419,5236,2906,2330,8295,4752,3543
Lisboa,18078,5716,12362,25953,14326,11627,14421,8952,5469,21514,14196,7318
Loures,5190,2749,2441,8410,7291,1119,4319,3815,504,6367,5744,623
Mafra,2468,1727,741,3801,3612,189,2004,1570,434,3154,2395,759
Moita,1416,969,447,2683,2574,109,1458,1458,0,2164,2164,0
Montijo,1456,823,633,2375,2126,249,1275,1183,92,1865,1829,36
Odivelas,3516,1916,1600,6100,5557,543,3262,3074,188,4989,4731,258
Oeiras,4769,1390,3379,6663,5139,1524,3538,3176,362,5723,5246,477
Palmela,1466,813,653,2876,2395,481,1662,1331,331,2674,2223,451
Seixal,3579,1623,1956,6716,5808,908,3471,3050,421,5256,4715,541
Sesimbra,1249,804,445,2199,2125,74,1178,1178,0,2013,2013,0
Setúbal,3158,958,2200,5092,4473,619,3026,2926,100,4583,4547,36
Sintra,8745,4690,4055,15266,13150,2116,8080,7425,655,12857,11814,1043
Vila Franca de Xira,3915,1395,2520,5556,4944,612,2992,2785,207,4602,4385,217
Alentejo,16948,10522,6426,25414,24678,736,13948,13519,429,21867,21027,840
Alentejo Litoral,2285,1607,678,3411,3411,0,1820,1667,153,2834,2582,252
Alcácer do Sal,237,176,61,369,369,0,199,199,0,366,366,0
Grândola,357,275,82,498,498,0,289,289,0,415,415,0
Odemira,600,418,182,915,915,0,469,316,153,772,520,252
Santiago do Cacém,662,487,175,1004,1004,0,539,539,0,818,818,0
Sines,429,251,178,625,625,0,324,324,0,463,463,0
Baixo Alentejo,2982,1946,1036,4367,4288,79,2372,2294,78,3609,3361,248
