,"Docentes, 3º Ciclo do ensino básico e ensino secundário, Total (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Público (N.º)","Docentes, 3º Ciclo do ensino básico e ensino secundário, Privado  (N.º)","Docentes, Formadores/as
(escolas profissionais), Total (N.º)","Docentes, Formadores/as
(escolas profissionais), Público (N.º)","Docentes, Formadores/as
(escolas profissionais), Privado  (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Total (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Público (N.º)","Pessoal não docente do
ensino não superior, Formadores/as
(escolas profissionais), Privado (N.º)"
Baixo Alentejo,885,873,12,185,31,154,1127,933,194
Aljustrel,74,74,0,0,0,0,73,65,8
Almodôvar,58,58,0,0,0,0,54,46,8
Alvito,16,16,0,20,0,20,42,21,21
Barrancos,14,14,0,0,0,0,19,19,0
Beja,298,286,12,25,0,25,257,182,75
Castro Verde,66,66,0,0,0,0,92,83,9
Cuba,22,22,0,35,0,35,62,49,13
Ferreira do Alentejo,33,33,0,0,0,0,60,53,7
Mértola,43,43,0,18,0,18,41,34,7
Moura,109,109,0,30,0,30,142,118,24
Ourique,34,34,0,0,0,0,53,51,2
Serpa,99,99,0,31,31,0,167,159,8
Vidigueira,19,19,0,26,0,26,65,53,12
Lezíria do Tejo,1651,1642,9,144,0,144,1633,1288,345
Almeirim,153,153,0,0,0,0,177,118,59
Alpiarça,56,56,0,0,0,0,52,48,4
Azambuja,155,155,0,0,0,0,228,187,41
Benavente,204,204,0,0,0,0,161,135,26
Cartaxo,174,174,0,0,0,0,147,120,27
Chamusca,49,49,0,0,0,0,67,67,0
Coruche,95,95,0,21,0,21,96,79,17
Golegã,44,44,0,0,0,0,42,35,7
Rio Maior,167,167,0,34,0,34,171,140,31
Salvaterra de Magos,148,148,0,33,0,33,145,97,48
Santarém,406,397,9,56,0,56,347,262,85
Alto Alentejo,859,842,17,66,47,19,883,759,124
Alter do Chão,22,22,0,31,31,0,42,42,0
Arronches,20,20,0,0,0,0,22,21,1
Avis,23,23,0,0,0,0,21,21,0
Campo Maior,65,65,0,0,0,0,88,68,20
Castelo de Vide,19,19,0,0,0,0,25,21,4
Crato,17,17,0,19,0,19,24,19,5
Elvas,203,186,17,0,0,0,182,134,48
Fronteira,15,15,0,0,0,0,25,24,1
Gavião,23,23,0,0,0,0,36,32,4
Marvão,16,16,0,0,0,0,29,29,0
Monforte,19,19,0,0,0,0,37,37,0
Nisa,35,35,0,0,0,0,17,17,0
Ponte de Sor,117,117,0,0,0,0,115,101,14
Portalegre,219,219,0,16,16,0,195,170,25
Sousel,46,46,0,0,0,0,25,23,2
Alentejo Central,1230,1195,35,40,0,40,1247,959,288
Alandroal,14,14,0,0,0,0,6,6,0
Arraiolos,46,46,0,0,0,0,51,40,11
Borba,26,26,0,0,0,0,40,34,6
Estremoz,102,102,0,0,0,0,91,86,5
Évora,509,487,22,40,0,40,549,361,188
Montemor-o-Novo,95,95,0,0,0,0,106,81,25
Mora,30,30,0,0,0,0,38,34,4
Mourão,15,15,0,0,0,0,27,27,0
Portel,28,28,0,0,0,0,38,29,9
Redondo,42,42,0,0,0,0,36,35,1
Reguengos de Monsaraz,84,84,0,0,0,0,61,57,4
Vendas Novas,107,94,13,0,0,0,83,63,20
Viana do Alentejo,47,47,0,0,0,0,47,45,2
Vila Viçosa,85,85,0,0,0,0,74,61,13
Algarve,3872,3699,173,190,118,72,3973,3017,956
Albufeira,328,328,0,8,0,8,414,365,49
Alcoutim,15,15,0,0,0,0,35,25,10
Aljezur,29,20,9,0,0,0,46,41,5
Castro Marim,30,30,0,0,0,0,61,52,9
Faro,580,559,21,84,69,15,637,441,196
Lagoa,205,156,49,0,0,0,241,142,99
Lagos,322,308,14,0,0,0,281,210,71
Loulé,643,599,44,30,0,30,659,530,129
Monchique,21,21,0,0,0,0,31,31,0
Olhão,370,349,21,0,0,0,329,248,81
Portimão,580,580,0,49,30,19,386,258,128
São Brás de Alportel,82,82,0,0,0,0,66,57,9
Silves,281,270,11,0,0,0,281,220,61
Tavira,173,173,0,0,0,0,210,135,75
Vila do Bispo,20,16,4,0,0,0,35,31,4
Vila Real de Santo António,193,193,0,19,19,0,261,231,30
R. A. Açores,2171,2154,17,243,19,224,3666,2795,871
Santa Maria,67,67,0,0,0,0,51,51,0
Vila do Porto,67,67,0,0,0,0,51,51,0
São Miguel,1242,1225,17,167,19,148,2020,1566,454
Lagoa (R.A.A.),153,153,0,14,0,14,204,177,27
Nordeste,43,43,0,12,0,12,65,65,0
Ponta Delgada,673,656,17,104,19,85,992,706,286
Povoação,51,51,0,13,0,13,108,88,20
Ribeira Grande,225,225,0,15,0,15,484,395,89
Vila Franca do Campo,97,97,0,9,0,9,167,135,32
Terceira,450,450,0,41,0,41,868,626,242
Angra do Heroísmo,286,286,0,27,0,27,560,361,199
Vila da Praia da Vitória,164,164,0,14,0,14,308,265,43
Graciosa,41,41,0,0,0,0,86,67,19
Santa Cruz da Graciosa,41,41,0,0,0,0,86,67,19
São Jorge,81,81,0,13,0,13,190,132,58
Calheta (R.A.A.),37,37,0,0,0,0,83,65,18
Velas,44,44,0,13,0,13,107,67,40
Pico,123,123,0,9,0,9,216,187,29
Lajes do Pico,45,45,0,0,0,0,75,75,0
Madalena,46,46,0,9,0,9,76,62,14
São Roque do Pico,32,32,0,0,0,0,65,50,15
Faial,111,111,0,13,0,13,166,117,49
Horta,111,111,0,13,0,13,166,117,49
Flores,40,40,0,0,0,0,55,39,16
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,40,40,0,0,0,0,55,39,16
Corvo,16,16,0,0,0,0,14,10,4
Corvo,16,16,0,0,0,0,14,10,4
R. A. Madeira,2836,2679,157,259,225,34,3765,2776,989
Calheta (R.A.M.),114,114,0,0,0,0,146,130,16
Câmara de Lobos,268,268,0,0,0,0,398,314,84
Funchal,1462,1305,157,259,225,34,1915,1162,753
Machico,211,211,0,0,0,0,285,260,25
Ponta do Sol,104,104,0,0,0,0,118,112,6
Porto Moniz,28,28,0,0,0,0,45,45,0
Ribeira Brava,172,172,0,0,0,0,186,186,0
Santa Cruz,277,277,0,0,0,0,401,312,89
Santana,74,74,0,0,0,0,104,99,5
São Vicente,52,52,0,0,0,0,87,83,4
Porto Santo,74,74,0,0,0,0,80,73,7
