,"Teaching staff, Lower and upper secondary education, Total (N.º)","Teaching staff, Lower and upper secondary education, Public (N.º)","Teaching staff, Lower and upper secondary education, Private (N.º)","Teaching staff, Trainers  (vocational schools), Total (N.º)","Teaching staff, Trainers  (vocational schools), Public (N.º)","Teaching staff, Trainers  (vocational schools), Private (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Total (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Public (N.º)","Non teaching staff in non-tertiary education, Trainers  (vocational schools), Private (N.º)"
Vila Franca do Campo,99,99,0,23,0,23,160,127,33
Terceira,471,471,0,94,0,94,866,605,261
Angra do Heroísmo,297,297,0,68,0,68,546,334,212
Vila da Praia da Vitória,174,174,0,26,0,26,320,271,49
Graciosa,45,45,0,0,0,0,83,64,19
Santa Cruz da Graciosa,45,45,0,0,0,0,83,64,19
São Jorge,83,83,0,21,0,21,184,119,65
Calheta (R.A.A.),40,40,0,0,0,0,80,60,20
Velas,43,43,0,21,0,21,104,59,45
Pico,127,127,0,16,0,16,213,182,31
Lajes do Pico,48,48,0,0,0,0,78,78,0
Madalena,46,46,0,16,0,16,72,57,15
São Roque do Pico,33,33,0,0,0,0,63,47,16
Faial,113,113,0,34,0,34,182,133,49
Horta,113,113,0,34,0,34,182,133,49
Flores,38,38,0,0,0,0,59,42,17
Lajes das Flores,0,0,0,0,0,0,0,0,0
Santa Cruz das Flores,38,38,0,0,0,0,59,42,17
Corvo,14,14,0,0,0,0,11,8,3
Corvo,14,14,0,0,0,0,11,8,3
R. A. Madeira,2713,2559,154,269,235,34,3831,2857,974
Calheta (R.A.M.),106,106,0,0,0,0,145,129,16
Câmara de Lobos,244,244,0,0,0,0,406,323,83
Funchal,1375,1221,154,269,235,34,1942,1205,737
Machico,210,210,0,0,0,0,289,264,25
Ponta do Sol,99,99,0,0,0,0,121,117,4
Porto Moniz,22,22,0,0,0,0,43,43,0
Ribeira Brava,189,189,0,0,0,0,196,196,0
Santa Cruz,274,274,0,0,0,0,407,313,94
Santana,58,58,0,0,0,0,114,109,5
São Vicente,54,54,0,0,0,0,87,84,3
Porto Santo,82,82,0,0,0,0,81,74,7
