,"Museums, Visitors per museum, No.","Museums, Ratio of school visitors, %","Local administration total expenditure on cultural and creative activities per inhabitant, Ratio of school visitors, €","Local administration total expenditure on sports activities and equipments per inhabitant, Ratio of school visitors, €","Local administration expenditure on culture and sports as share of total expenditures, Ratio of school visitors, %"
Aguiar da Beira,//,//,34,15.1,2.9
Carregal do Sal,1480,35.1,23.2,32.3,6
Castro Daire,832,…,34.1,28.8,5.2
Mangualde,//,//,29.4,4.4,3.2
Nelas,//,//,12.9,20.7,3.4
Oliveira de Frades,…,…,28.9,88.3,11.5
Penalva do Castelo,//,//,76.1,44.6,10.4
Santa Comba Dão,//,//,25.4,20.2,5.7
São Pedro do Sul,//,//,33.1,62.4,8.2
Sátão,//,//,22.5,47.1,8.3
Tondela,…,…,40,28.8,8.1
Vila Nova de Paiva,492,12.5,40.7,39.5,5.1
Viseu,7982,6.1,45.5,36.1,13.1
Vouzela,//,//,56.8,76.5,12.1
Beira Baixa,3086,24,76.4,59.5,11.7
Castelo Branco,…,…,57.1,36.7,13.9
Idanha-a-Nova,//,//,167.3,109.2,11.6
Oleiros,//,//,41.5,69.1,5
Penamacor,4000,…,69.7,85.4,8.4
Proença-a-Nova,…,…,103.1,149.1,17.9
Vila Velha de Ródão,…,…,168.6,47.5,7.8
Médio Tejo,4048,13.9,65.1,42,11.7
Abrantes,//,//,85.7,55.8,19.2
Alcanena,303,47.5,37.9,43.3,6.5
Constância,…,…,148.1,81.6,15.4
Entroncamento,20332,11.8,19.2,28,6.7
Ferreira do Zêzere,//,//,31.5,36.5,6.6
Mação,2430,36.8,74.3,13.3,5.1
Ourém,3921,1,104.8,26.3,16.5
Sardoal,//,//,153.2,141.7,10.1
Sertã,//,//,49.3,96.2,14.1
Tomar,601,0,24,31.9,8
Torres Novas,…,…,79.3,36.3,13.6
Vila de Rei,820,4.5,77.7,44.6,5.2
Vila Nova da Barquinha,3356,7.4,15.6,37.5,6.1
Beiras e Serra da Estrela,4178,3.4,73.3,31,9
Almeida,6098,0.9,102.1,102.8,11.9
Belmonte,5878,…,121.6,47.3,13.3
Celorico da Beira,//,//,61.9,14.1,5.8
Covilhã,6313,5.5,107,18.9,15.5
Figueira de Castelo Rodrigo,//,//,23.5,0.1,1.2
Fornos de Algodres,//,//,50.3,22,5.4
Fundão,…,…,52.5,30.8,7.4
Gouveia,…,…,51.7,74.5,10.5
Guarda,3227,3.1,46.8,33.7,8.4
Manteigas,//,//,100.4,42.3,6.2
Mêda,//,//,38.6,13.2,4.3
Pinhel,//,//,164.4,19.3,9.7
Sabugal,5811,6.1,67.2,39.7,6.8
Seia,5402,3.1,60.7,11.2,6.4
Trancoso,4069,0.7,64,57.9,10.5
A. M. Lisboa,29088,8,50.2,19.3,8.1
Alcochete,856,85.2,31.3,82.5,10.8
Almada,940,32.6,49.1,20.4,10.4
Amadora,1289,25.1,16.5,6.4,4.6
Barreiro,//,//,19.6,15.6,5.1
Cascais,5813,13.7,10.2,13.4,2.3
Lisboa,34118,9.1,164.5,17.6,11
Loures,1029,28.9,20.2,15.3,5.3
Mafra,131017,15.8,28.1,28.4,7
Moita,//,//,21.3,13.3,8.5
Montijo,2258,5.3,13.3,5.3,3.1
Odivelas,//,//,14.8,24.8,8.4
Oeiras,1531,41.4,35.5,14.5,4.7
Palmela,8856,27.8,61,7.8,8.8
Seixal,8098,47.5,28.9,51.9,13.6
Sesimbra,98941,1.3,44.6,15.6,6.1
Setúbal,9222,8.7,61.8,34.2,11.8
Sintra,58458,1.7,12.1,7,4
Vila Franca de Xira,6398,34.8,28.8,42.4,11.7
Alentejo,5233,11,73.5,42.9,9.9
Alentejo Litoral,1492,17.9,71.9,45.8,8.4
Alcácer do Sal,…,…,105.3,87.2,11.3
Grândola,…,…,191.6,68.1,13.4
Odemira,//,//,21.9,18,3.3
Santiago do Cacém,…,…,44.8,38.9,8.3
Sines,2140,9.6,62.4,51.2,6.4
Baixo Alentejo,2720,9.7,97.9,52.7,10.9
Aljustrel,1435,12.9,81.3,103.6,13.5
Almodôvar,1369,15.7,87.7,47.2,6.7
Alvito,//,//,57.9,81.9,5.3
Barrancos,267,14.2,208.7,55.4,9.9
Beja,200,90,64.6,34.7,12.5
Castro Verde,…,…,198.5,129,19
Cuba,…,…,144.3,45.7,12.5
Ferreira do Alentejo,1976,13.6,47.2,9,3.9
Mértola,15619,0,158.1,57.2,8.9
Moura,3164,13.3,61.7,50.2,8.3
Ourique,//,//,103.8,29,6.7
Serpa,…,…,139,49.6,16.3
Vidigueira,612,13.1,142.1,79.3,13.3
Lezíria do Tejo,1847,11.6,33.1,35.1,8.4
Almeirim,…,…,32.4,57.1,14.2
Alpiarça,3707,11.6,54.8,42.6,8.2
Azambuja,//,//,31,25.9,6.4
Benavente,0,//,39.3,37.8,11.5
Cartaxo,830,…,11.2,24.2,6.7
Chamusca,//,//,38.1,26.8,5.7
Coruche,1757,5.7,29.6,38.8,7.1
Golegã,1254,19.2,50.7,18.6,4.9
Rio Maior,//,//,36.7,83.3,9.1
Salvaterra de Magos,//,//,48.3,23.6,12
Santarém,…,…,28.8,21.3,6.9
Alto Alentejo,3928,5,101,46.2,9.6
Alter do Chão,//,//,290.2,160.6,21.3
Arronches,//,//,34.7,80.8,6.3
Avis,454,6.8,139.1,41.9,9.8
Campo Maior,…,…,79.5,33.4,7.9
Castelo de Vide,//,//,335.6,146.5,19.2
Crato,//,//,118.6,169.8,11.2
Elvas,5837,1.9,166.9,10.7,14
Fronteira,//,//,29.4,23.5,2.6
Gavião,2959,0,42.1,24.7,3
Marvão,…,…,69.1,5.1,3.3
Monforte,//,//,113,78.4,5.8
Nisa,1399,1.1,147.3,62.9,10.5
Ponte de Sor,//,//,44.7,59.4,7.5
Portalegre,2469,7.7,46.6,22.9,8.7
Sousel,514,8,41.8,65.7,6.8
Alentejo Central,11176,12.7,100.5,43.7,11.8
Alandroal,//,//,90.7,37,6.1
Arraiolos,4581,2.4,73.8,96.2,11.5
Borba,//,//,45,15.6,5.1
Estremoz,…,…,153.9,22.7,15.3
Évora,29426,4.6,57.1,21,9.1
Montemor-o-Novo,…,…,203.5,52.6,19.5
Mora,2602,14.1,131.9,52.1,11.7
Mourão,9282,32.3,194.3,125.5,11
Portel,//,//,180.6,199.2,21.2
Redondo,…,…,164.7,37.9,15.9
Reguengos de Monsaraz,4830,0,34.4,93.8,6
Vendas Novas,//,//,11.6,14.4,3.1
Viana do Alentejo,//,//,421.1,52,35.5
Vila Viçosa,8742,21.9,18.5,24.8,4.8
Algarve,10650,4.2,61.6,57.3,8.6
Albufeira,//,//,44.6,78.1,6.4
Alcoutim,7789,2.7,256.8,168.1,9.2
Aljezur,580,0,56.1,52.2,5.5
Castro Marim,//,//,63.4,16.8,4
Faro,7051,11.2,33.4,33.7,9.5
Lagoa,//,//,86,96.3,10.9
Lagos,…,…,87.8,100.9,10.8
Loulé,…,…,102.4,76.4,8.3
Monchique,//,//,58.6,45.5,5
Olhão,856,51.1,35.6,27.5,8
Portimão,11252,8.9,43.3,14.4,6
São Brás de Alportel,…,…,75.7,66.9,11.8
Silves,6072,2.5,58.6,55.3,11.4
Tavira,27375,2.8,62.4,83.8,11.9
Vila do Bispo,4764,1.1,63.1,15.7,3.3
Vila Real de Santo António,//,//,62,78.9,11
R. A. Açores,3616,11.1,38.6,24.6,7
Santa Maria,1495,6.1,42.9,61.1,8.5
Vila do Porto,1495,6.1,42.9,61.1,8.5
São Miguel,2641,23.1,25.7,22.9,6
Lagoa (R.A.A.),…,…,26,8.7,4.2
Nordeste,…,…,16.1,25.8,2.8
Ponta Delgada,7514,14.2,25.3,25.5,8.6
Povoação,//,//,17.2,15,2.8
Ribeira Grande,1257,20,25.2,29.4,7.8
Vila Franca do Campo,1929,19.9,38.1,9,2.4
Terceira,7333,2.2,56.7,22.1,10.5
Angra do Heroísmo,7333,2.2,64.1,29,13.2
Vila da Praia da Vitória,//,//,45,11,6.8
Graciosa,2535,7.3,67.7,65.2,12.9
Santa Cruz da Graciosa,2535,7.3,67.7,65.2,12.9
São Jorge,943,26,45.4,9.5,3
Calheta (R.A.A.),943,26,7.9,6.5,0.8
Velas,//,//,68.8,11.3,4.3
Pico,16165,1.2,88.6,28.5,6.9
Lajes do Pico,16165,1.2,72.2,27.6,4.7
Madalena,//,//,60.7,15.7,5.3
São Roque do Pico,//,//,161.2,52.8,13.8
Faial,4146,5.4,26,33.4,8.2
Horta,4146,5.4,26,33.4,8.2
Flores,1388,0,58.9,16.2,3.9
Lajes das Flores,//,//,34.3,14.4,1.9
Santa Cruz das Flores,1388,0,75.4,17.4,6.3
Corvo,//,0,10.3,1.1,0.3
Corvo,//,//,10.3,1.1,0.3
R. A. Madeira,4241,11,27.2,9.9,5
Calheta (R.A.M.),8957,14.1,32.8,18.6,4.9
Câmara de Lobos,3203,8.5,26.9,6.5,7.2
Funchal,3991,11.2,30.7,8.6,5
Machico,8597,6.6,31.8,15.9,7.6
Ponta do Sol,//,//,50.3,32.5,11.5
Porto Moniz,//,//,72.4,73.7,6
Ribeira Brava,2586,28,27.7,13.4,4.4
Santa Cruz,//,//,9.6,1.4,2.1
Santana,//,//,4.4,12.5,1.7
São Vicente,981,5.1,42.2,18.1,4.2
Porto Santo,3869,3.2,38,3.7,5.2
