,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proportion of employees in establishments of enterprises with 250 or more workers, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Pedrógão Grande,41.1,5.4,944.5,21.4,8.6,-1.1,1.4,21.9,2.1,19.8,23.7
Pombal,27.3,11.8,1062,13.2,8.7,0.4,10,11,2.9,16.3,20.2
Porto de Mós,24.1,16.9,1134.5,13.5,8.7,-0.7,10,14.8,5.5,18.9,25.7
Viseu Dão Lafões,22.2,30.8,1055.4,18.4,7.8,0.4,8.4,13.8,2.2,21.1,27.5
Aguiar da Beira,44.7,1.4,862.4,12.2,6.1,-2.3,4.9,16.4,4.2,14.3,16.6
Carregal do Sal,15.6,18.2,994.7,13.6,7.9,2.6,8.4,12.6,2.6,20.5,29.7
Castro Daire,41.3,18.5,885,11.3,4.4,-1.7,7.8,15.4,2,9.5,18.1
Mangualde,15.3,46.1,1158.5,12,5.6,0.1,14.7,17.7,7.2,14.3,23.4
Nelas,14.4,35.5,1127.9,15.9,6.4,-1,14.2,16.8,9.8,22.4,39.3
Oliveira de Frades,16.9,22.5,1125.8,19,6.7,-2.6,8.1,14.3,6,28.4,35.5
Penalva do Castelo,24.7,5.6,936.7,11.7,6.2,0.4,8.2,17.2,5.8,13.1,21.9
Santa Comba Dão,27.8,6.5,956.5,14.9,6.7,-0.3,9.5,12,4.4,17.9,21.4
São Pedro do Sul,32.4,4.2,877.6,11.9,6.9,-0.4,6.5,11.6,3.4,16.9,22.1
Sátão,34.8,17,853.7,9.3,11.7,8,3.2,15.1,1.7,13.2,16.7
Tondela,17.7,41,1160.5,18.9,7.4,-1.3,11.3,16.4,6.2,27.9,37.3
Vila Nova de Paiva,41.3,2.8,884.4,13.4,4.7,0.2,5.8,23,6.5,15.4,18.3
Viseu,21.7,34.7,1065.3,23.2,9.3,1.2,5.2,13.5,3.2,21.2,27
Vouzela,26.3,32.7,933,13.1,6.1,0.2,7.7,7.7,1.2,19.5,30
Beira Baixa,25.2,25.6,1036.2,20.4,7.6,0.2,8.4,14.1,3.6,21.4,27.5
Castelo Branco,22.1,32.7,1026.8,20.9,8,0.1,7.4,10.9,2.1,21.2,27.2
Idanha-a-Nova,52.9,3.3,942.5,21.7,5.6,-2,1.4,14.6,6.1,21.6,22.1
Oleiros,30.9,9.4,992,11.4,5.7,1.5,10.5,26.1,11.2,10.5,20.1
Penamacor,42.2,5.1,949.5,11.5,5.5,-0.3,8.5,18.2,4.1,20.5,27.9
Proença-a-Nova,32.4,10.9,990.6,20.1,8.7,0.5,7.6,37.5,9.4,28.3,33.6
Vila Velha de Ródão,14.4,1.3,1366.8,23.6,6,3.1,17.6,27.8,15.9,25.3,37.9
Médio Tejo,22.8,20.3,1087.1,17.8,9.8,-0.4,9.9,15.9,4.9,21.1,28.4
Abrantes,19.6,25.8,1165.5,20.7,9.6,0.2,11.5,21.2,16,24.8,33.6
Alcanena,20.5,21.7,1118.3,17.4,10,0.8,7.6,10.2,2.3,22.9,32.9
Constância,13.9,1.9,1282.2,18,4.9,3.6,20.7,26.6,19.8,33.9,48.6
Entroncamento,16.6,44,1194.2,18.9,19.2,1.8,13.7,22.3,1.8,18.1,26.6
Ferreira do Zêzere,21,2.4,986.6,12,8.8,-2.2,8.8,9.1,4.8,13.6,22.6
Mação,24.3,4.7,983.2,8.2,10.6,5,16.2,20.7,13.3,13.3,24.7
Ourém,25.8,13.6,1063.4,17.7,9.6,-1.4,10.2,14.2,5.3,15.9,23.6
Sardoal,51.9,0.4,846.9,13.3,5.6,2.9,1.5,7.4,1.8,11.4,10.7
Sertã,32.9,4.1,934,12.1,6.3,0.7,7.1,13.5,3.8,18.2,21.7
Tomar,25.9,23.6,1044.2,20.7,8.7,-1.8,7.5,21.9,4.5,23.1,27.9
Torres Novas,17.3,31.2,1141.4,18.8,9.1,-1.2,6.5,16.9,2.3,25.4,34.9
Vila de Rei,31.6,1.5,870.7,14.4,9.3,-0.9,4.3,13.8,2.2,20.6,22.7
Vila Nova da Barquinha,30.4,0.2,897.5,11.6,10.5,-1.4,8.3,14.3,3,14.9,25.5
Beiras e Serra da Estrela,27.2,23.6,1013.4,20.3,6.7,0.5,7.9,18.7,3.6,21.2,26.8
Almeida,30.1,4.8,905,10.1,6.3,1.4,9.9,15.9,3,12.1,23.3
Belmonte,27.6,23.4,909.2,17.9,3.9,0.3,6.8,13.6,2.5,23.6,29
Celorico da Beira,25.6,6.6,1082.2,10.6,3.1,-2.1,22.8,22.4,17,12.6,30
Covilhã,22.6,32,1027.8,24.6,5.9,0.3,5.3,18.6,6.8,25.7,31.9
Figueira de Castelo Rodrigo,46.1,4.5,874.5,17,3,-1.1,0,18.4,4.4,22.3,19.7
Fornos de Algodres,43,4.6,838.7,10.6,5.8,2.3,6.2,13.2,5.2,17,17.8
Fundão,24.7,24.5,983.4,20.7,5.8,-0.1,6.6,16.1,4.8,19.1,24.6
Gouveia,30.7,6.1,923.3,17.8,8.8,-0.9,4.6,13.9,4.3,19.6,22.3
Guarda,23.4,32.6,1147.2,24.4,8.6,1.4,9.9,23.7,7.2,20.3,28.7
Manteigas,27.3,8.6,893.9,20.7,11.2,-0.6,3.5,6.8,5.2,18.3,21.6
Mêda,39.6,2.6,892.6,14,5.8,1.3,6,27.8,3.4,15.8,17.9
Pinhel,51.2,4.7,888.1,12.8,4.7,1.8,5.4,19.3,4.6,18.3,23.7
Sabugal,34,5.7,922.5,16.2,5.1,-0.3,4.6,22.5,5.5,19.1,23.1
Seia,28,25.2,919.2,14.9,8.5,1.3,4.9,6.9,5.8,20.3,25.2
Trancoso,33.4,16.8,975.4,15.4,6.2,-0.6,6.2,21.1,6.3,17.9,25.9
A. M. Lisboa,15.8,43.3,1516.4,34.1,11.1,-0.1,9,16.2,2.8,34.1,43.2
Alcochete,16.9,31.2,2019.5,16,12.1,3.6,39.1,76.2,26.4,34.7,100.6
Almada,24.2,31.1,1184,25.3,9.8,1,4.1,20.5,3.9,36.1,37.4
Amadora,13.7,55.1,1476.8,33.2,10.2,-0.1,8.4,20.5,5.4,43.3,47.3
Barreiro,19.7,42.5,1164.5,20.9,14.2,-2.3,9.5,19.9,9,25.7,33.1
Cascais,24,30.9,1264.1,25.9,10.4,1.1,2.1,13.9,4.1,32,37
Lisboa,12.8,51.1,1702.8,46.5,11.4,-1.4,10.5,11,1.9,31.4,43.8
Loures,15.4,35.6,1256.2,19.2,9.9,0.2,8.5,13.5,8.8,29.3,35.9
Mafra,21.2,34.5,1067.7,10.8,11.1,1.8,6.1,9.2,3.3,16.2,24.4
Moita,25.6,21.5,1009.4,13.2,10,0.5,6.5,11.3,2.7,19.2,26.5
Montijo,20,28.1,1086.9,14.6,12.2,0,10.3,12.4,10.1,26.1,34.7
Odivelas,30.2,22.3,1003.6,15.4,12,-0.3,3.5,8.7,1.2,15,19
Oeiras,9,51.9,1839.8,44.8,12,2.6,10.8,18.5,1.3,33,45.7
Palmela,10.8,53.3,1443.5,13.7,10.2,2,9.9,20.4,17.9,23.1,26.8
Seixal,27,23.5,1357,14.8,11.4,0.2,24.6,75.3,7.3,19.9,62.4
Sesimbra,35.2,11.4,1022.5,11.1,9.3,1.1,7.4,14.8,7.5,17,24.6
Setúbal,20.3,32.4,1257.5,18.7,12,-2.5,13.6,18.1,16.9,26.9,31.3
Sintra,23.3,23.3,1255.4,19.7,9.9,0.5,6.7,19.6,2.7,30.4,35.7
Vila Franca de Xira,15.7,38,1273.3,18.6,11.2,1.3,8.5,13.3,12,27.1,33.5
Alentejo,24.8,25.3,1107.8,15.7,10.4,0.5,9,16.4,10,24.3,29.2
Alentejo Litoral,20.4,28.9,1206.6,13.9,13.9,0.1,11.9,30.4,22.2,29.7,37.3
Alcácer do Sal,38.2,7.2,1023,12.8,9.4,1.6,8.8,10.6,6.2,22.5,26.9
Grândola,34.2,12,1045.2,11.7,12.8,2.1,9,12.8,2.8,22.8,31.9
Odemira,16.8,30.2,922.8,9.2,17.2,-1.7,1.9,3.9,4.6,25.5,26.9
Santiago do Cacém,24,26.9,1072.6,19.5,12.2,1.3,6.4,15.3,3.5,24.7,28.1
Sines,11.8,41.9,1861.8,17.1,12,0.8,18,31.2,27.7,29.9,36.7
Baixo Alentejo,30.3,21.7,1166.3,16.3,9.3,-0.6,11.2,31.2,21.1,24.9,31.1
Aljustrel,23.9,39.1,1193.8,13.6,6.7,-0.2,14.5,18.9,15,23.9,27.8
Almodôvar,36.8,17.6,945.4,11,5.5,-0.4,5.6,16.1,7.3,15.8,19
Alvito,29.9,3,1045.4,11.7,9.3,2.1,9.1,9,7.1,16.1,24.8
Barrancos,42.8,1.6,885.4,10.2,3.6,-1.5,2.1,21.8,8.8,19.7,17.9
Beja,27.8,22.9,1128.7,21.8,9.1,-0.7,3.8,16.3,10,25.8,33.1
Castro Verde,13.8,56,1941.1,16.7,6,-1,22.4,45,37.3,29.3,38.1
Cuba,39.8,6.6,1024.1,15.6,9.1,0.3,6.7,5.4,3.4,27.8,36
Ferreira do Alentejo,36.2,5.9,1043.9,14.5,14.7,1.5,5.9,11.1,0.3,22.7,24.6
Mértola,44,2.8,889,9,8.8,0.2,1.2,11.1,5.6,16,17.3
Moura,39,8.9,974.5,14.3,7.4,-1,3.1,17,8.5,22,22.3
Ourique,40.6,8.6,925.6,9.9,6.7,-0.5,2.6,11.9,4.5,19.8,18
Serpa,38.5,4,913.4,10,19.2,-1.4,3.2,13.3,2.9,15.6,16.4
Vidigueira,36,7.7,984.7,14.1,7.3,-1.8,8.8,11.9,4.3,22.2,24.3
Lezíria do Tejo,21.9,27.8,1075.2,15.6,11.1,1,6.5,8.5,4.2,23.9,28.7
Almeirim,29.2,17,993.7,14.9,11.3,-5.9,5.1,13.4,6.6,22.7,23.5
Alpiarça,26.4,29.7,1001.3,14.8,13.4,3.9,9.7,18,10.4,18.6,21.7
