,Total (N.º),"Sexo, H, Total (N.º)","Sexo, H, Novos beneficiários (N.º)","Sexo, M, Total (N.º)","Sexo, M, Novas beneficiárias (N.º)","Idade, Menos de 25 anos, Novas beneficiárias (N.º)","Idade, 25-29 anos, Novas beneficiárias (N.º)","Idade, 30-39
 anos, Novas beneficiárias (N.º)","Idade, 40-49 anos, Novas beneficiárias (N.º)","Idade, 50-54 anos, Novas beneficiárias (N.º)","Idade, 55 e mais anos, Novas beneficiárias (N.º)"
Faial,432,233,108,199,111,27,74,68,121,87,55
Horta,432,233,108,199,111,27,74,68,121,87,55
Flores,188,90,48,98,44,19,39,20,50,42,18
Lajes das Flores,91,44,25,47,20,10,20,5,26,21,9
Santa Cruz das Flores,97,46,23,51,24,9,19,15,24,21,9
Corvo,10,3,...,7,...,...,...,...,3,...,0
Corvo,10,3,...,7,...,...,...,...,3,...,0
R. A. Madeira,7495,3471,1412,4024,1578,404,2098,893,1505,1730,865
Calheta (R.A.M.),222,108,50,114,38,8,65,27,45,55,22
Câmara de Lobos,877,397,177,480,198,74,192,151,184,198,78
Funchal,3154,1440,563,1714,648,150,945,356,631,697,375
Machico,810,430,191,380,162,44,251,84,130,198,103
Ponta do Sol,201,91,37,110,46,20,51,26,37,43,24
Porto Moniz,69,32,17,37,11,...,26,...,18,11,9
Ribeira Brava,335,140,52,195,74,21,81,55,64,82,32
Santa Cruz,1260,563,212,697,265,55,338,124,270,320,153
Santana,159,84,34,75,35,7,44,11,38,38,21
São Vicente,104,50,21,54,24,...,32,...,27,18,8
Porto Santo,304,136,58,168,77,17,73,43,61,70,40
