,"Nados-vivos, Total, HM (N.º)","Nados-vivos, Total, H (N.º)","Nados-vivos, Total, M (N.º)","Nados-vivos, Fora do casamento, Total (N.º)","Nados-vivos, Fora do casamento, Com coabitação dos pais (N.º)","Óbitos, Total, HM (N.º)","Óbitos, Total, H (N.º)","Óbitos, Total, M (N.º)","Óbitos, Com 
menos
de 1 ano, M (N.º)"
Olhão,403,196,207,297,165,535,283,252,3
Portimão,573,281,292,402,254,580,322,258,2
São Brás de Alportel,99,51,48,64,49,157,75,82,0
Silves,366,189,177,255,162,485,250,235,1
Tavira,194,91,103,140,103,406,210,196,1
Vila do Bispo,49,20,29,39,34,71,42,29,0
Vila Real de Santo António,141,69,72,104,58,240,126,114,0
R. A. Açores,2102,1130,972,1089,831,2439,1313,1126,10
Santa Maria,38,23,15,23,18,51,30,21,0
Vila do Porto,38,23,15,23,18,51,30,21,0
São Miguel,1274,688,586,616,449,1207,645,562,5
Lagoa (R.A.A.),162,94,68,70,46,133,65,68,1
Nordeste,25,14,11,13,12,77,33,44,0
Ponta Delgada,623,331,292,324,241,614,349,265,4
Povoação,47,24,23,24,16,54,32,22,0
Ribeira Grande,325,173,152,142,101,220,113,107,0
Vila Franca do Campo,92,52,40,43,33,109,53,56,0
Terceira,449,235,214,230,165,631,337,294,1
Angra do Heroísmo,292,148,144,150,102,387,212,175,1
Vila da Praia da Vitória,157,87,70,80,63,244,125,119,0
Graciosa,33,20,13,18,17,60,29,31,1
Santa Cruz da Graciosa,33,20,13,18,17,60,29,31,1
São Jorge,67,42,25,45,41,112,70,42,0
Calheta (R.A.A.),23,17,6,15,14,47,29,18,0
Velas,44,25,19,30,27,65,41,24,0
Pico,111,55,56,72,64,168,87,81,1
Lajes do Pico,35,14,21,22,20,58,33,25,0
Madalena,52,26,26,34,30,77,41,36,1
São Roque do Pico,24,15,9,16,14,33,13,20,0
Faial,103,54,49,66,63,154,84,70,1
Horta,103,54,49,66,63,154,84,70,1
Flores,25,12,13,17,12,49,26,23,1
Lajes das Flores,14,7,7,9,6,23,14,9,0
Santa Cruz das Flores,11,5,6,8,6,26,12,14,1
Corvo,2,1,1,2,2,7,5,2,0
Corvo,2,1,1,2,2,7,5,2,0
R. A. Madeira,1860,944,916,1108,677,2713,1271,1442,6
Calheta (R.A.M.),75,35,40,31,14,138,65,73,0
Câmara de Lobos,328,171,157,215,120,251,114,137,1
Funchal,761,371,390,470,273,1226,557,669,3
Machico,131,67,64,68,41,196,100,96,1
Ponta do Sol,49,27,22,22,14,126,66,60,0
Porto Moniz,13,8,5,7,5,55,26,29,0
Ribeira Brava,74,39,35,38,29,178,69,109,0
Santa Cruz,337,174,163,203,140,306,156,150,1
Santana,27,13,14,15,9,90,49,41,0
São Vicente,41,27,14,19,14,93,42,51,0
Porto Santo,24,12,12,20,18,54,27,27,0
