,"Casamentos, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, Total (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Só civis (N.º)","Casamentos, Entre pessoas de sexo oposto, dos quais, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Masculino, Católicos (N.º)","Casamentos, Entre pessoas do mesmo sexo, Feminino, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, Total, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por divórcio, Católicos (N.º)","Casamentos dissolvidos, Entre pessoas do mesmo sexo, por morte, Católicos (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira a quem foi concedido título de residência, Entre pessoas do mesmo sexo, por morte, M (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, HM (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, H (N.º)","População estrangeira com estatuto de residente, Entre pessoas do mesmo sexo, por morte, M (N.º)"
Almada,249,238,222,14,7,4,1103,304,799,2867,1409,1458,15471,7560,7911
Amadora,111,110,95,14,1,0,1005,273,732,3470,1818,1652,23458,11646,11812
Barreiro,146,139,133,5,5,2,616,166,450,992,487,505,5197,2445,2752
Cascais,377,363,338,24,7,7,1211,337,874,5020,2539,2481,32939,15856,17083
Lisboa,1943,1827,1621,195,78,38,3291,787,2504,19440,10999,8441,106971,57509,49462
Loures,269,262,246,15,4,3,1182,317,865,3115,1671,1444,21077,10532,10545
Mafra,173,168,145,22,4,1,457,167,290,1016,512,504,5286,2585,2701
Moita,108,108,105,3,0,0,389,92,297,759,375,384,3961,1847,2114
Montijo,90,89,82,7,0,1,353,111,242,904,535,369,5232,2829,2403
Odivelas,x,x,x,x,x,x,796,196,600,3422,1893,1529,19946,10362,9584
Oeiras,306,291,280,10,8,7,932,235,697,2214,1103,1111,13485,6311,7174
Palmela,104,101,95,5,0,3,408,115,293,574,306,268,3144,1555,1589
Seixal,249,240,221,10,4,5,1009,319,690,2037,1027,1010,11624,5591,6033
Sesimbra,145,140,136,2,4,1,310,98,212,516,258,258,2918,1424,1494
Setúbal,343,334,323,8,4,5,801,257,544,1491,781,710,8674,4373,4301
Sintra,582,559,525,32,6,17,1909,635,1274,6163,3048,3115,41155,19621,21534
Vila Franca de Xira,158,156,136,18,0,2,804,271,533,1281,620,661,8621,4143,4478
Alentejo,1155,1139,1027,106,8,8,5255,983,4272,6821,4382,2439,36024,20604,15420
Alentejo Litoral,134,132,126,6,2,0,646,124,522,2527,1774,753,13058,8228,4830
Alcácer do Sal,17,17,17,0,0,0,97,17,80,73,44,29,482,290,192
Grândola,19,19,18,1,0,0,98,14,84,140,86,54,758,369,389
Odemira,25,23,22,1,2,0,149,25,124,1984,1457,527,9615,6423,3192
Santiago do Cacém,38,38,35,3,0,0,211,48,163,203,126,77,1244,654,590
Sines,35,35,34,1,0,0,91,20,71,127,61,66,959,492,467
Baixo Alentejo,201,199,188,10,1,1,896,158,738,953,683,270,4480,2623,1857
Aljustrel,6,6,6,0,0,0,65,11,54,26,24,2,148,87,61
Almodôvar,4,4,4,0,0,0,53,9,44,33,19,14,225,109,116
Alvito,8,7,7,0,1,0,19,2,17,16,6,10,78,36,42
Barrancos,4,4,3,1,0,0,8,2,6,0,0,0,18,10,8
Beja,78,78,73,4,0,0,237,57,180,376,259,117,1617,950,667
Castro Verde,13,13,12,1,0,0,65,9,56,29,14,15,191,107,84
Cuba,7,7,4,3,0,0,42,1,41,130,123,7,291,206,85
Ferreira do Alentejo,21,21,21,0,0,0,61,11,50,160,134,26,643,439,204
Mértola,9,9,9,0,0,0,48,5,43,38,20,18,177,87,90
Moura,26,25,25,0,0,1,112,24,88,17,10,7,250,144,106
Ourique,7,7,6,1,0,0,42,6,36,54,25,29,374,185,189
Serpa,13,13,13,0,0,0,103,18,85,63,43,20,317,178,139
Vidigueira,5,5,5,0,0,0,41,3,38,11,6,5,151,85,66
Lezíria do Tejo,413,409,362,43,1,3,1656,367,1289,1977,1205,772,10946,5912,5034
Almeirim,36,36,34,2,0,0,151,31,120,172,122,50,873,482,391
Alpiarça,9,8,8,0,0,1,66,6,60,38,24,14,344,195,149
Azambuja,31,31,29,2,0,0,146,38,108,278,144,134,1177,590,587
Benavente,65,62,59,3,1,2,184,59,125,265,143,122,2161,1077,1084
Cartaxo,36,36,32,4,0,0,148,38,110,166,85,81,875,454,421
Chamusca,11,11,10,1,0,0,85,10,75,12,9,3,89,45,44
Coruche,5,5,4,1,0,0,150,22,128,45,31,14,336,181,155
Golegã,17,17,17,0,0,0,33,9,24,12,6,6,81,41,40
Rio Maior,37,37,32,4,0,0,154,37,117,358,257,101,1548,960,588
Salvaterra de Magos,44,44,36,6,0,0,142,23,119,80,39,41,522,255,267
Santarém,122,122,101,20,0,0,397,94,303,551,345,206,2940,1632,1308
Alto Alentejo,145,142,129,13,2,1,915,146,769,448,236,212,2755,1366,1389
Alter do Chão,4,4,2,2,0,0,35,7,28,11,5,6,122,61,61
Arronches,1,0,0,0,1,0,32,0,32,11,6,5,57,31,26
Avis,6,6,6,0,0,0,23,2,21,5,2,3,60,35,25
Campo Maior,7,7,6,1,0,0,65,13,52,22,11,11,249,123,126
Castelo de Vide,3,3,3,0,0,0,28,5,23,19,9,10,123,58,65
Crato,9,9,9,0,0,0,45,4,41,3,2,1,65,25,40
Elvas,24,23,20,3,1,0,171,35,136,75,33,42,587,250,337
Fronteira,10,10,10,0,0,0,24,2,22,0,0,0,71,36,35
Gavião,6,6,6,0,0,0,40,3,37,2,1,1,12,7,5
Marvão,4,4,4,0,0,0,35,2,33,53,26,27,178,92,86
Monforte,3,3,2,1,0,0,29,2,27,7,4,3,41,26,15
Nisa,3,3,3,0,0,0,64,10,54,24,13,11,83,44,39
