,"Total, HM (N.º)","Total, H (N.º)","Total, M (N.º)","0 a 14 anos, HM (N.º)","0 a 14 anos, H (N.º)","0 a 14 anos, M (N.º)","15 a 24 anos, HM (N.º)","15 a 24 anos, H (N.º)","15 a 24 anos, M (N.º)"
Terras de Trás-os-Montes,106566,50488,56078,10449,5312,5137,9645,4941,4704
Alfândega da Fé,4492,2164,2328,378,192,186,372,181,191
Bragança,33441,16024,17417,3810,1938,1872,3144,1667,1477
Macedo de Cavaleiros,14419,6710,7709,1271,669,602,1409,676,733
Miranda do Douro,6763,3275,3488,554,286,268,585,319,266
Mirandela,21587,9971,11616,2260,1133,1127,2064,1013,1051
Mogadouro,8286,3970,4316,691,336,355,665,349,316
Vila Flor,6011,2829,3182,541,277,264,549,287,262
Vimioso,3958,1890,2068,423,215,208,301,151,150
Vinhais,7609,3655,3954,521,266,255,556,298,258
Centro,2229331,1055473,1173858,265456,135817,129639,231593,118386,113207
Oeste,362413,173219,189194,47676,24232,23444,40659,20807,19852
Alcobaça,53742,25610,28132,6108,3042,3066,5940,3081,2859
Alenquer,44715,21630,23085,6602,3350,3252,5129,2677,2452
Arruda dos Vinhos,15774,7604,8170,2301,1139,1162,2034,1080,954
Bombarral,12684,6101,6583,1494,786,708,1318,640,678
Cadaval,13734,6558,7176,1609,815,794,1515,755,760
Caldas da Rainha,52477,24775,27702,6496,3345,3151,5752,2885,2867
Lourinhã,26183,12550,13633,3612,1867,1745,2983,1494,1489
Nazaré,14261,6671,7590,1955,965,990,1452,783,669
Óbidos,12022,5792,6230,1501,754,747,1397,750,647
Peniche,26707,12719,13988,3693,1908,1785,2918,1535,1383
Sobral de Monte Agraço,10834,5311,5523,1532,802,730,1310,661,649
Torres Vedras,79280,37898,41382,10773,5459,5314,8911,4466,4445
Região de Aveiro,367128,173979,193149,46660,23946,22714,39249,19834,19415
Águeda,46349,22174,24175,5448,2812,2636,4716,2354,2362
Albergaria-a-Velha,24295,11604,12691,3096,1597,1499,2589,1319,1270
Anadia,27366,13036,14330,2841,1508,1333,2765,1434,1331
Aveiro,79923,37317,42606,11108,5691,5417,8278,4068,4210
Estarreja,26147,12498,13649,3253,1692,1561,2871,1471,1400
Ílhavo,39163,18386,20777,5300,2654,2646,4318,2171,2147
Murtosa,10405,5003,5402,1392,709,683,1274,640,634
Oliveira do Bairro,24717,11714,13003,3426,1770,1656,2749,1416,1333
Ovar,54489,25975,28514,6714,3441,3273,6014,3071,2943
Sever do Vouga,11293,5443,5850,1106,572,534,1181,643,538
Vagos,22981,10829,12152,2976,1500,1476,2494,1247,1247
Região de Coimbra,435574,204709,230865,51060,26184,24876,42440,21613,20827
Arganil,10991,5195,5796,1099,558,541,1005,511,494
Cantanhede,35123,16634,18489,3939,2043,1896,3347,1702,1645
Coimbra,135141,62698,72443,17185,8819,8366,12383,6218,6165
Condeixa-a-Nova,17895,8392,9503,2430,1231,1199,1997,1015,982
Figueira da Foz,58919,27737,31182,6755,3480,3275,5870,2992,2878
Góis,3773,1727,2046,360,157,203,365,189,176
Lousã,17276,8341,8935,2311,1212,1099,2008,1020,988
Mealhada,20011,9421,10590,2326,1172,1154,2030,1064,966
Mira,11877,5608,6269,1387,700,687,1139,632,507
Miranda do Corvo,12713,6074,6639,1279,649,630,1429,769,660
Montemor-o-Velho,25292,12066,13226,3078,1590,1488,2238,1127,1111
Mortágua,8816,4080,4736,875,429,446,769,399,370
Oliveira do Hospital,19249,9174,10075,2113,1112,1001,1994,1020,974
Pampilhosa da Serra,4032,1862,2170,289,137,152,279,131,148
Penacova,13645,6396,7249,1245,640,605,1330,633,697
Penela,5387,2514,2873,555,260,295,537,277,260
Soure,17056,8022,9034,1774,932,842,1600,856,744
Tábua,11419,5483,5936,1263,687,576,1266,633,633
Vila Nova de Poiares,6959,3285,3674,797,376,421,854,425,429
Região de Leiria,286713,136531,150182,35691,18313,17378,30646,15678,14968
Alvaiázere,6590,3064,3526,590,308,282,602,290,312
Ansião,12061,5670,6391,1140,594,546,1251,663,588
Batalha,16167,7675,8492,2122,1087,1035,1821,916,905
Castanheira de Pêra,2577,1179,1398,200,84,116,225,111,114
Figueiró dos Vinhos,5565,2578,2987,523,283,240,502,252,250
Leiria,126481,60513,65968,16941,8667,8274,13607,6994,6613
Marinha Grande,38868,18369,20499,5140,2581,2559,4159,2102,2057
Pedrógão Grande,3415,1613,1802,308,179,129,380,191,189
Pombal,51664,24586,27078,5923,3052,2871,5478,2791,2687
Porto de Mós,23325,11284,12041,2804,1478,1326,2621,1368,1253
Viseu Dão Lafões,252688,119021,133667,28933,14811,14122,27190,13930,13260
Aguiar da Beira,4634,2134,2500,387,189,198,466,259,207
Carregal do Sal,9313,4424,4889,1033,519,514,1051,521,530
Castro Daire,13816,6572,7244,1388,691,697,1527,781,746
Mangualde,18538,8958,9580,2070,1081,989,1993,1036,957
Nelas,12984,6108,6876,1496,776,720,1335,708,627
Oliveira de Frades,9985,4742,5243,1241,630,611,1141,578,563
Penalva do Castelo,7145,3405,3740,682,396,286,720,385,335
Santa Comba Dão,10445,4836,5609,1109,579,530,1072,532,540
São Pedro do Sul,15421,7219,8202,1495,759,736,1618,853,765
Sátão,11635,5475,6160,1155,605,550,1279,670,609
Tondela,26358,12498,13860,2511,1295,1216,2597,1366,1231
Vila Nova de Paiva,4688,2202,2486,463,262,201,513,236,277
Viseu,98103,45903,52200,12983,6563,6420,10874,5471,5403
Vouzela,9623,4545,5078,920,466,454,1004,534,470
Beira Baixa,80047,37884,42163,8233,4185,4048,7242,3776,3466
Castelo Branco,52003,24625,27378,6175,3138,3037,4984,2625,2359
Idanha-a-Nova,7926,3756,4170,745,384,361,701,381,320
Oleiros,5009,2330,2679,264,128,136,362,165,197
Penamacor,4724,2327,2397,284,158,126,370,222,148
Proença-a-Nova,7243,3401,3842,575,285,290,636,283,353
Vila Velha de Ródão,3142,1445,1697,190,92,98,189,100,89
Médio Tejo,233362,110413,122949,26296,13547,12749,24539,12564,11975
Abrantes,34960,16709,18251,3675,1902,1773,3435,1787,1648
Alcanena,12870,6098,6772,1528,747,781,1316,672,644
Constância,4051,1861,2190,499,257,242,464,220,244
Entroncamento,21923,10237,11686,3074,1546,1528,2462,1233,1229
Ferreira do Zêzere,7953,3744,4209,803,407,396,868,455,413
Mação,6193,2936,3257,454,227,227,530,280,250
Ourém,44370,21010,23360,5267,2744,2523,5034,2533,2501
Sardoal,3717,1784,1933,344,167,177,362,188,174
Sertã,14564,6860,7704,1516,769,747,1528,774,754
Tomar,36775,17367,19408,3746,1976,1770,3813,1996,1817
Torres Novas,35099,16673,18426,4241,2209,2032,3594,1849,1745
Vila de Rei,3338,1502,1836,242,129,113,324,170,154
Vila Nova da Barquinha,7549,3632,3917,907,467,440,809,407,402
Beiras e Serra da Estrela,211406,99717,111689,20907,10599,10308,19628,10184,9444
Almeida,5786,2664,3122,344,163,181,455,217,238
Belmonte,6383,3032,3351,634,326,308,590,296,294
Celorico da Beira,6934,3242,3692,652,335,317,682,340,342
Covilhã,46771,22152,24619,4982,2562,2420,4351,2270,2081
Figueira de Castelo Rodrigo,5587,2676,2911,593,286,307,486,251,235
Fornos de Algodres,4539,2063,2476,413,197,216,457,214,243
Fundão,26464,12603,13861,2723,1418,1305,2526,1340,1186
Gouveia,12360,5602,6758,1102,535,567,1103,558,545
Guarda,39000,18545,20455,4443,2199,2244,4024,2099,1925
Manteigas,2986,1404,1582,234,122,112,262,108,154
Mêda,4575,2178,2397,377,185,192,398,210,188
Pinhel,8431,3933,4498,685,342,343,785,421,364
Sabugal,10525,4936,5589,826,424,402,798,419,379
Seia,22167,10462,11705,2160,1111,1049,1907,1015,892
Trancoso,8898,4225,4673,739,394,345,804,426,378
A. M. Lisboa,2869033,1341981,1527052,453284,231532,221752,297854,150811,147043
Alcochete,19933,9569,10364,3173,1571,1602,2540,1283,1257
Almada,168664,78555,90109,25231,12976,12255,17609,8942,8667
Amadora,185517,86096,99421,29263,14793,14470,17532,8658,8874
Barreiro,74730,34561,40169,10308,5216,5092,7450,3733,3717
Cascais,213941,98870,115071,33114,17005,16109,23880,12114,11766
Lisboa,509614,234174,275440,86096,44413,41683,45053,23405,21648
Loures,214969,101406,113563,33938,17413,16525,21592,10858,10734
Mafra,85295,41148,44147,13761,6954,6807,10735,5415,5320
Moita,64157,30091,34066,9841,5049,4792,6808,3425,3383
Montijo,58092,28225,29867,9789,5063,4726,6249,3187,3062
Odivelas,163003,76293,86710,27192,13793,13399,15405,7779,7626
Oeiras,177795,82069,95726,26809,13718,13091,18019,9184,8835
Palmela,64083,30529,33554,9467,4734,4733,7624,3898,3726
Seixal,168154,79087,89067,25730,13086,12644,17682,8850,8832
Sesimbra,51959,25157,26802,8072,4161,3911,6354,3318,3036
Setúbal,114278,53763,60515,17277,8806,8471,12684,6380,6304
Sintra,392887,185197,207690,62269,31545,30724,45133,22657,22476
Vila Franca de Xira,141962,67191,74771,21954,11236,10718,15505,7725,7780
Alentejo,699420,335432,363988,86027,43890,42137,70678,36057,34621
Alentejo Litoral,93122,45588,47534,11254,5635,5619,8496,4419,4077
Alcácer do Sal,11546,5459,6087,1259,611,648,1080,569,511
Grândola,14606,7677,6929,1722,885,837,1364,742,622
Odemira,24625,12038,12587,2920,1447,1473,2232,1162,1070
Santiago do Cacém,28638,13806,14832,3414,1720,1694,2533,1307,1226
Sines,13707,6608,7099,1939,972,967,1287,639,648
Baixo Alentejo,115326,55807,59519,14904,7658,7246,11571,5899,5672
Aljustrel,8140,3945,4195,1003,519,484,701,340,361
Almodôvar,6660,3183,3477,764,383,381,641,310,331
Alvito,2468,1181,1287,285,147,138,226,116,110
Barrancos,1623,804,819,203,120,83,159,85,74
Beja,33340,16283,17057,4954,2553,2401,3472,1849,1623
Castro Verde,6890,3363,3527,797,408,389,782,383,399
Cuba,4547,2190,2357,606,317,289,489,240,249
Ferreira do Alentejo,7807,3765,4042,979,488,491,706,345,361
Mértola,6049,2873,3176,538,283,255,443,229,214
Moura,13606,6550,7056,1999,1036,963,1569,787,782
Ourique,4545,2176,2369,438,213,225,405,193,212
Serpa,14177,6916,7261,1553,791,762,1390,730,660
Vidigueira,5474,2578,2896,785,400,385,588,292,296
Lezíria do Tejo,236852,113383,123469,29936,15238,14698,25508,13051,12457
Almeirim,22425,10484,11941,2956,1486,1470,2407,1242,1165
Alpiarça,6985,3382,3603,866,463,403,757,413,344
Azambuja,22831,12210,10621,2862,1547,1315,2344,1197,1147
Benavente,30729,14664,16065,4591,2309,2282,3832,1984,1848
Cartaxo,23780,11285,12495,2965,1494,1471,2616,1288,1328
Chamusca,9067,4318,4749,940,475,465,776,405,371
Coruche,17188,8078,9110,1755,907,848,1623,842,781
Golegã,5289,2421,2868,596,284,312,519,237,282
Rio Maior,20288,9652,10636,2651,1306,1345,2220,1157,1063
Salvaterra de Magos,21183,10024,11159,2529,1276,1253,2385,1166,1219
Santarém,57087,26865,30222,7225,3691,3534,6029,3120,2909
Alto Alentejo,103171,48828,54343,11683,5910,5773,10241,5084,5157
Alter do Chão,3136,1487,1649,354,154,200,270,124,146
Arronches,2762,1287,1475,239,129,110,229,109,120
Avis,4194,1986,2208,409,206,203,355,153,202
Campo Maior,7792,3740,4052,1109,550,559,861,444,417
Castelo de Vide,2889,1358,1531,274,149,125,273,158,115
Crato,3058,1415,1643,290,160,130,240,128,112
Elvas,20289,9571,10718,2494,1293,1201,2274,1128,1146
Fronteira,2933,1324,1609,303,159,144,278,121,157
Gavião,3183,1498,1685,262,141,121,227,123,104
Marvão,2938,1426,1512,258,121,137,263,138,125
Monforte,2948,1337,1611,400,209,191,347,157,190
Nisa,5959,2820,3139,510,274,236,545,262,283
Ponte de Sor,14845,7046,7799,1672,832,840,1473,732,741
Portalegre,21917,10466,11451,2671,1317,1354,2158,1072,1086
Sousel,4328,2067,2261,438,216,222,448,235,213
Alentejo Central,150949,71826,79123,18250,9449,8801,14862,7604,7258
Alandroal,4894,2361,2533,513,246,267,405,202,203
Arraiolos,6869,3329,3540,730,379,351,648,351,297
Borba,6668,3216,3452,726,347,379,590,286,304
Estremoz,12601,5975,6626,1388,736,652,1086,574,512
Évora,52162,24411,27751,7083,3700,3383,5315,2700,2615
Montemor-o-Novo,15441,7391,8050,1622,855,767,1404,708,696
Mora,4036,1914,2122,400,208,192,344,183,161
Mourão,2433,1211,1222,327,166,161,285,152,133
Portel,5775,2852,2923,646,335,311,574,294,280
Redondo,6284,2986,3298,742,363,379,664,341,323
Reguengos de Monsaraz,9928,4854,5074,1212,647,565,1094,580,514
Vendas Novas,11186,5218,5968,1345,682,663,1157,572,585
Viana do Alentejo,5107,2470,2637,679,341,338,547,296,251
Vila Viçosa,7565,3638,3927,837,444,393,749,365,384
Algarve,437970,207517,230453,65019,32875,32144,46324,23479,22845
Albufeira,41921,20055,21866,6971,3608,3363,4568,2295,2273
Alcoutim,2077,980,1097,157,77,80,131,60,71
Aljezur,5598,2678,2920,699,351,348,542,246,296
Castro Marim,6198,2972,3226,702,339,363,623,305,318
Faro,61039,28859,32180,9508,4837,4671,6137,3224,2913
Lagoa,22743,10895,11848,3238,1688,1550,2555,1299,1256
Lagos,30268,14186,16082,4298,2158,2140,3537,1752,1785
Loulé,68686,32523,36163,10330,5155,5175,7289,3720,3569
Monchique,4979,2377,2602,494,252,242,321,146,175
Olhão,44178,20830,23348,6683,3443,3240,4934,2508,2426
Portimão,55599,26084,29515,9039,4526,4513,6154,3092,3062
São Brás de Alportel,10372,5019,5353,1429,770,659,1103,559,544
Silves,36232,17624,18608,5022,2493,2529,3644,1894,1750
Tavira,24294,11367,12927,3148,1572,1576,2356,1170,1186
Vila do Bispo,5147,2462,2685,631,312,319,476,242,234
Vila Real de Santo António,18639,8606,10033,2670,1294,1376,1954,967,987
R. A. Açores,242201,117050,125151,36445,18644,17801,30463,15375,15088
Santa Maria,5612,2644,2968,766,373,393,686,340,346
Vila do Porto,5612,2644,2968,766,373,393,686,340,346
São Miguel,137133,66534,70599,22320,11424,10896,18520,9395,9125
Lagoa (R.A.A.),14750,7182,7568,2424,1271,1153,2096,1013,1083
Nordeste,4819,2371,2448,613,312,301,607,305,302
Ponta Delgada,67861,32542,35319,10512,5363,5149,8603,4345,4258
Povoação,5896,2778,3118,775,383,392,802,401,401
Ribeira Grande,32823,16271,16552,6323,3223,3100,4916,2552,2364
Vila Franca do Campo,10984,5390,5594,1673,872,801,1496,779,717
Terceira,54874,26257,28617,7602,3815,3787,6513,3255,3258
Angra do Heroísmo,33645,15988,17657,4684,2320,2364,4039,2015,2024
Vila da Praia da Vitória,21229,10269,10960,2918,1495,1423,2474,1240,1234
Graciosa,4179,2022,2157,548,309,239,439,228,211
Santa Cruz da Graciosa,4179,2022,2157,548,309,239,439,228,211
São Jorge,8228,4047,4181,997,554,443,889,463,426
Calheta (R.A.A.),3159,1555,1604,396,216,180,358,193,165
Velas,5069,2492,2577,601,338,263,531,270,261
Pico,13635,6493,7142,1780,890,890,1381,664,717
Lajes do Pico,4473,2110,2363,518,263,255,432,209,223
Madalena,5885,2769,3116,831,400,431,650,318,332
São Roque do Pico,3277,1614,1663,431,227,204,299,137,162
Faial,14443,6972,7471,1935,1028,907,1624,821,803
Horta,14443,6972,7471,1935,1028,907,1624,821,803
Flores,3627,1815,1812,434,222,212,377,189,188
Lajes das Flores,1462,780,682,169,96,73,160,84,76
Santa Cruz das Flores,2165,1035,1130,265,126,139,217,105,112
Corvo,470,266,204,63,29,34,34,20,14
Corvo,470,266,204,63,29,34,34,20,14
R. A. Madeira,253923,118524,135399,32377,16544,15833,31528,16207,15321
Calheta (R.A.M.),10833,4928,5905,1228,616,612,1265,679,586
Câmara de Lobos,33639,15945,17694,5044,2594,2450,5089,2621,2468
Funchal,103754,47703,56051,12531,6345,6186,11773,6050,5723
Machico,19870,9518,10352,2181,1109,1072,2472,1286,1186
Ponta do Sol,8554,3881,4673,1010,487,523,1255,618,637
Porto Moniz,2312,962,1350,238,132,106,257,117,140
Ribeira Brava,12356,5607,6749,1550,799,751,1795,893,902
Santa Cruz,45647,22089,23558,6831,3541,3290,5724,2952,2772
Santana,6648,3002,3646,632,330,302,745,397,348
São Vicente,5113,2353,2760,491,261,230,594,300,294
Porto Santo,5197,2536,2661,641,330,311,559,294,265
