,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
São João da Madeira,1074.25,893.69,1053.7,1052.73,1226.71,1119.77,1047.39,1093.6
Trofa,1113.09,862.33,1001.47,1124.55,1076.65,1045.77,1609.6,1055.35
Vale de Cambra,1136.3,902.37,1038.94,1115.82,1349.61,1077.55,1322.34,1215.49
Valongo,1087.73,878.1,946.8,1047.02,1148.71,1306.67,1155.07,1384.17
Vila do Conde,1155.04,876.5,1006.89,1125.21,1474.97,1323.67,1236.73,1241.22
Vila Nova de Gaia,1157.34,905.8,981.12,1133.18,1239.66,1240.44,1186.22,1333.35
Alto Tâmega,954.21,769.19,872.62,879.11,1345.03,1068.81,1001.59,1166.53
Boticas,875.98,745.93,1171.89,771.64,948.47,844.42,1027.07,883.81
Chaves,958.22,766.18,879.35,854.6,1429.02,1183.47,1000.12,1102.76
Montalegre,874.49,778.02,784.87,781.85,934.6,//,1625.93,2108.94
Ribeira de Pena,1233.31,838.14,820.54,1079.21,1987.84,1110.9,//,1633.43
Valpaços,872.12,743.97,888.13,823.07,1140.16,844.97,//,1857.39
Vila Pouca de Aguiar,906.61,787.2,811.77,903.13,1132.85,956.59,960.42,1931.45
Tâmega e Sousa,898.09,781.14,829.88,871.84,932.15,952.42,925.34,1279.85
Amarante,904.92,781.59,846.04,915.45,988.09,1046.58,747.48,1398.44
Baião,866.54,753.47,824.96,974.3,872.56,902.24,680.76,1685.15
Castelo de Paiva,853.04,784.87,798.23,854.1,885.41,894.94,857.51,1113.02
Celorico de Basto,794.35,757.09,785.07,804.17,804.45,681.73,1141.2,1438.59
Cinfães,919.2,777.38,813.29,900.24,1044.98,951.25,…,1867.61
Felgueiras,892.76,796.75,807.01,861.6,935.69,953.19,894.04,1410.71
Lousada,860.57,793.46,850.84,850.5,927.91,846.38,944.68,928.7
Marco de Canaveses,886.23,763.06,822.95,895.17,974.55,956.31,903.6,1302.71
Paços de Ferreira,886.7,772.8,818.83,824.92,942.14,1013.28,905.51,1064.21
Penafiel,975.43,793.85,866.89,911.19,845.02,962.45,1013.05,1611.36
Resende,803.25,733.65,776.68,794.64,777.9,834.56,//,1964.31
Douro,971.09,788.78,872.25,939.22,998.01,974.43,1025.4,1507.74
Alijó,921.84,783,892.28,964.74,1017.27,906.74,1278.49,1419.34
Armamar,876.58,855.43,862.6,789.55,973,816.38,//,2565.94
Carrazeda de Ansiães,860.95,768.7,797.55,957.65,878.71,//,//,1330.91
Freixo de Espada à Cinta,895.31,760.82,800.3,891.04,…,//,//,1732.62
Lamego,929.75,784.34,823.89,974.54,1098.19,964.98,793.87,1383.99
Mesão Frio,885.99,748.11,796.33,1116.58,757.46,789.43,…,1793.86
Moimenta da Beira,836.02,790.35,870.86,827.37,862.43,773.54,…,1899.9
Murça,894.47,771.85,878.75,1077.56,1293.41,977.22,//,993.99
Penedono,800.46,748.7,791.53,780.38,1192.56,//,//,2243.67
Peso da Régua,982.1,781.9,838.22,926.9,991.39,960.32,1185.28,1751.23
Sabrosa,946.13,802.96,963.14,1046.41,980.66,3425.02,//,1008.4
Santa Marta de Penaguião,868.75,724.29,920.67,898.83,1936.5,…,//,2014.9
São João da Pesqueira,965.44,822.66,877.61,1164.03,921.54,1095.31,1150.66,1682.14
Sernancelhe,806.36,745.43,785.85,728.7,895.61,1051.6,1495.77,1632.32
Tabuaço,966.26,767.69,943.97,884.48,1450.7,1160.79,//,1673.73
Tarouca,828.39,762.11,777.54,991.84,783.32,817.95,//,2112.6
Torre de Moncorvo,859.48,794.26,807.97,896.93,847.61,821.34,//,1461.42
Vila Nova de Foz Côa,947.29,769.15,916.25,952.46,1128.5,982.52,848.74,1356.88
Vila Real,1090.68,801.6,922.76,953.49,1070.35,1043.65,1019.8,1506.78
Terras de Trás-os-Montes,953.02,791.83,867.11,919.44,1049.12,911.22,963.14,1400.86
Alfândega da Fé,866.75,766.99,860.48,877.78,764.34,//,//,2510.76
Bragança,1019.58,810.08,870.3,944.91,1061.09,974.33,1047.83,1369.27
Macedo de Cavaleiros,892.91,771.96,883.7,852.73,928.39,907.33,1042.41,1390.44
Miranda do Douro,880.36,750.87,794.01,896.74,//,908.79,//,1892.22
Mirandela,957.84,812.68,936.68,904.89,1121.72,1000.9,878.3,1376.37
Mogadouro,884.65,777.56,858.23,975.75,848.72,817.36,//,2051.87
Vila Flor,890.31,781.1,777.65,988.26,1009.67,865.96,877.08,1312.09
Vimioso,854.48,776.21,784.23,926.71,//,1114.15,//,1365.43
Vinhais,810.18,768.52,741.28,858.64,1100.9,810.22,//,1424.06
Centro,1070.66,867.5,978.92,1034.99,1106.55,1154.72,1209.98,1311.9
Oeste,1019.34,857.17,984.69,1009.29,1062.99,1146.65,1198.01,1151.51
Alcobaça,1007.07,864.3,970.62,1002.74,1030.95,1208.18,926.64,1189.21
Alenquer,1182.18,902.67,1046.29,1117.93,1276.4,1291.82,1253.45,1400.55
Arruda dos Vinhos,1096.22,883.8,1060.55,1129.79,1278.68,1407.79,1000.44,1248.37
Bombarral,934.52,842.67,914.41,1000.54,980.98,854.84,//,1224.11
Cadaval,974.03,808.55,1068.05,968.14,828.12,987.25,1861.61,1845.73
Caldas da Rainha,959.45,837.57,908.48,972.85,986,962.59,1381.26,926.4
Lourinhã,964.87,865.31,1102.77,905.35,1035.46,979.69,1041.99,1466.74
Nazaré,917.64,765.11,924.11,891.24,1090.04,1007.61,1011.02,1167.38
Óbidos,1008.13,884.17,1023.02,975.81,1193.88,999.69,1508.78,1001.98
Peniche,954.91,834.8,1075.12,949.96,1015.01,1013.32,912.52,1107.88
Sobral de Monte Agraço,970.38,858.25,922.13,1011.48,1056.62,975.23,…,1151.31
Torres Vedras,1030.84,869.84,952.29,1038.72,1024.18,1196.53,1102.6,1262.51
Região de Aveiro,1133.26,893.96,1026.02,1081.75,1173.6,1185.18,1203.63,1339.06
Águeda,1071.38,930.07,1032.23,1082.84,1112.71,1104.54,1231.61,1227.48
Albergaria-a-Velha,1126.74,924.91,1082.53,1096.74,1134.87,1160.73,1170.97,1430.28
Anadia,1017.35,856.53,1023.41,1028.25,977.05,1013.03,1590.63,1137.76
Aveiro,1243.33,900.38,1060.61,1116.45,1283.52,1357,1300.58,1438.66
Estarreja,1260.27,891.13,990.52,1010.48,1313.83,1454.14,1152.39,1538.36
Ílhavo,1148.88,895.06,1078.42,1195.77,1456.18,1100.58,1216.02,1210.63
Murtosa,924.03,813.05,928.78,991.93,959.74,934.57,899.07,1747.67
Oliveira do Bairro,1047.8,916.97,993.27,1096.88,1082.77,1045.48,1198.61,1556.87
Ovar,1074.02,870.07,981.67,1036.52,1012.1,1122.64,1064.86,1214.11
Sever do Vouga,1050.87,893.21,948.89,999.73,1127.4,1373.52,1070.59,1517.23
Vagos,1038.96,850.77,946.34,1082.34,986.18,1185.12,1132.54,1118.62
Região de Coimbra,1093.15,878.17,958.6,1034.45,1117.47,1155.8,1298.27,1355.63
Arganil,861.05,797.55,846.08,910.29,973.85,790.51,1120.88,947.07
Cantanhede,1083.32,864.27,1012.93,1033.48,1143.41,1122.09,1140.49,1324.29
Coimbra,1182.41,926.57,977.68,1114.23,1200.75,1239.53,1396.68,1404.52
Condeixa-a-Nova,999.84,818.14,906.48,988.68,1089.96,1108.86,//,1119.89
Figueira da Foz,1194.68,899.33,1019.87,1082.39,1223.94,1272.31,1463.76,1458.77
Góis,822.93,793.05,794.87,805.61,853.58,//,//,966.05
Lousã,1000.71,867.66,870.63,898.78,1044.45,1165.19,1233.64,1467.18
Mealhada,1106.84,851.73,960.6,1142.42,1143.86,1351.84,1099.25,1225.08
Mira,942.47,858.47,1000.06,902.38,1033.62,957.84,919.4,1865.87
Miranda do Corvo,881.43,828.73,880.74,868.46,876.47,//,913.81,1304.98
Montemor-o-Velho,968.73,852.33,954.05,997.98,867.73,1087.38,1043.03,1163.65
Mortágua,1037.77,893.34,927.65,1081.13,908.12,1103.94,1111.61,1527
Oliveira do Hospital,902.46,820.81,862.63,913.47,831.11,846.84,743.52,1320.93
Pampilhosa da Serra,857.15,769.2,1017.62,826.41,863.26,843.22,//,1088.03
Penacova,979.1,839,932.28,937.41,896.37,1268.83,//,1782.98
Penela,939.68,863.44,945.84,874.11,820.61,1033.07,930.33,1041.47
Soure,1007.56,841.67,871.81,860.57,1287.04,1237.56,//,1157.15
Tábua,919.13,802.33,833.74,877,1294.39,884.06,902.22,891.91
Vila Nova de Poiares,956.53,805.52,872.79,1025.83,861.17,793.4,1230.97,1197.24
Região de Leiria,1121.98,919.59,1062.55,1135.19,1181.31,1200.82,1382.83,1333.59
Alvaiázere,887.94,813.91,898.67,905.76,824.71,947.69,//,2071.09
Ansião,939.72,808.3,993.59,1000.17,958.95,944.59,//,1546.23
Batalha,1095.84,952.42,1161.57,1096.8,1126.41,1036.63,1507.75,1256.8
Castanheira de Pêra,937.71,838.32,1066.77,917.24,888.56,//,//,2533.79
Figueiró dos Vinhos,871.62,807.37,915.36,767.42,2026.15,834.46,//,1965.24
Leiria,1125.7,929.24,1060.59,1137.27,1145.42,1265.11,1244.17,1291.99
Marinha Grande,1335.3,1031.34,1227.44,1366.48,1488.17,1275.6,1771.23,1547.1
Pedrógão Grande,883.8,770.04,750.05,1015.03,1518.75,869.64,//,1622.12
Pombal,1024.95,890.81,970.91,1043.76,1124.55,1049.79,1162.72,1296.73
Porto de Mós,1087.96,881.17,1027.83,1087.06,1092.86,1287.74,1428.96,1215.99
Viseu Dão Lafões,1025.08,835.02,920.45,955.49,1064.31,1040.06,1147.1,1263.38
Aguiar da Beira,818.64,755.95,808.17,924.61,802.83,//,//,1979.36
Carregal do Sal,984.14,855.87,870.98,943.25,1222.56,1021.2,//,887.19
Castro Daire,877,780.73,803.42,950.24,1076.06,770.89,1052.92,1340.81
Mangualde,1105.26,852.64,1045.41,1011.24,1065.76,857.45,992.22,1311.7
Nelas,1098.19,849.79,950.51,898.58,1224.9,1232.45,1517.74,1078.63
Oliveira de Frades,1155.69,966.27,1049.15,993.11,1033.49,1287.5,//,1401.39
Penalva do Castelo,906.68,820.83,932.62,841.72,718.16,1076.01,831.01,1693.58
Santa Comba Dão,923.48,833.97,927.55,857.61,1059.64,820.01,//,1202.31
São Pedro do Sul,837.56,774.14,827.95,861.5,874.77,823.54,1377.08,1123.78
Sátão,814.95,745.04,834.16,870.52,789.35,914.57,856.15,1536.66
Tondela,1104.46,852.07,886.68,943.07,1449.43,1083.88,1429.96,1212.2
Vila Nova de Paiva,833.66,742.19,890.05,841.67,878.3,1100.03,//,1745.72
Viseu,1036.89,850.52,928.07,980.42,1038.18,1023.72,1069.64,1307.69
Vouzela,937.21,819.34,866.92,1029.36,784.54,960.19,980,1004
Beira Baixa,995.38,818.86,923.71,952.06,940.35,1209.41,932.79,1224.34
Castelo Branco,994.62,823.86,943.43,969.42,934.76,1166.77,903.12,1181.76
Idanha-a-Nova,906.71,828.38,1058.17,926.72,944.22,…,831.51,1587.01
Oleiros,945.86,784.61,766.32,903.9,826.31,1281.84,1576.47,1368.88
Penamacor,908.38,793.61,931.72,996.19,//,811.35,//,1694.92
Proença-a-Nova,946.81,802.76,874.61,852.29,945.15,891.19,//,1757.29
Vila Velha de Ródão,1251.25,823,868.06,955.44,1195.86,1472.78,//,3225.26
Médio Tejo,1051.55,851.47,931.72,1003.25,1071.18,1169.31,1198.42,1343
Abrantes,1109.35,868.34,994.82,986.63,966.04,1383.51,1279.67,1304.66
Alcanena,1095.96,924.21,978.3,1140.71,1116.58,1276.48,1222.5,1097.05
Constância,1262.83,775.76,807.57,1097.87,1112.3,1816.76,1399.89,2074.68
Entroncamento,1151.05,864.72,1058.95,957.68,1191.91,943.62,949.14,1526.15
Ferreira do Zêzere,960.95,817.88,979.35,996.09,1089.59,919.49,881.5,1260.76
Mação,912.53,854.39,820.79,785.84,1338.11,747.72,1003.24,1491.91
Ourém,1029.35,863.01,929.7,1027.59,1132.76,1401.74,1143.53,1155.43
Sardoal,843.79,800.91,815.92,//,…,842.7,//,2280.44
Sertã,898.19,806.99,844.25,896.31,1022.08,901.04,//,1497.22
Tomar,1025.39,797.7,871.53,916.56,973.33,928.37,1383.43,1417.18
Torres Novas,1099.68,883.25,945.47,1066.65,1060.37,995.5,1154.44,1369.44
Vila de Rei,835.38,790.99,830.2,715.5,2287.43,901.72,//,1863.45
Vila Nova da Barquinha,864.59,815.22,885.59,927.78,743.25,782.87,//,2384.78
Beiras e Serra da Estrela,974.36,807.05,864.75,902.26,971.58,1061.41,1007.73,1403.09
Almeida,835.44,765.08,731.31,827.14,947.56,840.89,//,1520
Belmonte,855.96,810.43,921.51,888.72,1422.77,741.68,854.98,1639.31
Celorico da Beira,979.15,789.28,788.11,1033.17,803.33,1199.72,1128.92,1416.48
Covilhã,987.86,839.74,890.99,924.79,967.16,950.01,967.18,1289.61
Figueira de Castelo Rodrigo,855.16,774.97,853.33,830.04,863.08,793.4,//,1940.09
Fornos de Algodres,807.87,736.86,834.87,752.12,977.81,1299.19,//,1002.8
Fundão,955.04,792.07,894.99,921.69,1011.97,1003.27,936.16,1307.48
Gouveia,894.58,835.11,819.12,826.69,851.19,1040.47,//,1335.06
Guarda,1100.48,820.19,901.51,911.99,1013.31,1353.86,1140.35,1498.18
Manteigas,852.82,789.81,869.4,823.67,880.77,//,894.92,988.61
Mêda,888.69,787.4,794.61,1043.25,856.84,//,//,2473.64
Pinhel,855.32,789.56,834.31,822.25,1152.03,873.23,//,1775.59
Sabugal,883.75,772.81,819.18,865.85,866.65,1414.05,1109.9,1797.27
Seia,915.13,806.37,840.19,899.84,979.44,1007.85,803.16,1366.22
Trancoso,946.19,801.36,918.65,944.43,1008.71,829.55,1184.87,1794.92
A. M. Lisboa,1477.39,1038.43,1199.77,1393.19,1517.51,1680.73,1833.56,1616.47
Alcochete,2011.49,931.16,1075.87,1117.02,1418.05,1306.49,6092.48,1169.1
Almada,1160.76,862.82,1003.54,1007.25,1087.26,1404.48,1387.35,1498.15
Amadora,1425.49,958.82,1131.12,1289.85,1445.15,2060.4,1834.71,1438.68
Barreiro,1107.81,854.47,977.61,987.8,1226.64,1262.05,1521.31,1174.62
Cascais,1215.47,976.78,1112.5,1156.19,1306.6,1418.93,1466.18,1332.73
Lisboa,1669.37,1217.53,1363.01,1638.81,1721.19,1743.64,1809.16,1812.53
Loures,1218.56,922.76,1057.89,1184,1236.79,1470.57,1360.68,1289.74
Mafra,1022,867.72,1027.26,1081.94,1161.17,978.45,996.95,1075.29
Moita,985.06,855.54,988.79,1114.27,973.99,1051.63,862.58,1210.8
Montijo,1027.62,873.54,938.45,1014.8,1094.34,1071.42,1082.39,1128.56
Odivelas,987.15,872.83,964.45,1032.47,1123.98,1017.4,1023.37,1082.91
Oeiras,1748.2,1230.72,1520.54,1826.25,1948.92,2377.27,2077.83,1488.49
Palmela,1408.93,878.49,1063.4,1082.2,1282.14,1345.55,1713.32,1625.34
Seixal,1271.66,862.42,939.19,1058.79,1114.4,1251.24,3642.81,1106.7
Sesimbra,1041.58,822.38,979.77,1433.41,1144.51,1008.54,910.95,1164.77
Setúbal,1208.56,934.42,1073.82,1102.35,1194.63,1364.66,1631.16,1323.24
Sintra,1220.7,919.55,1074.95,1139.05,1284.86,1492.67,1705.24,1360.57
Vila Franca de Xira,1245.63,928.88,1128.29,1165.53,1339.52,1210.08,1550.28,1355.1
Alentejo,1067.82,866.76,964.46,1047.19,1090.83,1082.07,1143.53,1397.72
Alentejo Litoral,1165.44,876.25,942.45,1098.31,1114.88,1150.37,957.22,2004.3
Alcácer do Sal,989.74,946.65,932.73,1078.35,824.85,1020.98,1156.48,1090.53
Grândola,990.88,869.98,885.9,951.63,1195.48,1042.5,1600.21,1099.33
Odemira,892.85,830.2,913.45,886.36,876.31,909.86,937.29,920.12
Santiago do Cacém,1058.19,856.09,947.89,1064.55,1147.59,1195.64,954.09,1306.18
Sines,1869.48,948.85,1068.95,1482.19,1469.95,1641.4,1331.87,2988.6
Baixo Alentejo,1129.81,851.89,958.65,991.61,1071.85,1057.09,1427.86,1878.01
Aljustrel,1184.33,882.13,1025.11,1082.56,1154.05,1207.89,1511.34,1034.79
Almodôvar,904.66,776,858.99,909.7,961.18,804.39,1653.03,1208.54
Alvito,1003.33,879.08,1012.28,948.77,1189.51,//,//,1196.42
Barrancos,825.43,685.14,773.02,868.43,947.23,1324.75,//,…
Beja,1102.31,901.14,1045.26,1065.21,1040.09,1125.78,1281.42,1433.04
Castro Verde,1796.19,814.97,996.04,1049.43,1171.8,1087.56,1416.35,2642.05
Cuba,954.75,945.32,804.58,1072.83,911.17,1017.57,//,1072.41
Ferreira do Alentejo,979.45,909.26,981.36,1065.99,962.6,956.84,//,1320.56
Mértola,861.35,805.8,883.18,929.33,//,875.17,//,1415.92
Moura,935.55,778.47,869.74,951.92,1531.92,1189.87,//,1304.51
Ourique,892.65,812.66,750.83,874.56,1006.56,977.62,//,1303.71
Serpa,888.58,819.12,893.4,881.42,1025.7,886.54,808.28,1947.92
Vidigueira,956.33,889.58,952.47,931.53,970.44,//,//,1335.98
Lezíria do Tejo,1037.32,887.98,981.61,1101.34,1143.87,1044.68,1097.78,1107.35
Almeirim,956.61,862.31,962.99,976.81,939.64,831.42,845.46,1114.78
Alpiarça,946.19,871.23,908.74,972.73,1057.46,816.04,1010.87,2240.5
Azambuja,1040.86,931.58,1138.62,1360.09,1203,1330.71,1052.18,900.12
Benavente,1093.75,910.75,1027.01,1064.07,1263.07,990.57,1347.94,1312.92
Cartaxo,1028.65,889.45,923.44,1100.69,1158.77,1064.53,//,1362.74
Chamusca,975.97,920.95,941.37,1077.63,1025.55,926.41,1008.92,1179.29
Coruche,1012.84,878.93,946.39,1097.9,1131.63,1024.35,979.24,1333.98
Golegã,973.66,870.07,995.84,1176.85,751.11,713.77,1079.5,1385.24
Rio Maior,1040.41,846.82,982.12,1128.56,1184.14,1021.6,1204.8,1131.85
Salvaterra de Magos,986.49,859.23,947.1,984.82,1185.91,1000.36,1648.18,1279.12
Santarém,1065.27,903.83,982.72,1079.1,1090.32,1013.95,949.65,1323.21
Alto Alentejo,989.48,841.39,950.05,933.7,1003.23,1065.4,1134.96,1259.98
Alter do Chão,882.12,857.21,864.69,935.57,812.54,…,//,1191.79
Arronches,898.84,888.81,687.2,835.32,992.12,//,//,2255.23
Avis,955.14,865.34,914.54,987.45,770.95,976.82,1026.44,2146.53
Campo Maior,1281.98,916.03,1032.96,1063.81,1259.16,1232.17,1350.99,1553.58
Castelo de Vide,892.1,818.38,854.86,898.06,845.12,1196.17,940.16,1071.22
Crato,833.53,750.75,825.98,829.13,832.33,900.03,//,1033.61
Elvas,891.96,832.08,945.47,920.47,921.52,1087.87,1027.49,862.11
Fronteira,944.57,873.5,1009.24,1623.36,809.4,…,//,1576.59
Gavião,854.48,919.96,1004.09,881.1,//,695.85,//,2378.25
Marvão,799.69,780.87,813.4,769.73,791.92,//,//,970.56
Monforte,1020.27,951.81,1030.62,921.45,1464.68,//,//,984.9
Nisa,830.13,738.07,809.07,840.83,742.32,900.83,//,1497.7
Ponte de Sor,1030.14,842.5,990.82,1036.05,1209.76,1033,1127.48,1248.96
Portalegre,991.03,838.73,910.03,925.87,1032.37,1113.61,923.4,1404
Sousel,925.35,819.95,1195.32,938.29,907.17,1019.92,//,2052.14
Alentejo Central,1045.47,859.88,963.98,1032.48,1058.52,1089.47,1241.64,1324.05
Alandroal,904.16,776.54,864.17,830.41,963.28,3217.04,996.7,2050.6
Arraiolos,972.03,839.91,1039.26,947.47,1159.72,1182.88,//,1232.11
Borba,966.21,847.11,969.33,1194.9,1330.83,880.05,//,982.27
Estremoz,998.18,855.89,1030.57,969.59,972.45,1121.11,1234.87,1284.94
Évora,1122.02,896.3,961.89,1081.13,1015.74,1087.42,1348.28,1338.34
Montemor-o-Novo,973.6,846.99,950.84,1070.72,929.73,1120.9,1037.96,1246.2
Mora,981.25,845.99,792.88,997.87,1026.06,1166.18,//,1959.35
Mourão,889.02,895.59,833.08,904.24,762.59,1518.27,//,1222.35
Portel,966.02,808.98,1149.03,1042.68,1107.55,893.57,//,2319.38
Redondo,967.83,823,933.33,1148.22,1117.95,//,//,1199.41
Reguengos de Monsaraz,937.69,806.89,890.5,928.64,1136.21,1008.41,1166.86,1095.33
Vendas Novas,1050.1,852.25,909.52,985.92,970.2,1252.52,1085.93,1424.73
Viana do Alentejo,908.95,865.79,953.37,912.37,957.02,785.02,//,2128.87
Vila Viçosa,1065.27,890.85,1033.2,1013.66,1328.76,1075.6,//,1380.68
Algarve,1029.01,846.16,957.91,1023.83,1060.41,1134.4,1168.2,1227.14
Albufeira,1004.45,842.98,921.31,988.12,1033.36,1089.77,1240.77,1081.76
Alcoutim,847.69,818.79,830.97,781.59,895.25,//,846.19,1825.27
Aljezur,855.95,798.89,919.17,898.17,872.01,853.18,…,1353.78
Castro Marim,864.92,776,836.56,898.09,899.19,1487.54,1097.71,1334.08
Faro,1170.3,875.58,975.22,1095.8,1147.26,1201.78,1222.77,1517.81
Lagoa,1029.38,873.38,941.02,1058.13,1008.79,1092.26,1068.45,1291.59
Lagos,980.65,859.44,1014.58,1015.23,1126.19,1021.32,883.98,1178.11
Loulé,1049.61,874.87,1035.73,1039.76,1152.16,1182.87,1263.9,1090.47
Monchique,887.89,747.78,803.13,1030.27,1041.79,1999.67,//,2089.76
Olhão,959.95,831.85,949.29,1055.03,981.1,1044.24,900,1059.46
Portimão,1049.22,825.06,899.39,998.84,1036.38,1316.26,1104.48,1189.79
São Brás de Alportel,972.33,829.34,982.37,993.8,991.93,2060.4,1083.51,1440.21
Silves,953.07,823.3,892.75,1000.28,1074.12,1081.42,1854.99,1124.53
Tavira,919.14,828.01,874.85,913.64,1146.17,948.95,987.23,1031.61
Vila do Bispo,945.38,862.73,962.84,942.07,907.93,1447.48,1082.02,1073.02
Vila Real de Santo António,941.04,779.92,975.33,964.04,980.91,1036.41,1009.58,1226
R. A. Açores,1100.47,838.12,906.99,973.62,1108.06,1075.63,1199.84,1683.93
Santa Maria,1492.53,797.02,731.08,812.9,1673.75,939.09,2763.3,2983.3
Vila do Porto,1492.53,797.02,731.08,812.9,1673.75,939.09,2763.3,2983.3
São Miguel,1117.89,842.36,910.92,988.11,1165.16,1062.7,1136.07,1670.71
Lagoa (R.A.A.),941.9,797.81,875.24,884.56,1189.79,1169.55,998.67,1094.23
Nordeste,860.78,738.19,821.3,902.41,760.48,968.69,754.11,2046.51
Ponta Delgada,1205.46,883.83,925.14,1023.03,1244.08,1085.94,1254.55,1767.41
Povoação,924.33,774.36,1086.79,818.13,968.99,889.34,668.36,1379.4
Ribeira Grande,999.26,778.99,879.32,991.34,1007.79,1037.58,1095.23,1259.72
Vila Franca do Campo,895.25,755.62,807.08,903.15,1049.59,1030.47,729.96,1147.67
Terceira,1057.24,839.7,943.13,970.39,986.82,1148.24,1123.45,1505.7
Angra do Heroísmo,1052.76,848.68,924.3,999.62,979.38,1210.53,975.1,1467.62
Vila da Praia da Vitória,1067.35,817.24,979.1,923.64,1004.34,1047.65,1928.95,1619.81
Graciosa,1039.07,792.99,774.02,980.68,958.04,1220.06,1302.56,1833.01
Santa Cruz da Graciosa,1039.07,792.99,774.02,980.68,958.04,1220.06,1302.56,1833.01
São Jorge,976.85,782.87,825.35,915.35,1103.75,1023.92,1419.49,1725.17
Calheta (R.A.A.),902.67,795.76,839.84,860.39,//,1210.96,…,1564.35
Velas,1015.69,777.29,797.94,967.13,1103.75,933.68,1414.47,1743.72
Pico,952.63,832.73,844.93,868.54,894.66,1015.11,1361.94,1694.08
Lajes do Pico,844.16,798.96,816.13,797.54,826.31,1235.77,//,1757.85
Madalena,952.98,847.59,844.03,867.84,897.5,1024.63,1135.89,1485.64
