,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Arouca,933.58,811.88,803.32,854.01,869.67,946.1,…,1359.59,1325.4,1300.26,…
Espinho,1008.84,711.24,840.2,850.18,861.81,955.36,1146.74,1574.8,1537.1,1602.62,1109.51
Gondomar,1016.64,746.6,841.15,903.79,873.53,984.33,1475.59,1504.35,1472.59,1469.99,1293.41
Maia,1250.69,815.68,838.02,940.81,974.29,1158.36,992.6,2024.38,1938.8,1836.28,2424.15
Matosinhos,1337.68,787.58,913.38,954.62,1009.17,1155.02,1185.87,1981.74,1912.69,1959.96,2911.49
Oliveira de Azeméis,1145.81,774.16,914.71,954.99,1047.53,1135.22,913.11,1842.21,1925.49,1560.2,2426.86
Paredes,919.37,694.27,801.74,810.41,835.01,908.32,877.83,1273.14,1378.52,1402.97,2535.48
Porto,1416.72,809.5,904.06,927.81,965.27,1233.19,1108.33,1812.48,1876.08,1891.95,2685.74
Póvoa de Varzim,1033.8,804.75,1196.59,918.04,890.38,951.01,949.55,1421.49,1491.05,1471.44,1060.13
Santa Maria da Feira,1089.74,817.26,930.9,930.75,939.2,1071.92,982.71,1646.12,1755.67,1698.75,1779.74
Santo Tirso,1008.32,741.22,826.75,846.58,913.52,1025.5,1280.33,1742.87,1621.68,1609.66,2869.88
São João da Madeira,1074.25,762.23,889.83,892.33,937.69,996.9,921.63,1744.16,1725.68,1780.5,2084.71
Trofa,1113.09,840.09,871.9,952.94,943.99,992.46,954.1,2159.2,1860.05,1947.77,4338.63
Vale de Cambra,1136.3,791.15,931.04,944.53,997.31,1036.08,785.23,2039.51,1893.04,1499.31,…
Valongo,1087.73,915.52,926.68,917.65,940.53,1068.65,817.41,1620.96,1650.95,1640.81,1899.82
Vila do Conde,1155.04,813.36,1001.42,927.44,982.76,1111.07,1371.98,1780.64,1750.92,1809.31,2560.13
Vila Nova de Gaia,1157.34,746.58,879.83,928.31,936.36,1062.84,864.1,1756.73,1726.92,1761.21,2205.38
Alto Tâmega,954.21,742.77,810.66,806.17,842.37,970.15,839.59,1397.63,1370.95,1497.14,1503.65
Boticas,875.98,…,762.88,774.88,789.92,866.22,//,992.94,1353.28,3085.19,//
Chaves,958.22,719.29,816.93,788.46,810.66,989.41,788.45,1267.15,1371.48,1488.16,1780.57
Montalegre,874.49,823.3,785.57,761.57,780.32,961.14,//,1024.35,1117.75,1133.29,1193.08
Ribeira de Pena,1233.31,784.58,967.1,1004.53,1197.88,1168.85,//,2818.94,1648.07,1654.29,//
Valpaços,872.12,//,745.9,784.92,820.71,869.3,…,1005.8,1213.24,1230.07,…
Vila Pouca de Aguiar,906.61,…,782.81,790.58,813.6,893.43,//,1320.18,1446.78,1118.21,//
Tâmega e Sousa,898.09,782.75,807.09,820.44,832.77,898.12,920.43,1358.97,1414.56,1483.88,1709.46
Amarante,904.92,760.3,825.53,839.77,805.97,859.79,914.82,1354.04,1388.57,1242.27,635.9
Baião,866.54,757.83,772.42,830.68,891.84,819.78,//,1468.25,1107.29,1246.53,…
Castelo de Paiva,853.04,778.43,774.69,798.73,788.92,870.18,1094.9,1300.97,1284.81,1287.9,1292.4
Celorico de Basto,794.35,666.38,747.62,740.8,736.61,796.24,…,990.82,1176.37,1182.34,…
Cinfães,919.2,809.79,873.25,996.59,859.81,880.99,…,1233.35,1061.9,1319.53,1841.48
Felgueiras,892.76,798.12,840.26,826.16,842.48,916.56,…,1359.7,1355,1348.12,3854.96
Lousada,860.57,754.46,783.69,817.7,833.04,864.93,…,1339.2,1298.25,1278.34,1321.35
Marco de Canaveses,886.23,836.82,835.06,831.12,874.99,870.36,1098.65,1272.39,1254.89,1042.71,1538.15
Paços de Ferreira,886.7,739.14,756.63,787.34,823.9,967.58,819.5,1363.58,1374.37,1402.32,827.72
Penafiel,975.43,825.38,800.93,803.25,834.4,911.41,957.2,1466.66,1680.63,2010.39,1683.03
Resende,803.25,…,714.32,723.96,759.42,791.38,//,…,1115.2,897.66,…
Douro,971.09,742.96,801.01,808.62,820.23,915.03,952.9,1406.36,1444.65,1700.46,1356.11
Alijó,921.84,758.97,803.62,793.96,824.51,869.96,…,1503.59,1390.63,1499.26,…
Armamar,876.58,716.39,756.47,807.57,788.51,875.5,//,1565.48,1258.88,1606.96,//
Carrazeda de Ansiães,860.95,666.47,741.62,777.54,781.28,850.76,//,1759.97,1243.25,…,…
Freixo de Espada à Cinta,895.31,//,744.05,737.36,758.16,940.96,//,…,1222.36,…,//
Lamego,929.75,670.15,807.49,795.04,791.06,921.78,813.01,1260.59,1336.48,1605.5,…
Mesão Frio,885.99,…,753.58,782.56,943.68,873.12,//,…,1077.79,1510.79,//
Moimenta da Beira,836.02,632.3,801.96,769.12,779.64,805.84,…,1470.97,1065.06,972.65,…
Murça,894.47,//,752.66,828.28,789.61,834.76,//,1334.48,1297.17,1238.08,//
Penedono,800.46,…,770.58,750.02,739.96,782.95,//,…,1057.96,…,//
Peso da Régua,982.1,708.63,798.26,856.9,846.95,976.77,//,1657.7,1360.48,1470.83,1807.52
Sabrosa,946.13,874.07,792.9,820.69,775.76,908.53,…,1208.89,1430.08,1346.98,…
Santa Marta de Penaguião,868.75,//,771.63,785.05,801.74,816.78,…,1886.28,1162.1,1492.11,…
São João da Pesqueira,965.44,770.03,803.43,835.54,824.21,1001.53,…,1440.08,1431.18,2017.04,//
Sernancelhe,806.36,…,704.03,723.08,754.87,824.95,//,1027.13,1137.56,794.47,//
Tabuaço,966.26,…,834.98,769.78,820.89,1003.92,…,1381.57,1407.67,1509.99,…
Tarouca,828.39,…,791,764.48,752.64,806.42,//,979.6,1321.61,1016.45,//
Torre de Moncorvo,859.48,…,722.25,754.48,807.39,869.45,…,1134.24,1195.9,1059.7,1142.61
Vila Nova de Foz Côa,947.29,827.83,789.19,850.83,818.17,924.94,745,1197.62,1442.3,1423.69,//
Vila Real,1090.68,783.33,866.64,845.77,855.35,949.72,881.42,1510,1593.28,1843.47,1296
Terras de Trás-os-Montes,953.02,733.55,771.96,796.6,809.58,889.68,883.64,1322.65,1339.76,1576.88,1977.37
Alfândega da Fé,866.75,//,729.2,809.86,795.08,831.19,//,1431.67,1234.4,…,//
Bragança,1019.58,808.72,795.28,815.72,839.09,899.37,…,1507.53,1393.16,1704.27,1950.82
Macedo de Cavaleiros,892.91,…,732.94,784.83,773.87,864.33,//,1063.61,1307.4,1367.23,…
Miranda do Douro,880.36,680.09,747.53,779.16,776.12,913.73,…,1543,1175.24,1312.08,//
Mirandela,957.84,668.94,796.42,791.57,812.58,905.78,1013.57,1254.36,1338.23,1475.17,…
Mogadouro,884.65,683.15,797.65,851.98,813.77,869.02,//,1102.79,1128.47,1360.07,//
Vila Flor,890.31,818.9,801.06,756.52,800.44,859.39,//,1611.98,1299.55,1413.4,//
Vimioso,854.48,…,679.24,722.98,789.12,936.48,//,876.36,1128.77,1226.56,…
Vinhais,810.18,…,717.96,723.57,731.98,779.49,//,1264.78,1236.4,1062.33,…
Centro,1070.66,786.03,874.25,934.09,947.93,1015.09,1003.91,1525.4,1528.37,1580.23,2352.47
Oeste,1019.34,791.34,866.98,923.93,927.42,992.28,1043.01,1524.38,1513.88,1545.49,1512.57
Alcobaça,1007.07,803.43,889.11,936.92,944.98,977.21,…,1506.55,1385.81,1313.24,1348.93
Alenquer,1182.18,833.02,942.72,1003.07,1041.64,1123.72,1943.73,1925.73,2030.44,2072.03,1192.52
Arruda dos Vinhos,1096.22,757.79,902.69,990.51,964.53,1000.92,…,1487.89,1712.58,1636.55,1011.38
Bombarral,934.52,741.6,830.91,866.83,827.95,949.35,886.1,1716.67,1427.38,1211.16,//
Cadaval,974.03,1022.59,878.5,871.44,890.88,917.96,//,1685,1492.5,1374.38,//
Caldas da Rainha,959.45,705.66,785.31,892.96,924.92,928.22,1046.2,1452.92,1368.69,1469.28,1720.43
Lourinhã,964.87,855.74,953.02,1022.34,894.6,938.64,958.6,1184.92,1189.41,1338.93,//
Nazaré,917.64,827.87,783.12,858.16,841.21,911.64,911.33,1111.16,1323.61,1334.76,//
Óbidos,1008.13,753.29,819.02,824.12,846.26,967.64,…,1484.06,1356.28,1729.15,1824.14
Peniche,954.91,706.4,858.6,869.18,899.19,937.28,1009.59,1324.04,1370.78,1257.29,…
Sobral de Monte Agraço,970.38,763.34,855.85,929.38,862.7,1005.47,…,944.58,1492.72,1449.92,1717.32
Torres Vedras,1030.84,775.51,878.25,896.21,914.11,1029.1,818.75,1514.29,1558.39,1486.46,1685.74
Região de Aveiro,1133.26,782.78,903.72,962.19,979.33,1054.85,927.96,1669.95,1650.44,1590.42,2513.23
Águeda,1071.38,801.94,902.92,944.55,967.66,1030.04,…,1518.43,1537.47,1396.08,2630.76
Albergaria-a-Velha,1126.74,740.13,933.02,1015.74,1006.15,1083.41,…,1655.58,1659.91,1561.26,1907.58
Anadia,1017.35,842.48,851.87,920.88,888.31,993.14,…,1441.92,1503.27,1241.31,1564.97
Aveiro,1243.33,783.94,943.01,1036.39,993.79,1084.51,881.33,1782.43,1721.54,1678.33,2562.59
Estarreja,1260.27,884.82,962.44,1042.06,1199.52,1238.72,1069.37,1350.5,1835.34,1815.47,3028.39
Ílhavo,1148.88,732.73,963.95,991.14,986.13,1038.74,1041.5,1743.43,1665.04,1728.25,1449.75
Murtosa,924.03,658.03,747.33,842.75,822.67,960.68,//,1226.47,1420.16,1175.42,…
Oliveira do Bairro,1047.8,784.59,945.86,901.87,959.52,1000.1,783.94,1493.66,1490.23,1377.97,…
Ovar,1074.02,764.27,846.98,902.01,927.08,1014.73,…,2078.18,1697.54,1497.79,1590.26
Sever do Vouga,1050.87,…,907,936.87,969.54,1021.49,…,1530.36,1425.73,1785.09,//
Vagos,1038.96,747.81,805.99,877.6,886.86,986,//,1501.41,1568.49,1419.17,2270.41
Região de Coimbra,1093.15,759.23,860.12,924.66,953.73,1015.95,1149.04,1432.98,1523.86,1635.37,2374.33
Arganil,861.05,625,764.99,824.87,793.57,859.31,…,1696.94,1202.86,1068.7,//
Cantanhede,1083.32,722.78,846.3,923.19,970.68,1048.07,903.79,1562.55,1505.29,1610.62,2649.59
Coimbra,1182.41,734.75,857.11,932.86,967.6,1022.58,1380.19,1433.01,1559.11,1749.92,2382.73
Condeixa-a-Nova,999.84,739.13,833.39,972.35,920.58,945.13,//,1436.71,1237.31,1429.41,//
Figueira da Foz,1194.68,804.47,918.09,982.07,1077.93,1136.47,821.25,1526.14,1776.26,1709.75,2868.49
Góis,822.93,…,767.21,760.02,796.72,780.33,//,966.57,1143.14,1057.51,//
Lousã,1000.71,691.59,841.45,872.46,873.9,943,//,1356.95,1435.01,1569.26,…
Mealhada,1106.84,779.98,952.47,1046.93,1060.5,1044.88,821.23,1738.7,1448.23,1213.71,//
Mira,942.47,788.85,977.34,840.78,820.93,889.36,…,1218.61,1369.99,1244.98,1444.98
Miranda do Corvo,881.43,861.31,823.11,790.48,796.85,907.82,…,1130.44,1110.83,1062.28,//
Montemor-o-Velho,968.73,904.5,818.31,915.41,897.35,983.82,…,972.59,1313.12,1317.83,…
Mortágua,1037.77,739.25,822.26,869.38,869.31,1024.03,…,1374.41,1386.66,1320.17,2062.71
Oliveira do Hospital,902.46,749.7,813.67,806.07,822.45,906.36,897.96,1506.33,1248.3,1177.31,2084.29
Pampilhosa da Serra,857.15,…,779.22,737.07,826.3,879.1,//,1433.16,1267.63,1066.07,//
Penacova,979.1,…,836.93,957.42,961.06,966.95,//,934.77,1321.54,1266.22,//
Penela,939.68,777.45,875.06,912.86,852.19,875.38,//,1199.68,1167.55,1140.13,1367.29
Soure,1007.56,746.91,887.34,952.64,913.85,988.27,//,1479.99,1376.67,1399.85,…
Tábua,919.13,769.48,846.13,880.94,816.07,886.78,1170.37,1302.86,1515.84,1650.06,1071.1
Vila Nova de Poiares,956.53,//,816.48,921.27,868.89,928.25,1001.43,915.21,1457.09,2025.62,…
Região de Leiria,1121.98,840.41,939.99,1012.71,1020.32,1078.2,972.81,1561.75,1507.03,1568.66,2297.93
Alvaiázere,887.94,716.8,838.24,907.81,820.84,873.84,…,1102.19,1178.37,1012.1,…
Ansião,939.72,853.76,825.5,857.77,893.66,942.31,…,1356.89,1260.24,1474.45,…
Batalha,1095.84,851.75,971.14,1067.63,1014.77,1063.71,…,1434.39,1495.69,1446.48,1268.78
Castanheira de Pêra,937.71,…,801.67,872.58,855.9,926.18,//,…,1324.51,1590.06,//
Figueiró dos Vinhos,871.62,…,768.75,810.06,800.22,857.56,//,1329.88,1231.6,1049.13,//
Leiria,1125.7,866.9,955.78,1023.6,1006.92,1057.4,947.41,1489.54,1487.68,1601.33,2591.32
Marinha Grande,1335.3,835.41,1112.98,1218.9,1232.98,1273.49,1123.72,1856.6,1678.71,1654.24,3078.59
Pedrógão Grande,883.8,713.79,790.94,772.13,784.07,849.28,//,977.71,1288.75,…,…
Pombal,1024.95,804.87,912.64,934.39,941.63,997.4,…,1556.53,1472.06,1314.02,2691.95
Porto de Mós,1087.96,836.89,892.27,964.79,1019.96,1090.92,//,1750.72,1498.54,1675.35,…
Viseu Dão Lafões,1025.08,773.73,836.94,895.69,899.17,973.22,961.11,1477.3,1501.13,1535.48,2168.29
Aguiar da Beira,818.64,…,763.59,744.3,790.09,819.6,…,1112.03,1097.44,1159.6,…
Carregal do Sal,984.14,805.44,804.55,829.99,899.63,978.81,//,1102.6,1466.05,1287.29,…
Castro Daire,877,…,792.64,854.89,851.38,866.15,…,1481.61,1065.69,1367.74,…
Mangualde,1105.26,732.66,943.75,1080.67,1033.91,1059.2,…,1550.49,1549.73,1637.87,2835.69
Nelas,1098.19,950.48,902.02,948.85,963.56,1063.62,…,1745.26,1671.38,1445.62,…
Oliveira de Frades,1155.69,764.08,868.49,940.27,962.6,1053.6,//,1795.79,1783.46,2030,…
Penalva do Castelo,906.68,726.09,789.56,898.79,878.76,938.65,755.01,1450.36,1171.84,1144.56,…
Santa Comba Dão,923.48,823.13,804.02,844.21,850.64,949.94,//,1180.9,1268.66,1430.55,…
São Pedro do Sul,837.56,768.27,744.77,785.46,756.65,844.96,…,1294.73,1239.36,1321.5,//
Sátão,814.95,785.57,750.52,777.66,772.98,805.81,…,965.34,1198.38,1011.25,//
Tondela,1104.46,757.74,783.43,872.3,912.57,1099.76,1112.03,1644.77,1735.63,1684.95,2357.97
Vila Nova de Paiva,833.66,786.31,764.65,775.77,763.6,887.01,//,1064.63,1027.87,1278,//
Viseu,1036.89,748.47,863.03,888.9,889.04,941.39,942.77,1437.18,1478.84,1332.89,2188.14
Vouzela,937.21,…,852.8,820.95,849.14,934.57,//,1357.57,1388.07,1473.73,//
Beira Baixa,995.38,737.11,802.22,848.99,887.54,956.4,1102.02,1335.49,1421.82,1420.51,1305.94
Castelo Branco,994.62,721.65,813.34,858.89,891.22,929.46,751.73,1418.35,1409.57,1412.04,1432.9
Idanha-a-Nova,906.71,777.5,786.35,784.32,772.51,888.95,//,1021.64,1371.07,1526.54,1052
Oleiros,945.86,919.63,838.31,902.89,900.64,979.8,//,1268.37,1154.11,1412.05,//
Penamacor,908.38,710.53,783.96,797.38,801.28,946.51,…,1140.64,1369.42,…,//
Proença-a-Nova,946.81,704.18,761.29,816.88,811.3,922.61,…,1035.71,1419.81,1626.4,//
Vila Velha de Ródão,1251.25,…,743.44,823.49,1141.25,1304.09,//,1094.07,1731.84,1354.86,//
Médio Tejo,1051.55,803.79,897.62,921.4,940.88,989.34,786.57,1554.94,1526.59,1572.71,1640.06
Abrantes,1109.35,750.35,939.68,928.51,933.45,1027.31,//,1787.89,1673.52,1796.93,1244.66
Alcanena,1095.96,817.68,912.26,914.89,951.95,1076.78,//,1746.04,1625.6,1591.36,…
Constância,1262.83,…,782.97,950.63,1025.96,1214.19,//,2698.31,2073.56,1489.04,//
Entroncamento,1151.05,…,939.22,980.16,1087.43,1084.5,…,1428.94,1554.4,1693.64,//
Ferreira do Zêzere,960.95,740.46,882.15,936.83,908.4,961.55,…,1513.93,1289.79,1173.56,…
Mação,912.53,714.11,818.75,891.99,841.05,938.01,//,1126.56,1417.37,1149.27,//
Ourém,1029.35,901.77,932.84,951.72,959.31,967.15,756.63,1343.01,1368.64,1416.82,1462.91
Sardoal,843.79,…,761.76,778.77,802.59,887.38,//,…,1024.06,…,//
Sertã,898.19,744.57,817.8,795.27,833.83,854.91,…,1384.31,1387.52,1213.71,…
Tomar,1025.39,707.91,873.21,896.98,901.44,952.57,709.57,1403.23,1465.72,1538.38,1326.95
Torres Novas,1099.68,773.24,887.78,934.7,964.07,995.26,946.93,1696.95,1666.91,1830.45,2333.7
Vila de Rei,835.38,699.97,737.86,709.96,764.42,785.71,…,868.42,1218.61,1496.3,//
Vila Nova da Barquinha,864.59,//,794.96,759.73,781.54,837.34,//,712.67,1448.97,1193.04,//
Beiras e Serra da Estrela,974.36,740.93,798.87,843.33,854.64,936.81,861.08,1385.28,1383.23,1513.04,1544.88
Almeida,835.44,647.23,724.55,785.13,758.2,903.38,//,1038.49,1133.34,1065.34,//
Belmonte,855.96,705.26,747.66,742.36,766.97,848.15,//,1610.26,1236.99,1384.04,…
Celorico da Beira,979.15,736.24,827.3,1079.9,920.82,1027.11,//,1441.66,1259.6,1606.07,//
Covilhã,987.86,715.61,807.14,805.49,828.47,910.79,830.79,1455.84,1422.47,1556.33,1916.04
Figueira de Castelo Rodrigo,855.16,…,769.69,734.41,766.94,866.42,//,963.27,1190.77,2259.56,//
Fornos de Algodres,807.87,…,738.23,743.93,766.95,825.53,//,…,1061.02,1063.85,//
Fundão,955.04,732.71,777.12,808.14,829.14,940.26,1015.82,1378.8,1322.93,1342.58,1819.88
Gouveia,894.58,783.7,767.72,779.87,812.13,881.74,900,1214.51,1293.65,1274.87,…
Guarda,1100.48,798.65,880.95,985.39,968.67,1012.4,//,1414.39,1495.61,1627.9,1141.36
Manteigas,852.82,…,717.15,747.14,790.59,834.96,…,1284.54,1118.48,1827.27,//
Mêda,888.69,…,741.96,874.64,835.4,840.8,…,1557.13,1252.81,1093.94,//
Pinhel,855.32,673.14,743.71,786.92,786.38,856.94,//,761.34,1295.92,1384.8,//
Sabugal,883.75,697.86,783.19,795.48,794.48,877.35,//,1733.28,1197.38,1556.6,…
Seia,915.13,754.45,788.55,790.92,806.57,911.52,…,1270.08,1342.33,1534.3,1645.86
Trancoso,946.19,…,834.81,856.86,839.65,935.79,//,1317.17,1368.98,1377.13,//
A. M. Lisboa,1477.39,805,891.91,975.06,1025.06,1283.03,1222.4,2144.21,2186.01,2140.22,2769.97
Alcochete,2011.49,744.26,907.02,1230.68,1162.51,3064.42,//,1838.76,1972.52,2030.45,…
Almada,1160.76,763.94,829.28,873.4,893.86,997.22,1096.74,1708.28,1824.55,1981.85,2813.34
Amadora,1425.49,728.68,797.46,853.23,890.24,1189.28,1016.28,2383.28,2319.66,2170.26,2511.97
Barreiro,1107.81,844.05,868.23,952.21,934.71,1017.78,…,1575.53,1671.77,1706.64,2009.53
Cascais,1215.47,782.19,902.34,925.18,930.97,1085.14,1142.19,2156.65,1828.74,1702.69,2822.24
Lisboa,1669.37,811.82,880.77,983.47,1069.88,1368.04,1355.84,2157.03,2268.7,2201.33,2875.3
Loures,1218.56,785.17,903.1,967.13,1010.14,1166.91,1084.99,2092.45,1935.42,1933.83,1973.21
Mafra,1022,942.03,936.47,981.19,945.65,1006,1035.21,1359.51,1425.27,1521.01,2774.21
Moita,985.06,756.57,812.3,866.17,885.19,980.37,…,1523.25,1439.62,1402.35,1482.64
Montijo,1027.62,738.6,779.88,885.71,897.94,1014.72,1237.24,1750.41,1616.38,1561.86,2875.69
Odivelas,987.15,841.99,848.42,908.69,890.14,983.69,1329.98,1448.21,1325.18,1295.98,2459.74
Oeiras,1748.2,798.23,873.62,1012.33,1062.87,1459.95,1479.91,2397.3,2380.54,2292.46,2832.24
Palmela,1408.93,1065.91,991.1,1153.18,1275.77,1352.59,1070.58,2567.97,2171.05,1921.21,2115.83
Seixal,1271.66,713.25,884.13,985.7,1213.78,1337.46,1001.96,1888.98,1612.34,1497.89,2427.37
Sesimbra,1041.58,832.81,1163.46,1000.06,954.73,950.54,…,1369.46,1452.81,1437.38,1020.65
Setúbal,1208.56,788.96,970.26,1026.28,1011.26,1125.93,1042.56,1786.47,1941.78,1918.63,2758.31
Sintra,1220.7,833.41,915.65,980.86,977.41,1148.02,1016.2,1990.91,1919.5,1954.1,2588.55
Vila Franca de Xira,1245.63,860.64,948.11,1016.21,999.39,1189.06,1025.54,1861.35,1967.49,1844.69,1687.61
Alentejo,1067.82,793.03,867.85,924.13,936.81,1025.98,1003.49,1801.48,1656.28,1763.51,1813.11
Alentejo Litoral,1165.44,785.48,870.13,949.19,1000.89,1153.49,968.1,2287.41,1935.56,2104.44,1585.93
Alcácer do Sal,989.74,799.74,882.48,862.77,877.27,952.65,//,1292.01,1642.53,1696.42,1006.27
Grândola,990.88,731.96,834.85,879.99,894.8,979.54,…,1813.24,1523.47,1508.34,1865.52
Odemira,892.85,751.36,786.35,822.98,824.17,854.35,963.56,1322.51,1528.24,1852.18,2017.31
Santiago do Cacém,1058.19,847.16,883.63,979.9,934.74,970.05,…,1595.87,1507.67,1519.34,1340.88
Sines,1869.48,884.23,1120.17,1271.4,1521.37,1828.24,//,3533.19,2935.38,2842.76,2124
Baixo Alentejo,1129.81,797.4,896.37,978.27,983.02,1085.81,980.1,2143.53,1765.97,1621.69,2033.47
Aljustrel,1184.33,738.23,984.29,1114.08,1121.34,1036.28,//,1985.94,1884.24,1688.11,…
Almodôvar,904.66,719.35,758.12,787.46,857.28,892.5,//,1109.7,1323.95,1594.31,//
Alvito,1003.33,//,981.8,898.69,878.57,1016.87,//,…,1372.81,//,//
Barrancos,825.43,…,722.4,772.16,752.31,838.67,…,…,1348.44,…,//
Beja,1102.31,758.33,855.46,907.19,929.48,1032.18,877.34,1561.89,1641.57,1539.76,1811.04
Castro Verde,1796.19,1354.67,1328.55,1563.09,1467.88,1676.56,//,4210.66,3008.04,2165.79,3065.79
Cuba,954.75,925.42,817.69,861.67,837.11,888.18,//,2127.8,1538.16,1175.31,…
Ferreira do Alentejo,979.45,902.46,846.91,889.01,909.86,988.07,//,1105.48,1470.61,1647.87,2857.76
Mértola,861.35,941.69,802.99,775.91,794.77,863.67,…,1291.04,1256.71,1869.71,//
Moura,935.55,845.05,771.68,829.77,812.86,939.32,//,1447.53,1440.98,1506.11,…
Ourique,892.65,1186.94,790.77,802.87,812.85,948.5,//,1138.68,1336.41,1798.37,//
Serpa,888.58,765.36,813.32,808.62,802.14,889.44,…,1349.75,1328.48,1479.23,//
Vidigueira,956.33,714.49,801.71,855.48,811.27,1010.67,//,1888.84,1464.72,1502.29,//
Lezíria do Tejo,1037.32,790.45,876.17,930.84,918.49,963.08,972.24,1616.36,1615.79,1713,2200.56
Almeirim,956.61,797.56,778.22,850.55,874.76,937.11,…,1430.34,1411.55,1142.24,//
Alpiarça,946.19,683.63,817.18,760.01,856.43,922.26,//,1262.58,1505.06,1300.18,//
Azambuja,1040.86,863.55,897.96,957.27,975.74,859.09,//,1899.11,1986.2,1663.61,2709.74
Benavente,1093.75,829.1,958.09,960.19,960.79,1056.95,1237.74,1866.49,1821.88,1754,1823.59
Cartaxo,1028.65,712.27,873.29,896.81,883.45,1023.24,…,1569.37,1537.22,1529.33,//
Chamusca,975.97,810.81,823,859.79,886.44,977.99,…,1402.74,1460.43,1125.76,…
Coruche,1012.84,753.27,888.43,914.09,913.13,1035.7,//,1481.9,1487.96,1641.24,…
Golegã,973.66,700.66,849.92,951.45,896.66,894.63,…,1302.88,1279.94,1529.52,//
Rio Maior,1040.41,806.27,896.38,978.9,947.18,1021.25,886.15,1745.28,1479.15,1627.19,1658.23
Salvaterra de Magos,986.49,707.43,868.9,878.31,891.7,989.43,//,1626.76,1515.2,1683,…
