,"Rate of employees in establishments with < 10 workers, %","Rate of employees in establishments with > 250 workers, %","Mean monthly earning , €","Proportion of employees with higher education, %","Proportion of employees who changed the enterprise , %","Net attraction rate of employees, %","Disparity in mean monthly earning by sex, %","Disparity in mean monthly earning by enterprise size class , %","Disparity in mean monthly earning  by sector of activity, %","Disparity in mean monthly earning  by level of education, %","Disparity in mean monthly earning  by main occupation, %"
Vila Real,24.8,31,1090.7,27.1,7.9,ә,2.9,25.2,4.1,29.9,37.8
Terras de Trás-os-Montes,34.7,21.1,953,22.3,5.8,ә,4.7,21.6,3.3,23.9,28.9
Alfândega da Fé,40,2.3,866.8,14.8,2.8,-2.2,1,29.5,9,18.6,22.1
Bragança,27.4,30.7,1019.6,27.8,6.6,0.7,4.6,21,2.6,26.2,33
Macedo de Cavaleiros,43.7,12.2,892.9,19.1,7,-0.8,1.9,20.8,4.9,22.6,26.9
Miranda do Douro,44.5,6.4,880.4,13.9,3,ә,7.5,31,5.9,18,27.7
Mirandela,33.6,24.1,957.8,22.5,5.7,0.7,5,19.4,5,23,29
Mogadouro,46.7,4.4,884.6,15.4,5,ә,7.4,29.3,3.2,12.4,21.1
Vila Flor,27.7,17.2,890.3,14.8,3,-0.4,4.9,14.6,6.2,21.3,26.3
Vimioso,46.5,6.9,854.5,18.9,3.8,-2.1,1.7,18.7,2,21.7,18
Vinhais,55,3.7,810.2,14,5.7,-1.7,4.8,16.3,3.8,21,25.2
Centro,22.4,22.8,1070.7,18.7,9.5,ә,10.8,13.8,4.9,22,28.6
Oeste,25.5,17.3,1019.3,13.7,10.1,-0.2,10,11.3,3.8,19.8,25.9
Alcobaça,25.6,5.5,1007.1,13.7,9.4,-0.5,10.1,11.3,4.7,15.4,23.5
Alenquer,17.2,31.1,1182.2,13.4,9.8,-0.5,10.7,13.5,4.4,28.5,35.7
Arruda dos Vinhos,21.7,21.2,1096.2,17.6,11.6,6,8.7,15.3,1.6,24.8,28.3
Bombarral,34,6.5,934.5,11.2,7.9,-1,5.6,10.8,5.5,20.2,22
Cadaval,29.8,6,974,13.3,8.3,0.7,7.9,24.8,6.3,21.1,24.4
Caldas da Rainha,24.7,30.7,959.4,12.5,11.7,-2.4,10.9,15.1,5.9,17.6,23.7
Lourinhã,36.6,3.1,964.9,11.1,9.2,ә,9.3,13.1,11.1,10.3,20.5
Nazaré,32.6,14.8,917.6,12.4,9.9,0.5,7.3,14.1,6,16.6,22.9
Óbidos,24.8,8.1,1008.1,22,11.6,0.6,9.5,11.5,2.1,23.3,27.6
Peniche,29.6,14.1,954.9,12,9.6,-0.7,10.6,9.8,8.9,15.9,25.7
Sobral de Monte Agraço,29.1,5.4,970.4,10.2,8.4,2.6,7.1,9.4,4.1,18.7,22
Torres Vedras,24.8,18.1,1030.8,14.4,10.1,ә,8.2,12.7,5.8,21.3,27.9
Região de Aveiro,16.9,29,1133.3,20.4,10.4,0,12,12.8,4.8,25.1,31.9
Águeda,19,10.1,1071.4,17.6,10,ә,12.4,7.8,3.7,20.2,31.1
Albergaria-a-Velha,17,23.1,1126.7,16,10.5,2,11.7,12.1,5.6,20.6,29.9
Anadia,19.8,24.5,1017.4,17.6,7.3,ә,8.9,10.5,5.1,21.4,27.4
Aveiro,14.1,41.8,1243.3,28,11.8,-4.1,12.4,15.1,8.9,28.9,34.5
Estarreja,13.3,34.4,1260.3,15.7,14.1,6,15.9,19.6,7.1,19.9,30.8
Ílhavo,17.2,26,1148.9,21.6,10.4,3.6,14.5,13.8,2.7,24.4,34.4
Murtosa,26.7,19.9,924,13.5,10.7,3.3,8.8,14.9,2.3,20.8,26.3
Oliveira do Bairro,19.5,7,1047.8,17.2,10.1,2.3,10.7,9.7,5.2,19,28.3
Ovar,15.1,39.1,1074,16.7,9,ә,9,11,8,27.3,33.5
Sever do Vouga,28,9.3,1050.9,15.1,8.2,-1.1,11.3,16.3,7,18.3,25.6
Vagos,21.9,29.3,1039,20,9.1,-0.1,7.7,11.7,7.6,25.3,29.5
Região de Coimbra,22,25.1,1093.2,22.3,9.1,ә,11.2,15.3,3.8,23.5,29.9
Arganil,26.7,7,861.1,9.9,7.3,-2.8,6.2,8.3,0.7,17.2,21.2
Cantanhede,20.1,24.4,1083.3,18.3,10,2.1,10.9,13.3,6.9,23.5,28.1
Coimbra,20.8,35.2,1182.4,32.2,9,-0.7,10.6,16,3,26.4,33.5
Condeixa-a-Nova,21.8,14.1,999.8,20.7,8.4,ә,10.2,11.6,3.7,16,23.4
Figueira da Foz,19.3,28.4,1194.7,18.7,9.8,0.7,15,17.4,12.6,23,31.7
Góis,44.5,9,822.9,12.7,4.1,-3.7,ә,6.1,4.6,13.4,18.5
Lousã,28.3,18.6,1000.7,18.4,8.6,2.3,8.1,17.8,6.4,21.3,24.7
Mealhada,16.4,24.8,1106.8,16.1,9.7,1.9,11.2,14.2,3.4,14.7,24.4
Mira,33.4,1.1,942.5,16.1,8,ә,8.5,11.3,2.9,19.4,30.4
Miranda do Corvo,37.2,24,881.4,17.6,5.4,-1.9,4.8,10.3,3,13.1,20.3
Montemor-o-Velho,26.1,4.1,968.7,13.6,11.3,2.2,7.5,9.7,6.4,14.5,23.5
Mortágua,17.9,13.4,1037.8,24.8,11.7,2.5,10.5,10.8,3.9,20.3,28.9
Oliveira do Hospital,25.7,14.4,902.5,14,7.1,ә,7.4,16,2,17.6,22.6
Pampilhosa da Serra,31.2,7.7,857.1,9.6,4.6,ә,4,11.2,4.8,16.9,19.6
Penacova,35.7,2.7,979.1,10.9,8.6,-0.6,11,21,14.3,11.8,22.5
Penela,19.2,8.1,939.7,22.9,12.1,5,9.3,8.6,8.5,13.3,26.1
Soure,28.5,11,1007.6,14.2,8.2,1,13.8,18.8,12.7,17.8,23.6
Tábua,19.4,32,919.1,10.2,6.7,-1.5,9.4,15.9,3.2,22,31.4
Vila Nova de Poiares,20.5,20.6,956.5,10.7,6.8,1.7,11,16.9,5.3,22.6,26.2
Região de Leiria,23.3,15.2,1122,18.5,10.2,ә,11.8,12.3,6.9,17.3,25.6
Alvaiázere,33.6,1.1,887.9,11.1,6.5,-2.9,4.9,15.1,4.8,11.4,16.3
Ansião,29.4,2.1,939.7,12.5,8.8,ә,10,12.6,1.9,14.7,21
Batalha,24.1,8.6,1095.8,14,9,-0.6,13.2,12,3.8,14.6,26
Castanheira de Pêra,16.1,0.9,937.7,14.4,5.6,3.3,10.5,18.2,6.4,20,23.6
Figueiró dos Vinhos,43.9,4.4,871.6,13.4,8.1,3.2,4.1,29.1,1.6,16.8,23.6
Leiria,22.2,19.1,1125.7,21.3,11.2,-0.3,10.6,11.4,4.8,17.8,26.5
Marinha Grande,17.1,16.1,1335.3,20.8,9.1,1.1,16.1,14.2,14.1,14.4,29.2
Pedrógão Grande,43.6,5.1,883.8,16.1,4,-4.3,0.6,23.1,3.4,21.5,22.4
Pombal,27.6,11.5,1025,13.4,9.2,0,10.3,11.4,3.3,17.4,21.1
Porto de Mós,24.1,11.6,1088,14,10.7,1.1,10.5,14.7,5.1,18.1,25.5
Viseu Dão Lafões,22.6,29,1025.1,18.1,9.3,ә,8.5,14.9,2.3,22.6,28.7
Aguiar da Beira,46.5,0.9,818.6,11.4,7,0,5.7,15.7,5,12.9,15.3
Carregal do Sal,16.1,11.6,984.1,16.4,7.1,ә,9.4,12.4,1.6,20.6,32.3
Castro Daire,40.8,17.6,877,10.3,4.7,0.8,8.9,15.5,3.8,11,20.5
Mangualde,15.6,45.9,1105.3,12,7.1,-3.7,14.3,16.7,4.5,15.9,24.3
Nelas,14.5,34,1098.2,16.1,7.6,-0.8,13.9,17.8,5.5,22.9,40
Oliveira de Frades,17.1,21.6,1155.7,19.9,8.7,-1.5,11.6,15.1,8.2,32.4,37.9
Penalva do Castelo,23.8,5.8,906.7,10.2,6.8,1.1,9.4,18.1,5.8,12.1,21.8
Santa Comba Dão,31,6.7,923.5,13.1,7.4,-0.5,9.1,12.5,2.9,15.9,19
São Pedro do Sul,28.2,4.4,837.6,10.5,8.4,0,7.1,10.4,3,17.4,22.7
Sátão,40.3,18,815,8.8,6.9,1.3,3.7,13.4,2.9,13.9,16.7
Tondela,19.2,36,1104.5,18.1,10.3,3.2,11,19.3,8.6,28.1,36.5
Vila Nova de Paiva,42.1,1.9,833.7,12.4,4.5,5.2,2.5,17.3,4.7,12,15.9
Viseu,22.1,33.1,1036.9,23,11.2,0.7,4.6,15.6,3,23.3,29.1
Vouzela,24.8,33,937.2,12.3,7.5,1.7,6.2,9.3,2.4,18.9,26.9
Beira Baixa,26.5,22.5,995.4,19.3,7.8,-2,8.2,16,4.2,21.1,27.3
Castelo Branco,23.9,29.1,994.6,19.8,8.6,-2.9,7.3,14.1,3.1,21.1,27.2
Idanha-a-Nova,49.6,3.1,906.7,19.1,5.7,-0.9,1.8,14.2,7.4,23.6,24.4
Oleiros,34,8.6,945.9,11.3,6.3,2.2,11.2,26.4,12.5,10.2,22.7
Penamacor,32.4,3.7,908.4,13.6,3.4,1.7,9.3,19.5,2.1,21.7,29.6
Proença-a-Nova,32.7,10.6,946.8,19.2,5.5,-0.7,7.2,29.8,5.2,24.9,28.3
Vila Velha de Ródão,15.7,0.9,1251.3,23.5,7.4,2.1,17.8,26.9,14.9,23,35.8
Médio Tejo,22.7,20.8,1051.6,17.1,9.4,0.8,10.5,15.6,6.3,21,28.6
Abrantes,18.9,24.5,1109.4,18.9,8.1,1.7,11.8,17.9,14.7,25.9,34.5
Alcanena,21.1,20.9,1096,16.7,9.1,-0.4,7,11.1,4.7,22.8,30
Constância,14.9,24.8,1262.8,19.1,4.5,-0.4,20.7,28.9,21.6,34.7,47.2
Entroncamento,16.4,41.4,1151,17.3,9.8,0.9,14.8,23,6.6,16.5,25.6
Ferreira do Zêzere,24.1,3.8,960.9,10.1,10,0.6,8.1,10.4,4.3,13,24
Mação,21,7.7,912.5,7.7,7.7,1.6,14,23.9,9.9,15.6,27.6
Ourém,25.7,12.5,1029.4,17.6,10.4,ә,11.6,14.5,8.2,15.4,24.5
Sardoal,51.4,1.4,843.8,10.5,5.3,-0.6,1.9,21.7,2.2,10,16.1
Sertã,31.1,3.4,898.2,11.5,7.7,0.6,7.5,14.6,3.8,19.5,22.2
Tomar,25.4,27.8,1025.4,19.4,10.7,1.8,9.4,23.9,7.1,21.3,27.8
Torres Novas,18.1,31.5,1099.7,18.6,9.2,1.1,6.5,16.3,2.8,25.7,34.8
Vila de Rei,29.4,0.9,835.4,16.3,7.5,-0.2,3.2,19.3,2.5,20.8,25.9
Vila Nova da Barquinha,28.6,1,864.6,10.6,8.9,1.8,8.8,19.2,1.8,22.1,29.7
Beiras e Serra da Estrela,27.3,22.5,974.4,19.3,7,ә,8.2,19.7,3.3,21.8,27.4
Almeida,29.7,3.9,835.4,10.4,6.4,0.9,7.2,18.5,3.7,14,21.2
Belmonte,23.2,19.3,856,15,4.9,ә,8.2,18,3.6,22.3,28.5
Celorico da Beira,26.2,5.9,979.2,9.5,6.2,2.2,18.8,19.8,12.3,14.1,28.3
Covilhã,21.2,27.4,987.9,22.6,6.9,-2.1,5.9,15.8,6.1,25.4,32.5
Figueira de Castelo Rodrigo,47.1,4.1,855.2,16,3.1,-1.4,0.9,26.5,4.8,24.5,23.5
Fornos de Algodres,41.2,5.1,807.9,11.3,5.9,0,5.5,13.4,6,22.5,18.5
Fundão,25.5,27,955,20,8.1,0.7,8.3,16.6,3.7,20.6,27.2
Gouveia,30,6.1,894.6,16.1,5.8,-0.1,5.1,15.2,4.4,19.5,22.9
Guarda,24.7,33.6,1100.5,23.5,7.6,1,9.8,24.2,6.3,20.4,27.9
Manteigas,31.3,10,852.8,18.2,9,7,ә,6.5,3.9,20.3,26.3
Mêda,44.4,2.8,888.7,14.7,5.3,-0.4,6.3,32.1,2.9,17.8,20.8
Pinhel,48.9,4,855.3,13.8,7.7,1.1,5.5,22.8,3.3,19.9,24.2
Sabugal,33.4,5.2,883.7,15.3,6.6,-0.5,5.7,24.4,6.1,20.1,24.6
Seia,30.2,20,915.1,15.6,6.6,-0.3,6.5,18,3.5,21.3,26.7
Trancoso,33.7,17.2,946.2,15.9,6.9,0.8,4.8,20.2,5.5,19.4,23.4
A. M. Lisboa,15.8,42.2,1477.4,32.5,11.6,-0.1,9.7,16.7,2.3,34.3,43.6
Alcochete,17.3,27.8,2011.5,15.8,12.3,4.1,42.1,92.4,26.4,44.5,107.6
Almada,25.1,32.1,1160.8,24.1,8,-0.8,5.4,22.1,1,36.2,38.2
Amadora,13.9,52.7,1425.5,32,10.4,1.2,8.2,20.9,1,43.9,49.6
Barreiro,19.6,40.8,1107.8,20.3,11.1,-0.5,9.2,17,9.2,26,31.6
Cascais,23.4,28.6,1215.5,25.1,10.3,-1.5,3.2,13.8,2.4,31.5,37.3
Lisboa,12.6,49.3,1669.4,42.9,12.2,-0.3,11.3,12.5,2.2,31.8,44.1
Loures,15.9,35.3,1218.6,18.5,12.4,0.9,9.2,13.9,9.4,29.5,37.2
Mafra,22.1,33,1022,11,10.2,1,6.2,9.1,2.8,14.9,23.2
Moita,29.9,20,985.1,13.7,9.3,-0.3,7.9,12.4,0.8,19.4,26.4
Montijo,19.5,28.6,1027.6,14.5,11.5,1,9.5,9.2,7.5,25.1,34
Odivelas,30.8,23.4,987.2,15.1,11.4,-2.6,3.8,8.9,2,16.1,20.1
Oeiras,9.6,49.4,1748.2,43.5,12.6,1.7,11.1,20.4,2.9,33,46.4
Palmela,10.6,54.3,1408.9,14.1,12.3,1.9,10.9,20.1,17.5,23.9,28.5
Seixal,27.1,23.1,1271.7,14.8,11.2,-2.7,21.6,62.3,5.3,16.5,54.9
Sesimbra,33,10.3,1041.6,11,9,1.5,12.2,20.3,25.5,15.3,35.5
Setúbal,19.7,33.4,1208.6,17.8,11.5,-1.3,13.7,17,17.5,27.9,32.9
Sintra,23.5,23.1,1220.7,19.5,10.2,-1.1,8.2,19.5,3.2,29.5,36.3
Vila Franca de Xira,15.7,39.1,1245.6,19,11.1,-1.9,8.6,14.5,12.8,28,35.2
Alentejo,25.4,23.8,1067.8,15.4,10,ә,9.4,16.4,11.2,25,30.1
Alentejo Litoral,21.7,22.1,1165.4,14.5,11.6,ә,13.5,30.9,25.3,30.1,38.7
Alcácer do Sal,37.9,7.4,989.7,13.3,9,2.1,9.1,7.7,5.5,24.9,30
Grândola,31.9,12.6,990.9,11.5,10.6,2.9,10.6,13.5,3.3,21,29.4
Odemira,18.6,21,892.9,9.6,11.8,-3,1,3.9,3.9,24.2,26.7
Santiago do Cacém,24.8,25.8,1058.2,19.4,13.2,5.1,9.3,15.5,1.2,21.2,26.6
Sines,12.9,30.6,1869.5,19.7,11.1,-0.8,22.3,40.8,31.5,32.2,41.4
Baixo Alentejo,30.1,21.9,1129.8,16,8.6,-0.9,11.7,31.4,21.6,26.4,31.6
Aljustrel,22.2,38.5,1184.3,14.2,6.8,-1.9,14.9,20.5,16.6,24.2,28.5
Almodôvar,40,16.1,904.7,11.5,9.3,-0.6,8.1,18.6,8.4,18,21.8
Alvito,23.4,3.2,1003.3,13.8,8.1,3.2,8.7,11.6,0.6,16,21.7
Barrancos,41.1,0.9,825.4,8.9,3.8,-0.9,1.9,23.3,5.3,18.3,15.2
Beja,27.6,23,1102.3,21.9,10.2,-0.3,4.9,16.9,10.4,25.9,32.3
Castro Verde,12.7,56.1,1796.2,15.9,8.1,ә,18.2,43.8,35.7,34.3,40.8
Cuba,38.9,5.7,954.7,15.1,7.1,-4.5,6,9.3,7.8,26.6,26.4
Ferreira do Alentejo,37.6,3.8,979.5,11.8,9.9,-5.5,5.6,9.1,3.8,21.5,25.3
Mértola,51.7,2.2,861.4,8.9,6.4,-0.1,1.4,11.1,6.1,17.1,18.4
Moura,39.5,8.9,935.5,13.3,7.3,ә,3.4,21.1,9.9,22.5,20.9
Ourique,38.2,7.4,892.7,9.6,7.1,6.5,2.4,15.6,4.9,19.4,16.3
Serpa,40.9,2.4,888.6,11.3,7.8,-0.5,3.7,17.1,2.5,18.6,18.5
Vidigueira,31.8,7,956.3,13.3,8.2,-7.3,9.1,11.3,1.3,23.8,23.2
Lezíria do Tejo,22.6,27.8,1037.3,15.3,10.8,ә,6.7,8.9,5.1,24.4,29.3
Almeirim,32.2,21.3,956.6,15.4,9.1,2.8,6.5,9.9,8.3,20.5,23.5
Alpiarça,21.2,25.8,946.2,14.1,10,-2.8,10.1,12,9.5,23.2,27.5
Azambuja,7.8,57.4,1040.9,12.9,17,-6.7,1.8,18,1.9,34.3,42.6
Benavente,24.2,22.6,1093.8,12.6,10.5,ә,10.2,14.8,9.1,25.5,29.2
Cartaxo,32.2,6.6,1028.7,15.8,8.1,-1.8,8.5,13.2,11.5,22.3,28.8
Chamusca,25.6,4.6,976,15.6,7.2,2.1,6.2,7.4,4.3,20.9,24.9
Coruche,33.7,14.4,1012.8,12.5,8.3,0.6,9.7,13.6,8.5,20.1,24
Golegã,28.4,27.4,973.7,18.2,11.5,-1,13.9,17.1,5.2,17.6,27.8
Rio Maior,24.1,24.2,1040.4,13.4,8.8,-0.6,8.8,12.3,6,18.5,28.2
Salvaterra de Magos,31.5,3.6,986.5,11.2,11.8,2.6,10.2,12.9,0.6,21.1,25.2
Santarém,20.5,31.3,1065.3,20.3,10,0.7,4.8,14.1,5.3,25.9,31.1
Alto Alentejo,27.5,20.9,989.5,14.6,7.1,ә,8.7,13.4,6.4,22.6,28.7
Alter do Chão,33.2,2.1,882.1,11.3,7.4,1.5,7.5,7.2,8.6,15.5,19.4
Arronches,27.5,1,898.8,17.5,6.7,1.6,2,17.7,5.1,18.1,20
Avis,22.5,33.2,955.1,10.6,6.1,0,10.9,14.3,5.5,22.5,28.2
Campo Maior,11.1,51.4,1282,19.3,10.2,1.6,7.5,16.2,8.7,28,48.6
Castelo de Vide,30.3,21.4,892.1,12.3,4.5,-2.5,4.9,10.7,4.4,15.2,19.5
Crato,29.3,5.6,833.5,9.6,4.9,1.6,2.5,8.7,5,16.3,18
Elvas,33.1,17.7,892,11.8,7.2,1.6,4.6,6.5,1.7,18.9,20.8
Fronteira,57.9,5.3,944.6,12.4,6.1,0.8,8.8,21.8,5.3,17.6,22.7
Gavião,20.7,2.1,854.5,9.3,5.4,0.6,20.4,29.1,14,21.9,28.2
Marvão,39.8,8.1,799.7,16.5,6.5,ә,3.6,6.5,3.8,17.1,18.8
Monforte,33.9,13.9,1020.3,19.1,7.7,ә,10,16.1,5,21,27.2
Nisa,32.5,3.8,830.1,9.6,6.9,-0.3,8.5,17.4,4.1,9.2,13.6
Ponte de Sor,24.1,18.2,1030.1,13.2,6.7,-2.1,12.6,12.8,6.9,26.1,35.8
Portalegre,27.2,20.9,991,18.7,6.1,-0.1,8,16.7,10.6,21.5,27.1
