,"Total, MF (€)","Total, M (€)","Total, F (€)","Primary CAE: A, MF (€)","Primary CAE: A, M (€)","Primary CAE: A, F (€)","Secondary CAE: B - F, MF (€)","Secondary CAE: B - F, M (€)","Secondary CAE: B - F, F (€)","Tertiary CAE: G - U, MF (€)","Tertiary CAE: G - U, M (€)","Tertiary CAE: G - U, F (€)"
Lousada,860.57,931.03,779.61,827.21,846.68,762.3,827.33,910.93,734.26,923.61,969.3,868.67
Marco de Canaveses,886.23,934.46,792.61,800.44,825.5,736.98,895.36,937.05,757.42,874.88,933.35,818.44
Paços de Ferreira,886.7,934.5,826.99,676.76,693.18,619.26,842.2,874.7,798.86,967.38,1052.45,873
Penafiel,975.43,1005.09,943.95,755.26,772.29,699.55,896.68,957.59,800.26,1066.13,1091.81,1048.83
Resende,803.25,815.67,789.35,704.17,700.79,716.18,772.48,770.68,785.65,822.66,874.93,791.58
Douro,971.09,1016.88,921.62,859,885.72,801.27,1006.03,1010.8,991.59,968.16,1044.62,916.09
Alijó,921.84,998.06,846.4,1041.86,1083.61,912.69,1045.82,1076.09,985.02,858.45,925.76,814.14
Armamar,876.58,914.91,834.26,808.23,851.33,712.22,871.31,893.56,818.26,898.85,964.35,855.99
Carrazeda de Ansiães,860.95,910.29,818.18,761.33,768.4,749.55,819.01,844.81,673.43,879.65,969.63,829.87
Freixo de Espada à Cinta,895.31,898.89,890.8,797.5,793.99,818.55,814.01,817.31,…,917.97,942.41,895.78
Lamego,929.75,986.17,865.87,741.83,756.97,714.59,922.62,934.26,884.91,947.81,1054.65,869.95
Mesão Frio,885.99,1040.9,746.73,716.29,744.73,669.73,1131.77,1180.96,791.58,817.99,967.71,748.39
Moimenta da Beira,836.02,891.03,776.9,790.88,802.78,755.75,864.15,882.55,771.49,829.2,914.25,778.23
Murça,894.47,888.89,900.05,698.12,696.84,702.83,834.2,821.74,884.53,936.19,988.67,907.68
Penedono,800.46,821.27,778.47,761.26,777.83,733.65,731.22,724.67,779.5,834.38,925.66,784.1
Peso da Régua,982.1,1089.52,872.34,773.41,789.45,739.52,1200.08,1291.47,942.94,934.14,1024.71,869.39
Sabrosa,946.13,981.22,910.8,1061.74,1104.79,999.35,975.91,974.07,979.72,873.36,896.73,861.89
Santa Marta de Penaguião,868.75,917.16,822.32,818.33,813.11,832.99,970.35,1011.05,887.83,839.65,908.1,806.47
São João da Pesqueira,965.44,1032.86,881.74,979.49,1012.08,901.17,946.18,955.54,921.24,968.62,1151.15,866.36
Sernancelhe,806.36,821.65,784.64,658.3,665.24,641.44,788.11,792.7,764.51,824.9,869.03,791.81
Tabuaço,966.26,1016.55,908.79,897.83,953.83,790.51,1033.02,1044.53,1008.62,930.75,1008.59,886.02
Tarouca,828.39,846.87,794.84,785.82,803.01,644.05,864.66,858.74,900.22,795.78,829.6,771.44
Torre de Moncorvo,859.48,899.85,818.89,783.79,802.72,725.77,846.44,876.26,744.33,873.16,940.39,832.75
Vila Nova de Foz Côa,947.29,1051.9,845.01,843.96,887.63,748.14,1094.85,1162.25,898.27,872.97,954.8,843.84
Vila Real,1090.68,1121.27,1059.05,760.63,780.74,732.47,1121.93,1106.91,1161.38,1086.96,1139.6,1046.97
Terras de Trás-os-Montes,953.02,997.66,908.99,804.41,805.85,801.65,931,945.11,887.94,966.87,1043.7,914.6
Alfândega da Fé,866.75,874.55,856.77,908.67,865.56,1052.37,739.93,746.28,725.52,915.45,956.11,878.3
Bragança,1019.58,1066.66,972.22,745.3,755.73,693.15,995.81,1010.65,951.84,1030.9,1111.16,976.16
Macedo de Cavaleiros,892.91,909.92,875.44,797.46,802.62,786.29,822.31,824.19,814.49,917.78,964.33,884.24
Miranda do Douro,880.36,949.74,816.88,793.57,800.71,779.93,968.8,1030.96,750.63,853.79,902.4,825.9
Mirandela,957.84,1007.83,911.56,796.13,798.22,791.28,886.7,897.25,861.97,982.89,1070.8,920.66
Mogadouro,884.65,947.68,816.62,739.8,739.46,740.55,880.93,907.54,753.89,892.43,983.58,823.6
Vila Flor,890.31,936.31,848.87,833.62,857.2,808.59,998.03,981.57,1056.74,874.04,940.13,835.9
Vimioso,854.48,869.42,840.34,803.38,731.05,…,835.91,827.2,878.18,866.9,956.73,832.16
Vinhais,810.18,849.15,771.48,716.11,735.46,…,765.33,779.07,724.13,829.27,905.37,779.79
Centro,1070.66,1174.75,943.24,915.62,956.55,826.55,1131.14,1200.63,973.75,1036.63,1162.44,934.76
Oeste,1019.34,1113.46,909.07,942.11,993.09,827.54,1070.68,1126.06,950.14,998.71,1120.42,900.65
Alcobaça,1007.07,1100.41,897.24,833.53,864.78,781.49,1044.69,1117.18,894.07,983.25,1103.61,905.35
Alenquer,1182.18,1281.17,1020.47,1107.72,1093.84,1136.35,1239.07,1304.76,1088.54,1137.58,1271.56,974.01
Arruda dos Vinhos,1096.22,1167.12,968.31,1002.84,1052.7,909.78,1070.85,1108.24,956.24,1104.78,1188.84,971.37
Bombarral,934.52,984.17,878.72,835.37,867.58,799.17,892.11,890.61,898.13,970.71,1073.04,891.07
Cadaval,974.03,1050.39,896.56,814.28,833.47,760.92,1012.98,1054.9,898.26,988.9,1143.04,907.74
Caldas da Rainha,959.45,1071.06,862.09,818.68,856.95,726.17,1059.07,1133.79,905.5,934.93,1053.23,857.49
Lourinhã,964.87,1045.97,865.14,1250.7,1411.2,815.07,966.43,978.87,917.93,908.57,980.12,860.92
Nazaré,917.64,990.24,855.67,850.42,878.15,789,998.97,1069.76,909.96,882.57,948.33,838.42
Óbidos,1008.13,1096.85,905.34,1026.45,1062.87,908.7,1042.27,1070.1,974.99,994.53,1115.34,891.48
Peniche,954.91,1055.99,853.55,1182.97,1243.11,875.24,974.48,1082.57,835.51,905.21,971.4,858.86
Sobral de Monte Agraço,970.38,1028.91,888.74,769.23,730.32,825.64,971.68,986.72,942.47,982.57,1085.79,866.26
Torres Vedras,1030.84,1107.47,938.13,817.29,828.92,792.87,1061.74,1092.68,990.59,1039.87,1163.53,933.73
Região de Aveiro,1133.26,1250.92,977.12,979.97,1050.98,824.99,1184.81,1276.19,1007.84,1079.65,1217.68,957.21
Águeda,1071.38,1190.78,923.85,927.54,999.71,752.27,1101.69,1203.76,918.48,1024.06,1162.18,930.4
Albergaria-a-Velha,1126.74,1229.18,958.13,885.88,946,807.53,1176.24,1238.11,1026.24,1058.88,1219.35,902.47
Anadia,1017.35,1102.51,920.4,932.01,1030.41,787.97,1063.59,1111.42,967.6,962.01,1088.58,894.25
Aveiro,1243.33,1376.29,1065.51,886.48,935.22,761.13,1388.01,1474.33,1163.04,1162.51,1296.49,1036.42
Estarreja,1260.27,1398.16,970.45,859.42,909.74,779.96,1344.41,1419.5,1127.88,1178.11,1378.7,863.94
Ílhavo,1148.88,1303.63,968.98,1335.78,1331.94,1356.88,1141.12,1269.61,956.87,1147.11,1350.51,973.22
Murtosa,924.03,1007.18,843.61,975.91,1036.07,760.35,938.43,1025.51,830.81,900.31,967.21,858.55
Oliveira do Bairro,1047.8,1146.28,920.41,771.05,821.48,636.57,1092.88,1177.3,935.76,985.52,1084.31,907.53
Ovar,1074.02,1160.55,966.01,738.52,757.39,704.89,1143.68,1232.18,1018.16,975.42,1044.82,903.72
Sever do Vouga,1050.87,1143.92,898.58,763.35,821.58,685.71,1105.84,1175.89,907.63,969.98,1067.48,897.33
Vagos,1038.96,1113.85,952.4,874.77,973.9,744.66,1102.47,1163.4,999.57,942.18,992.41,909.98
Região de Coimbra,1093.15,1206.6,962.1,940.46,971.98,870.15,1144.8,1225.64,964.15,1072.56,1204.76,963.38
Arganil,861.05,915.7,808.56,850.65,875.65,709,855.06,900.65,782.31,866.47,940.4,822.93
Cantanhede,1083.32,1192.33,956.15,1259.37,1310.45,1189.4,1146.59,1216.15,980.44,1012.29,1138.96,933.23
Coimbra,1182.41,1302.75,1051.43,839.7,902.54,744.11,1233.23,1296.25,1088.71,1173.17,1308.74,1048.13
Condeixa-a-Nova,999.84,1105.72,900.79,798.33,774.26,846.46,1046.01,1103.71,936.22,980.22,1115.74,891.33
Figueira da Foz,1194.68,1349.21,985.85,1063.67,1116.23,861.07,1371.71,1477.43,1044.5,1067.33,1198.75,969.09
Góis,822.93,827.6,819.61,834.37,843.17,800.04,744.51,753.32,715.15,842.33,878.64,829.21
Lousã,1000.71,1071.76,909.16,744.24,721.03,829.93,1054.27,1126.49,927.54,958.1,1026.47,897.48
Mealhada,1106.84,1198.99,941.51,829.26,893.51,760.07,1146,1173.06,1052.4,1096.84,1216.27,922.13
Mira,942.47,1027.03,866.35,833.8,841.48,828.22,918.83,983.12,834.01,964.58,1081.25,885.44
Miranda do Corvo,881.43,927.46,843.32,784.67,806.05,745.19,881.99,920.15,800.42,890.56,952.16,854.96
Montemor-o-Velho,968.73,1038.63,893.22,800.74,833.47,752.77,1042.01,1034.77,1063.8,947.38,1074.78,866.06
Mortágua,1037.77,1131.47,910.8,968.79,980,903.07,1078.26,1164.88,956.1,1004.39,1136.07,867
Oliveira do Hospital,902.46,965.75,831.57,790.98,805.42,757.78,915.17,978.45,781.35,895.84,957.55,854.71
Pampilhosa da Serra,857.15,900.46,830.38,1019.97,1094.01,686.77,797.26,803.24,737.47,861.05,939.85,834.46
Penacova,979.1,1059.45,835.97,938.84,951.76,805.29,1156.69,1182.86,1001.64,866.33,928.56,805.82
Penela,939.68,1017.49,840.97,831.16,823.55,867.68,1040.04,1089.68,865.89,878.86,942.68,834.69
Soure,1007.56,1160.41,880.54,761.73,766.42,754.89,1179.56,1293.91,952.04,948.45,1110.17,871.79
Tábua,919.13,1007.64,834.66,828.5,830.93,823.86,901.46,980.98,815.03,956.18,1084.38,863.3
Vila Nova de Poiares,956.53,1060.15,848.93,777.32,783.23,735.94,1012.99,1131.19,889.88,922.18,1023.86,821.56
Região de Leiria,1121.98,1234.24,966.66,872.92,916.56,813.04,1202.92,1276.74,1014.97,1058.87,1188.45,948.25
Alvaiázere,887.94,922.31,832.19,664.11,700.38,617.49,870.94,883.41,813.35,905.55,959.32,844.44
Ansião,939.72,1024.69,836.82,798.77,782.27,816.25,946.16,1005.14,832.31,939.55,1047.46,839.1
Batalha,1095.84,1213.05,917.14,821.31,852.94,799.93,1122.54,1213.6,919.02,1071.38,1221.55,920.25
Castanheira de Pêra,937.71,1050.48,851.24,1154.05,1188.23,…,876.41,953.81,764.95,959.42,1132.53,882.62
Figueiró dos Vinhos,871.62,908.43,837.48,927.19,878.26,1250.08,865.57,888.68,782.36,868.86,934.24,837
Leiria,1125.7,1228.6,988.21,905.88,964.78,829.68,1185.93,1250.19,1008.2,1092.29,1215.34,985.41
Marinha Grande,1335.3,1503.6,1059,814.22,803.19,…,1469.88,1573.4,1197.81,1076.6,1279.47,930.72
Pedrógão Grande,883.8,888.68,878.32,777.72,770.07,…,910.44,924.34,837.27,885.22,891.03,881.48
Pombal,1024.95,1115.99,902.03,851.53,915.77,784.34,1053.45,1105.81,930.51,1006.2,1137.4,891.94
Porto de Mós,1087.96,1184.89,953.02,801.26,813.77,785.39,1130.57,1205.79,974.05,1037.52,1155.52,939.79
Viseu Dão Lafões,1025.08,1102.54,928.04,888.96,940.26,800.78,1044.9,1091.36,938.78,1015.55,1121.68,926.58
Aguiar da Beira,818.64,866.59,772.63,764.21,781.82,709.42,880.88,921.76,775.61,794.02,829.03,773.59
Carregal do Sal,984.14,1074.41,890.11,985.03,1058.84,790.46,996.76,1073.79,884.12,964.46,1077.78,898.65
Castro Daire,877,943.11,784.94,752.07,735.57,796.07,834.54,847.02,776.93,896.25,1010.36,785.74
Mangualde,1105.26,1214.78,876.37,903.79,973.87,784.24,1053.62,1133.38,862.3,1145.75,1281.58,886.7
Nelas,1098.19,1233.54,927.06,865.24,920.89,753.93,1141.16,1227.43,973.4,1028.64,1277.64,885.08
Oliveira de Frades,1155.69,1261.41,984.35,963.81,1102.27,814.37,1216.83,1299.9,1025.04,1018.66,1115.76,949.7
Penalva do Castelo,906.68,974.7,799.23,755.44,797.89,712.99,973.46,985.08,857.54,869.85,966.26,795.27
Santa Comba Dão,923.48,1010.86,842.37,806.18,778.69,853.67,954.46,1018.95,821.12,911.22,1016.87,847.98
São Pedro do Sul,837.56,902.45,782.56,726.69,747.43,702.66,851.94,900.74,726.05,839.07,920.49,796.53
Sátão,814.95,844.11,784.31,718.61,718.35,719.36,796.92,807.59,777.44,833.78,903.06,788.77
Tondela,1104.46,1217.39,973.89,848.62,910.94,778.21,1184.67,1245.48,1092.21,1010.41,1190.09,867.66
Vila Nova de Paiva,833.66,854.23,813.32,744.5,774.87,722.8,784.75,783.87,789.05,861.09,931.5,821.8
Viseu,1036.89,1079.23,983.49,1062.56,1073.66,1024.19,988.69,1016.35,883.6,1056.53,1124.33,999.19
Vouzela,937.21,1007.69,889.78,852.8,908,734.53,952.82,1009.91,915.15,915.43,1016.72,850.74
Beira Baixa,995.38,1070.8,907.63,865.5,875.29,826.92,1049.48,1112.92,885.23,978.81,1061.35,914.5
Castelo Branco,994.62,1064.89,918.69,875.72,888.91,820.04,1036.35,1110.14,880.84,981.3,1046.78,928.74
Idanha-a-Nova,906.71,921.4,889.17,866.51,877.15,811.73,781.35,789.83,757.83,956.14,1027.32,912.23
Oleiros,945.86,1023.3,801.41,752.79,748.11,794.87,1062.35,1097.79,860.06,835.35,910.42,785.15
Penamacor,908.38,998.67,829.42,839.13,859.38,820.13,921.57,994.46,749.63,909.76,1021.38,846.4
Proença-a-Nova,946.81,1002.47,863.75,838.01,873.22,750.01,893.56,899.82,862.78,985.94,1128.05,868.09
Vila Velha de Ródão,1251.25,1422.34,961.6,957.81,917.4,1102.13,1463.38,1520.48,1175.92,1101.82,1340.53,905.23
Médio Tejo,1051.55,1155.64,934.67,916.91,966.95,812.47,1142.29,1180.7,1009.84,1010.71,1145.39,923.26
Abrantes,1109.35,1230.62,968.75,856.45,875.47,804.94,1314.65,1338.95,1217.41,988.89,1109.79,922.1
Alcanena,1095.96,1163.28,1008.49,1108.35,1138.46,…,1037.33,1094.36,929.8,1140.84,1233.04,1050.02
Constância,1262.83,1480.21,949.96,1680.89,1862.45,1252.94,1411.58,1540.5,1091.21,844.61,964.66,796.2
Entroncamento,1151.05,1295.88,951.56,1352.48,1412.51,1052.29,1284.98,1282.02,1307.89,1108.75,1300.63,927.66
Ferreira do Zêzere,960.95,1024.78,866.72,981.37,1068.04,824.52,1004.32,1020.2,926.22,911.22,981.64,869.89
Mação,912.53,1040.5,784.82,829.03,819.55,908.09,1021.26,1089.68,813.21,838.86,1014.36,775.62
Ourém,1029.35,1147.59,907.9,809.54,798.54,833.17,1149.22,1189.91,996.92,974.56,1112.85,894.09
Sardoal,843.79,862.34,830.57,796.4,774.92,866.2,820.9,823.83,…,854.7,939.79,830.92
Sertã,898.19,962.02,826.72,769.39,775.76,711.49,879.02,925.77,745.21,918.9,1035.59,847.08
Tomar,1025.39,1119.57,925.82,823.73,905.43,749.45,1130.4,1160.51,965.92,995.6,1099.59,930.87
Torres Novas,1099.68,1165.1,1022.11,835.6,867.08,755.01,1108.23,1126.31,1054.67,1100.64,1205.79,1017.65
Vila de Rei,835.38,874.76,817.41,788.91,806.62,731.36,796.39,799.31,783.11,845.84,961.01,820.04
Vila Nova da Barquinha,864.59,950.65,797.45,808.17,832.91,788.38,838.88,852.39,813.75,872.36,995.87,795.29
Beiras e Serra da Estrela,974.36,1051.94,891.77,812.38,814.27,806.29,955.94,1012.51,840.07,990.28,1099.48,907.24
Almeida,835.44,903.34,782.74,684.59,672.14,746.85,786.07,772.68,871.78,845.55,950.91,781.07
Belmonte,855.96,938.09,795.3,898.12,941.92,804.67,826.51,990.85,717.84,887.04,880.07,892.37
Celorico da Beira,979.15,1175.04,805.94,709.88,726.83,692.93,795.9,928.19,702.84,1054.99,1266.28,852.88
Covilhã,987.86,1042.54,925.76,754.01,763.59,719.51,922.53,969.78,829.63,1032.48,1118.63,962.74
Figueira de Castelo Rodrigo,855.16,864.22,848.57,793.51,810.62,730.77,780.31,781.59,773.73,880.03,936.8,858.12
Fornos de Algodres,807.87,855.42,767.06,712.34,702.1,734.1,744.13,778.66,679.02,841.64,933.2,789.06
Fundão,955.04,1027.43,867.34,850.81,860.59,826.63,925.24,964.05,862.21,980.35,1091.74,871.43
Gouveia,894.58,947.03,854.58,956.89,976.66,918.19,824.89,872.84,731.51,912.56,988.45,872.65
Guarda,1100.48,1195.57,979.12,800.11,791.81,843.16,1195.04,1232.74,1060.17,1070.6,1189.64,966.99
Manteigas,852.82,854.37,851.57,781.57,785.79,757.64,805.89,780.1,858.77,874.04,917.46,851.54
Mêda,888.69,947.97,836.17,845.94,846.25,845.16,925.17,970.73,764.34,875.27,945.83,846.92
Pinhel,855.32,897.29,802.81,730.71,735.5,718.56,854.73,858,839.02,865.68,982.84,799.29
Sabugal,883.75,944.1,841.45,800.53,768.5,1040.79,784.23,813.37,730.75,914.09,1044.49,852.78
Seia,915.13,979.24,859.2,728.43,737.93,684.99,881.36,944.68,774.98,934.27,1014.93,883.9
Trancoso,946.19,986.08,893.51,856.63,869.23,799.96,861.62,860.86,864.01,978.22,1058.12,899.68
A. M. Lisboa,1477.39,1611,1323.04,1071.08,1130.49,939.04,1446.87,1455.14,1421,1485.93,1660.16,1316.01
Alcochete,2011.49,2775.23,1072.78,922.53,1017.41,819.76,1313.12,1323.45,1276.56,2364.46,3823.64,1063.04
Almada,1160.76,1227.41,1102.57,787.48,748.93,887.72,1151.98,1168.22,1076.11,1162.85,1251.94,1104.16
Amadora,1425.49,1532.48,1299.18,1200.71,1065.28,1374.84,1391.17,1357.89,1489.33,1431.07,1573.54,1283.55
Barreiro,1107.81,1213.82,1010.87,//,//,//,1331.46,1385.22,1063.33,1061.29,1140.27,1007.81
Cascais,1215.47,1252.92,1174.81,851.57,882.44,783.15,1171.96,1152.71,1239.28,1225.32,1286.98,1170.53
Lisboa,1669.37,1855.81,1479.46,1136.73,1149.22,1111.9,1773.62,1767.51,1789.15,1664.29,1866.17,1469.49
Loures,1218.56,1311.2,1081.75,846.63,850.03,834.08,1413.85,1436.52,1342.25,1159.88,1262.55,1038.91
Mafra,1022,1069.47,936.93,819.97,814.02,833.42,1012.86,1049.15,918.41,1030.14,1084.65,943.38
Moita,985.06,1061.5,906.7,954.67,999.78,839.55,976.49,1016.45,850.15,990.65,1114.39,918.95
Montijo,1027.62,1126,930.24,857.27,892.3,814.53,1147.7,1182.7,1052.9,1011.35,1133.85,923.68
Odivelas,987.15,1020.01,944,1487.4,1521.88,…,1010.88,992.78,1068.75,978,1034.35,922.42
Oeiras,1748.2,1930.1,1542.67,1969.64,2057,1811.91,1885.88,1877.08,1909.26,1729.48,1940.05,1515.36
Palmela,1408.93,1508.35,1172.37,855.23,868.92,816.4,1613.4,1653.13,1457.41,1124.65,1233.66,982.45
Seixal,1271.66,1506.15,950.12,828.12,823.01,…,1170.9,1193.07,1077.91,1315.59,1735.41,929.72
Sesimbra,1041.58,1159.28,903.57,1832.99,1859.06,1552,1008.13,1018.92,955.2,935.12,1013.41,885.5
Setúbal,1208.56,1356.16,1023.33,960.5,1013.5,787.37,1521.66,1567.34,1341.65,1067.67,1189.04,971.46
Sintra,1220.7,1306.82,1104.41,995.37,1028.01,933.06,1274.03,1289.4,1231.36,1199.36,1321.19,1075.83
Vila Franca de Xira,1245.63,1332.29,1113.98,1112.69,1198.96,903.49,1494.66,1503.73,1464.29,1143.27,1230.83,1043.4
Alentejo,1067.82,1157.08,955.59,913.58,930.89,865.73,1252.85,1312.55,1088.15,1015.09,1118.49,935.64
Alentejo Litoral,1165.44,1300.31,982.31,908.46,910.46,902.84,1709.75,1785.7,1409.24,1063.75,1245.05,939.23
Alcácer do Sal,989.74,1075.9,894.98,1074.57,1106.89,981.35,998.42,1013.44,947.42,945.2,1092.18,872.56
Grândola,990.88,1097.95,887.4,924.18,918.66,941.61,1050.42,1033.11,1104.86,980.56,1159.17,862.42
Odemira,892.85,885.72,904,876.14,869.7,893.88,812.98,817.38,782.91,931.29,957.22,914.9
Santiago do Cacém,1058.19,1159.52,962.16,1020.97,1064.41,895.02,1069.22,1128.66,897.83,1059.84,1210.97,975.18
