,"Teaching staff, Pre-primary education, Total (N.º)","Teaching staff, Pre-primary education, Public (N.º)","Teaching staff, Pre-primary education, Private (N.º)","Teaching staff, Primary education 1st cycle, Total (N.º)","Teaching staff, Primary education 1st cycle, Public (N.º)","Teaching staff, Primary education 1st cycle, Private (N.º)","Teaching staff, Primary education 2nd cycle, Total (N.º)","Teaching staff, Primary education 2nd cycle, Public (N.º)","Teaching staff, Primary education 2nd cycle, Private (N.º)"
Mourão,8,8,0,14,14,0,13,13,0
Portel,10,7,3,15,15,0,13,13,0
Redondo,8,7,1,17,17,0,16,16,0
Reguengos de Monsaraz,16,13,3,30,30,0,30,30,0
Vendas Novas,13,8,5,30,26,4,24,20,4
Viana do Alentejo,8,6,2,12,12,0,12,12,0
Vila Viçosa,12,7,5,21,21,0,17,17,0
Algarve,704,398,306,1380,1257,123,1190,1121,69
Albufeira,76,56,20,149,149,0,112,111,1
Alcoutim,3,0,3,7,7,0,6,6,0
Aljezur,9,9,0,13,13,0,17,17,0
Castro Marim,11,6,5,23,23,0,13,13,0
Faro,95,28,67,193,171,22,168,158,10
Lagoa,41,19,22,89,64,25,67,55,12
Lagos,49,15,34,98,81,17,92,79,13
Loulé,117,88,29,227,215,12,191,177,14
Monchique,8,8,0,16,16,0,10,10,0
Olhão,61,36,25,136,129,7,146,139,7
Portimão,91,56,35,159,139,20,135,133,2
São Brás de Alportel,18,13,5,32,32,0,24,24,0
Silves,57,27,30,101,93,8,88,81,7
Tavira,39,16,23,67,60,7,51,49,2
Vila do Bispo,6,6,0,21,16,5,14,13,1
Vila Real de Santo António,23,15,8,49,49,0,56,56,0
R. A. Açores,501,380,121,992,937,55,1072,1037,35
Santa Maria,10,10,0,19,19,0,25,25,0
Vila do Porto,10,10,0,19,19,0,25,25,0
São Miguel,273,214,59,593,550,43,633,606,27
Lagoa (R.A.A.),29,27,2,60,60,0,67,67,0
Nordeste,9,9,0,21,21,0,26,26,0
Ponta Delgada,138,97,41,280,237,43,298,271,27
Povoação,14,13,1,27,27,0,34,34,0
Ribeira Grande,61,50,11,154,154,0,156,156,0
Vila Franca do Campo,22,18,4,51,51,0,52,52,0
Terceira,123,84,39,209,201,8,220,212,8
Angra do Heroísmo,80,47,33,132,124,8,143,135,8
Vila da Praia da Vitória,43,37,6,77,77,0,77,77,0
Graciosa,11,8,3,16,16,0,17,17,0
Santa Cruz da Graciosa,11,8,3,16,16,0,17,17,0
São Jorge,19,12,7,33,33,0,45,45,0
Calheta (R.A.A.),8,5,3,13,13,0,21,21,0
Velas,11,7,4,20,20,0,24,24,0
Pico,31,27,4,53,53,0,58,58,0
Lajes do Pico,9,9,0,16,16,0,20,20,0
Madalena,15,13,2,25,25,0,24,24,0
São Roque do Pico,7,5,2,12,12,0,14,14,0
Faial,27,20,7,52,48,4,51,51,0
Horta,27,20,7,52,48,4,51,51,0
Flores,6,5,1,15,15,0,20,20,0
Lajes das Flores,1,1,0,4,4,0,0,0,0
Santa Cruz das Flores,5,4,1,11,11,0,20,20,0
Corvo,1,0,1,2,2,0,3,3,0
Corvo,1,0,1,2,2,0,3,3,0
R. A. Madeira,645,490,155,1503,1271,232,730,688,42
Calheta (R.A.M.),29,25,4,80,75,5,35,35,0
Câmara de Lobos,84,67,17,194,194,0,104,104,0
Funchal,290,182,108,673,494,179,299,257,42
Machico,51,47,4,110,100,10,63,63,0
Ponta do Sol,29,28,1,66,66,0,22,22,0
Porto Moniz,6,6,0,12,12,0,5,5,0
Ribeira Brava,34,34,0,80,80,0,47,47,0
Santa Cruz,80,62,18,180,155,25,106,106,0
Santana,14,13,1,45,40,5,14,14,0
São Vicente,15,14,1,35,35,0,16,16,0
Porto Santo,13,12,1,28,20,8,19,19,0
