,"Primary education, 1st cycle, Total (N.º)","Primary education, 1st cycle, of which, Regular education (N.º)","Primary education, 1st cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, Total, Artistic education (N.º)","Primary education, 2nd cycle, of which, Regular education (N.º)","Primary education, 2nd cycle, of which, Artistic education (N.º)","Primary education, 2nd cycle, of which, Education and training courses (N.º)","Lower secondary education, 2nd cycle, Total, Education and training courses (N.º)","Lower secondary education, 2nd cycle, of which, Regular education (N.º)","Lower secondary education, 2nd cycle, of which, Artistic education (N.º)","Lower secondary education, 2nd cycle, of which, Vocational courses  (N.º)","Lower secondary education, 2nd cycle, of which, Education and training courses (N.º)"
Águeda,1640,1640,0,850,850,0,0,1308,1259,0,0,49
Albergaria-a-Velha,894,894,0,507,507,0,0,788,777,0,0,11
Anadia,924,924,0,509,509,0,0,811,789,0,0,22
Aveiro,3202,3202,0,1867,1867,0,0,2857,2648,0,0,209
Estarreja,932,932,0,502,491,0,0,854,787,0,0,34
Ílhavo,1352,1352,0,675,675,0,0,1014,983,0,0,31
Murtosa,370,370,0,222,222,0,0,348,348,0,0,0
Oliveira do Bairro,878,878,0,442,442,0,0,654,654,0,0,0
Ovar,1811,1811,0,932,932,0,0,1538,1447,0,0,91
Sever do Vouga,319,319,0,173,173,0,0,288,288,0,0,0
Vagos,754,754,0,429,429,0,0,763,722,0,0,41
Região de Coimbra,13928,13928,0,7552,7469,73,0,12160,11682,135,0,272
Arganil,333,333,0,165,165,0,0,235,235,0,0,0
Cantanhede,1102,1102,0,578,559,19,0,957,877,51,0,29
Coimbra,5070,5070,0,2633,2574,54,0,4249,4046,84,0,69
Condeixa-a-Nova,482,482,0,324,324,0,0,481,481,0,0,0
Figueira da Foz,1893,1893,0,1012,1007,0,0,1744,1703,0,0,32
Góis,79,79,0,37,37,0,0,80,80,0,0,0
Lousã,580,580,0,312,312,0,0,575,551,0,0,12
Mealhada,548,548,0,352,352,0,0,552,552,0,0,0
Mira,368,368,0,220,220,0,0,290,290,0,0,0
Miranda do Corvo,330,330,0,210,210,0,0,351,334,0,0,17
Montemor-o-Velho,678,678,0,351,351,0,0,512,480,0,0,32
Mortágua,245,245,0,140,140,0,0,175,175,0,0,0
Oliveira do Hospital,652,652,0,336,336,0,0,543,518,0,0,25
Pampilhosa da Serra,94,94,0,42,42,0,0,67,67,0,0,0
Penacova,305,305,0,170,170,0,0,333,312,0,0,21
Penela,147,147,0,66,66,0,0,102,102,0,0,0
Soure,489,489,0,282,282,0,0,435,435,0,0,0
Tábua,316,316,0,173,173,0,0,307,272,0,0,35
Vila Nova de Poiares,217,217,0,149,149,0,0,172,172,0,0,0
Região de Leiria,9903,9903,0,5518,5518,0,0,9085,8898,0,0,175
Alvaiázere,152,152,0,83,83,0,0,127,127,0,0,0
Ansião,349,349,0,208,208,0,0,385,385,0,0,0
Batalha,531,531,0,271,271,0,0,486,486,0,0,0
Castanheira de Pêra,68,68,0,39,39,0,0,62,62,0,0,0
Figueiró dos Vinhos,121,121,0,74,74,0,0,125,125,0,0,0
Leiria,4741,4741,0,2535,2535,0,0,4146,4080,0,0,54
Marinha Grande,1416,1416,0,811,811,0,0,1348,1304,0,0,44
Pedrógão Grande,88,88,0,48,48,0,0,78,78,0,0,0
Pombal,1636,1636,0,973,973,0,0,1608,1560,0,0,48
Porto de Mós,801,801,0,476,476,0,0,720,691,0,0,29
Viseu Dão Lafões,8398,8398,0,4526,4525,0,0,7534,7180,0,0,322
Aguiar da Beira,131,131,0,59,59,0,0,126,126,0,0,0
Carregal do Sal,265,265,0,166,166,0,0,278,263,0,0,15
Castro Daire,367,367,0,252,252,0,0,388,348,0,0,40
Mangualde,595,595,0,312,311,0,0,551,504,0,0,36
Nelas,417,417,0,253,253,0,0,409,409,0,0,0
Oliveira de Frades,348,348,0,173,173,0,0,280,260,0,0,20
Penalva do Castelo,214,214,0,102,102,0,0,193,193,0,0,0
Santa Comba Dão,297,297,0,196,196,0,0,293,293,0,0,0
São Pedro do Sul,468,468,0,222,222,0,0,396,381,0,0,15
Sátão,346,346,0,172,172,0,0,305,305,0,0,0
Tondela,699,699,0,386,386,0,0,725,688,0,0,37
Vila Nova de Paiva,147,147,0,79,79,0,0,135,125,0,0,0
Viseu,3824,3824,0,2024,2024,0,0,3153,3041,0,0,101
Vouzela,280,280,0,130,130,0,0,302,244,0,0,58
Beira Baixa,2473,2472,0,1293,1290,0,0,2075,1977,0,0,91
Castelo Branco,1825,1824,0,935,932,0,0,1562,1494,0,0,61
Idanha-a-Nova,232,232,0,122,122,0,0,169,148,0,0,21
Oleiros,81,81,0,45,45,0,0,65,65,0,0,0
Penamacor,87,87,0,64,64,0,0,72,72,0,0,0
Proença-a-Nova,174,174,0,92,92,0,0,154,145,0,0,9
Vila Velha de Ródão,74,74,0,35,35,0,0,53,53,0,0,0
Médio Tejo,7445,7445,0,4156,4067,83,0,6984,6729,85,0,119
Abrantes,943,943,0,550,462,83,0,1036,914,85,0,32
Alcanena,434,434,0,257,257,0,0,409,409,0,0,0
Constância,168,168,0,87,87,0,0,182,182,0,0,0
Entroncamento,791,791,0,466,466,0,0,687,642,0,0,45
Ferreira do Zêzere,232,232,0,126,126,0,0,223,223,0,0,0
Mação,134,134,0,78,78,0,0,143,129,0,0,14
Ourém,1580,1580,0,859,859,0,0,1443,1427,0,0,0
Sardoal,120,120,0,67,67,0,0,108,108,0,0,0
Sertã,417,417,0,230,230,0,0,407,407,0,0,0
Tomar,1078,1078,0,595,594,0,0,1008,991,0,0,0
Torres Novas,1211,1211,0,637,637,0,0,1066,1025,0,0,28
Vila de Rei,80,80,0,46,46,0,0,62,62,0,0,0
Vila Nova da Barquinha,257,257,0,158,158,0,0,210,210,0,0,0
Beiras e Serra da Estrela,5797,5797,0,3347,3344,0,0,5413,5118,0,26,234
Almeida,116,116,0,66,66,0,0,103,103,0,0,0
Belmonte,203,203,0,101,101,0,0,165,152,0,0,0
Celorico da Beira,170,170,0,122,122,0,0,190,153,0,0,37
Covilhã,1387,1387,0,757,757,0,0,1289,1187,0,26,76
Figueira de Castelo Rodrigo,158,158,0,67,67,0,0,121,108,0,0,13
Fornos de Algodres,112,112,0,79,79,0,0,126,111,0,0,15
Fundão,752,752,0,431,431,0,0,693,655,0,0,38
Gouveia,333,333,0,196,196,0,0,322,280,0,0,26
Guarda,1238,1238,0,733,733,0,0,1154,1154,0,0,0
Manteigas,51,51,0,34,34,0,0,66,66,0,0,0
Mêda,117,117,0,62,62,0,0,104,104,0,0,0
Pinhel,178,178,0,104,104,0,0,177,177,0,0,0
Sabugal,234,234,0,125,122,0,0,174,168,0,0,0
Seia,547,547,0,339,339,0,0,522,493,0,0,29
Trancoso,201,201,0,131,131,0,0,207,207,0,0,0
A. M. Lisboa,122035,122024,0,65910,65103,488,0,101218,96420,538,47,3250
Alcochete,903,903,0,478,478,0,0,752,752,0,0,0
Almada,7582,7582,0,4126,4118,0,0,6392,6094,0,0,277
Amadora,6856,6845,0,3510,3400,0,0,5057,4495,0,0,450
Barreiro,3372,3372,0,1874,1874,0,0,2961,2863,0,0,98
Cascais,9632,9632,0,5236,5230,0,0,8295,8187,0,0,62
Lisboa,25953,25953,0,14421,13980,372,0,21514,19871,468,47,975
Loures,8410,8410,0,4319,4300,0,0,6367,5922,0,0,315
Mafra,3801,3801,0,2004,2004,0,0,3154,3083,0,0,71
Moita,2683,2683,0,1458,1458,0,0,2164,2072,0,0,62
Montijo,2375,2375,0,1275,1241,0,0,1865,1782,0,0,36
Odivelas,6100,6100,0,3262,3242,0,0,4989,4822,0,0,114
Oeiras,6663,6663,0,3538,3533,0,0,5723,5614,0,0,83
Palmela,2876,2876,0,1662,1653,0,0,2674,2591,0,0,46
Seixal,6716,6716,0,3471,3471,0,0,5256,5141,0,0,115
