,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Viseu,10125,1279,8846,21138,14181,2670,18468
Vouzela,7621,738,6882,16521,11872,1601,14921
Beira Baixa,9362,1021,8341,18372,12855,2004,16368
Castelo Branco,10314,1212,9101,19780,13828,2325,17456
Idanha-a-Nova,7675,695,6980,15258,11116,1382,13876
Oleiros,7425,596,6829,15223,11045,1222,14001
Penamacor,6810,561,6249,14858,11385,1224,13635
Proença-a-Nova,7812,705,7107,16104,11497,1453,14651
Vila Velha de Ródão,8480,805,7675,17019,13020,1616,15403
Médio Tejo,9144,939,8204,17885,12769,1837,16047
Abrantes,9316,964,8352,18005,12706,1863,16142
Alcanena,8728,771,7957,16020,11849,1416,14604
Constância,9784,969,8814,18900,13981,1873,17027
Entroncamento,11048,1370,9678,21855,16096,2710,19144
Ferreira do Zêzere,7472,552,6920,15142,11662,1119,14023
Mação,8124,722,7402,16101,11734,1431,14670
Ourém,8418,794,7624,16897,12412,1593,15304
Sardoal,8765,820,7945,16336,11947,1528,14808
Sertã,7263,611,6651,15185,11042,1278,13907
Tomar,9419,1048,8372,17999,12581,2002,15997
Torres Novas,9944,1084,8860,19101,13616,2082,17018
Vila de Rei,7316,554,6761,15450,11693,1171,14279
Vila Nova da Barquinha,10238,1072,9166,20050,14944,2100,17950
Beiras e Serra da Estrela,8583,853,7730,17273,12157,1717,15557
Almeida,8597,790,7807,16508,12659,1517,14991
Belmonte,7536,611,6925,15792,11658,1281,14512
Celorico da Beira,7459,645,6814,16093,11686,1391,14701
Covilhã,9324,990,8333,17792,12260,1889,15902
Figueira de Castelo Rodrigo,7563,610,6953,14932,10633,1204,13728
Fornos de Algodres,6540,534,6007,15056,11016,1228,13827
Fundão,8290,776,7514,16570,12006,1550,15020
Gouveia,7579,663,6916,15761,11273,1379,14382
Guarda,10258,1235,9023,20831,14390,2509,18322
Manteigas,7904,602,7302,15002,11018,1143,13859
