,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Chamusca,5960,8200,10500,14194,733,2690,1352,740,492,138
Coruche,6078,8362,10871,15490,1474,5336,2353,1740,1232,389
Golegã,6539,9151,11772,17048,390,1488,876,621,479,156
Rio Maior,6067,8909,11367,16302,2001,5813,3102,2333,1643,576
Salvaterra de Magos,6179,8888,11610,16757,1985,5935,3109,2410,1897,564
Santarém,6650,9466,12953,19885,4587,13987,7869,6753,6141,2983
Alto Alentejo,6226,8956,11463,16553,9029,29719,15639,11168,8544,3103
Alter do Chão,6406,8675,10849,15597,238,977,485,279,232,80
Arronches,6078,8945,11323,15708,//,//,//,//,//,//
Avis,6071,8401,10758,14641,320,1201,563,381,214,83
Campo Maior,7034,9830,12754,17115,520,1788,1336,1090,659,198
Castelo de Vide,6479,9175,11751,16790,241,888,487,349,266,98
Crato,6229,8789,10851,15043,271,992,524,308,235,54
Elvas,6266,9218,11792,17099,1786,5255,3056,2186,1704,659
Fronteira,6028,8279,10569,15242,272,969,437,274,210,86
Gavião,6232,8392,10432,14550,263,1189,512,327,200,62
Marvão,5719,8486,10469,14218,321,937,474,309,149,51
Monforte,//,//,//,//,//,//,//,//,//,//
Nisa,6088,8861,11188,15715,539,1845,958,621,496,130
Ponte de Sor,5507,7848,10227,14617,1846,4874,2032,1376,1018,343
Portalegre,6938,9639,12902,19616,1472,5790,3315,2714,2550,1073
Sousel,5873,8106,10257,14519,416,1428,594,411,240,83
Alentejo Central,6915,9381,12270,17912,10325,40100,23168,17849,13908,5975
Alandroal,6051,8189,10097,13614,439,1807,783,471,243,58
Arraiolos,6769,9242,11670,15980,428,1959,1049,837,491,170
Borba,6588,8673,10736,14688,450,2136,972,639,421,111
Estremoz,6814,9255,11770,16628,809,3554,2106,1339,1064,363
