,"Total, MF (N.º)","Total, M (N.º)","Total, F (N.º)","Primary CAE: A, MF (N.º)","Primary CAE: A, M (N.º)","Primary CAE: A, F (N.º)","Secondary CAE: B - F, MF (N.º)","Secondary CAE: B - F, M (N.º)","Secondary CAE: B - F, F (N.º)","Tertiary CAE: G - U, MF (N.º)","Tertiary CAE: G - U, M (N.º)","Tertiary CAE: G - U, F (N.º)"
Campo Maior,2257,1277,980,217,165,52,1027,645,382,1013,467,546
Castelo de Vide,472,201,271,23,18,5,97,82,15,352,101,251
Crato,376,160,216,41,29,12,75,50,25,260,81,179
Elvas,3179,1737,1442,435,343,92,451,364,87,2293,1030,1263
Fronteira,356,196,160,125,93,32,49,36,13,182,67,115
Gavião,290,95,195,27,23,4,45,36,9,218,36,182
Marvão,334,139,195,23,16,7,64,56,8,247,67,180
Monforte,445,233,212,106,81,25,42,30,12,297,122,175
Nisa,582,221,361,45,35,10,104,69,35,433,117,316
Ponte de Sor,2310,1196,1114,238,164,74,629,476,153,1443,556,887
Portalegre,3597,1961,1636,124,96,28,1073,885,188,2400,980,1420
Sousel,640,378,262,162,124,38,155,89,66,323,165,158
Alentejo Central,29244,15836,13408,2909,2148,761,8780,6356,2424,17555,7332,10223
Alandroal,589,300,289,170,128,42,207,105,102,212,67,145
Arraiolos,1065,550,515,289,202,87,217,151,66,559,197,362
Borba,885,453,432,96,68,28,334,217,117,455,168,287
Estremoz,2515,1304,1211,241,174,67,528,351,177,1746,779,967
Évora,13093,7239,5854,555,446,109,3930,2922,1008,8608,3871,4737
Montemor-o-Novo,2824,1549,1275,513,363,150,705,583,122,1606,603,1003
Mora,686,308,378,112,76,36,151,114,37,423,118,305
Mourão,305,154,151,55,41,14,53,40,13,197,73,124
Portel,624,271,353,147,101,46,103,69,34,374,101,273
Redondo,889,549,340,238,173,65,280,202,78,371,174,197
Reguengos de Monsaraz,1727,874,853,203,152,51,493,322,171,1031,400,631
Vendas Novas,1989,1022,967,107,83,24,914,549,365,968,390,578
Viana do Alentejo,654,355,299,137,113,24,147,113,34,370,129,241
Vila Viçosa,1399,908,491,46,28,18,718,618,100,635,262,373
Algarve,114430,59517,54913,3272,2399,873,15533,12560,2973,95625,44558,51067
Albufeira,18007,9203,8804,157,89,68,1251,1045,206,16599,8069,8530
Alcoutim,309,124,185,26,…,…,38,…,…,245,76,169
Aljezur,972,475,497,37,26,11,142,118,24,793,331,462
Castro Marim,1047,507,540,42,29,13,163,138,25,842,340,502
Faro,17477,8925,8552,557,369,188,2353,1877,476,14567,6679,7888
Lagoa,6891,3685,3206,102,91,11,893,732,161,5896,2862,3034
Lagos,7833,3957,3876,110,81,29,1179,940,239,6544,2936,3608
Loulé,22923,12467,10456,288,232,56,3339,2717,622,19296,9518,9778
Monchique,683,317,366,49,45,4,121,92,29,513,180,333
Olhão,5882,3188,2694,589,401,188,1404,1050,354,3889,1737,2152
Portimão,14974,7535,7439,74,58,16,1801,1470,331,13099,6007,7092
São Brás de Alportel,1513,806,707,19,16,3,475,382,93,1019,408,611
Silves,5618,3169,2449,525,391,134,982,789,193,4111,1989,2122
Tavira,5194,2588,2606,558,425,133,904,775,129,3732,1388,2344
Vila do Bispo,1203,587,616,41,…,…,43,…,…,1119,511,608
Vila Real de Santo António,3904,1984,1920,98,85,13,445,372,73,3361,1527,1834
R. A. Açores,41447,22934,18513,1178,1045,133,9303,7512,1791,30966,14377,16589
Santa Maria,854,509,345,10,…,…,160,…,…,684,365,319
Vila do Porto,854,509,345,10,…,…,160,…,…,684,365,319
São Miguel,24992,13970,11022,820,726,94,5700,4587,1113,18472,8657,9815
Lagoa (R.A.A.),1901,1271,630,79,73,6,770,671,99,1052,527,525
Nordeste,402,233,169,22,…,…,103,…,…,277,117,160
Ponta Delgada,16014,8388,7626,429,373,56,2398,1889,509,13187,6126,7061
Povoação,837,396,441,38,…,…,109,…,…,690,288,402
Ribeira Grande,4783,3091,1692,199,173,26,2048,1662,386,2536,1256,1280
Vila Franca do Campo,1055,591,464,53,53,0,272,195,77,730,343,387
Terceira,8788,4871,3917,213,190,23,1896,1610,286,6679,3071,3608
Angra do Heroísmo,6092,3236,2856,146,136,10,1254,1077,177,4692,2023,2669
Vila da Praia da Vitória,2696,1635,1061,67,54,13,642,533,109,1987,1048,939
Graciosa,481,261,220,…,…,…,…,…,…,330,144,186
Santa Cruz da Graciosa,481,261,220,…,…,…,…,…,…,330,144,186
São Jorge,1234,655,579,…,…,…,…,…,…,794,363,431
Calheta (R.A.A.),424,208,216,…,…,0,…,…,…,252,115,137
Velas,810,447,363,…,…,…,…,…,…,542,248,294
Pico,1955,1022,933,63,…,…,469,…,…,1423,591,832
Lajes do Pico,382,161,221,…,…,0,…,…,…,275,87,188
Madalena,1081,566,515,54,…,…,235,…,…,792,329,463
São Roque do Pico,492,295,197,…,…,0,…,…,…,356,175,181
Faial,2675,1399,1276,35,29,6,439,363,76,2201,1007,1194
Horta,2675,1399,1276,35,29,6,439,363,76,2201,1007,1194
Flores,409,215,194,…,…,…,…,…,…,340,…,…
Lajes das Flores,121,53,68,…,0,…,…,…,…,101,…,…
Santa Cruz das Flores,288,162,126,…,…,0,…,…,…,239,121,118
Corvo,59,32,27,…,…,0,…,…,…,43,…,…
Corvo,59,32,27,…,…,0,…,…,…,43,…,…
R. A. Madeira,47773,25748,22025,477,345,132,9167,7787,1380,38129,17616,20513
Calheta (R.A.M.),1831,1160,671,14,…,…,920,…,…,897,338,559
Câmara de Lobos,2456,1585,871,98,63,35,941,821,120,1417,701,716
Funchal,31297,16025,15272,73,55,18,4260,3582,678,26964,12388,14576
Machico,2480,1488,992,12,9,3,928,800,128,1540,679,861
Ponta do Sol,732,409,323,20,…,…,181,…,…,531,234,297
Porto Moniz,252,98,154,…,…,0,…,…,…,227,76,151
Ribeira Brava,1483,790,693,0,0,0,418,355,63,1065,435,630
Santa Cruz,5062,3095,1967,249,188,61,1099,883,216,3714,2024,1690
Santana,490,203,287,4,4,0,74,64,10,412,135,277
São Vicente,536,289,247,…,…,…,…,…,…,376,156,220
Porto Santo,1154,606,548,…,…,…,…,…,…,986,450,536
