,Total (N.º),"Employees size class , 1 - 9 (N.º)","Employees size class , 10 - 19 (N.º)","Employees size class , 20 - 49 (N.º)","Employees size class , 50 - 99 (N.º)","Employees size class , 100 - 249 (N.º)","Employees size class , 250 - 499 (N.º)","Employees size class , 500 and over (N.º)"
Matosinhos,44749,7109,4482,6094,4213,6718,3168,12965
Oliveira de Azeméis,19699,2895,2070,3557,2353,2845,1857,4122
Paredes,16642,4272,2490,3268,2517,2919,688,488
Porto,97470,16493,9682,11030,8645,12178,6610,32832
Póvoa de Varzim,12117,3470,1606,2506,1437,1267,771,1060
Santa Maria da Feira,29008,6884,4128,5220,4127,3348,1483,3818
Santo Tirso,14614,3086,1820,3125,1601,3177,1386,419
São João da Madeira,9935,1369,909,1336,1151,1621,506,3043
Trofa,12141,2235,1111,1856,1402,1236,1887,2414
Vale de Cambra,6277,1016,645,1190,744,543,268,1871
Valongo,13194,3185,1988,2438,1662,1305,504,2112
Vila do Conde,19344,4179,2182,3192,1911,3642,1864,2374
Vila Nova de Gaia,55687,10330,6107,8060,5603,7151,2930,15506
Alto Tâmega,11382,3680,1725,1645,1226,1457,310,1339
Boticas,750,184,90,67,73,165,20,151
Chaves,5772,1793,916,810,415,663,137,1038
Montalegre,912,384,227,91,161,0,9,40
Ribeira de Pena,1057,152,92,193,212,374,0,34
Valpaços,1426,583,209,179,183,234,0,38
Vila Pouca de Aguiar,1465,584,191,305,182,21,144,38
Tâmega e Sousa,83655,19826,11755,17387,14150,11698,2580,6259
Amarante,8382,2614,1400,1751,1293,961,56,307
Baião,2251,706,202,553,422,236,90,42
Castelo de Paiva,2514,628,303,379,453,399,250,102
Celorico de Basto,2053,690,250,799,161,90,40,23
Cinfães,2846,538,405,614,692,569,…,…
Felgueiras,17265,3250,2145,3500,3865,3143,883,479
Lousada,9989,2233,1284,2325,1724,1264,543,616
Marco de Canaveses,9017,2172,1574,2035,1682,1268,…,…
Paços de Ferreira,14421,3535,2286,2785,1836,1439,31,2509
Penafiel,14129,3146,1835,2431,1971,2212,667,1867
Resende,788,314,71,215,51,117,0,20
Douro,25921,8298,3862,4510,3072,2171,420,3588
Alijó,1375,509,244,148,259,111,23,81
Armamar,850,343,182,147,168,6,0,4
Carrazeda de Ansiães,504,214,111,87,55,0,0,37
Freixo de Espada à Cinta,208,78,26,87,…,0,0,…
Lamego,3188,1109,406,529,174,592,70,308
Mesão Frio,395,137,47,106,85,8,…,…
Moimenta da Beira,1357,543,184,398,203,11,…,…
Murça,480,182,95,35,9,120,0,39
Penedono,290,155,31,89,11,0,0,4
Peso da Régua,2036,702,371,376,103,189,16,279
Sabrosa,863,259,135,154,271,3,0,41
Santa Marta de Penaguião,431,149,63,207,…,…,0,…
São João da Pesqueira,966,382,154,258,107,…,…,19
Sernancelhe,789,289,134,201,116,23,11,15
Tabuaço,465,136,126,115,32,31,0,25
Tarouca,1070,269,181,153,212,244,0,11
Torre de Moncorvo,744,336,172,70,70,45,0,51
Vila Nova de Foz Côa,797,250,158,127,120,75,6,61
Vila Real,9113,2256,1042,1223,1070,701,255,2566
Terras de Trás-os-Montes,14405,4993,2002,2559,880,929,789,2253
Alfândega da Fé,310,124,38,137,4,0,0,7
Bragança,5922,1621,746,1049,532,155,379,1440
Macedo de Cavaleiros,1607,702,235,248,103,123,17,179
Miranda do Douro,923,411,151,168,0,134,0,59
Mirandela,3143,1056,456,575,157,143,311,445
Mogadouro,892,417,127,145,10,154,0,39
Vila Flor,711,197,48,82,66,196,82,40
Vimioso,333,155,93,49,0,13,0,23
Vinhais,564,310,108,106,8,11,0,21
Centro,458916,102862,55332,80670,53326,61914,34859,69953
Oeste,71717,18253,9841,12923,9376,8902,5305,7117
Alcobaça,12231,3128,1668,2610,2460,1691,11,663
Alenquer,9223,1582,847,1324,1001,1604,1723,1142
Arruda dos Vinhos,2961,643,449,554,325,362,539,89
Bombarral,1937,658,244,387,356,166,0,126
Cadaval,1946,579,240,425,218,368,99,17
Caldas da Rainha,11425,2820,1512,1516,822,1243,1079,2433
Lourinhã,3804,1393,676,858,522,238,…,…
Nazaré,2480,808,298,436,284,286,216,152
Óbidos,2914,724,515,566,437,437,48,187
Peniche,4394,1299,680,816,603,375,383,238
Sobral de Monte Agraço,1310,381,184,380,257,37,…,…
Torres Vedras,17092,4238,2528,3051,2091,2095,1200,1889
Região de Aveiro,90823,15383,9600,15011,10535,13996,7976,18322
Águeda,12577,2387,1552,2823,1549,2990,816,460
Albergaria-a-Velha,6546,1110,711,1556,801,858,740,770
Anadia,5746,1139,643,1338,585,635,48,1358
Aveiro,25328,3562,2451,3270,2861,2596,2852,7736
Estarreja,6303,839,553,806,776,1158,543,1628
Ílhavo,6760,1166,770,983,820,1263,845,913
Murtosa,1379,368,156,165,234,182,244,30
Oliveira do Bairro,5644,1100,773,1081,1137,1157,295,101
Ovar,13544,2048,1268,1874,1024,2033,1155,4142
Sever do Vouga,2154,603,256,488,313,293,148,53
Vagos,4842,1061,467,627,435,831,290,1131
Região de Coimbra,81496,17939,9038,13353,8478,12206,8551,11931
Arganil,1739,465,212,391,215,334,13,109
Cantanhede,7247,1458,733,1022,1196,1072,637,1129
Coimbra,29488,6124,3098,4405,2253,3223,3925,6460
Condeixa-a-Nova,2102,459,167,504,244,432,0,296
Figueira da Foz,12782,2464,1422,1783,1251,2233,1647,1982
Góis,479,213,54,72,97,0,0,43
Lousã,2206,624,327,425,212,208,282,128
Mealhada,4426,727,541,704,613,743,755,343
Mira,1712,572,202,304,360,255,6,13
Miranda do Corvo,1073,399,104,262,51,0,215,42
Montemor-o-Velho,2850,743,462,739,198,592,10,106
Mortágua,2428,434,185,443,231,810,286,39
Oliveira do Hospital,3638,934,521,1072,251,337,168,355
Pampilhosa da Serra,542,169,53,47,66,165,0,42
Penacova,1680,599,214,175,330,316,0,46
Penela,1411,271,192,154,162,518,100,14
Soure,1798,513,201,356,265,266,0,197
Tábua,2566,499,179,195,322,551,251,569
Vila Nova de Poiares,1329,272,171,300,161,151,256,18
Região de Leiria,72185,16803,9989,14992,9598,9835,2648,8320
Alvaiázere,1046,351,129,151,124,280,0,11
Ansião,2178,640,260,527,524,182,0,45
Batalha,4345,1047,786,982,441,714,263,112
Castanheira de Pêra,341,55,78,24,181,0,0,3
Figueiró dos Vinhos,611,268,64,139,3,110,0,27
Leiria,35973,8003,4708,7395,4541,4454,1252,5620
Marinha Grande,10641,1819,1215,2107,1746,2043,495,1216
Pedrógão Grande,534,233,62,105,4,103,0,27
Pombal,11808,3254,1899,2746,1298,1258,304,1049
Porto de Mós,4708,1133,788,816,736,691,334,210
Viseu Dão Lafões,50752,11468,5763,7653,5146,6026,4121,10575
Aguiar da Beira,876,407,117,188,156,0,0,8
Carregal do Sal,1764,284,205,207,278,585,0,205
Castro Daire,1823,744,211,390,3,155,257,63
Mangualde,4675,730,454,587,413,345,233,1913
Nelas,2912,421,220,407,405,469,281,709
Oliveira de Frades,3048,521,229,471,457,712,0,658
Penalva do Castelo,1006,239,135,194,133,247,38,20
Santa Comba Dão,1344,416,193,248,287,110,0,90
São Pedro do Sul,2075,585,300,350,190,559,25,66
Sátão,1329,535,174,218,158,5,216,23
Tondela,5658,1085,551,707,425,851,731,1308
Vila Nova de Paiva,525,221,98,105,88,3,0,10
Viseu,22034,4862,2787,3329,2078,1691,2337,4950
Vouzela,1683,418,89,252,75,294,3,552
Beira Baixa,13590,3604,1662,1993,1232,2048,780,2271
Castelo Branco,9762,2330,1114,1224,982,1274,739,2099
Idanha-a-Nova,913,453,82,255,94,…,…,22
Oleiros,639,217,118,86,56,…,…,20
Penamacor,463,150,54,141,0,101,0,17
Proença-a-Nova,997,326,230,173,56,106,0,106
Vila Velha de Ródão,816,128,64,114,44,459,0,7
Médio Tejo,43256,9819,5165,8573,5258,5451,2542,6448
Abrantes,5878,1113,594,878,796,1056,514,927
Alcanena,3495,739,362,736,202,725,6,725
Constância,883,132,59,180,112,181,208,11
Entroncamento,2898,474,339,369,296,219,310,891
Ferreira do Zêzere,1513,365,196,463,271,160,35,23
Mação,973,204,209,279,122,84,31,44
Ourém,11395,2933,1671,2852,1662,851,766,660
Sardoal,286,147,28,0,…,105,0,…
Sertã,2319,722,360,482,310,367,0,78
Tomar,5567,1416,604,796,519,682,359,1191
Torres Novas,6966,1260,604,1231,856,818,313,1884
Vila de Rei,565,166,67,125,…,199,0,…
Vila Nova da Barquinha,518,148,72,182,107,4,0,5
Beiras e Serra da Estrela,35097,9593,4274,6172,3703,3450,2936,4969
Almeida,817,243,162,251,126,3,0,32
Belmonte,1177,273,149,179,30,319,206,21
Celorico da Beira,944,247,157,239,28,217,12,44
Covilhã,7777,1652,703,1130,985,1177,601,1529
Figueira de Castelo Rodrigo,613,289,104,150,40,5,0,25
Fornos de Algodres,604,249,114,133,68,9,0,31
Fundão,4832,1232,486,1063,463,285,630,673
Gouveia,1463,439,286,289,129,231,0,89
Guarda,8802,2173,888,1036,881,870,943,2011
Manteigas,479,150,76,53,152,0,11,37
Mêda,496,220,104,80,78,0,0,14
Pinhel,1004,491,261,165,20,27,0,40
Sabugal,1495,499,180,457,245,36,16,62
Seia,3153,951,413,690,328,141,308,322
Trancoso,1441,485,191,257,130,130,209,39
A. M. Lisboa,717834,113344,66522,85684,64217,85187,61781,241099
Alcochete,3970,685,317,677,636,551,678,426
Almada,19769,4958,2301,2697,1806,1652,1454,4901
Amadora,33333,4644,2240,2907,2519,3442,1904,15677
Barreiro,8171,1604,784,1133,937,381,726,2606
Cascais,35283,8243,4611,4508,3183,4648,2179,7911
Lisboa,318799,40064,24167,33961,25424,38124,26408,130651
Loures,43379,6886,4504,6282,4199,6198,3513,11797
Mafra,16720,3700,2198,2478,1734,1086,992,4532
Moita,4271,1277,662,678,521,277,375,481
Montijo,8797,1718,1032,1006,1227,1298,499,2017
Odivelas,15133,4662,2506,2296,1242,893,832,2702
Oeiras,73860,7099,5010,7605,7551,10114,9871,26610
Palmela,20938,2224,1315,2048,1792,2185,2357,9017
Seixal,15947,4323,2240,2933,1255,1513,1567,2116
Sesimbra,4810,1586,989,788,538,413,11,485
Setúbal,19307,3799,2325,2788,1735,2213,1917,4530
Sintra,51915,12186,7010,8208,5199,7329,3942,8041
Vila Franca de Xira,23432,3686,2311,2691,2719,2870,2556,6599
Alentejo,131861,33445,15306,20723,13891,17069,8639,22788
Alentejo Litoral,21400,4648,2231,3307,2553,3922,1646,3093
Alcácer do Sal,1892,717,275,496,108,156,22,118
Grândola,2165,690,298,289,377,238,14,259
Odemira,7869,1462,753,1085,966,1952,1217,434
Santiago do Cacém,4702,1164,604,645,496,580,361,852
Sines,4772,615,301,792,606,996,32,1430
Baixo Alentejo,19773,5956,2079,3220,1945,2250,1115,3208
Aljustrel,1724,382,108,246,193,131,545,119
Almodôvar,837,335,58,145,102,62,10,125
Alvito,218,51,…,78,48,0,0,…
Barrancos,214,88,…,36,43,10,0,…
Beja,6851,1891,745,862,822,953,252,1326
Castro Verde,2787,354,134,161,273,302,296,1267
Cuba,352,137,56,77,53,9,0,20
Ferreira do Alentejo,1241,467,162,266,31,268,0,47
Mértola,787,407,80,139,0,144,0,17
Moura,1657,655,255,454,61,85,0,147
Ourique,741,283,84,162,53,104,0,55
Serpa,1688,691,222,403,149,182,12,29
Vidigueira,676,215,106,191,117,0,0,47
Lezíria do Tejo,45000,10148,5377,6922,4536,5514,2875,9628
Almeirim,3143,1012,442,578,301,139,10,661
Alpiarça,924,196,116,190,73,111,234,4
Azambuja,7662,601,282,838,681,864,187,4209
Benavente,6026,1461,708,983,649,866,726,633
Cartaxo,2675,861,354,548,344,392,0,176
Chamusca,1511,387,261,258,184,351,11,59
Coruche,2659,897,448,424,333,174,143,240
Golegã,793,225,135,89,42,85,182,35
Rio Maior,4507,1085,719,831,454,329,275,814
Salvaterra de Magos,2967,934,485,601,503,338,8,98
Santarém,12133,2489,1427,1582,972,1865,1099,2699
Alto Alentejo,16444,4530,2029,2610,1955,1882,1626,1812
Alter do Chão,380,126,57,120,68,…,0,…
Arronches,418,115,34,139,126,0,0,4
Avis,808,182,100,59,62,137,261,7
Campo Maior,2257,251,144,207,122,372,598,563
Castelo de Vide,472,143,38,68,109,13,41,60
Crato,376,110,62,93,3,87,0,21
Elvas,3179,1053,457,601,417,87,54,510
Fronteira,356,206,57,11,62,…,0,…
Gavião,290,60,29,73,0,122,0,6
Marvão,334,133,38,71,65,0,0,27
Monforte,445,151,71,110,51,0,0,62
Nisa,582,189,63,182,43,83,0,22
Ponte de Sor,2310,556,375,318,317,323,270,151
Portalegre,3597,979,409,444,370,644,402,349
Sousel,640,276,95,114,140,…,0,…
Alentejo Central,29244,8163,3590,4664,2902,3501,1377,5047
Alandroal,589,254,72,126,35,13,85,4
Arraiolos,1065,391,159,272,208,10,0,25
Borba,885,366,117,66,101,122,0,113
Estremoz,2515,809,353,428,336,252,61,276
Évora,13093,2632,1384,1817,1026,1426,842,3966
Montemor-o-Novo,2824,1069,271,502,327,271,180,204
Mora,686,203,81,184,33,180,0,5
Mourão,305,111,69,94,22,5,0,4
Portel,624,225,86,140,80,90,0,3
Redondo,889,367,186,183,109,0,0,44
Reguengos de Monsaraz,1727,584,179,169,149,525,8,113
Vendas Novas,1989,502,240,364,105,340,201,237
Viana do Alentejo,654,267,135,64,96,83,0,9
Vila Viçosa,1399,383,258,255,275,184,0,44
Algarve,114430,28974,16468,17411,11724,13931,7011,18911
Albufeira,18007,3644,2493,2370,2039,3762,1060,2639
Alcoutim,309,106,44,71,76,0,7,5
Aljezur,972,469,164,111,207,…,…,16
Castro Marim,1047,306,160,126,418,…,…,13
Faro,17477,3614,1962,2727,1674,1731,1253,4516
Lagoa,6891,1640,918,1086,670,973,727,877
Lagos,7833,2512,1606,1468,661,588,401,597
Loulé,22923,5498,3421,4188,1661,2292,1927,3936
Monchique,683,307,96,187,83,3,0,7
Olhão,5882,1769,838,1130,732,674,111,628
Portimão,14974,3159,1869,1551,1520,1806,1277,3792
São Brás de Alportel,1513,679,311,200,109,5,44,165
Silves,5618,1936,1002,737,791,482,6,664
Tavira,5194,1598,871,785,343,802,61,734
Vila do Bispo,1203,458,323,163,143,62,9,45
Vila Real de Santo António,3904,1279,390,511,597,744,106,277
R. A. Açores,41447,8689,5082,7629,4545,5721,2827,6954
Santa Maria,854,238,101,176,16,59,8,256
Vila do Porto,854,238,101,176,16,59,8,256
São Miguel,24992,4475,2741,4862,3078,3738,1644,4454
Lagoa (R.A.A.),1901,356,312,674,196,157,52,154
Nordeste,402,137,48,42,57,98,9,11
Ponta Delgada,16014,2765,1626,2916,1946,2375,739,3647
Povoação,837,185,126,117,117,230,8,54
Ribeira Grande,4783,753,491,975,582,760,729,493
Vila Franca do Campo,1055,279,138,138,180,118,107,95
Terceira,8788,2011,1365,1310,1003,1025,643,1431
Angra do Heroísmo,6092,1437,896,806,704,633,543,1073
Vila da Praia da Vitória,2696,574,469,504,299,392,100,358
Graciosa,481,139,66,72,73,42,31,58
Santa Cruz da Graciosa,481,139,66,72,73,42,31,58
São Jorge,1234,364,107,369,…,169,…,87
Calheta (R.A.A.),424,110,70,179,0,55,…,…
Velas,810,254,37,190,…,114,…,…
Pico,1955,646,395,304,158,231,71,150
Lajes do Pico,382,128,92,97,46,7,0,12
Madalena,1081,340,182,153,64,199,52,91
São Roque do Pico,492,178,121,54,48,25,19,47
Faial,2675,689,219,429,128,433,345,432
Horta,2675,689,219,429,128,433,345,432
Flores,409,111,80,91,10,20,22,75
Lajes das Flores,121,48,29,27,0,10,…,…
Santa Cruz das Flores,288,63,51,64,10,10,…,…
Corvo,59,16,8,16,…,4,…,11
Corvo,59,16,8,16,…,4,…,11
R. A. Madeira,47773,9594,5592,7654,5859,5198,2538,11338
Calheta (R.A.M.),1831,277,241,146,124,214,0,829
Câmara de Lobos,2456,698,355,550,466,207,3,177
Funchal,31297,5594,3372,4664,3557,3507,2123,8480
Machico,2480,584,294,426,623,265,24,264
Ponta do Sol,732,306,107,50,77,0,166,26
Porto Moniz,252,62,59,118,0,0,0,13
Ribeira Brava,1483,365,223,211,269,207,7,201
Santa Cruz,5062,1106,706,997,487,624,124,1018
Santana,490,167,41,93,125,10,0,54
São Vicente,536,202,111,207,0,0,0,16
Porto Santo,1154,233,83,192,131,164,91,260
