,Total (N.º),Brazil (N.º),Ukraine (N.º),Cabo Verde (N.º),Romania (N.º),Angola (N.º),Guinea-Bissau (N.º),United Kingdom (N.º),Moldavia (N.º),China (N.º),São Tomé and Príncipe (N.º)
Vouzela,116,41,11,0,5,5,0,10,0,2,14
Beira Baixa,3365,601,159,172,214,52,189,745,1,77,38
Castelo Branco,1964,481,113,141,154,41,142,210,1,59,7
Idanha-a-Nova,497,23,8,24,30,4,43,107,0,4,31
Oleiros,125,10,2,4,1,3,0,61,0,3,0
Penamacor,404,4,8,1,3,2,1,267,0,4,0
Proença-a-Nova,216,61,20,0,14,2,0,56,0,7,0
Vila Velha de Ródão,159,22,8,2,12,0,3,44,0,0,0
Médio Tejo,7198,1928,818,141,582,227,83,886,36,283,78
Abrantes,576,162,63,14,110,15,9,31,1,23,1
Alcanena,407,103,97,17,37,15,8,5,14,16,1
Constância,47,10,0,2,9,5,0,9,0,3,0
Entroncamento,769,394,64,58,19,47,19,4,5,42,6
Ferreira do Zêzere,391,25,13,1,8,3,0,176,2,11,1
Mação,130,25,3,0,19,1,0,42,0,8,0
Ourém,2338,689,438,11,266,58,14,39,8,57,13
Sardoal,56,18,7,0,4,0,0,4,0,3,0
Sertã,518,51,4,1,2,24,0,215,0,14,26
Tomar,1156,209,54,26,41,30,31,299,1,66,5
Torres Novas,626,197,71,9,54,21,1,41,5,34,9
Vila de Rei,81,7,2,1,7,2,1,16,0,1,15
Vila Nova da Barquinha,103,38,2,1,6,6,0,5,0,5,1
Beiras e Serra da Estrela,5122,1344,183,269,92,320,137,521,10,190,214
Almeida,100,23,14,2,14,0,0,0,3,12,0
Belmonte,73,21,7,2,0,0,0,6,0,13,0
Celorico da Beira,140,22,2,1,4,2,0,56,0,4,0
Covilhã,1614,719,23,95,8,248,15,12,5,30,8
Figueira de Castelo Rodrigo,46,13,6,1,4,0,0,2,0,5,0
Fornos de Algodres,71,13,3,0,1,1,0,31,0,3,0
Fundão,1062,220,23,5,19,6,20,258,1,20,10
Gouveia,225,16,5,10,1,8,2,39,0,11,2
Guarda,984,159,69,140,17,36,97,14,1,36,160
Manteigas,28,11,0,0,0,2,0,2,0,0,4
Mêda,48,4,4,0,3,0,0,0,0,10,0
Pinhel,80,13,17,0,7,5,0,0,0,12,0
Sabugal,120,25,1,2,8,6,0,7,0,7,0
Seia,447,66,5,10,1,6,3,91,0,12,30
Trancoso,84,19,4,1,5,0,0,3,0,15,0
A. M. Lisboa,330413,87089,9231,28772,12924,17894,15944,10326,2069,14742,8530
Alcochete,1254,305,58,5,340,58,4,62,6,28,6
Almada,15471,5790,322,1949,297,855,249,272,112,399,599
Amadora,23458,5373,620,6032,773,1465,2653,252,58,429,943
Barreiro,5197,1761,92,825,69,540,398,49,32,161,212
Cascais,32939,10511,1019,967,1213,584,908,2655,347,1097,93
Lisboa,106971,18825,1530,2256,1970,2529,1274,4954,155,8662,877
Loures,21077,4483,835,2014,1030,1890,1799,142,139,508,2200
Mafra,5286,2459,317,44,276,79,11,312,100,138,19
Moita,3961,928,86,711,101,517,648,55,17,145,206
Montijo,5232,1851,182,73,982,253,33,54,66,127,47
