,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Alter do Chão,844.96,749.28,863.41,747.6,716,878.89,…,1653.98,1148.36,1004.75,//
Arronches,842.43,//,770.92,773.09,750.44,861.19,//,792.4,1125.19,…,…
Avis,914.36,650.48,815.11,840.14,840.99,895.11,//,1806.35,1405.3,…,…
Campo Maior,1235.31,826.83,1095.13,1096.5,1051.92,1113.28,…,2121.42,1773.61,2464.17,//
Castelo de Vide,854.76,//,759.04,776.31,779.83,940.75,//,1274.54,1116.03,874.8,…
Crato,801.13,690.51,755.98,749.18,737.91,788.7,…,1464.48,1153.95,1882.47,//
Elvas,885.19,812.86,802.44,827.49,810.25,876.14,…,1369.1,1214.92,1476.66,…
Fronteira,911.33,761.48,811.87,793.38,836.85,1076.2,//,2073.32,1199.09,825.56,//
Gavião,821.56,913.16,724.28,693.9,743.08,919.37,//,1154.99,1430.5,//,//
Marvão,786.53,//,675.85,742.05,708.49,827.27,//,//,1047.64,1354.66,//
Monforte,979.9,882.58,831.58,848.27,876.99,928.93,…,1278.29,1516.52,1437.14,…
Nisa,821.85,614.48,747.54,813.6,797.17,818.66,//,1091.31,1079.89,1083.21,//
Ponte de Sor,990.94,713,815.24,841.33,879.9,1001.16,…,1788.18,1541.46,1329.23,…
Portalegre,1003.03,817.51,809.39,856.25,886.65,970.28,…,1436.8,1446.42,1320.35,//
Sousel,854.94,…,783.93,812.38,782.46,880.09,…,1019.22,1365.12,1330.41,//
Alentejo Central,1020.7,809.77,833.56,874.44,903.45,1002.33,1042.37,1665.16,1506.38,1720.81,1343.43
Alandroal,837.73,685.64,790.29,832.34,750.98,850.63,…,980.14,1272.48,1411.91,…
Arraiolos,954.98,838.14,780.46,831.99,889.13,936.46,…,1018.55,1641.47,1199.62,…
Borba,931.7,728.74,851.44,878.61,815.81,938.4,//,1826.37,1447.54,918.29,//
Estremoz,970.69,821.68,821.32,873.75,918.75,975.63,842.22,1642.53,1256.28,1634.62,1085.23
Évora,1098.82,858.58,842.77,889.79,931.25,1041.72,…,1701.64,1589.98,1874.67,1581.66
Montemor-o-Novo,956.66,740.3,837.09,878.71,907.98,939.8,//,1793.57,1319.81,1147.62,…
Mora,916.68,828.37,798.61,794.7,907.31,995.54,//,942.45,1238.76,1563.19,//
Mourão,853.48,…,778.35,732.02,741.5,961.75,//,//,1245.41,…,//
Portel,943.24,626.9,811.46,807.03,876.49,959.81,//,1035.7,1495.91,1809.98,//
Redondo,895.79,886.53,795.31,821.12,820.47,837.89,…,2052.85,1406.28,1590.95,…
Reguengos de Monsaraz,934.67,721.3,783.53,847.73,831.19,962.21,//,1301.31,1439.57,1482.12,//
Vendas Novas,1014.6,703.91,866.57,836.72,911.65,987.03,//,2119.21,1653.94,1494.05,1240.34
Viana do Alentejo,891.02,894.9,794.69,763.8,848.15,946.23,…,…,1172.29,1094,//
Vila Viçosa,1041.16,999.32,1003.92,1045.29,964.54,1014.64,…,1368.39,1324.75,1294.91,…
Algarve,999.05,761.4,856.01,866.26,874.32,998.58,1091.22,1481.29,1461.75,1557.66,2174.08
Albufeira,975.69,706.15,851.74,884.81,883.57,1014.82,1181.62,1323.89,1347.43,1431.5,1224.28
Alcoutim,819.25,//,717.97,704.79,769.64,853.05,//,962.82,1134.82,1115.56,//
Aljezur,836.81,…,737.34,738.15,770.08,868.74,//,933.46,1179.76,1070.47,//
Castro Marim,850.29,…,777.1,752.63,777.63,855.77,…,1326.02,1286.24,1039.62,//
Faro,1138.08,744.95,872.33,895.68,921.42,1083.57,1134.12,1750.08,1593.04,1786.7,2728.09
Lagoa,987.02,908.25,846.24,849.65,898.47,1002.3,…,1638.47,1407.08,1444.54,1627.03
Lagos,944.17,762.31,854.21,853.04,854.74,950.4,…,1355.92,1357.16,1192.31,…
Loulé,1029.22,787.09,922.51,929.06,918.43,1020.63,1245.75,1547.56,1463.77,1573.78,1481.18
Monchique,868.8,699.16,749.75,792.47,763.89,916.84,//,1269.62,1311.38,1578.11,//
Olhão,913.42,719.48,793.6,814.64,817.12,905.95,//,1214.96,1353.03,1354.74,1765.45
Portimão,1013.31,757.08,879.33,868.95,861.69,998.43,950.72,1447.09,1479.88,1678.31,2354.06
São Brás de Alportel,933.87,…,832.13,815.82,784.8,915.93,//,1353.24,1418.37,1071.14,…
Silves,935.73,715.84,823.18,846.62,826.57,927.41,…,1659.78,1508.4,1758.28,…
Tavira,885.84,776.73,780.68,782.79,784.93,906.25,…,1246.66,1292.65,1211.42,…
Vila do Bispo,960.22,1615.45,831.15,841.68,878.62,985.29,…,907.75,1371.57,1218.05,2323.2
Vila Real de Santo António,912.2,677.44,809.18,809.27,833.93,936.98,…,1309.66,1511.33,1297.68,…
R. A. Açores,1065.39,777.15,875.08,896.6,886.64,1089.93,1109.33,2069.46,1793.78,1761.75,1871.29
Santa Maria,1916.96,…,943.89,843.11,1040.39,2220.97,…,7524.45,5453.84,…,//
Vila do Porto,1916.96,…,943.89,843.11,1040.39,2220.97,…,7524.45,5453.84,…,//
São Miguel,1071.78,750.22,842.34,913.97,887.14,1106.92,1136.25,1978.7,1775.49,1760.94,1702.36
Lagoa (R.A.A.),937.3,789.98,832.5,792.93,840.52,967.2,1518.37,1248.01,1615.45,1454.82,1633.91
Nordeste,842.97,789.36,762.28,756.28,813.16,797.58,…,//,1299.98,1459.76,//
Ponta Delgada,1147.35,747.38,869,983.93,905.94,1169.83,1049.19,2014.91,1825.23,1871.51,1790.9
Povoação,895.12,693.8,788.98,797.78,928.78,852.38,…,//,1328.57,1489.39,…
Ribeira Grande,975.19,782.27,830.24,865.34,868.38,988.12,985.94,1981.19,1731.5,1479.14,1953.67
Vila Franca do Campo,826.43,649.55,764.62,767.14,776.66,826.02,//,1497.49,1421.19,1049.71,…
Terceira,1018.14,821.12,898.47,861.8,874.44,984.22,846.88,1813.29,1641.32,1866.86,1170.81
Angra do Heroísmo,1006.02,885.22,888.95,849.93,837.55,932.1,838.23,1740.78,1647.31,1937.36,1194.23
Vila da Praia da Vitória,1047.07,730.32,917.57,893.72,961.69,1086.54,857.7,2047.57,1617.5,1555.84,…
Graciosa,934.22,…,904.43,802.5,866.65,1034.12,…,…,1334.73,…,//
Santa Cruz da Graciosa,934.22,…,904.43,802.5,866.65,1034.12,…,…,1334.73,…,//
São Jorge,926.18,715.67,918.18,827.78,853.02,945.8,…,1531.83,1289.42,1482.78,//
Calheta (R.A.A.),864.56,711.27,728.07,771.13,816.59,886.2,…,…,1204.56,1327.15,//
Velas,960.8,719.2,1015.03,858.56,872.12,982.67,…,1200.47,1344.17,1638.41,//
Pico,929.93,714.59,920.34,876.58,882.73,939.49,960.5,708.98,1253.13,1035.32,898.65
Lajes do Pico,851.32,…,878.94,788.98,819.01,855.99,1061.69,760.33,1077.28,722.54,//
Madalena,917.45,738.62,911.25,880.31,863.41,930.34,…,…,1234.49,…,639.13
São Roque do Pico,1022,…,987.71,933.92,983.5,1019.43,…,//,1447.53,1156.97,1158.17
Faial,1090.11,1005.59,971.95,908.47,889.05,1071.15,1483.97,1588.56,1842.57,1855.29,3365.72
Horta,1090.11,1005.59,971.95,908.47,889.05,1071.15,1483.97,1588.56,1842.57,1855.29,3365.72
Flores,1051.59,//,881.27,884.56,879.43,1159.26,…,…,2409.14,1230.18,//
Lajes das Flores,963.11,//,949.59,836.99,840.16,1113.44,…,//,1435.46,//,//
Santa Cruz das Flores,1082.28,//,861.93,907.93,891.53,1172.7,//,…,2965.53,1230.18,//
Corvo,1444.71,//,1905.6,1182.04,1184.16,1589.89,//,//,1619.29,//,//
Corvo,1444.71,//,1905.6,1182.04,1184.16,1589.89,//,//,1619.29,//,//
R. A. Madeira,1096.41,878.39,948.18,952.8,925.51,1038.56,1005.92,1764.97,1796.48,1800.86,2113.38
Calheta (R.A.M.),1141.91,903.92,1139.93,1071.44,1020.48,1026.25,//,1177.85,2113.75,2214.35,//
Câmara de Lobos,950.94,832.92,863.83,873.65,827.94,963.26,//,1574.47,1683.47,1558.23,//
Funchal,1136.03,908.65,962.34,976.55,947.58,1039.66,941.34,1685.92,1807.4,1862.16,2301.59
Machico,1039.98,812.69,895.14,896.58,885.75,1054.8,1208.88,2242.82,1688,1823.19,2046.85
Ponta do Sol,834.46,…,819.69,851.81,801.27,824.05,…,…,1066.78,…,//
Porto Moniz,788.81,//,813.02,732.96,771.72,799.58,//,…,1147.46,//,//
Ribeira Brava,895.25,712.05,833.31,859.94,800.92,876.16,1021.02,879.13,1312.94,1441.84,…
Santa Cruz,1084.29,798.61,892.39,933.1,925.86,1132.5,…,2170.8,1917.07,1439.4,995.81
Santana,862.43,699.8,763.47,827.6,768.7,855.59,//,2419.04,1308.66,//,//
São Vicente,854.09,…,773.95,800.2,772.81,912.28,…,…,1115.08,…,//
Porto Santo,1142.94,…,1158.83,1057.48,968.13,1122.85,//,…,2511.45,1585.99,//
