,Total (€),"Employees size class , 1 - 9 (€)","Employees size class , 10 - 19 (€)","Employees size class , 20 - 49 (€)","Employees size class , 50 - 99 (€)","Employees size class , 100 - 249 (€)","Employees size class , 250 - 499 (€)","Employees size class , 500 and over (€)"
Coimbra,1134.43,881.93,960.13,1092.68,1195.07,1262.44,1278.69,1344.24
Condeixa-a-Nova,966.56,804.36,842.72,1029.4,950.23,1038.43,//,1094.47
Figueira da Foz,1170.85,838.18,959.61,1001.84,1173.71,1331.85,1371.77,1530.31
Góis,784.42,735.22,796.34,763.49,862.8,641,//,962.07
Lousã,964.45,823.05,848.9,854.33,993.58,1019.42,1205.5,1544.86
Mealhada,1076.14,833.93,924.25,1075.4,1116.07,1322.25,1100.18,1179.61
Mira,923.87,807.94,920.97,918.03,1000.1,966.27,964.01,2110.24
Miranda do Corvo,866.99,820.88,841.43,866.94,846.91,//,881.61,1350.1
Montemor-o-Velho,932.99,818.15,900.03,922.81,929.43,1135.67,923.99,1084.78
Mortágua,979.42,847.02,908.11,1002.9,882.52,1027.5,1039.56,1693.63
Oliveira do Hospital,862.98,792.76,851.26,859.26,880.76,785.02,746.32,1263.98
Pampilhosa da Serra,840.89,757.55,963.38,833.87,827.02,836.16,//,1090.2
Penacova,961.62,818.76,859.25,876.08,923.9,1226.1,818.83,1912.26
Penela,893.31,785.97,906.44,794.99,922.73,985.02,//,1258.18
Soure,940.09,821.87,847.24,976.19,898.54,1149.92,…,1139.21
Tábua,859.13,768.74,789.38,911.23,1033,844.91,907.04,831.86
Vila Nova de Poiares,934.31,779.96,845.94,997.35,872.74,775.74,1152.25,1891.85
Região de Leiria,1087.48,884.65,1026.29,1100.99,1134.49,1202.06,1223.52,1318.45
Alvaiázere,884.45,789.25,878.27,864.58,832.42,860.17,996.06,2049.75
Ansião,890.16,798.96,888.11,970.81,879.58,853.12,…,1773.08
Batalha,1011.33,892.29,1127.88,996.19,1048.26,995.1,1060.43,1420.88
Castanheira de Pêra,912.88,846.75,996.2,1012.23,861.76,//,//,2316.7
Figueiró dos Vinhos,875.35,796.51,890.01,760.22,1892.33,835.89,//,2004.62
Leiria,1091.98,894.49,1013.05,1092.45,1097.83,1270.4,1211.78,1267.45
Marinha Grande,1303.58,999.61,1212.59,1333.68,1457.25,1281.13,1500.46,1586.51
Pedrógão Grande,850.35,726.55,745.33,965.6,1643.67,786.16,//,1703.49
Pombal,996.93,845.25,963.95,1007.66,1062.21,1094.78,1151.67,1254.19
Porto de Mós,1055.12,861.7,977.38,1144.58,1017.57,1219.72,1424.13,1289.97
Viseu Dão Lafões,986.58,801.87,883.33,931.62,955.65,1012.58,1087.46,1249.19
Aguiar da Beira,786.58,731.5,763.28,860.16,760.25,//,//,1980.71
Carregal do Sal,945.95,813.97,875.1,1065.8,1005.47,1005.5,…,836.5
Castro Daire,848.52,741.4,730.58,899.77,1271.63,768.14,939.17,1521.64
Mangualde,1098.4,830.82,993.03,1005.22,1000.67,824.04,1116.26,1312.09
Nelas,1035.56,785.03,891.54,1092.66,891.09,1086.89,1479.5,1046.14
Oliveira de Frades,1119.82,933.59,957.66,957.44,1088.38,1209.36,934.31,1401.61
Penalva do Castelo,866.95,806.14,778.94,811.81,794.62,1014.67,770.03,1709.3
Santa Comba Dão,904.88,848.74,892.48,909.68,962.04,786.5,//,1219.49
São Pedro do Sul,805.83,738.78,787.25,864.08,842.9,760.81,762.62,1279.41
Sátão,791.85,721.22,807.81,850.53,763.74,803.85,//,1670.79
Tondela,1062.64,824.69,867.95,864.92,901.18,1139.73,1444.79,1309.93
Vila Nova de Paiva,811.6,703.99,815.6,825.79,839.67,981.36,//,1839.55
Viseu,987.08,809.27,903.84,918.58,992.76,994.58,1012.33,1258.41
Vouzela,904.47,801.88,828.06,1062.33,748.08,970.73,980,948.08
Beira Baixa,961.39,795.68,851.74,926.52,911.84,1164.26,1037.4,1170.69
Castelo Branco,957.13,807.9,856.99,938.9,901.86,1091.02,1028.2,1114.57
Idanha-a-Nova,885.19,784.36,965.38,908.1,989.35,…,805.74,1553.06
Oleiros,935.73,701.08,749.65,818.43,806.89,1267.79,1382.98,1777.92
Penamacor,907.39,780.17,822.16,1074.1,//,818.84,1440.91,1492.78
Proença-a-Nova,904.37,789.43,801.97,818.19,968.14,785.86,1131.27,1823.74
Vila Velha de Ródão,1227.87,760.35,883.04,959.62,935.56,1589.82,…,2288.45
Médio Tejo,1019.1,818.95,907.68,952.08,1074.47,1157.85,1120.66,1337.94
Abrantes,1084.84,816.48,964.51,915.5,1008.91,1494.73,1254.9,1287.16
Alcanena,1063.07,888.83,933.19,1095.13,1071.83,1224.07,1077.91,1120.55
Constância,1239.61,748.12,735.11,996.84,1112.63,1718.82,1425.96,1969.61
Entroncamento,1130.99,843.84,1018.66,972.35,1211.16,940.93,881.37,1523.82
Ferreira do Zêzere,909.81,803.7,910.23,890.46,1012.58,902.64,929.55,1338.52
Mação,889.4,827.67,807.75,739.71,1300.75,717.11,1014.83,1505.34
Ourém,1004.55,826.88,925.07,957.23,1213.96,1274.39,1116.48,1169.57
Sardoal,819.72,773.65,740.93,//,…,829.32,//,2439.7
Sertã,867.82,765.61,814.75,855.18,1028.28,882.48,1491.06,1536.55
Tomar,990.96,772.47,834.16,916.17,938.42,1020.48,874.25,1422.21
Torres Novas,1048.36,861.41,937.09,1019.58,1004.12,975.49,1110.97,1306.1
Vila de Rei,820.52,770.41,825.37,676.43,2058.33,881.22,…,2327.66
Vila Nova da Barquinha,840.21,768.12,869.38,911.46,743.36,725.26,…,2278.32
Beiras e Serra da Estrela,934.82,776.18,832.46,859.07,914.44,1020.13,993.25,1365.1
Almeida,831.05,762.76,714.94,802.48,936.62,841.75,//,1508.58
Belmonte,821.63,751.64,854.13,876.32,1125.1,714.16,811.19,1825.45
Celorico da Beira,940.73,737.19,750.35,1016.09,738.02,1158.82,975.06,1451.94
Covilhã,943.36,798.39,849.14,849.3,852.13,917.68,1052.21,1251.25
Figueira de Castelo Rodrigo,805.85,738.19,784.28,791.77,1020.61,775.36,//,1721.98
Fornos de Algodres,790.18,724.12,806.03,757.13,908.95,1156.05,//,1053.35
Fundão,921.19,779.26,856.58,859.17,974.63,1020.32,872.18,1389.34
Gouveia,864.02,815.71,802.17,770.33,884.64,974.23,779.63,1332.65
Guarda,1054.8,782.6,863.75,945.2,934.58,1256.46,1190.7,1408.58
Manteigas,809.26,783.86,782.74,818.32,836.45,//,862.34,892.19
Mêda,850.81,747.65,770.41,970.93,791.03,//,//,2426.3
Pinhel,809.55,773.79,755.43,756.44,1058.86,796.85,725.64,1556.64
Sabugal,846.3,731.46,814.58,830.65,814.04,1145.44,1126.26,1781.36
Seia,888.4,781.51,830.97,824.39,1016.59,898.36,735.46,1373.33
Trancoso,904.22,759.61,880.69,904.22,958.34,996.01,//,1836.54
A. M. Lisboa,1440.11,994.51,1173.84,1340.86,1466.12,1715.76,1757.95,1585.83
Alcochete,2153.26,898.94,1010.33,1153.49,1409.23,1224.8,7384.83,1180.82
Almada,1117.59,834.71,950.23,980.65,1090.23,1262.93,1337.99,1465.7
Amadora,1387.78,937.65,1128.9,1281.07,1414.01,1927.19,1726.71,1422.57
Barreiro,1110.24,835.29,956.52,971.64,1201.67,1254.73,1515.02,1228.15
Cascais,1183.63,942.69,1065.57,1133.04,1246.65,1380.22,1510.65,1294.7
Lisboa,1616.1,1159.43,1309.56,1575.89,1636.54,1762.54,1728.22,1770.14
Loures,1184.32,887.72,1050.55,1098.75,1258.86,1414.23,1332.2,1260.06
Mafra,973.52,848.21,986.29,1045.43,1106.18,990.2,1028.28,966.57
Moita,971.17,824.27,916.26,1078.51,939.86,1040.66,983.14,1217.14
Montijo,1008.72,863.46,918.74,986.36,1023.35,1088.4,1119.98,1117.64
Odivelas,937.82,827.3,917.68,998.81,1091.52,977.79,1020.4,1001.1
Oeiras,1791.52,1142.33,1623.17,1755.69,1895.2,2447.5,2099.83,1610.98
Palmela,1339.26,871.39,1042.12,1073.45,1265.42,1482.04,1554.91,1478.56
Seixal,1250.18,845.7,931.28,1013.06,1105.77,2956.66,1486.4,1117.41
Sesimbra,930.17,771.28,924.04,984.99,1086.39,977.74,1039.33,1145.49
Setúbal,1181.18,876.6,1037.6,1071.49,1219.27,1308.55,1609.73,1327.14
Sintra,1183.9,883.87,1078.21,1089.84,1297.98,1542.35,1689.05,1204.79
Vila Franca de Xira,1216.39,888.18,1068.81,1169.49,1250.37,1204.21,1598.93,1325.86
Alentejo,1051.09,834.19,925.17,1018.52,1082.42,1095.43,1118.6,1410.63
Alentejo Litoral,1184,841.56,905.77,1073.6,1126.91,1280.73,997.31,1917.21
Alcácer do Sal,943.47,922.78,800.02,1052.19,785.17,924.29,1122.67,1298.56
Grândola,958.06,795.65,838.15,1044.34,1091.74,1019.59,1569.56,1221.89
Odemira,924.06,798.45,867.81,859.92,1041.04,950.05,998.93,1184.46
Santiago do Cacém,1023.17,851.09,976.41,983.66,1115.48,1158.31,938.44,1263.9
Sines,1739.57,870.34,1024.78,1408.91,1352.41,1776.52,1280.13,2249.06
Baixo Alentejo,1104.14,817.24,927.67,945.75,1051.71,1009.16,1222.99,1948.64
Aljustrel,1151.99,822.94,967.28,969.77,1232.47,1161.36,1446.93,1352.81
Almodôvar,877.41,754.04,810.81,890.94,791.47,746.9,1758.21,1384.97
Alvito,1016.84,852.97,1228.05,946.42,1166.3,//,//,1405.09
Barrancos,809.87,684.65,730.45,858.93,905.43,1260.54,//,1633.99
Beja,1059.58,867.17,990.89,980.99,1031.31,1126.3,1096.78,1440.08
Castro Verde,1831.86,792.01,970.84,1043.04,1070.53,910.53,//,2484.51
Cuba,909.28,899.78,825.39,1027.23,913.44,//,//,1103.4
Ferreira do Alentejo,965.27,865.33,1073.68,1082.53,945.4,851.35,968.44,1509.85
Mértola,831.58,773.28,786.87,891.74,//,848.97,//,1774.24
Moura,904.18,750.32,866.34,927.54,1317.33,1057.24,//,1222.18
Ourique,839.09,764.64,763.91,843.04,851.05,909.32,//,1219.61
Serpa,853.44,777.27,891.95,843.23,1061.81,829.47,811.65,1866
Vidigueira,936.55,893.93,794.78,934.26,1089.08,//,//,1325.52
Lezíria do Tejo,1016,846.17,939.19,1078.43,1171.62,1037.13,1058.77,1096.45
Almeirim,929.99,831.09,890.33,1001.08,940.46,826.16,708.85,1142.44
Alpiarça,851.79,821.02,727.27,1052.16,786.11,798.26,802.41,2378.74
Azambuja,1018.95,897.54,1054,1442.42,1343.13,1266.06,1051.31,870.74
Benavente,1109.76,856.35,924.56,1062.04,1441.51,980.04,1485.98,1275.78
Cartaxo,1008.04,837.15,971.41,1038.54,1129.69,1100.18,…,1253.97
Chamusca,948.66,872.79,860.66,1122.11,971.45,877.34,934.62,1255.29
Coruche,1001.79,835.26,997.94,1050.3,1256.52,981.86,939.09,1287.97
Golegã,925.02,846.35,946.52,815.1,761,983.97,//,1416.86
Rio Maior,1014.05,810.75,972.67,1099.78,1193.52,979.15,1113.09,1121.91
Salvaterra de Magos,942.87,825.67,913.76,921.2,1108.03,1072.4,1350.96,1233.78
Santarém,1041.57,861.01,924.43,1038.49,1051.75,995.06,899.07,1384.15
Alto Alentejo,968.23,821.49,891.38,895.5,961.11,1047.27,1182.14,1356.89
Alter do Chão,844.96,832.95,796.46,868.61,809.7,//,733.34,1809.79
Arronches,842.43,861.49,687.71,796.9,872.75,//,//,2004.89
Avis,914.36,809.39,869.52,974.99,763.51,996.47,985.03,2218
Campo Maior,1235.31,829.38,975.82,1022.78,1134.42,1245.78,1316.49,1848.99
Castelo de Vide,854.76,790.02,799.96,953.44,800.09,1185.79,917.01,979.32
Crato,801.13,721.98,782.3,806.04,1303.38,844.86,//,952
Elvas,885.19,809.19,913.06,870.97,858.14,1092.35,1043.51,1176
Fronteira,911.33,870.82,961.94,1175.03,737.16,//,//,1506.7
Gavião,821.56,894.15,956.69,830.34,//,666.51,//,2345.5
Marvão,786.53,767.32,667.87,728.86,774.29,…,//,1119.15
Monforte,979.9,889.05,982.18,888.35,1442.97,//,//,1054.79
Nisa,821.85,725.8,805.29,804.74,757.09,870.75,//,1781.96
Ponte de Sor,990.94,834.23,938.04,979.13,1158.08,974.99,1096.22,1154.99
Portalegre,1003.03,838.68,852.66,912.39,1060.02,1102.92,1099.98,1372.37
Sousel,854.94,830.07,950.79,865.44,797.65,//,//,2110.5
Alentejo Central,1020.7,834.84,930.36,1017.02,1031.46,1069.25,1265.71,1298.07
Alandroal,837.73,767.26,809.93,831.2,2138,789.01,931.54,2031.69
Arraiolos,954.98,856.41,847.56,996.88,1064.14,1704.05,//,1322.13
Borba,931.7,798.48,824.68,1171.45,1340.04,864.31,//,944.79
Estremoz,970.69,828.72,1037.71,902.26,1073.38,923.13,1188.43,1248.29
Évora,1098.82,871.53,946.67,1070.99,989.99,1089.88,1341.17,1315.63
Montemor-o-Novo,956.66,804.33,918.63,1066.03,929.81,1126.9,1106.12,1227.7
Mora,916.68,801.03,829.83,923.82,870.05,1074.88,//,1845.74
Mourão,853.48,771.57,862.68,836.63,1937.33,1623,//,1300.3
Portel,943.24,775.71,1003.24,1076.14,2234,872.6,…,2239.02
Redondo,895.79,789.94,781.43,1042.87,1134.84,//,//,1389.65
Reguengos de Monsaraz,934.67,787.96,839.83,973.83,987.85,1074.04,1096.01,1079.66
Vendas Novas,1014.6,829.08,921.32,960.03,946,1131.79,1473.19,1403.71
Viana do Alentejo,891.02,874.84,974.16,819.65,868.31,847.02,//,1839.43
Vila Viçosa,1041.16,885.27,1012.14,1003.41,1275.66,1073.18,//,1109.66
Algarve,999.05,816.78,917.69,977.75,1081.81,1082.72,1125.98,1206.11
Albufeira,975.69,803.14,896.09,961.55,1050.59,1056.68,1162.32,1048.03
Alcoutim,819.25,807.83,744.75,757.26,887.59,//,798.54,1740.08
Aljezur,836.81,756.68,872.4,910.51,906.06,685.85,…,1235.58
Castro Marim,850.29,730.63,825.1,891.59,923.66,940.84,1122.5,1170.18
Faro,1138.08,848.09,926.78,1042.14,1148.32,1148.34,1232.67,1471.03
Lagoa,987.02,834.53,927.63,968.32,1000.53,1077.14,1053.03,1207.23
Lagos,944.17,820.82,942.18,983.47,1096.83,1026.73,876.35,1190.54
Loulé,1029.22,853.49,974.6,1010.29,1138.05,1160.9,1223.85,1089.34
Monchique,868.8,721.04,771.17,1020.65,1138.55,1886.75,//,1953.5
Olhão,913.42,811.19,909.74,950.03,943.82,1003.47,896.7,1004.38
Portimão,1013.31,795.11,889.47,971.98,1210.47,1037.67,1066.86,1184.97
São Brás de Alportel,933.87,796.99,981.75,938.11,1007.85,721.18,1004.04,1404.08
Silves,935.73,797.32,872.84,968.5,1053.29,1094.46,1959.06,1143.29
Tavira,885.84,799.46,824.63,858.56,1192.84,919.06,971.84,1019.23
Vila do Bispo,960.22,842.25,941.39,824.15,933.98,1383.87,1034.53,946.95
Vila Real de Santo António,912.2,757.28,904.94,914.57,921.35,1121,886.27,1179.79
R. A. Açores,1065.39,808.33,890.28,948.2,1063.79,1075.71,1137.65,1628.73
Santa Maria,1916.96,773.5,718.5,780.24,1830.48,946.81,2963.54,4640.08
Vila do Porto,1916.96,773.5,718.5,780.24,1830.48,946.81,2963.54,4640.08
São Miguel,1071.78,816.28,909.91,974.02,1107.36,1047.79,1065.84,1561.62
Lagoa (R.A.A.),937.3,799.75,887.24,889.55,1065.19,1093.34,949.73,1256.27
Nordeste,842.97,722.01,806.21,680.46,969.82,949.69,653.38,2009.4
Ponta Delgada,1147.35,850.68,928.63,1015.72,1170.2,1071.35,1253.37,1650.48
Povoação,895.12,740.13,1256.63,796.7,805.52,858.5,638.88,1361.59
Ribeira Grande,975.19,756.36,844.11,967.82,949.88,1105.91,852.08,1250.13
Vila Franca do Campo,826.43,724.25,801.03,827.65,943.77,896.28,707.24,1031.99
Terceira,1018.14,801.51,886.34,950.27,973.87,1161.58,1080.48,1400.12
Angra do Heroísmo,1006.02,816.78,858.71,978.37,973.98,1165.74,829.47,1335.02
Vila da Praia da Vitória,1047.07,762.87,942.79,897.69,973.7,1144.43,1833.51,1597.41
Graciosa,934.22,753.85,756.12,841.07,908.36,1143.81,3305.35,1363.92
Santa Cruz da Graciosa,934.22,753.85,756.12,841.07,908.36,1143.81,3305.35,1363.92
São Jorge,926.18,765.67,796.41,850.42,1106.91,955,1941.75,1487.14
Calheta (R.A.A.),864.56,775.36,818.61,819.34,//,1045.75,//,1532.67
Velas,960.8,762.3,776.25,895.68,1106.91,908.31,1941.75,1482.46
Pico,929.93,796.4,890.89,866.05,851.91,970.32,1841.76,1464.35
Lajes do Pico,851.32,821.99,839.48,717.82,832.01,1257.21,//,1803.11
Madalena,917.45,778.8,904.5,932.1,818.56,970.13,1879.39,1221.18
São Roque do Pico,1022,810.1,919.16,919.04,934.23,888.47,1831.86,2037.35
Faial,1090.11,839.9,880.13,935.14,929.7,1212.51,1549.14,1563.87
Horta,1090.11,839.9,880.13,935.14,929.7,1212.51,1549.14,1563.87
Flores,1051.59,796.52,835.37,833.13,1220.77,1011.74,2374.9,1654
