,"Rate of employees in establishments with < 10 workers, %","Rate of employees in establishments with > 250 workers, %","Mean monthly earning , €","Proportion of employees with higher education, %","Proportion of employees who changed the enterprise , %","Net attraction rate of employees, %","Disparity in mean monthly earning by sex, %","Disparity in mean monthly earning by enterprise size class , %","Disparity in mean monthly earning  by sector of activity, %","Disparity in mean monthly earning  by level of education, %","Disparity in mean monthly earning  by main occupation, %"
Entroncamento,17.9,41.4,1131,18.5,5,-1.1,16.2,24.4,9.8,17.8,28.2
Ferreira do Zêzere,23.5,4.2,909.8,10.7,6.2,0.3,8,10.2,6.1,16.2,24.8
Mação,23.9,7.4,889.4,7.7,4.5,-0.4,15.2,25.6,10.2,16.4,26
Ourém,25.8,12.1,1004.6,16.9,7.9,0.6,12.8,15.6,6.7,14.8,23.1
Sardoal,50.3,1.6,819.7,7.6,2.8,-7.4,1.3,26.7,3.5,13.4,20.5
Sertã,31.2,3.5,867.8,11.2,3.9,0.4,7.4,17.2,3.3,20.6,23.5
Tomar,26.2,24.3,991,19,5.2,-0.7,10,24.1,6.2,22.8,29
Torres Novas,18.9,28.8,1048.4,17.9,6.1,-0.2,6.8,15.2,2.4,24.6,33.3
Vila de Rei,27.3,1.6,820.5,16,3.9,0.2,5.1,25.6,2.9,19.9,26.5
Vila Nova da Barquinha,31.5,1.2,840.2,9.7,4,-1,9.5,19.2,6.1,20.9,33.5
Beiras e Serra da Estrela,27.8,21.6,934.8,18.4,4.6,-0.2,8.6,20.2,3.6,22.2,27.9
Almeida,33.2,5.3,831,11.1,3.1,-0.6,7.1,20.9,4.3,14.1,22.2
Belmonte,21,19.9,821.6,14,3.4,-0.9,11.3,18.5,0.9,24,31.2
Celorico da Beira,27.3,6.1,940.7,8.8,2.9,11.2,20.6,21.8,13.1,13,28.6
Covilhã,21.3,28.8,943.4,20.5,4.9,-0.1,6.1,17.3,6,25.9,33.1
Figueira de Castelo Rodrigo,45.7,3.9,805.9,16,3,0.8,3.5,23.5,4.3,20.1,20.8
Fornos de Algodres,44,4.5,790.2,11.7,5.1,-2,5.2,12.2,6.2,21.8,19.9
Fundão,26,26,921.2,19.4,5,-0.7,6.9,20.3,3.8,22.9,28.9
Gouveia,31.6,6.1,864,14.7,4.5,0.7,5.4,15.5,5.5,20.5,24.6
Guarda,25.7,31.2,1054.8,22.5,5.3,0.4,10.1,23.3,5.5,20.3,28.2
Manteigas,35.6,10.5,809.3,16.3,5.9,2.5,1.4,4.1,3.2,18.3,23.3
Mêda,41.3,3,850.8,13.8,2.9,-1.7,6.7,33.8,3.6,17.2,18.8
Pinhel,49.8,6.1,809.5,14.2,3.6,-0.4,4.5,20.6,2.8,19,21.1
Sabugal,33.6,5.7,846.3,15.6,3.8,-0.6,6.3,25.4,7.2,19.4,23.6
Seia,29.4,19.1,888.4,14.9,3.8,-1.3,8.5,20.3,2.6,22,28.9
Trancoso,36.2,3.4,904.2,14.8,4.8,-6.4,6.1,21.8,5.4,20.7,30.3
A. M. Lisboa,16.4,41.2,1440.1,31.6,8.7,-0.2,10,17.7,2.9,35,45.2
Alcochete,17.7,27.3,2153.3,16.4,8.7,2.4,48.3,106.4,30.7,40.9,121
Almada,24.8,31,1117.6,23.2,5.8,-0.8,5.6,21.9,0.9,37,38.9
Amadora,14.9,52.7,1387.8,31.4,13.5,3.2,8.6,19.2,7.9,43.8,50.1
Barreiro,19.6,38.8,1110.2,20,7.3,-3.7,9.5,17.8,7.8,27.5,33.8
Cascais,24,27.5,1183.6,25,7.5,0.6,2.9,15,3.5,31.4,38.1
Lisboa,13.3,48.2,1616.1,41.6,9.1,-0.8,11.1,13.6,2.6,32.5,46
Loures,16.2,35,1184.3,18.3,8.2,2.6,9.4,14.3,9.7,30,38.1
Mafra,22.9,32.8,973.5,11.2,8,0.5,4.8,8.2,2.6,17.6,24.5
Moita,31.2,12.2,971.2,13.6,6.4,-0.3,6.7,13.5,2,18.4,26.1
Montijo,21.2,28.2,1008.7,14.7,8.2,1.4,10.5,9.8,9.8,26.2,34.8
Odivelas,32.5,23.7,937.8,15.2,6.9,-3.9,4.3,9.3,1.9,15.5,21.1
Oeiras,10.2,48.8,1791.5,43.1,9,-1,12.4,20.2,1.7,33.9,48.2
Palmela,10.9,52.5,1339.3,13.3,8.5,3.3,11.1,16.9,18.8,24.2,28.4
Seixal,26.9,20.8,1250.2,14.6,8.6,1.2,23.4,52.7,3.6,19.8,56
Sesimbra,33.5,11.4,930.2,11.2,5.8,-0.8,6.2,14,4.8,17.3,25
Setúbal,20,31.3,1181.2,17.8,8.3,0.4,14.2,18.2,17.5,28.3,33.8
Sintra,24,23,1183.9,18.4,6.7,-0.9,8.5,21.1,5,29.1,35.7
Vila Franca de Xira,16.3,38.2,1216.4,18,8,-0.1,9.1,16.2,13.9,28.9,35.7
Alentejo,25.7,24.7,1051.1,15.1,6.4,0.1,10.8,18.2,11.5,24.8,30.7
Alentejo Litoral,22.2,26.1,1184,14.2,7.4,0.4,16.2,30.8,25.4,28.9,37.5
Alcácer do Sal,40.8,5.3,943.5,11.6,6.3,2.9,9,12.2,3.2,25.8,30.1
Grândola,31.8,9.9,958.1,11.9,7.3,0,10,15.9,2.5,19,28.8
Odemira,21.4,24.1,924.1,9.7,9,-0.5,1.7,10.2,5,24.8,25
Santiago do Cacém,26.1,25.4,1023.2,18.7,6.7,0.3,11.2,14.3,3.4,21.5,27.4
Sines,11.3,40.5,1739.6,17.6,6.6,0.8,17.8,28.2,35.6,30.5,40
Baixo Alentejo,30.2,22.5,1104.1,15.2,6.3,0.4,13,35.3,23.4,25.7,32.4
Aljustrel,21.9,35.1,1152,14.2,5.6,-4.4,14.7,21.4,17.9,23.8,27.6
Almodôvar,37,13.2,877.4,10.7,9.2,-2.1,8.2,25.2,9,18,21.9
Alvito,25.7,5,1016.8,17.8,5.9,1.3,8.6,15.5,0.8,21.9,25.1
Barrancos,42.5,1.8,809.9,10,2.6,1.2,2,21.9,5.5,20.7,15.3
Beja,29.2,23.1,1059.6,20.4,6.8,1.6,5.2,18.4,10.4,25.3,32.5
Castro Verde,11.7,57.4,1831.9,14.5,7,5.2,18.9,41.6,36,32.6,40.8
Cuba,33.5,1.3,909.3,17.6,4.2,-3.8,8.6,5.9,6.9,25.7,28.2
Ferreira do Alentejo,34.6,22.2,965.3,10.9,7.5,-2.8,5,12.7,0.6,25.3,25.7
Mértola,46.8,1.9,831.6,9,5.3,-1.6,0.5,16.7,6.3,16.6,19.1
Moura,40.2,8,904.2,13.2,5.9,-0.3,3.7,18.7,8.9,21.8,20.2
Ourique,39.7,6.4,839.1,9.3,3.4,-3.3,0.1,13.3,5.3,18.7,16.7
Serpa,41.3,2,853.4,10.9,5.7,-0.2,4.2,16.4,3.5,20.8,21.5
Vidigueira,31.5,5.8,936.6,14.3,5.3,3.4,10.8,13.5,2.8,23.1,24.9
Lezíria do Tejo,22.7,29.1,1016,15.3,6.4,-0.1,7.4,10.7,5.6,25.7,31.1
Almeirim,32.7,20.7,930,14.3,5,-1.2,7.5,12.8,4.3,20.2,24.1
Alpiarça,16.8,42.9,851.8,10.3,5,-0.3,2.9,19,12.3,28.7,31.1
Azambuja,8,60.9,1018.9,13,7.6,1.2,3,20.2,4.3,35.7,45.2
Benavente,23.8,23.1,1109.8,14,6.3,0.7,12.1,21.6,7.4,30.2,33.9
Cartaxo,30.1,8.2,1008,15.2,5,-1.2,9.8,13.1,10.7,22.8,28.6
Chamusca,28.1,18.5,948.7,14.9,4.8,-2.9,5,11.7,4.6,21.6,27.5
Coruche,35.1,15.3,1001.8,12.7,5.8,-0.4,8.5,16,9,20.3,26
Golegã,30.6,4.8,925,16.7,8.7,1.2,10.7,14.3,8.1,23.4,28.3
Rio Maior,24.7,23.5,1014,14,6.1,-1.7,10.4,13,5.8,19.6,28.4
Salvaterra de Magos,32.9,3.8,942.9,11.3,7.2,0.3,9.6,12.6,2.7,21.4,24.4
Santarém,21.1,30.3,1041.6,20.3,6.5,0.1,6.1,18.1,4.4,24.9,31.3
Alto Alentejo,28.3,19.6,968.2,14.8,5.3,0.3,10.2,16.3,7,21.7,28.5
Alter do Chão,36.8,2,845,11.9,3.2,-2.4,8.1,13.2,6.2,18.3,21
Arronches,25.3,1.2,842.4,18.1,3.2,0,0.1,16.9,4.5,15.9,17.2
Avis,23.5,33.5,914.4,10.4,4.5,-0.3,9.5,14,7.3,21.3,25.7
Campo Maior,10.7,51.2,1235.3,18.9,3.6,-1,9.3,19.9,7.3,26.2,45.1
Castelo de Vide,30,20.9,854.8,12.1,2.5,-1.4,5,10.8,4.9,14.3,17
