,"%, Gini coefficient, Gross reported income, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income, Taxable person","%, Gini coefficient, Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Taxable person","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Taxable person"
Aguiar da Beira,25.8,2.7,6.4,23.9,2.6,6.2
Carregal do Sal,24.9,2.7,5.4,22.3,2.5,4.8
Castro Daire,27,2.8,6.5,24.9,2.7,6.1
Mangualde,26.1,2.8,5.8,23.3,2.7,5.3
Nelas,26.5,2.9,5.4,23.6,2.7,4.8
Oliveira de Frades,24.4,2.7,5.1,22,2.6,4.6
Penalva do Castelo,26.2,2.9,6.1,24.1,2.7,5.7
Santa Comba Dão,25.4,2.8,4.9,22.6,2.6,4.3
São Pedro do Sul,27.2,2.8,6.1,24.3,2.7,5.6
Sátão,27.5,3,6.6,24.9,2.8,6
Tondela,26,2.9,5.4,23.3,2.7,4.8
Vila Nova de Paiva,27.8,3.1,7.1,25.4,2.9,6.5
Viseu,30,3.5,7.1,26.2,3.1,6
Vouzela,24.9,2.6,5,22.2,2.5,4.5
Beira Baixa,27.1,2.9,5.5,23.8,2.7,4.8
Castelo Branco,27.4,3,5.9,23.9,2.7,5
Idanha-a-Nova,23.7,2.6,4.4,21.2,2.4,4
Oleiros,26.1,2.6,4.6,23.3,2.5,4.3
Penamacor,24.1,2.6,4.5,21.6,2.4,4.1
Proença-a-Nova,26.8,3,5.8,24,2.8,5.2
Vila Velha de Ródão,23.2,2.6,4.2,20.4,2.4,3.7
Médio Tejo,26.5,2.9,5.4,23.3,2.6,4.7
Abrantes,26.5,2.8,5.3,23.2,2.6,4.6
Alcanena,24,2.5,4.6,21.3,2.3,4.1
Constância,25,2.7,5.3,22,2.5,4.5
Entroncamento,25.8,2.9,5.7,22.5,2.6,4.8
Ferreira do Zêzere,23.5,2.6,4.4,21.3,2.4,4.1
Mação,24.8,2.6,4.5,21.9,2.4,4
Ourém,25.1,2.7,5.3,22.4,2.6,4.7
Sardoal,26.7,2.8,5.2,23.5,2.6,4.5
Sertã,25.7,2.7,5.2,23.2,2.6,4.7
Tomar,28.2,3,6.1,24.8,2.7,5.2
Torres Novas,26.6,2.8,5.4,23.3,2.6,4.6
Vila de Rei,22.3,2.4,4,20.1,2.3,3.6
Vila Nova da Barquinha,24.6,2.7,5.1,21.6,2.4,4.3
Beiras e Serra da Estrela,27.6,2.9,5.9,24.4,2.7,5.2
