,"%, Gini coefficient, Gross reported income, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income, Tax Households","%, Gini coefficient, Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P80/P20), Gross reported income less personal income paid tax, Tax Households","No., Inequality of income distribution (P90/P10), Gross reported income less personal income paid tax, Tax Households"
Montalegre,31.4,3.5,7.9,28.9,3.3,7.3
Ribeira de Pena,29.6,3,6.7,27.3,2.9,6.4
Valpaços,30.4,3.2,7.9,28.1,3.1,7.4
Vila Pouca de Aguiar,31.1,3.3,7.8,28.7,3.1,7.3
Tâmega e Sousa,29.4,2.9,6.9,27.2,2.9,6.5
Amarante,32,3.3,8.7,29.4,3.2,8
Baião,28,2.9,6.3,26,2.8,5.9
Castelo de Paiva,27,2.8,5.7,25.2,2.7,5.4
Celorico de Basto,28.6,3,6.8,26.5,2.9,6.4
Cinfães,29.2,3,7.7,27.1,2.9,7.3
Felgueiras,28.2,2.6,5.6,26,2.6,5.3
Lousada,28.2,2.8,6.4,26.4,2.7,6
Marco de Canaveses,30,3.2,8.7,28,3.1,8.1
Paços de Ferreira,27.9,2.7,5.8,26,2.6,5.5
Penafiel,30.2,3.1,7.2,27.8,2.9,6.6
Resende,32.3,3.6,10.8,29.9,3.5,10.1
Douro,33.3,3.7,8.9,30.5,3.5,7.9
Alijó,30.1,3.2,7.4,27.9,3,6.9
Armamar,31.4,3.2,8.1,29,3.1,7.8
Carrazeda de Ansiães,31.2,3.3,7.6,28.8,3.1,6.9
Freixo de Espada à Cinta,28.5,3,5.7,26.2,2.9,5.2
Lamego,34.1,3.8,9.4,31.1,3.5,8.2
Mesão Frio,30,3.2,7.8,27.7,3.1,7
Moimenta da Beira,31.4,3.4,8.7,29.1,3.2,8.1
Murça,32.7,3.4,8.8,29.9,3.2,8
Penedono,//,//,//,//,//,//
Peso da Régua,32.1,3.6,8,29.4,3.3,7.1
Sabrosa,29.2,3.1,6.4,27.1,3,5.9
Santa Marta de Penaguião,31.1,3.3,8.4,29,3.2,7.8
São João da Pesqueira,31.6,3.3,7.6,29.1,3.3,7.2
Sernancelhe,29.6,2.9,6.7,27.4,2.9,6.5
Tabuaço,31.3,3.5,9.3,29,3.3,8.7
Tarouca,30.5,3.3,7.7,28.4,3.1,7.4
Torre de Moncorvo,30.9,3.3,8.1,28.4,3.1,7.4
Vila Nova de Foz Côa,32,3.6,8.7,29.5,3.4,7.9
Vila Real,34.8,4.2,10,31.7,3.8,8.5
Terras de Trás-os-Montes,33.1,3.7,8.6,30.3,3.5,7.6
Alfândega da Fé,31.6,3.3,7.9,28.9,3.2,7.2
Bragança,33.6,4,9.5,30.7,3.6,8.2
Macedo de Cavaleiros,33.1,3.5,8.8,30.3,3.3,7.9
Miranda do Douro,30.5,3.5,7.3,28.2,3.2,6.6
Mirandela,32.7,3.7,8.5,30,3.4,7.6
Mogadouro,32,3.4,7.5,29.3,3.1,6.8
Vila Flor,31.2,3.4,7.9,28.8,3.2,7.2
Vimioso,30.6,3.3,6.6,28.2,3.1,6.1
Vinhais,29.5,3.2,6.5,27.4,3.1,6.1
Centro,31.7,3.4,7.4,28.8,3.1,6.5
Oeste,31.7,3.3,7.4,28.8,3.1,6.5
Alcobaça,29.1,3,6,26.6,2.8,5.4
Alenquer,30.5,3.3,6.7,27.9,3,5.9
Arruda dos Vinhos,33.9,3.7,8.4,30.6,3.4,7.1
Bombarral,31.5,3.3,7.2,28.6,3.1,6.4
Cadaval,30.7,3.3,6.9,28.1,3.1,6.2
Caldas da Rainha,33.2,3.6,8.9,30.2,3.3,7.7
Lourinhã,32,3.5,7.9,29.2,3.2,7.1
Nazaré,30.6,3.4,7.4,28.1,3.2,6.7
Óbidos,32.6,3.5,8.3,29.8,3.3,7.4
Peniche,30.6,3.3,7.5,28.1,3.1,6.8
Sobral de Monte Agraço,32.2,3.4,7.6,29.3,3.1,6.8
Torres Vedras,32.5,3.4,7.5,29.5,3.1,6.6
Região de Aveiro,32.1,3.4,7.6,29.2,3.2,6.7
Águeda,30.5,3,6.1,27.9,2.9,5.5
Albergaria-a-Velha,29.2,3.1,6.5,27,2.9,5.9
Anadia,31.6,3.3,6.9,28.6,3.1,6.3
Aveiro,34.1,3.9,9,30.7,3.5,7.6
Estarreja,30.2,3.3,7.1,27.8,3.1,6.4
Ílhavo,32.8,3.7,8.4,29.8,3.3,7.3
Murtosa,33.5,4,11.9,31.1,3.9,10.9
Oliveira do Bairro,30.1,3.3,6.9,27.9,3.1,6.3
Ovar,31.4,3.3,7.3,28.6,3.1,6.4
Sever do Vouga,28.9,3.1,6.4,26.8,3,6
Vagos,30.5,3.2,7.1,28,3,6.4
Região de Coimbra,33,3.5,7.8,29.7,3.2,6.8
Arganil,28.1,2.8,5.7,26.1,2.7,5.4
Cantanhede,31.4,3.5,7.9,28.9,3.3,7.1
Coimbra,35.3,4.2,9.4,31.3,3.6,7.7
Condeixa-a-Nova,31,3.6,7.5,28.5,3.2,6.5
Figueira da Foz,32.3,3.7,8.2,29.3,3.3,7
Góis,27.5,2.8,5.8,25.5,2.7,5.3
Lousã,29.5,3.3,7.2,27.3,3.1,6.4
Mealhada,29.8,3.2,6.8,27.4,3,6
Mira,32,3.4,7.4,29.1,3.2,6.7
Miranda do Corvo,28.5,3.1,6.2,26.5,2.9,5.7
Montemor-o-Velho,28.6,3.1,5.9,26.4,2.9,5.3
Mortágua,29.2,3.1,6.7,27,2.9,6.2
Oliveira do Hospital,28.1,2.8,5.4,25.9,2.7,5
Pampilhosa da Serra,25.9,2.8,5.1,24.1,2.6,4.8
Penacova,27.6,3.1,5.9,25.8,3,5.5
Penela,30.2,3.2,6.1,27.6,3,5.6
Soure,28.3,3.1,6.1,26.1,2.9,5.4
Tábua,28,2.8,5.5,25.8,2.7,5.1
Vila Nova de Poiares,29.3,3.3,7.2,27.3,3.1,6.6
Região de Leiria,30.4,3.3,6.9,27.8,3,6.1
Alvaiázere,28.4,3,6,26.3,2.8,5.6
Ansião,28.1,2.9,5.8,26,2.8,5.3
Batalha,29.5,3.2,6.4,27.3,3,5.9
Castanheira de Pêra,27.2,2.7,5,25,2.7,4.7
Figueiró dos Vinhos,29.2,2.9,6.5,26.8,2.8,5.9
Leiria,31.4,3.4,7.4,28.6,3.2,6.4
Marinha Grande,29.5,3.3,6.6,26.9,3,5.8
Pedrógão Grande,27.7,2.8,5.6,25.5,2.7,5.1
Pombal,28.7,3.1,6.6,26.5,2.9,6
Porto de Mós,28.2,2.9,5.8,26,2.7,5.3
Viseu Dão Lafões,31.6,3.4,7.4,28.9,3.2,6.7
Aguiar da Beira,28.3,3,6.4,26.5,2.9,6.2
Carregal do Sal,28.1,2.8,6.1,26.1,2.7,5.6
Castro Daire,29.2,3,6.8,27.1,2.9,6.4
Mangualde,29.5,3.2,6.8,27.3,3.1,6.2
Nelas,30,3.3,6.4,27.6,3.1,5.8
Oliveira de Frades,28.4,3.1,6.3,26.5,2.9,5.8
Penalva do Castelo,29,3.2,7.2,27.1,3.1,6.8
Santa Comba Dão,28.9,3,6.1,26.6,2.9,5.5
São Pedro do Sul,30.3,3,6.9,27.8,2.9,6.4
Sátão,30.3,3.2,7.4,28.1,3.1,6.9
Tondela,29,3.1,6.3,26.8,2.9,5.8
Vila Nova de Paiva,30.5,3.4,7.7,28.4,3.2,7.8
Viseu,33.3,3.8,8.7,30.2,3.4,7.5
Vouzela,28.3,3,6,26.1,2.8,5.5
Beira Baixa,30.9,3.3,6.8,28.1,3,6
Castelo Branco,31.5,3.4,7.2,28.6,3.1,6.3
Idanha-a-Nova,27.3,2.8,5.4,25.2,2.6,5
Oleiros,29.1,2.8,5.7,26.7,2.7,5.2
Penamacor,27.2,2.8,5.5,25,2.6,5.1
Proença-a-Nova,29.5,3.2,6.7,27.1,3,6.1
Vila Velha de Ródão,26.9,3,5.4,24.6,2.7,4.8
Médio Tejo,30.4,3.3,6.9,27.8,3,6.1
Abrantes,30.4,3.2,6.5,27.6,2.9,5.7
Alcanena,28,2.8,5.7,25.8,2.7,5.3
Constância,29.6,3.3,6.7,27.2,3,5.8
Entroncamento,30.8,3.8,8.2,28.2,3.4,7
Ferreira do Zêzere,27.1,3,5.9,25.3,2.8,5.5
Mação,28.1,2.9,5.5,25.7,2.7,5
Ourém,29.2,3.1,6.6,27,3,6
Sardoal,29.4,2.9,5.9,26.6,2.7,5.3
Sertã,28.6,2.9,6,26.4,2.8,5.5
Tomar,32,3.5,7.6,29.1,3.2,6.7
Torres Novas,30.5,3.2,6.8,27.8,3,6
Vila de Rei,27,2.8,5.2,25.3,2.7,4.9
Vila Nova da Barquinha,29.5,3.3,6.6,27.1,3,5.8
Beiras e Serra da Estrela,30.8,3.2,7,28.2,3,6.3
Almeida,28.6,3.3,6.4,26.3,3.1,5.8
Belmonte,28.6,2.8,6.3,26.6,2.7,5.8
Celorico da Beira,28.8,3.1,6.8,26.9,3,6.5
Covilhã,31.2,3.1,6.8,28.3,2.9,6.1
Figueira de Castelo Rodrigo,30.8,3.3,7,28.4,3.1,6.4
Fornos de Algodres,28.6,2.8,6.6,26.3,2.7,6
Fundão,29.7,3.1,6.9,27.3,2.9,6.3
Gouveia,30.2,3.1,6.8,27.7,3,6.2
Guarda,32.4,3.7,8,29.5,3.4,7
Manteigas,27.5,2.8,5.7,25.3,2.6,5.5
Mêda,29.1,3,6.6,26.8,2.9,6.2
Pinhel,29.3,3,6.3,27,2.9,5.8
Sabugal,29.3,3.2,7.3,27.2,3,7.1
Seia,29.3,2.9,6,26.9,2.8,5.5
Trancoso,30.6,3.1,7,28.2,3,6.6
A. M. Lisboa,36.2,4.2,10.5,32.3,3.7,8.9
Alcochete,36.8,4.3,10.4,32.8,3.8,8.6
Almada,34.3,3.9,9.2,30.7,3.5,7.8
Amadora,32.7,3.7,8.5,29.6,3.3,7.3
Barreiro,30.6,3.4,7.4,27.8,3,6.4
Cascais,38.9,4.8,12,34.3,4.1,9.7
Lisboa,41.1,5.6,17.4,36.7,4.8,14.9
Loures,32.6,3.6,8.2,29.5,3.3,7.1
Mafra,34.7,4,9.2,31.3,3.6,7.8
Moita,29.2,3.2,7,26.9,3,6.2
Montijo,33.3,3.9,8.9,30.3,3.5,7.7
Odivelas,32.6,3.8,8.8,29.7,3.5,7.6
Oeiras,36.6,4.9,11.3,32.5,4.1,9
Palmela,33.4,3.8,8.5,30.2,3.4,7.4
Seixal,31.6,3.6,8.2,28.8,3.3,7.1
Sesimbra,31.7,3.7,8.2,28.8,3.3,7
Setúbal,33.3,3.8,8.8,30,3.4,7.5
Sintra,32.8,3.6,8.4,29.7,3.3,7.3
Vila Franca de Xira,30.5,3.5,7.4,27.9,3.2,6.4
Alentejo,31.3,3.3,7,28.4,3,6.2
Alentejo Litoral,33.3,3.5,8.3,30.2,3.3,7.3
Alcácer do Sal,29.3,2.9,6.1,26.7,2.7,5.6
Grândola,32.3,3.3,7.2,29,3,6.3
Odemira,30.4,3.2,8.5,28,3.1,7.9
Santiago do Cacém,34,3.8,8.8,30.6,3.4,7.3
Sines,33.4,3.7,8.6,30.2,3.3,7.2
Baixo Alentejo,31.7,3.3,7.3,28.7,3,6.4
Aljustrel,32,3.4,6.9,28.7,3,5.9
Almodôvar,32.5,3.8,8.4,29.6,3.5,7.3
Alvito,//,//,//,//,//,//
Barrancos,//,//,//,//,//,//
Beja,32.5,3.6,7.8,29.3,3.2,6.6
Castro Verde,33.8,3.9,7.5,30.1,3.4,6.3
Cuba,30.5,3,6.4,27.7,2.8,5.8
Ferreira do Alentejo,29,2.9,6.2,26.4,2.7,5.5
Mértola,27.3,2.8,5.7,25.2,2.6,5.2
Moura,30.3,3.1,7.3,27.8,2.9,6.6
Ourique,30.3,3.1,7,27.6,2.8,6.2
Serpa,29.6,3,6.5,27,2.8,5.8
Vidigueira,29.3,2.9,6.3,26.8,2.8,5.8
Lezíria do Tejo,31.2,3.3,7,28.4,3,6.2
Almeirim,30.6,3.3,7.3,28.1,3.1,6.5
Alpiarça,30.4,3.2,6.9,28,3,6.3
Azambuja,30.1,3.2,6.9,27.6,3,6.2
Benavente,32.7,3.4,7.7,29.6,3.2,6.7
Cartaxo,30.3,3.2,6.9,27.6,3,6.2
Chamusca,27,2.7,4.9,24.8,2.5,4.5
Coruche,28.5,2.9,5.5,26.1,2.8,5.1
Golegã,29,3.1,6.1,26.5,2.9,5.5
Rio Maior,30,3.1,6.7,27.5,2.9,6
Salvaterra de Magos,30.6,3.2,7.1,27.9,3,6.4
Santarém,32.9,3.5,7.6,29.6,3.2,6.5
Alto Alentejo,30.4,3.2,6.6,27.7,3,5.9
Alter do Chão,29.3,2.7,5.5,26.3,2.5,5
Arronches,28.9,3.1,5.5,26.5,2.9,5
Avis,27.6,2.8,5.8,25.5,2.7,5.4
Campo Maior,29.4,3.1,6.2,27,2.9,5.6
Castelo de Vide,29.7,3.2,6.4,27.1,3,5.6
Crato,27,2.7,5.6,24.7,2.6,5
Elvas,31.1,3.3,7.1,28.3,3.1,6.4
Fronteira,30.1,3.1,6.3,27.5,2.9,5.6
Gavião,27.1,2.6,5,24.9,2.5,4.5
Marvão,28.5,3,6,26.3,2.8,5.5
Monforte,//,//,//,//,//,//
Nisa,28.8,3,5.9,26.5,2.9,5.4
Ponte de Sor,30.8,3.2,7.6,28.2,3,6.9
Portalegre,31.2,3.4,6.8,28.2,3.1,5.8
Sousel,28.9,2.9,6,26.6,2.8,5.5
Alentejo Central,30.4,3.1,6.3,27.5,2.9,5.6
Alandroal,24.9,2.5,4.7,23.1,2.4,4.4
Arraiolos,27.4,2.9,5.3,25.3,2.7,4.9
Borba,27,2.7,5.3,24.8,2.6,4.8
Estremoz,28.6,2.9,5.6,25.9,2.7,5
Évora,31.9,3.6,7.4,28.8,3.2,6.2
Montemor-o-Novo,29.3,2.8,5.5,26.5,2.7,4.9
Mora,28.1,2.7,5.2,25.4,2.5,4.7
Mourão,//,//,//,//,//,//
Portel,26.3,2.6,5.4,24.3,2.5,5
Redondo,28.9,2.7,5.7,26.3,2.5,5.2
Reguengos de Monsaraz,29.9,3,6.3,27,2.8,5.6
Vendas Novas,29.3,3.1,6.6,26.9,2.9,5.9
Viana do Alentejo,28,2.9,5.7,25.8,2.7,5.1
Vila Viçosa,27.8,2.8,5.5,25.4,2.6,5
Algarve,33.1,3.7,8.7,30.2,3.4,7.9
Albufeira,32.8,3.6,8.5,30,3.4,7.9
Alcoutim,//,//,//,//,//,//
Aljezur,32.9,3.5,8.3,30.3,3.4,7.7
Castro Marim,30.7,3.2,6.8,28.3,3,6.3
Faro,34.4,3.9,9.7,31,3.5,8.2
Lagoa,33.4,3.8,9.5,30.7,3.6,9.1
Lagos,33.6,3.7,9.1,30.6,3.5,8.4
Loulé,34.1,3.7,9.4,31.1,3.5,8.7
Monchique,28.4,2.8,6.4,26.2,2.7,5.9
Olhão,31.3,3.5,7.9,28.7,3.2,7.1
Portimão,32.8,3.7,8.2,29.8,3.4,7.4
São Brás de Alportel,32.9,3.7,8.8,30.1,3.4,7.7
Silves,30.3,3.3,7.2,27.8,3.1,6.5
Tavira,34.3,3.9,10.2,31.2,3.6,9.8
Vila do Bispo,31.7,3.4,7.7,28.9,3.2,7.2
Vila Real de Santo António,30.8,3.4,7.4,28.2,3.1,6.7
R. A. Açores,34.1,3.8,9.5,31.8,3.6,8.7
Santa Maria,41.1,4.5,13.4,37.5,4.2,12.3
Vila do Porto,41.1,4.5,13.4,37.5,4.2,12.3
São Miguel,34.9,4,10,32.5,3.7,9.1
Lagoa (R.A.A.),35.3,3.8,10.3,32.9,3.6,9.6
Nordeste,31,3.3,9.2,29.3,3.3,8.8
Ponta Delgada,34.7,4,9.6,32.1,3.7,8.4
Povoação,32.9,4,12.2,31.3,4,11.6
Ribeira Grande,32.9,3.6,9.1,31,3.5,8.7
Vila Franca do Campo,33.1,3.5,9.6,31.1,3.4,9.1
Terceira,32.9,3.6,8.5,30.7,3.4,7.8
Angra do Heroísmo,33.8,3.7,8.8,31.5,3.5,7.9
Vila da Praia da Vitória,30.9,3.3,8.2,29.1,3.2,7.6
Graciosa,31.8,3.6,8.8,29.9,3.4,8.3
Santa Cruz da Graciosa,31.8,3.6,8.8,29.9,3.4,8.3
São Jorge,31.3,3.6,10.2,29.8,3.5,10.3
Calheta (R.A.A.),30.4,3.7,10.3,29.2,3.6,10.2
Velas,31.7,3.5,10.3,30.1,3.4,10
Pico,31,3.3,7.8,29.1,3.2,7.2
Lajes do Pico,30.2,3.2,7.4,28.5,3.1,6.9
Madalena,30.5,3.3,7.6,28.7,3.2,7
São Roque do Pico,32.7,3.4,9.1,30.6,3.3,8.3
Faial,33.6,3.7,8.5,31.3,3.5,7.9
Horta,33.6,3.7,8.5,31.3,3.5,7.9
Flores,32.2,3.6,8.2,30.3,3.5,7.6
Lajes das Flores,//,//,//,//,//,//
Santa Cruz das Flores,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
Corvo,//,//,//,//,//,//
R. A. Madeira,33.2,3.6,8.8,30.1,3.3,7.6
Calheta (R.A.M.),33.4,3.9,11,30.9,3.7,10.3
Câmara de Lobos,28.2,2.9,6.3,26.3,2.9,6
Funchal,34.5,3.9,9.4,31.1,3.5,8
Machico,29,3.2,7.2,26.9,3,6.6
Ponta do Sol,32.2,3.7,8.6,29.8,3.5,8
Porto Moniz,//,//,//,//,//,//
Ribeira Brava,29.5,3.4,7.1,27.5,3.2,6.6
Santa Cruz,31.5,3.7,8.3,29,3.4,7.3
Santana,29,3,7,27,2.9,6.5
São Vicente,30.6,3.2,8.5,28.1,3,7.6
Porto Santo,32.5,3.7,8.4,29.3,3.3,7.1
