,"Gross reported income per inhabitant, €","Personal income paid tax per inhabitant, €","Gross reported income less personal income paid tax per inhabitant, €","Gross reported income per tax household, €","Median value of gross reported income per tax household, €","Personal income paid tax per tax household, €","Gross reported income less personal income paid tax per tax household, €"
Mangualde,7164,619,6545,15634,11378,1350,14284
Nelas,7518,650,6868,15844,11298,1370,14474
Oliveira de Frades,6702,505,6196,14718,10970,1110,13608
Penalva do Castelo,5784,382,5402,13186,9752,870,12316
Santa Comba Dão,7295,582,6712,15153,11047,1209,13943
São Pedro do Sul,6372,533,5839,14260,10092,1192,13068
Sátão,5959,466,5493,14012,10016,1095,12918
Tondela,7016,598,6418,15302,11218,1304,13998
Vila Nova de Paiva,5412,433,4979,13617,9733,1089,12528
Viseu,9046,1067,7980,19300,12904,2275,17025
Vouzela,6467,494,5973,14297,10586,1092,13205
Beira Baixa,8327,838,7489,16846,11780,1696,15150
Castelo Branco,9215,1015,8201,18352,12714,2020,16332
Idanha-a-Nova,6902,498,6404,13523,10092,975,12548
Oleiros,6379,462,5917,13459,9750,975,12484
Penamacor,6081,453,5628,13544,10272,1009,12534
Proença-a-Nova,6585,543,6042,14369,10335,1185,13183
Vila Velha de Ródão,8006,694,7311,15727,12058,1364,14364
Médio Tejo,8011,753,7258,16339,11578,1536,14803
Abrantes,8236,787,7449,16598,11664,1587,15011
Alcanena,7622,592,7030,14565,10793,1132,13433
Constância,8495,802,7693,17470,12752,1649,15821
Entroncamento,9721,1130,8591,20642,15334,2400,18242
Ferreira do Zêzere,6343,401,5942,13530,10398,855,12674
Mação,7232,587,6645,14642,10787,1188,13454
Ourém,7381,625,6756,15259,11162,1291,13968
Sardoal,7476,671,6805,15221,10885,1366,13855
Sertã,6113,421,5692,13222,9630,911,12311
Tomar,8310,856,7454,16424,11254,1691,14733
Torres Novas,8717,869,7849,17511,12352,1745,15766
Vila de Rei,6133,385,5749,13673,10245,857,12816
Vila Nova da Barquinha,8765,865,7900,18213,13275,1798,16416
Beiras e Serra da Estrela,7532,690,6843,15546,10863,1423,14123
Almeida,7490,640,6850,15061,11491,1287,13773
Belmonte,6496,486,6010,14052,10393,1050,13002
Celorico da Beira,6117,447,5670,14032,10473,1025,13006
Covilhã,8177,796,7381,16092,11078,1566,14526
Figueira de Castelo Rodrigo,6228,478,5749,13322,9363,1023,12299
Fornos de Algodres,5652,430,5222,13672,10092,1040,12632
Fundão,7189,602,6586,14724,10600,1233,13491
Gouveia,6620,535,6085,14122,9968,1141,12981
Guarda,9427,1066,8361,19018,13143,2150,16868
Manteigas,7002,504,6498,13715,10274,987,12728
Mêda,6243,483,5760,13504,9867,1045,12459
Pinhel,6524,483,6041,13447,9687,995,12452
Sabugal,6413,497,5915,13849,10344,1074,12775
Seia,7123,575,6548,14613,10389,1181,13433
Trancoso,6019,485,5534,13843,9801,1115,12728
A. M. Lisboa,11688,1807,9881,21778,13674,3367,18411
Alcochete,11182,1773,9409,24141,14629,3827,20313
Almada,11035,1556,9479,20712,13698,2920,17792
Amadora,9158,1072,8086,18157,12352,2125,16032
Barreiro,10012,1121,8890,18718,13567,2096,16622
Cascais,13221,2468,10754,25588,14894,4776,20812
Lisboa,19574,3878,15697,25548,14019,5061,20487
Loures,5882,678,5204,18246,12431,2104,16142
Mafra,9746,1293,8452,20962,13548,2782,18180
Moita,8127,741,7386,16382,12204,1493,14889
Montijo,8800,1044,7756,18924,12707,2245,16679
Odivelas,9354,1104,8250,19100,13215,2255,16845
Oeiras,14588,2705,11883,28015,17697,5195,22820
Palmela,9551,1179,8372,19672,13204,2428,17243
Seixal,9419,1121,8297,19455,13893,2316,17139
Sesimbra,9432,1103,8329,19417,13937,2271,17146
Setúbal,10631,1380,9251,20128,13678,2612,17515
Sintra,9334,1117,8217,18601,12680,2225,16376
Vila Franca de Xira,9471,1045,8425,19387,14181,2140,17248
Alentejo,8381,852,7529,16711,11533,1700,15011
Alentejo Litoral,8900,978,7921,16512,10935,1815,14697
Alcácer do Sal,7497,672,6825,15294,11064,1371,13923
Grândola,7385,823,6562,16597,11214,1850,14747
Odemira,8286,664,7622,12231,9050,980,11251
Santiago do Cacém,9826,1261,8564,20188,13195,2591,17597
Sines,10885,1379,9505,20100,13350,2547,17553
Baixo Alentejo,8017,851,7167,16877,11440,1791,15086
Aljustrel,9997,1197,8799,18463,12364,2212,16251
Almodôvar,8623,869,7753,16297,10953,1643,14654
Alvito,7317,875,6441,17564,//,2102,15462
Barrancos,6070,432,5638,13537,//,962,12574
Beja,9453,1155,8298,19417,13061,2372,17045
Castro Verde,10045,1398,8647,21850,13988,3040,18810
Cuba,7171,690,6482,16245,11283,1562,14683
Ferreira do Alentejo,6829,581,6248,14477,10504,1232,13245
Mértola,6785,486,6299,13681,10278,981,12700
Moura,6248,537,5711,14636,10369,1258,13378
Ourique,7861,730,7131,14844,10499,1379,13465
Serpa,6275,522,5752,14245,10260,1186,13058
Vidigueira,6808,559,6249,14675,10468,1205,13470
Lezíria do Tejo,8151,805,7346,16572,11486,1637,14936
Almeirim,7297,615,6682,15043,10658,1267,13776
Alpiarça,7561,609,6952,14982,10557,1206,13775
Azambuja,7588,693,6895,16433,11675,1500,14933
Benavente,8315,921,7394,17552,11727,1944,15608
Cartaxo,8446,831,7614,17038,12233,1677,15361
Chamusca,6510,451,6059,13876,10392,960,12916
Coruche,7437,588,6848,15050,11061,1191,13859
Golegã,8326,713,7613,15747,11392,1349,14398
Rio Maior,7783,685,7097,15349,10938,1351,13998
Salvaterra de Magos,7607,691,6916,15539,11102,1411,14127
Santarém,9372,1093,8279,18471,12220,2155,16316
Alto Alentejo,8276,768,7507,15958,11230,1482,14477
Alter do Chão,7890,749,7141,15731,11139,1493,14239
Arronches,7579,627,6952,15060,10750,1247,13813
Avis,6725,490,6235,13928,10550,1016,12912
Campo Maior,8854,847,8007,17541,12548,1678,15863
Castelo de Vide,9025,818,8208,15989,11288,1448,14540
Crato,7598,600,6998,14882,11270,1175,13707
Elvas,8211,805,7407,16179,11322,1585,14594
Fronteira,7803,643,7159,15185,10685,1251,13933
Gavião,7464,540,6923,14494,10682,1049,13445
Marvão,7384,554,6830,14212,10422,1067,13145
Monforte,6637,571,6066,15259,//,1312,13946
Nisa,7898,638,7260,14934,10903,1206,13727
Ponte de Sor,7434,617,6816,13855,9964,1150,12705
Portalegre,10025,1095,8930,18529,12833,2024,16505
Sousel,6984,511,6473,13984,10121,1023,12961
Alentejo Central,8773,909,7864,17469,12267,1809,15659
Alandroal,6918,436,6483,13187,10431,831,12356
Arraiolos,7505,586,6919,15479,11570,1208,14271
Borba,7217,537,6680,15228,11791,1133,14095
Estremoz,8249,760,7489,16430,11892,1513,14917
Évora,10836,1381,9455,20577,14216,2622,17954
Montemor-o-Novo,8062,790,7272,16798,11904,1646,15152
Mora,8245,684,7561,15052,10897,1249,13803
Mourão,6372,471,5901,14480,//,1071,13409
Portel,6157,390,5767,13171,10150,835,12336
Redondo,7160,588,6572,14431,10434,1185,13245
Reguengos de Monsaraz,7744,736,7007,16084,11540,1529,14555
Vendas Novas,8369,781,7588,17354,12810,1620,15734
Viana do Alentejo,7370,578,6792,15068,11131,1181,13887
Vila Viçosa,8067,675,7392,16161,12071,1353,14808
Algarve,9092,1016,8076,16025,10797,1791,14235
Albufeira,9444,985,8459,14693,10068,1533,13160
Alcoutim,7747,534,7212,14002,//,966,13036
Aljezur,6804,631,6173,14245,9652,1321,12925
Castro Marim,7643,650,6993,14763,10357,1255,13508
Faro,11457,1554,9902,19188,12525,2603,16585
Lagoa,8655,920,7736,15380,10390,1634,13746
Lagos,9083,1071,8012,15712,10521,1853,13859
Loulé,9625,1136,8489,16064,10643,1895,14168
Monchique,6220,468,5752,13487,9971,1014,12473
Olhão,7481,724,6757,15479,10830,1499,13980
Portimão,9295,1013,8282,16102,10937,1755,14348
São Brás de Alportel,8786,975,7811,16863,11399,1871,14992
Silves,7825,718,7107,14921,10689,1369,13552
Tavira,8823,1002,7821,15322,10083,1741,13582
Vila do Bispo,8572,909,7662,14658,10247,1555,13103
Vila Real de Santo António,7730,722,7008,14967,10599,1398,13569
R. A. Açores,8226,686,7540,17484,11300,1459,16026
Santa Maria,10445,1293,9152,21548,11659,2668,18880
Vila do Porto,10445,1293,9152,21548,11659,2668,18880
São Miguel,7942,685,7257,17615,11114,1518,16097
Lagoa (R.A.A.),6857,548,6309,15721,9962,1256,14465
Nordeste,5299,276,5023,12587,9237,656,11931
Ponta Delgada,10016,982,9034,20191,12904,1979,18211
Povoação,5633,319,5314,12423,8927,703,11720
Ribeira Grande,5856,379,5476,15135,10239,981,14154
Vila Franca do Campo,5231,321,4910,13294,9197,816,12478
Terceira,8681,703,7978,17883,11953,1448,16435
Angra do Heroísmo,9426,814,8612,18322,11900,1583,16740
Vila da Praia da Vitória,7496,526,6970,17065,12100,1197,15868
Graciosa,7173,454,6719,14693,10452,931,13762
Santa Cruz da Graciosa,7173,454,6719,14693,10452,931,13762
São Jorge,7423,447,6975,14013,10178,845,13168
Calheta (R.A.A.),7534,401,7133,12697,9593,676,12020
Velas,7353,476,6877,15009,10628,972,14037
Pico,7845,500,7345,15600,10980,994,14606
Lajes do Pico,6964,415,6549,15197,10959,905,14293
Madalena,8451,533,7918,15813,11277,998,14815
São Roque do Pico,7971,558,7413,15697,10531,1098,14598
Faial,9516,819,8697,18631,12267,1603,17027
Horta,9516,819,8697,18631,12267,1603,17027
Flores,7989,544,7445,15246,10449,1038,14208
Lajes das Flores,7280,488,6792,14546,//,975,13571
Santa Cruz das Flores,8470,582,7888,15687,//,1078,14608
Corvo,7961,704,7257,17405,//,1539,15866
Corvo,7961,704,7257,17405,//,1539,15866
R. A. Madeira,7821,847,6974,17337,11492,1878,15459
Calheta (R.A.M.),5158,452,4706,14080,9824,1235,12845
Câmara de Lobos,4905,290,4616,12837,9810,758,12079
Funchal,10112,1317,8795,19597,12553,2553,17045
Machico,6439,462,5977,14753,10899,1060,13694
Ponta do Sol,4849,379,4470,13766,9662,1076,12690
Porto Moniz,6076,478,5598,13708,//,1079,12630
Ribeira Brava,5411,387,5024,14030,10294,1003,13026
Santa Cruz,7639,759,6880,18181,12846,1806,16376
Santana,5316,321,4995,12751,9442,770,11982
São Vicente,4923,394,4530,13910,10001,1112,12798
Porto Santo,10893,1293,9600,19396,13151,2302,17095
