,"Proporção de TCO em estabelecimentos de empresas com menos de 10 trabalhadores, %","Proporção de TCO em estabelecimentos de empresas com 250 ou mais trabalhadores, %","Ganho médio mensal, €","Proporção de TCO com ensino superior, %","Proporção de TCO que mudou de empresa , %","Taxa de atração líquida de TCO, %","Disparidade no ganho médio mensal por sexo, %","Disparidade no ganho médio mensal por escalão de empresa, %","Disparidade no ganho médio mensal por setor de atividade, %","Disparidade no ganho médio mensal por nível de habilitações, %","Disparidade no ganho médio mensal por profissão principal, %"
Torre de Moncorvo,46.9,6.8,933.5,17.1,7.3,2.6,5,21.7,3.7,20.3,24
Vila Nova de Foz Côa,33.2,10.9,992.6,17.8,6.7,-2.9,9.1,16.8,7,18.3,21.7
Vila Real,24.9,30.2,1140.5,28.9,8.8,0.1,1.7,23.1,2.6,29,35.5
Terras de Trás-os-Montes,34.1,20.5,1021.9,23.4,6.1,-0.4,3.9,19.5,2.6,22.6,27.6
Alfândega da Fé,37.3,4.3,925.3,18.9,4.3,1.5,0.3,14.7,5.5,22,21.2
Bragança,28.7,29,1088.2,29.1,6.9,-0.5,4.3,21,3.2,24.8,31.9
Macedo de Cavaleiros,39.6,14.9,979.8,20,5.2,-3.6,2,20.2,4.9,22.4,26.1
Miranda do Douro,43.3,4.7,934.9,14.4,4.5,-1.2,5.1,16.1,2.2,19.8,20.3
Mirandela,34.3,24.7,1032.1,22.7,6.1,0.5,4,18.3,3.8,20.5,27.4
Mogadouro,42.9,4.1,938.2,17.6,5.6,0.2,6.6,19.7,2.9,12.4,19.8
Vila Flor,26.3,16.9,979.2,17.9,6.7,2.4,3.8,13.9,8.2,22.1,27.9
Vimioso,36.7,4.7,893.9,19.4,4.4,-2,0.9,17.9,0.9,21.7,19.7
Vinhais,53.4,3.4,890,14.9,5.5,1.2,1.4,15.7,5.7,24.3,24.1
Centro,22,22.3,1147.1,19.9,10.2,-0.1,10.3,13.2,3.9,21,27.5
Oeste,25.3,15.6,1106.8,14.6,10.3,-1.8,9.2,11.4,2.4,18.8,25.4
Alcobaça,24.5,5.5,1074.2,14.4,9.8,0.1,9.2,10.4,4.1,15.8,24.7
Alenquer,17.1,27.9,1239.7,13.3,9.3,2.6,9.2,12.3,3.3,27.7,34.3
Arruda dos Vinhos,24.4,23.6,1141.4,16.6,10.5,0.6,7,15.9,1.3,23,26.1
Bombarral,30.1,7.2,997.9,11.1,10.2,0.1,4.8,11.2,4.8,16.6,20.1
Cadaval,26.7,5.8,1043.3,12.9,10.2,2.2,9,21.1,4.1,20.8,25.7
Caldas da Rainha,25.4,23,1106.5,17.2,12.1,-13.5,9.5,17.5,4.5,18,25
Lourinhã,37.1,3.3,1077,10.9,9.9,1.2,11.1,13.1,9.2,7.7,22.7
Nazaré,29.6,11.9,1081.2,15.4,10.3,-0.1,11.8,17.6,1.9,16.7,26.4
Óbidos,24.9,8.6,1062.9,22,9.8,-0.6,6.3,9.3,4.6,18.3,25.3
