,Total de despesas em atividades culturais e criativas (Euros),"Despesas correntes, Total (Euros)","Despesas correntes, das quais, Património, Total  (Euros)","Despesas correntes, das quais, Património, Museus (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Total (Euros)","Despesas correntes, das quais, Bibliotecas e arquivos, Bibliotecas (Euros)","Despesas correntes, das quais, Artes do espetáculo, Total (Euros)","Despesas correntes, das quais, Artes do espetáculo, Música (Euros)","Despesas correntes, das quais, Artes do espetáculo, Multidisciplinares (Euros)","Despesas correntes, das quais, Artes do espetáculo, Construção e manutenção de recintos de espetáculos (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Total (Euros)","Despesas correntes, das quais, Atividades interdisciplinares, Apoio a entidades culturais e criativas (Euros)"
Arouca,818843,770112,188676,80273,218751,170438,72168,66970,0,0,238242,82968
Espinho,717225,588418,281385,281385,238525,238525,25660,13530,11380,0,0,0
Gondomar,1529494,1499494,0,0,56011,54962,492309,56504,0,8926,933805,263766
Maia,2807585,2254549,106293,106293,420018,417057,684630,88137,443055,0,627707,84982
Matosinhos,4788509,4279065,441263,324619,956883,701015,581901,69515,0,0,1682520,1030813
Oliveira de Azeméis,3918465,800577,68690,20955,367912,217773,314148,112128,0,0,0,0
Paredes,911572,678667,67163,4875,164276,113613,228034,194809,9193,0,0,0
Porto,22484626,19537717,3095948,2794332,3836613,2665813,358692,105390,12226,121894,10778880,5253793
Póvoa de Varzim,2494625,2494625,338449,324478,722237,403533,1006872,78502,0,564090,305486,120750
Santa Maria da Feira,3852017,1385490,299269,299269,630712,580885,61034,0,0,0,384475,384475
Santo Tirso,1076781,1076781,91341,90541,110585,88460,138808,40788,95633,0,508759,98754
São João da Madeira,1224398,1224398,242692,242692,250197,250197,334178,0,0,334178,0,0
Trofa,177123,174109,91796,0,9558,6448,9694,0,0,0,45941,28022
Vale de Cambra,2005196,655773,97056,97056,378275,264789,119842,28904,0,51138,58433,38443
Valongo,2192470,1283046,215733,198387,497185,389588,1414,875,0,0,568714,184834
Vila do Conde,2460537,2349837,785635,525428,988063,646229,161147,0,141005,20142,166000,166000
Vila Nova de Gaia,4986889,3167611,775054,237094,1411650,512548,733706,181016,0,11439,73620,25000
Alto Tâmega,7608187,4610193,1235739,987772,823769,699188,835195,233219,88285,41107,1037181,472597
Boticas,407800,367300,84600,54500,82500,82500,46500,16500,0,27000,54000,35000
Chaves,4166773,1989850,595190,447305,239048,166915,504205,157659,44711,276,381257,162350
Montalegre,845525,667990,185460,185460,116788,116788,191974,35497,33074,0,146495,117296
Ribeira de Pena,500350,465547,175714,175714,154445,112893,32999,2153,0,13831,39922,1254
Valpaços,809346,756523,98088,98088,138783,138783,10910,8610,0,0,322916,110776
Vila Pouca de Aguiar,878393,362983,96687,26705,92205,81309,48607,12800,10500,0,92591,45921
Tâmega e Sousa,16234023,7443571,1118227,855046,1913486,1266318,517330,136281,7626,103125,2930000,2531201
Amarante,5496342,1098903,289815,289815,193600,124124,0,0,0,0,615488,460368
Baião,2560300,518675,70722,21840,48329,28330,51690,9098,7626,2000,130360,123000
Castelo de Paiva,229236,229236,1894,0,63641,63641,18891,750,0,11992,131627,131627
Celorico de Basto,1448845,668236,16842,7682,205895,199178,93613,6450,0,0,252926,16607
Cinfães,300655,286327,785,785,96290,96290,36200,30359,0,0,83800,83800
Felgueiras,557570,554490,69644,31438,351845,175133,6894,6894,0,0,61625,61625
Lousada,1345205,746355,121454,0,145501,112053,105055,900,0,0,254266,254266
Marco de Canaveses,1134154,271895,36876,36876,66480,66480,30641,12000,0,18641,41200,41200
Paços de Ferreira,293792,293792,101011,57783,110610,110610,25561,25165,0,0,56510,56510
Penafiel,2057412,2057412,330000,330000,364712,227212,35500,35000,0,0,1100000,1100000
Resende,810512,718250,79184,78827,266583,63267,113285,9665,0,70492,202198,202198
Douro,8613132,7651475,1013783,794401,1779623,1346939,2224167,376033,332016,461316,1302082,626626
Alijó,506988,386995,106426,106426,111715,111715,72318,8664,0,8138,49700,49700
Armamar,171615,91223,8650,8650,32585,32585,24477,0,0,0,6150,6150
Carrazeda de Ansiães,630953,630953,99928,69826,136131,71360,79841,12324,0,40176,108817,51729
Freixo de Espada à Cinta,595969,573214,90718,90718,112208,73199,239133,17710,0,1623,29190,29190
Lamego,533897,533897,71453,0,157369,157369,160253,30351,0,26083,127426,127426
Mesão Frio,127035,127035,16309,16309,62237,62237,36475,32018,0,0,7871,0
Moimenta da Beira,324992,324992,24765,0,46302,46302,118769,20000,89617,7000,54406,54406
Murça,79937,70642,0,0,64608,64608,0,0,0,0,6034,6034
Penedono,312065,280581,21156,0,33815,19358,135854,28393,0,30381,7988,7988
Peso da Régua,120456,120456,0,0,2420,2420,5830,3020,0,580,82500,82500
Sabrosa,262982,240232,24638,9660,26408,26408,181079,3000,90155,0,7926,6600
Santa Marta de Penaguião,134658,134658,0,0,29136,29136,0,0,0,0,105469,101226
São João da Pesqueira,439009,373880,101970,101970,111068,111068,26640,1920,0,0,43588,0
Sernancelhe,688152,483872,21301,13543,102916,70424,112937,492,82770,5367,177898,0
Tabuaço,185220,153963,71068,36984,40021,40021,2050,2050,0,0,13156,13156
Tarouca,355866,355866,100321,100321,46405,27570,65155,0,0,0,3000,3000
Torre de Moncorvo,314955,314955,20000,20000,28120,2220,210077,0,0,0,9600,0
Vila Nova de Foz Côa,378806,378806,50000,40000,85317,78470,10617,5000,618,0,471,471
Vila Real,2449577,2075255,185080,179994,550842,320469,742662,211091,68856,341968,460892,87050
Terras de Trás-os-Montes,9705058,5732269,909535,305649,809460,485842,1127334,437806,76642,156249,1469310,989142
Alfândega da Fé,1123222,1123222,287088,0,87852,0,33295,19295,0,0,488716,488716
Bragança,3049968,1827217,223564,166960,205712,92300,668165,232977,43745,92564,281510,189536
Macedo de Cavaleiros,520591,520591,52865,45965,56089,55892,122146,87832,4990,0,83840,83840
Miranda do Douro,261291,230691,25000,0,79400,37250,2685,0,0,0,93638,29750
Mirandela,1407581,857167,113260,42228,152751,117888,83647,33126,25883,0,207547,95610
Mogadouro,1647872,488198,42894,17968,111492,92963,151416,63961,580,37742,57690,57690
Vila Flor,899148,264093,31754,31754,89549,89549,32707,615,0,25943,70426,41700
Vimioso,353567,51504,16765,0,3282,0,12495,0,0,0,0,0
Vinhais,441818,369586,116345,774,23333,0,20778,0,1444,0,185943,2300
Centro,121152923,96112459,17973257,12870961,19717724,16558165,24261996,6901458,6068434,5473345,24477128,12612963
Oeste,13178368,11153434,2618393,2003560,2067738,1784617,2367758,426210,513003,722174,2931017,1007254
Alcobaça,1898670,1340864,59686,59686,208356,208356,504136,163872,160064,0,505892,262554
Alenquer,1080104,924108,252790,250250,304666,304666,94430,58677,11070,0,236294,62979
Arruda dos Vinhos,500947,500947,79434,0,60716,58409,30698,0,30698,0,129565,16727
Bombarral,155163,155163,73208,61803,14016,14016,7764,0,0,7764,58000,0
Cadaval,512019,425019,15000,15000,207000,95000,6000,3000,0,0,131220,131220
Caldas da Rainha,2314783,1798490,332746,325475,165623,165623,621785,19276,0,602509,672540,239281
Lourinhã,1026338,672703,112352,50800,261121,175894,63800,0,0,12000,134899,94500
Nazaré,901974,835147,162231,111962,149857,141637,85252,22525,1200,48243,271365,69569
Óbidos,142664,142664,85223,85223,57441,36411,0,0,0,0,0,0
Peniche,738060,681373,60162,50412,18623,2509,86282,56487,0,0,492132,56117
Sobral de Monte Agraço,982234,751544,132933,132933,243503,243503,91811,14010,3844,51658,207991,72630
Torres Vedras,2925412,2925412,1252628,860016,376816,338593,775800,88363,306127,0,91119,1677
Região de Aveiro,19042404,16525922,2915753,2829423,2656608,2210781,6351955,1145130,1432677,2182893,3856276,1375622
Águeda,2084673,2029901,79139,20365,107303,107303,1097555,0,191128,886316,724071,722871
Albergaria-a-Velha,1245016,1164340,14332,4452,412646,267911,618974,89380,6500,158845,93372,93372
Anadia,653682,347577,72860,72860,99975,99975,82564,58670,0,0,0,0
Aveiro,6661035,5959382,1310803,1300027,662717,544834,1933945,465995,271735,717719,1964595,181706
Estarreja,1002139,905403,145862,145862,189331,189331,393563,153583,0,13369,142894,57896
Ílhavo,2999001,2446321,895401,895401,413867,264690,850079,13900,832004,4175,0,0
Murtosa,774721,282681,24691,17791,98660,64628,10370,300,2550,0,134303,18286
Oliveira do Bairro,669801,617843,91094,91094,189639,189639,246904,0,114284,113861,89126,89126
Ovar,2273383,2098368,225640,225640,257292,257292,938886,250544,14476,222251,509634,14084
Sever do Vouga,388368,383521,55931,55931,140681,140681,67427,1070,0,66357,103881,103881
Vagos,290585,290585,0,0,84497,84497,111688,111688,0,0,94400,94400
Região de Coimbra,22357418,19284450,3599540,2222659,4468169,3841091,5141386,2112506,912065,583072,4582322,3138702
Arganil,729261,605891,96427,63049,240082,191272,157634,88425,1300,63326,34197,34197
Cantanhede,893068,878608,302554,146006,331280,230438,128659,127159,0,0,112375,112375
Coimbra,7307297,6882970,707437,463510,1143920,1130166,2294156,1289286,207000,0,2452393,1843685
Condeixa-a-Nova,716825,653152,364037,297333,130938,130938,123111,0,32949,0,21362,21362
Figueira da Foz,3045478,2771032,695000,683975,643653,459458,898024,277460,45582,461968,472557,197346
Góis,833005,758963,513629,15412,54557,54557,38895,0,0,29807,28576,2643
Lousã,1233852,773047,254605,242934,170676,170676,169394,0,167718,0,85354,82897
Mealhada,804407,631962,0,0,196239,94632,154069,35429,43552,2845,78000,78000
Mira,290454,290454,78509,78509,126335,101985,52958,10505,1531,0,32652,32652
Miranda do Corvo,291329,271859,0,0,134503,91036,68192,68192,0,0,26312,26312
Montemor-o-Velho,564870,476023,64655,0,176079,108386,53011,47715,0,0,116575,116575
Mortágua,438685,414185,17209,16619,127467,127467,201748,60768,23284,25126,6273,0
Oliveira do Hospital,1258870,731756,67495,66252,189134,189134,149442,0,149442,0,241376,142265
Pampilhosa da Serra,503431,500498,69223,69223,37914,37914,124054,37465,56247,0,144507,80957
Penacova,1264974,1027318,158464,12775,223049,183661,308897,22360,86371,0,245624,37854
Penela,866589,534955,106201,29906,90325,90325,51639,31308,0,0,262682,125143
Soure,845968,612722,37156,37156,261106,258134,102380,13334,88951,0,195147,181079
Tábua,246587,246587,2362,0,146503,146503,42513,0,6138,0,0,0
Vila Nova de Poiares,222468,222468,64577,0,44409,44409,22610,3100,2000,0,26360,23360
Região de Leiria,15093333,10212007,1783181,1200339,2026183,1754381,1983540,380777,694063,515869,3394545,2041213
Alvaiázere,464451,446622,110437,110437,184098,184098,138233,11234,118153,0,0,0
Ansião,347467,345954,38857,0,122745,114792,38448,0,0,33028,133434,70700
Batalha,761024,708165,64641,64479,71188,68484,141248,118493,22755,0,334608,49473
Castanheira de Pêra,91119,91119,375,0,40890,40890,44802,0,0,0,0,0
Figueiró dos Vinhos,503833,503833,162403,162403,207711,176170,50430,47724,0,0,0,0
Leiria,5862224,3706005,727326,398030,433111,433111,457639,0,321345,136294,1902435,1223832
Marinha Grande,1887167,1137858,154964,129449,122485,110229,375537,181975,144709,959,360743,79500
Pedrógão Grande,384578,364939,0,0,143804,105479,66931,4656,0,57005,25406,25406
Pombal,3991938,2139926,427566,277686,430196,287935,600372,16695,87101,288583,403243,385416
Porto de Mós,799532,767586,96612,57855,269955,233193,69900,0,0,0,234676,206886
Viseu Dão Lafões,9867061,8420424,1264142,999554,2265080,2012148,2456107,570150,983603,432892,1488394,1056314
Aguiar da Beira,182676,150661,0,0,117000,117000,18794,15252,0,0,0,0
Carregal do Sal,323119,323119,49879,49879,82366,82366,84262,0,84262,0,106435,106435
Castro Daire,522135,485535,12126,11748,204463,187066,4600,400,0,0,192538,192538
Mangualde,570717,570717,1525,0,343971,255875,183394,25190,127021,0,0,0
Nelas,186441,186441,12500,0,68925,64925,41778,6000,0,0,27000,27000
Oliveira de Frades,284122,284122,57818,54005,171033,153251,49137,14791,4994,0,500,500
Penalva do Castelo,378892,377736,0,0,176370,176370,10552,0,10552,0,186285,174105
Santa Comba Dão,376751,349227,10496,0,121181,121181,190077,33475,55221,0,25560,250
São Pedro do Sul,400542,340047,133359,0,84044,84044,45081,12181,0,26792,38321,30177
Sátão,505572,263490,2023,2023,89220,89220,34772,0,0,0,93965,93965
Tondela,621914,620700,69488,65673,228263,214620,55611,33521,7882,0,230640,230640
Vila Nova de Paiva,274221,274221,0,0,47768,23548,175866,78843,97023,0,21625,21625
Viseu,4642255,3762003,795878,717651,431850,344987,1447731,350497,542175,387382,501067,145516
Vouzela,597704,432405,119050,98575,98626,97695,114452,0,54473,18718,64458,33563
Beira Baixa,9356403,7283109,1600604,979289,1171709,886898,1536909,1019203,111942,120804,1402534,1085777
Castelo Branco,4481995,4005464,824161,576150,583410,417819,1079731,746240,42070,114495,680057,598044
Idanha-a-Nova,1578538,1534982,561178,353465,129094,76404,161643,63622,37222,6309,362356,189755
Oleiros,176543,165091,0,0,55242,55242,49070,5000,1200,0,19000,19000
Penamacor,1487057,254511,34591,34591,62020,27302,40552,0,31450,0,17000,0
Proença-a-Nova,897028,789555,48017,83,247409,222073,141722,140150,0,0,296221,251078
Vila Velha de Ródão,735242,533506,132657,15000,94534,88058,64191,64191,0,0,27900,27900
Médio Tejo,17381490,12016728,1961643,1329334,3206803,2549993,2502914,766419,693124,509647,3112167,1735421
Abrantes,3326155,2586776,615140,451772,745589,553841,103038,0,0,84018,1044243,479922
Alcanena,519130,470179,98216,98216,134120,134120,169271,39360,30500,0,59336,59336
Constância,587267,540384,64240,64240,201831,115423,108404,0,74998,8706,158037,158037
Entroncamento,505525,438184,3767,3767,105001,71819,91192,56909,1550,1521,190630,10610
Ferreira do Zêzere,277695,251286,1392,0,132510,132510,48263,22013,13313,6059,39265,17589
Mação,1357882,766802,244411,224606,126594,126594,64137,16878,22941,24318,131499,131499
Ourém,4005460,1610478,193276,123749,160942,95750,800421,0,453373,343620,243171,186915
Sardoal,590870,508313,22779,0,151725,120668,142842,54675,9805,5633,66284,37566
Sertã,1005552,971421,15432,14494,474496,426944,279555,184409,0,29622,153987,153987
Tomar,1215168,1207668,116765,88901,251993,214193,395340,277340,73500,0,291570,291570
Torres Novas,3530114,2255366,467814,168188,611430,477870,241487,96580,0,0,682530,158780
Vila de Rei,250253,250253,99411,90801,110572,80261,14943,0,8931,0,13265,11260
Vila Nova da Barquinha,210419,159618,19000,600,0,0,44021,18255,4213,6150,38350,38350
Beiras e Serra da Estrela,14876446,11216385,2230001,1306803,1855434,1518256,1921427,481063,727957,405994,3709873,1172660
Almeida,634994,532718,309769,161761,88972,68860,9065,7624,1205,0,54330,5516
Belmonte,595145,557833,92029,0,31007,31007,207125,0,207125,0,101027,101027
Celorico da Beira,603530,232837,34279,12692,73147,72139,0,0,0,0,83544,0
Covilhã,2625295,986275,146210,146210,233582,192016,232527,83525,0,144479,296196,291696
Figueira de Castelo Rodrigo,237742,237742,114445,0,1007,1007,60797,22727,8390,0,17063,17063
Fornos de Algodres,175512,144045,29409,29409,46164,46164,64834,25756,18038,0,0,0
Fundão,2235783,1242642,396032,177650,324198,210271,146569,53368,19875,0,146097,124716
Gouveia,642593,613701,145423,145423,137083,137083,187545,81908,7162,50072,85274,85274
Guarda,2071767,2055471,248818,149820,370992,370992,300742,0,300742,0,1134919,215990
Manteigas,266565,266565,0,0,69168,31689,3349,0,0,1349,32207,32207
Mêda,134287,134287,0,0,88473,63352,9588,5597,3991,0,0,0
Pinhel,1188544,1188544,115396,115396,60662,34115,82596,53450,0,18078,665088,56900
Sabugal,969170,672503,200564,87286,50896,50896,167103,76891,83187,0,123820,123820
Seia,1892851,1865962,261041,260935,230723,172275,324692,25670,0,192016,923597,73151
Trancoso,602668,485260,136586,20221,49360,36390,124895,44547,78242,0,46711,45300
A. M. Lisboa,124170697,110884297,30537078,12531176,11626816,10143355,18281686,4362951,1536125,2466042,39464497,17513334
Alcochete,1198838,963559,293476,293476,314868,314868,195304,59727,0,0,0,0
Almada,8965282,6323263,898504,844148,1358820,1347767,2449484,742643,474354,631164,472924,245663
Amadora,2900197,2715155,212135,212135,647249,647249,605461,42752,386372,1622,442767,204158
Barreiro,1457155,1376783,202942,114179,347440,226202,412119,133602,2284,132561,224220,224220
Cascais,1933765,1908515,152710,0,57253,19917,9415,0,0,0,519871,504628
Lisboa,61218323,57641879,20023172,4734599,327997,251154,7391671,790639,0,0,28348770,12796475
Loures,4754717,4564905,1428930,1374942,1155645,1155645,212318,122736,0,41971,1535612,567965
Mafra,2293867,2239362,148,148,0,0,162050,129686,0,0,2022105,38500
Moita,1915210,1837287,253257,0,549589,511210,476123,93262,40384,18484,518836,89074
Montijo,684342,684342,191256,177979,113593,0,213497,0,115616,0,115617,0
Odivelas,3451236,2781449,762590,337076,534216,326933,823510,55959,74680,496736,176149,56517
Oeiras,5881420,4415417,24399,24399,174141,141515,763138,148799,0,0,2719451,1624313
Palmela,4501083,3501144,945262,35793,985676,903877,728397,108563,46179,541214,423687,246287
Seixal,5094775,4501089,785550,711787,857088,857088,1075517,707203,233542,11454,357751,108751
Sesimbra,1993190,1270740,75737,18924,726458,520024,138009,54374,44590,0,99584,71021
Setúbal,5772039,4794782,1431976,1305133,931598,745212,873477,210027,75334,178818,551185,63649
Sintra,5812356,5607240,1366217,904466,1259713,1046506,1278066,597053,29599,376018,770268,566413
Vila Franca de Xira,4342902,3757386,1488817,1441992,1285472,1128188,474130,365926,13191,36000,165700,105700
Alentejo,52559774,41312697,8041821,5330200,8857111,7213145,9446021,3260106,2125262,1195764,9273232,3703178
Alentejo Litoral,6659763,5535949,844079,731734,1790527,1330732,872102,449698,63864,85446,1506728,1370548
Alcácer do Sal,1385810,1268391,184917,129366,397822,243569,498052,365910,0,76353,159137,159137
Grândola,2543268,1779299,322614,278563,491493,367340,116860,45351,0,9093,662697,526517
Odemira,629158,547230,0,0,207869,135430,68893,0,61760,0,217942,217942
Santiago do Cacém,1352103,1194142,218201,205458,612816,508535,37893,2546,0,0,167063,167063
Sines,749424,746887,118347,118347,80527,75858,150404,35891,2104,0,299889,299889
Baixo Alentejo,10752765,9575390,1828328,1238425,2353975,1866031,1798525,741357,397588,151782,1699872,440416
Aljustrel,402973,401800,102379,102379,152911,148117,89279,18517,0,45355,34370,34370
Almodôvar,403005,403005,62267,35587,136932,121602,47290,0,34907,0,75109,15422
Alvito,108855,108855,0,0,88714,78618,0,0,0,0,17500,17500
Barrancos,378685,318980,146800,110900,57600,33700,47100,36000,0,7600,35700,35700
Beja,2268396,2163594,294292,130498,554195,551892,617859,73764,160934,26256,423424,44682
Castro Verde,755875,728773,108623,86804,143902,141381,133233,56353,39440,21913,167232,22681
Cuba,555723,555231,26286,26286,131087,108028,57857,43638,0,0,147785,25050
Ferreira do Alentejo,496340,496340,63888,63888,118377,55491,93434,93434,0,0,0,0
Mértola,1014016,810292,299516,296963,114894,82670,74234,46490,0,12823,106106,8107
Moura,852733,725727,245264,128721,193625,115249,95112,38805,7565,0,119207,60558
Ourique,500766,500766,0,0,255246,181335,57112,34106,22817,189,62930,62930
Serpa,2390090,1803615,289503,134059,253959,170250,418050,275669,102405,37646,493129,96036
Vidigueira,625308,558412,189510,122340,152533,77698,67965,24581,29520,0,17380,17380
Lezíria do Tejo,10473083,8981632,1609909,1130122,1836880,1659622,2475216,472828,530947,704856,1983434,885282
Almeirim,739605,739605,46059,46059,209308,209308,31946,26967,0,0,298333,148687
Alpiarça,454935,450894,209556,209556,171029,149121,23081,23081,0,0,25130,25130
Azambuja,905960,905960,208830,195876,272036,272036,190711,30358,142407,0,100171,100171
Benavente,1704697,1300614,119055,119055,219582,219582,636544,50430,97891,484655,310175,310175
Cartaxo,435433,412093,91773,91773,61849,61849,251540,1200,0,153389,0,0
Chamusca,529873,510253,12877,0,134114,134114,338666,71100,5147,17311,0,0
Coruche,1097706,1063492,108861,101989,88261,33162,169655,0,112110,0,307436,66232
Golegã,249203,245315,70398,70398,77122,77122,2648,1122,1230,0,57629,57629
Rio Maior,1187710,748101,84164,18375,147235,120668,150136,2600,104213,0,228430,68252
Salvaterra de Magos,1387741,935172,319485,187947,160871,108375,43749,17578,0,22671,401459,29978
Santarém,1780220,1670133,338851,89094,295473,274285,636540,248392,67949,26830,254671,79028
Alto Alentejo,9147822,6402379,2131949,1137093,1265907,1164225,1092520,452706,198683,108703,1195756,485048
Alter do Chão,476010,308281,118110,41015,45878,45878,30878,3945,0,26933,106380,16228
Arronches,253125,85125,38497,38497,504,504,10419,4883,0,0,19560,19560
Avis,619143,587767,154072,28687,87762,87762,138087,34846,300,49896,100752,21859
Campo Maior,364117,242774,135988,135988,61899,61899,37999,7999,0,0,0,0
Castelo de Vide,1131339,477226,79148,55802,136825,136825,142881,0,142881,0,91835,33090
Crato,130360,123017,33385,33385,88248,88248,0,0,0,0,0,0
Elvas,2128847,1137791,396642,98228,39789,39789,149031,47011,15837,0,277825,277825
Fronteira,121282,121282,36548,36548,75670,59343,0,0,0,0,0,0
Gavião,138327,137047,53680,40600,63997,63997,15050,5050,10000,0,1250,1250
Marvão,179680,179680,97350,51180,30572,14622,34228,34228,0,0,0,0
Monforte,343408,343408,137798,11644,151078,117146,630,630,0,0,51704,38736
Nisa,848796,645705,140121,98002,139461,103988,181711,71737,0,31874,56233,17705
Ponte de Sor,871368,758301,0,0,117238,117238,115722,100315,0,0,458057,52211
Portalegre,1382775,1095730,655424,412331,146153,146153,219967,142062,13748,0,26975,1399
Sousel,159245,159245,55186,55186,80833,80833,15917,0,15917,0,5185,5185
Alentejo Central,15526341,10817347,1627556,1092826,1609822,1192535,3207658,1143517,934180,144977,2887442,521884
Alandroal,431392,431392,27553,0,88612,5469,17219,12410,0,0,1287,0
Arraiolos,602953,492843,152571,129166,84155,84155,90637,63337,0,0,25671,25671
Borba,555952,393599,0,0,22316,22316,228213,0,228213,0,137439,28479
Estremoz,1109421,668962,301499,271955,197288,113348,44977,12441,0,0,77189,77189
Évora,5281501,2210750,137524,27746,75238,0,1452763,442284,432869,22571,52057,0
Montemor-o-Novo,1523852,1337735,87143,0,148054,98495,798157,275121,221008,30078,270845,118446
Mora,850015,716008,384078,383013,36739,36739,49442,35092,0,0,135597,30231
Mourão,463595,134409,10500,0,43583,43583,19106,16023,0,3083,36609,0
Portel,896938,724333,106160,99856,157161,128156,186891,26550,35600,84987,117904,98650
Redondo,851179,843693,276332,90055,279384,245234,125410,105562,0,0,99231,86544
Reguengos de Monsaraz,379145,379145,27185,27185,224630,169337,61218,61218,0,0,44203,44203
Vendas Novas,214079,214079,0,0,96238,95989,88321,70483,11849,0,12471,12471
Viana do Alentejo,2274787,2179132,44906,16280,156424,149714,45304,22996,4641,4258,1876939,0
Vila Viçosa,91532,91267,72105,47570,0,0,0,0,0,0,0,0
Algarve,32817315,26289841,5170451,3442013,5753515,4400223,7298476,2464140,818397,1646677,5537972,3663126
Albufeira,1754162,1564904,132839,132839,307047,217000,645842,125973,150513,0,250932,129709
Alcoutim,526393,461924,268138,67163,43839,30300,80711,7161,0,0,21474,21474
Aljezur,470458,443591,77428,66368,0,0,203518,67762,40000,74382,65810,2302
Castro Marim,461095,418940,76647,32257,76938,70870,74593,63543,0,0,115511,42857
Faro,3790409,3363612,887340,709203,588737,588737,890856,69253,467238,11227,632534,603736
Lagoa,2356825,2205160,89440,89440,443026,248272,1109436,962493,0,146943,483698,483698
Lagos,4038385,3287754,858420,697340,506768,379273,1239333,228322,5000,712613,224978,224978
Loulé,7856108,5819583,739586,232720,1210803,646288,2016969,337124,0,530822,1579028,884079
Monchique,228015,228015,30404,0,43073,43073,69850,1350,0,0,0,0
Olhão,1157057,1152437,215642,206067,554712,428396,45046,0,0,45046,255935,77935
Portimão,2638392,2197353,792205,792205,474461,474461,298081,298081,0,0,298380,298380
São Brás de Alportel,780464,731976,127346,17475,165592,165592,44747,41448,0,0,195860,43114
Silves,2251367,1975627,614296,171622,295409,286404,211854,169160,203,24429,798264,437822
Tavira,2498035,1143294,180937,147531,323416,315661,163341,25930,118899,0,413042,413042
Vila do Bispo,943367,228888,0,0,86733,52368,66540,66540,0,0,0,0
Vila Real de Santo António,1066783,1066783,79783,79783,632961,453528,137759,0,36544,101215,202526,0
R. A. Açores,11748055,8425109,1121212,703227,1174748,877076,2336822,537755,152446,380140,2729057,1210216
