,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
A. M. Lisboa,7490,6426,8607,4395,3653,3802,3529,1345,191,186,194,63
Alcochete,6791,7448,7773,3955,3782,4183,3445,2263,188,191,185,102
Almada,6978,5722,7975,4291,3611,3828,3440,1375,193,191,195,67
Amadora,6948,6046,7909,4202,3469,3603,3364,980,190,187,193,50
Barreiro,6990,6637,7905,4437,3422,3611,3256,1684,184,181,187,76
Cascais,8633,7199,9883,4940,4099,4304,3939,1194,199,199,199,51
Lisboa,8314,6754,9593,4913,3914,3908,3920,1207,197,194,200,50
Loures,7273,6273,8360,4230,3602,3745,3487,1122,193,187,198,56
Mafra,6602,6446,7679,3710,3863,4246,3582,1465,192,193,191,70
Moita,6330,6581,7245,3871,3270,3436,3125,1948,180,169,189,93
Montijo,5822,5781,6730,3416,3378,3493,3276,1998,182,176,188,97
Odivelas,6956,6116,7918,4052,3525,3611,3452,1051,193,187,198,53
Oeiras,9324,7517,10653,5258,4312,4619,4074,1210,201,203,200,49
Palmela,6396,6030,7397,3634,3480,3748,3281,2185,181,175,185,99
Seixal,6838,6038,7747,4070,3447,3591,3334,1451,185,178,190,70
Sesimbra,6751,5696,7858,3849,3486,3786,3244,1717,181,174,187,80
Setúbal,7015,6296,8068,4141,3308,3515,3116,2209,174,168,180,96
Sintra,7148,6397,8241,4124,3531,3656,3441,1042,193,186,198,53
Vila Franca de Xira,7258,6481,8381,4173,3487,3697,3316,1194,181,175,186,58
Alentejo,5194,5704,5962,3093,2774,2873,2692,1249,159,151,166,67
Alentejo Litoral,5550,5732,6463,3155,2590,2554,2639,1348,144,130,163,67
Alcácer do Sal,4855,4892,5641,2922,2598,2807,2469,1515,151,146,154,85
Grândola,4906,5630,5641,2863,2766,2876,2678,1341,156,144,166,78
Odemira,4519,5023,5175,2763,2159,1998,2422,794,130,118,151,48
Santiago do Cacém,6543,6807,7673,3472,3155,3348,2929,1619,165,154,177,69
Sines,6931,6180,8168,3882,2976,3034,2878,1624,148,130,177,70
Baixo Alentejo,4741,5069,5487,2890,2761,2830,2699,939,164,156,170,51
Aljustrel,5898,5432,7021,3227,2807,3041,2657,1462,165,159,168,71
Almodôvar,4731,4652,5516,2742,3183,3318,3046,1252,172,157,188,57
Alvito,4677,5457,5468,2726,2591,3364,1911,647,149,173,129,40
Barrancos,4035,4783,4645,2499,2582,2271,2964,530,167,147,191,34
Beja,4803,5422,5487,2995,2839,2893,2789,750,166,160,172,41
Castro Verde,5746,4937,6967,2980,3003,2904,3096,1401,160,139,179,54
Cuba,4714,5393,5343,2944,2788,2918,2704,888,170,165,173,53
Ferreira do Alentejo,4615,4883,5379,2804,2491,2422,2543,954,152,139,161,55
Mértola,4413,4870,5049,2775,3192,3090,3315,1152,191,175,211,67
Moura,4282,4804,4876,2886,2678,2790,2569,764,167,163,171,48
Ourique,4353,4431,5021,2742,2793,3133,2508,1030,165,170,162,63
Serpa,4327,4900,4921,2765,2527,2491,2557,804,156,147,164,50
Vidigueira,4528,4689,5261,2762,2557,2663,2463,896,155,155,155,60
Lezíria do Tejo,5437,5947,6245,3197,2882,3082,2736,1372,163,158,166,73
Almeirim,4892,5498,5594,2861,2594,2670,2547,1182,153,146,158,71
Alpiarça,4707,5348,5411,2800,2840,3339,2554,1036,162,170,158,61
Azambuja,5866,5966,6818,3393,3027,3193,2892,1223,168,160,175,63
Benavente,5922,6592,6829,3445,3052,3301,2869,1528,167,163,169,72
Cartaxo,6219,6531,7224,3511,3303,3584,3041,1437,176,175,178,72
Chamusca,4839,5414,5525,2950,2292,2310,2282,1446,143,134,149,88
Coruche,4993,5521,5740,2981,2549,2709,2460,1416,154,146,158,80
Golegã,5160,5714,5855,3128,2461,2586,2375,1344,142,137,146,80
Rio Maior,5379,5893,6165,3164,2750,2579,2859,1279,162,140,176,70
Salvaterra de Magos,5513,5956,6347,3134,2875,3091,2733,1665,164,155,169,93
Santarém,5439,6025,6193,3286,2952,3163,2768,1315,164,163,165,67
Alto Alentejo,4850,5386,5531,3001,2741,2789,2706,1140,165,158,170,65
Alter do Chão,4729,5236,5376,2985,2945,3287,2660,1190,177,190,166,73
Arronches,4114,5191,4715,2641,2484,2228,2719,1088,148,135,159,63
Avis,4763,5090,5402,2816,2603,2626,2593,1591,165,150,172,90
Campo Maior,5338,6113,6217,2976,3132,3129,3135,940,177,167,185,46
