,"Recipients, MF, No.","Recipients, M, No.","Recipients, F, No."," Days subsidized , MF, No."," Days subsidized , M, No."," Days subsidized , F, No.","Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros"
Castanheira de Pêra,185,82,103,11802,4741,7061,177,76,101
Figueiró dos Vinhos,299,138,161,16697,8004,8693,269,132,138
Leiria,8967,3952,5015,632165,264236,367929,13468,6702,6766
Marinha Grande,3575,1682,1893,336252,152737,183515,8444,4840,3604
Pedrógão Grande,177,85,92,11609,6642,4967,182,105,77
Pombal,3195,1403,1792,212836,91947,120889,4013,1941,2072
Porto de Mós,1719,722,997,115892,44019,71873,2172,981,1191
Viseu Dão Lafões,15285,6615,8670,924938,411934,513004,15639,7569,8069
Aguiar da Beira,254,111,143,19535,10090,9445,289,143,147
Carregal do Sal,610,279,331,31436,15015,16421,514,273,242
Castro Daire,699,329,370,51830,26271,25559,810,495,315
Mangualde,1273,662,611,70847,37989,32858,1218,742,475
Nelas,842,390,452,58526,26898,31628,1032,518,514
Oliveira de Frades,638,300,338,40573,20224,20349,691,385,305
Penalva do Castelo,402,195,207,28085,14642,13443,430,251,178
Santa Comba Dão,783,322,461,55329,19797,35532,978,387,590
São Pedro do Sul,894,416,478,53882,27919,25963,843,475,367
Sátão,631,290,341,45153,20639,24514,712,328,384
Tondela,1838,731,1107,110305,44028,66277,1860,822,1038
Vila Nova de Paiva,164,63,101,8885,3102,5783,136,49,86
Viseu,5671,2271,3400,312516,128955,183561,5502,2419,3083
Vouzela,586,256,330,38036,16365,21671,625,282,344
Beira Baixa,4262,1704,2558,228980,91630,137350,3949,1726,2223
Castelo Branco,3051,1162,1889,158236,61181,97055,2799,1174,1625
Idanha-a-Nova,309,136,173,17425,7694,9731,274,137,137
Oleiros,192,80,112,10554,4808,5746,183,92,91
Penamacor,178,88,90,12024,6023,6001,201,102,99
Proença-a-Nova,350,163,187,20577,9066,11511,334,165,169
Vila Velha de Ródão,182,75,107,10164,2858,7306,159,57,102
Médio Tejo,14474,6337,8137,1068885,444830,624055,19202,9078,10124
Abrantes,2146,961,1185,160459,65527,94932,2848,1341,1507
Alcanena,1079,485,594,89591,39197,50394,1654,822,832
