,"Museums, Visitors per museum, No.","Museums, Ratio of school visitors, %","Local administration total expenditure on cultural and creative activities per inhabitant, Ratio of school visitors, €","Local administration total expenditure on sports activities and equipments per inhabitant, Ratio of school visitors, €","Local administration expenditure on culture and sports as share of total expenditures, Ratio of school visitors, %"
Vila Nova da Barquinha,2984,4.8,29.7,40,7
Beiras e Serra da Estrela,6634,...,70.5,34.1,8
Almeida,6588,1.1,107.7,111.1,11.1
Belmonte,7760,9.7,95.7,34.7,6.8
Celorico da Beira,//,//,91.5,18.7,3.6
Covilhã,4833,3.6,56.4,22.1,8.9
Figueira de Castelo Rodrigo,//,//,46,9.2,2.7
Fornos de Algodres,//,//,39.7,24.3,3.7
Fundão,1480,21.1,84.2,32.4,10
Gouveia,2108,30.8,52.5,53.2,9
Guarda,4080,9.2,51.6,32.4,8
Manteigas,//,//,91.4,57.5,8.1
Mêda,//,//,28.8,7.7,2
Pinhel,//,//,146.8,16.5,8.8
Sabugal,5019,0.8,85.7,55.1,7.8
Seia,13469,2.2,86.8,41.5,11.3
Trancoso,5728,...,71.4,39.4,9
A. M. Lisboa,33535,5.7,43.2,18,6.4
Alcochete,...,...,62.3,84.4,13.2
Almada,1768,28.2,50.6,17.1,10.4
Amadora,1256,17.8,16.8,7,4.1
Barreiro,//,//,18.6,20.9,5.3
Cascais,6927,13.6,9,15.5,2.1
Lisboa,37352,6.3,112.2,14.4,7.2
Loures,1262,14.6,23.5,6.5,4.3
Mafra,108517,2.7,26.5,25.2,6
Moita,//,//,28.9,13.2,7.4
Montijo,1335,...,12.2,10.5,3
Odivelas,//,//,23.2,21.3,7.2
Oeiras,1713,67.6,34.2,18.9,4.2
Palmela,...,...,65.4,12,9.3
Seixal,10904,39.5,30.6,56.3,10.2
Sesimbra,116838,0.3,38,17.5,5.4
Setúbal,14384,6.2,46.9,19.8,8.2
Sintra,74544,1.6,15.1,8.5,4.7
Vila Franca de Xira,4177,30.4,31.6,35.2,10.7
Alentejo,6070,6.7,74.4,47.3,9.5
Alentejo Litoral,2534,8,68.7,51.5,8.4
Alcácer do Sal,//,//,124.2,138.4,13
Grândola,...,...,183.1,77.4,11.3
Odemira,//,//,21.2,15.2,4.1
Santiago do Cacém,...,...,48.5,41.9,8.5
Sines,4007,...,52.5,52.8,5.4
Baixo Alentejo,3419,8.4,93.3,53.1,9.4
Aljustrel,937,0,45.4,79.5,8.6
Almodôvar,1994,0,59.8,87.6,5.8
Alvito,//,//,47.6,94.3,4.3
Barrancos,321,5,263.4,160.8,11.3
Beja,1200,83.3,67.7,27.1,10
Castro Verde,...,...,109.6,94,11.1
Cuba,...,...,126.5,49.4,9.1
Ferreira do Alentejo,2555,41.4,64.3,8.4,5
Mértola,20184,0,162.8,52.2,8
Moura,5539,11.8,64.1,41,7.5
Ourique,//,//,103.3,44.5,7.4
Serpa,4261,2.1,173.4,62.9,18.1
Vidigueira,1550,8.1,120.2,112.6,14
Lezíria do Tejo,2600,15.8,44.2,38.4,9.6
Almeirim,1500,86.7,33.5,52,10.4
Alpiarça,3837,10.7,65.1,49.3,9
Azambuja,//,//,42,22.6,6
Benavente,//,//,56.9,51.6,15.7
Cartaxo,...,...,18.7,23.5,7.5
Chamusca,//,//,62,66.9,9.6
Coruche,4228,...,63.3,20.6,8
Golegã,1318,23.9,46.1,21.5,4.8
Rio Maior,//,//,56.4,92.5,14.2
Salvaterra de Magos,//,//,64,38.1,14.8
Santarém,...,...,30.3,20.5,6.7
Alto Alentejo,4466,7,87.1,62.1,8.3
Alter do Chão,//,//,155.4,47.8,8.6
Arronches,1000,5.9,90.2,135.9,8.6
Avis,920,...,162.2,84.1,9.3
Campo Maior,...,...,45.3,32.7,5.7
Castelo de Vide,//,//,361.6,156.5,16
Crato,...,...,40.4,22.9,3.4
Elvas,7336,5.2,102.7,23.6,9.6
Fronteira,//,//,42.3,64,4.8
Gavião,5236,0,40.9,11.7,1.9
Marvão,4952,1.8,59.2,9.4,2.7
Monforte,//,//,114.3,80.1,5.1
Nisa,4407,3.4,142.8,65.3,9.3
Ponte de Sor,//,//,57,76.1,7.2
Portalegre,3888,5.8,61.9,91.1,15.2
Sousel,662,23.3,36.6,64.8,4.5
Alentejo Central,12764,5.1,101.6,43.8,11.2
Alandroal,//,//,86.3,38.8,5.2
Arraiolos,6687,3.5,90.8,64.2,9.2
Borba,//,//,86.2,65,11.2
Estremoz,...,...,87.3,23.4,9
Évora,44466,4,98.4,14.1,11.6
Montemor-o-Novo,...,...,96.2,48.9,11.1
Mora,4334,2.1,205.1,37.6,12.6
Mourão,7163,8.3,195.4,112.6,10.4
Portel,//,//,155.8,227.1,18.3
Redondo,82,0,135,35.8,12.3
Reguengos de Monsaraz,//,//,38.3,87.3,8
Vendas Novas,//,//,19,41.4,6.7
Viana do Alentejo,//,//,425.5,73.9,38.8
Vila Viçosa,10115,1.7,12.4,18.5,2.5
Algarve,15824,3.4,70.3,60,9.2
Albufeira,3003,12.5,39.6,69.7,5.1
Alcoutim,11045,1.4,209.9,66.1,6.6
