,"Quintiles of gross reported income by taxable person, 1st quintile, €","Quintiles of gross reported income by taxable person, 2nd quintile, €","Quintiles of gross reported income by taxable person, 3rd quintile, €","Quintiles of gross reported income by taxable person, 4th quintile, €","Distribution of the number of taxable persons by gross reported income class, Less than  5 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 5 000 to less than 10 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From 10 000 to less than 13 500 €, No.","Distribution of the number of taxable persons by gross reported income class, From  13 500 to less than 19 000 €, No.","Distribution of the number of taxable persons by gross reported income class, From  19 000 to less than 32 500 €, No.","Distribution of the number of taxable persons by gross reported income class, 32 500 € or more, No."
Penamacor,4821,6922,8968,12443,699,1435,511,285,181,44
Proença-a-Nova,4549,6789,9128,13544,1198,2032,723,524,365,111
Vila Velha de Ródão,5772,8106,10517,14861,326,980,449,341,188,43
Médio Tejo,5408,8002,10446,15429,27422,65900,28558,19741,16274,5567
Abrantes,5584,7935,10430,15721,3919,10513,4282,2969,2651,920
Alcanena,5342,7780,9757,13200,1601,4282,1766,925,655,218
Constância,6024,8423,11241,16458,398,1061,535,408,345,86
Entroncamento,6960,9997,13618,20436,1581,4155,2789,2479,2533,787
Ferreira do Zêzere,4799,6960,9096,12446,1184,2450,952,498,274,75
Mação,5194,7405,9372,13411,820,2069,714,445,338,105
Ourém,5196,7871,10102,14140,5660,12420,5721,3600,2350,776
Sardoal,5113,7270,9518,14175,489,1152,393,271,229,79
Sertã,4419,6308,8415,11958,2676,4479,1229,815,608,152
Tomar,5288,7762,10348,15605,4731,10561,4384,3087,2578,1130
Torres Novas,5872,8345,11058,16704,3390,9886,4483,3205,2902,1027
Vila de Rei,5281,7622,9245,12745,356,1015,355,217,119,28
Vila Nova da Barquinha,6412,8993,12053,17355,617,1857,955,822,692,184
Beiras e Serra da Estrela,4893,7300,9491,14147,31529,64178,22797,15392,12481,4979
Almeida,4936,7381,9832,14087,881,1742,762,447,379,105
Belmonte,4887,7191,8815,12509,909,2027,629,408,265,80
Celorico da Beira,4507,6875,8936,12650,1120,1945,692,395,317,74
Covilhã,5434,7729,9783,14621,5726,15247,5381,3452,2898,1463
Figueira de Castelo Rodrigo,4096,6125,8367,12142,1113,1660,474,280,268,83
Fornos de Algodres,4318,6439,8509,11982,778,1265,338,226,172,48
Fundão,4712,7147,9271,13507,4255,8091,2898,1980,1324,507
Gouveia,4566,6619,8646,12553,2102,3956,1031,731,540,245
Guarda,5584,8381,11582,17802,4599,10109,4826,3981,3687,1484
Manteigas,4776,6665,8705,12083,506,1073,353,157,135,45
Mêda,4235,6267,8302,11976,919,1391,405,266,168,65
Pinhel,4271,6094,8356,12047,1802,2696,770,549,360,108
Sabugal,4507,6857,9186,12678,1785,3019,1157,655,473,162
Seia,4883,7010,8974,12776,3382,7466,2347,1416,1100,394
Trancoso,4167,6235,8375,12179,1652,2491,734,449,395,116
A. M. Lisboa,6267,9458,13678,22356,284501,599630,332721,304918,325009,203022
Alcochete,6518,9703,14431,24102,1581,3731,1920,1828,2278,1349
Almada,6324,9437,13515,21586,16388,36453,20118,18736,19797,10230
Amadora,6126,8922,12383,19330,16664,40213,20778,17918,17209,7649
Barreiro,6635,9379,12600,19022,6478,18038,10862,8857,8310,2776
Cascais,6412,9941,15313,26297,20097,39683,21060,21088,25909,20556
Lisboa,5955,9829,15844,28895,79065,123654,64856,62772,83614,83265
Loures,6140,8846,12099,18440,12765,31460,16584,13686,12251,5179
Mafra,5928,8870,12811,20785,8217,17897,8723,8035,8432,4405
Moita,6131,8703,11536,16490,5923,15792,8753,6986,5035,1245
Montijo,5926,8790,12441,19509,5393,12021,5898,5397,5428,2177
Odivelas,6250,9216,12936,19790,14438,33207,18701,17051,16677,6358
Oeiras,7540,11828,18404,30281,12410,27421,16973,19013,26047,21727
Palmela,5989,8925,12599,19426,6399,14046,7541,6800,6435,2721
Seixal,6453,9483,13040,19551,14505,33979,21026,18912,17729,5994
Sesimbra,6083,9020,12684,18920,5018,11330,6294,5936,5266,1810
Setúbal,6307,9336,13148,20440,11183,25913,14691,13358,13238,6016
Sintra,6174,9054,12432,18753,36902,84583,48770,41393,36548,14755
Vila Franca de Xira,6796,9630,13031,19084,11075,30209,19173,17152,14806,4810
Alentejo,5557,8090,10619,15797,78765,201160,87004,62002,50795,19874
Alentejo Litoral,5262,7981,10674,16157,12339,26037,11676,8275,7113,3298
Alcácer do Sal,5321,7677,9832,14070,1387,3585,1383,949,641,207
Grândola,5208,7871,10363,15591,1642,3547,1461,1080,893,372
Odemira,4507,6829,9019,12394,5221,9061,3669,1852,1224,437
Santiago do Cacém,6048,8849,12573,20260,2742,6590,3314,2813,2827,1531
Sines,6218,9197,12884,20168,1347,3254,1849,1581,1528,751
Baixo Alentejo,5421,8036,10591,16199,13043,31218,12907,9517,8692,3149
Aljustrel,5965,8461,11418,17562,814,2511,1089,932,861,239
Almodôvar,4844,7246,10191,16637,1099,1929,676,585,644,197
Alvito,//,//,//,//,190,657,284,147,136,33
Barrancos,//,//,//,//,189,473,183,112,69,11
Beja,6332,9049,12406,19483,2857,7792,4084,3357,3415,1352
Castro Verde,6454,9222,13096,21177,519,1583,752,678,751,358
Cuba,5437,7800,10117,14983,460,1270,500,331,264,105
Ferreira do Alentejo,5309,7540,9585,13804,865,2335,852,544,404,120
Mértola,4954,6977,8922,12709,903,2092,627,420,284,76
Moura,4676,7091,9511,13544,1918,3461,1360,840,619,239
Ourique,5046,7542,9680,14402,656,1444,522,363,308,108
Serpa,4844,7023,9104,13024,1907,4070,1409,824,647,222
Vidigueira,5178,7532,9610,13903,666,1601,569,384,290,89
Lezíria do Tejo,5469,7980,10532,15630,26878,66459,28480,20471,16477,6188
Almeirim,5046,7269,9820,14497,3018,6460,2461,1786,1358,432
Alpiarça,5160,7154,9553,14261,934,2260,800,556,431,125
Azambuja,5606,8269,10875,15702,2238,5684,2737,2035,1516,407
Benavente,5661,8344,11053,16235,3136,7483,3753,2712,2096,829
Cartaxo,5856,8450,11117,16196,2425,6188,3119,2357,1787,628
Chamusca,5166,7196,9063,12399,1121,3036,1004,531,388,116
Coruche,5149,7243,9371,13468,2301,5909,2045,1321,912,301
Golegã,5618,7933,10275,14915,612,1726,708,525,356,112
Rio Maior,5233,7689,10038,14484,2636,6021,2507,1684,1177,458
Salvaterra de Magos,5204,7453,9828,14563,2633,6496,2339,1723,1289,418
Santarém,5826,8426,11447,18026,5824,15196,7007,5241,5167,2362
Alto Alentejo,5431,7886,10280,14964,12672,32537,13749,9284,7073,2532
