,"Values paid, MF, thousand euros","Values paid, M, thousand euros","Values paid, F, thousand euros","Days subsidized , MF, No.","Days subsidized , M, No.","Days subsidized , F, No."
Ponta Delgada,5854,2861,2993,345408,167711,177697
Povoação,1705,878,826,114193,58888,55305
Ribeira Grande,3953,2118,1835,252727,134485,118242
Vila Franca do Campo,1429,747,682,90197,45795,44402
Terceira,4921,2591,2331,289781,145120,144661
Angra do Heroísmo,3334,1747,1588,194127,97672,96455
Vila da Praia da Vitória,1587,844,743,95654,47448,48206
Graciosa,565,263,302,36905,17089,19816
Santa Cruz da Graciosa,565,263,302,36905,17089,19816
São Jorge,792,450,342,51343,30140,21203
Calheta (R.A.A.),248,165,83,16380,10944,5436
Velas,544,285,259,34963,19196,15767
Pico,1478,564,914,92816,35250,57566
Lajes do Pico,595,222,373,38685,14279,24406
Madalena,538,226,312,32512,13387,19125
São Roque do Pico,345,116,229,21619,7584,14035
Faial,1298,724,574,77914,42308,35606
Horta,1298,724,574,77914,42308,35606
Flores,580,290,289,38846,20038,18808
Lajes das Flores,309,157,152,20526,10088,10438
Santa Cruz das Flores,271,133,137,18320,9950,8370
Corvo,26,5,21,1698,378,1320
Corvo,26,5,21,1698,378,1320
R. A. Madeira,22959,11176,11784,1356864,630970,725894
Calheta (R.A.M.),709,367,341,44079,22336,21743
Câmara de Lobos,2379,1151,1229,147449,67903,79546
Funchal,10267,4821,5446,594910,268223,326687
Machico,2452,1365,1087,138601,70468,68133
Ponta do Sol,541,271,270,33965,16208,17757
Porto Moniz,182,91,91,12479,6277,6202
Ribeira Brava,942,420,523,58497,24989,33508
Santa Cruz,4103,1945,2158,231816,105104,126712
Santana,399,239,161,29022,17073,11949
São Vicente,271,145,126,18296,9656,8640
Porto Santo,714,362,352,47750,22733,25017
