,"Annual mean value of pensions , Total, €","Annual mean value of pensions , Disability, €","Annual mean value of pensions , Old age, €","Annual mean value of pensions , Survival , €","Mean value of unemployment benefits, MF, €","Mean value of unemployment benefits, M, €","Mean value of unemployment benefits, F, €","Mean value of sickness benefits, F, €","Mean number of days of unemployment benefits, MF, days","Mean number of days of unemployment benefits, M, days","Mean number of days of unemployment benefits, F, days","Mean number of days of sickness benefits , F, days"
Seia,4985,5173,5627,3084,2991,3057,2945,1460,170,173,167,85
Trancoso,4159,5345,4665,2654,2861,3337,2579,1306,169,192,155,75
A. M. Lisboa,7939,6736,9131,4659,3657,3811,3530,1127,185,181,189,51
Alcochete,7212,7688,8266,4246,3860,3980,3763,2050,187,180,193,80
Almada,7375,6025,8440,4530,3615,3717,3534,1167,188,181,194,54
Amadora,7321,6255,8340,4437,3446,3541,3370,814,181,175,185,42
Barreiro,7358,6956,8324,4691,3431,3533,3341,1409,179,171,186,62
Cascais,9187,7514,10546,5209,4084,4289,3930,946,192,191,193,40
Lisboa,8882,7143,10262,5228,3934,3918,3949,986,190,187,193,40
Loures,7712,6566,8871,4492,3682,3993,3429,941,192,192,192,45
Mafra,7028,6662,8183,3993,3972,4366,3697,1407,193,197,190,65
Moita,6705,6855,7692,4082,3129,3272,3004,1581,171,162,179,72
Montijo,6165,5963,7164,3590,3323,3387,3265,1657,176,171,180,76
Odivelas,7311,6380,8339,4274,3474,3610,3358,907,187,182,190,44
Oeiras,9879,7974,11284,5570,4363,4594,4188,1044,195,194,196,41
Palmela,6823,6199,7903,3894,3480,3841,3206,1874,176,172,179,82
Seixal,7173,6273,8126,4286,3448,3613,3323,1172,179,171,185,55
Sesimbra,7177,5979,8366,4030,3436,3719,3181,1428,173,166,179,65
Setúbal,7456,6514,8588,4400,3267,3396,3148,1879,169,159,178,79
Sintra,7564,6747,8710,4398,3527,3730,3384,861,186,182,190,43
Vila Franca de Xira,7676,6945,8836,4455,3631,3899,3420,1065,183,178,188,49
Alentejo,5531,5969,6379,3254,2802,2856,2754,1131,156,147,164,58
Alentejo Litoral,5948,5948,6960,3323,2467,2424,2539,1195,134,125,150,56
Alcácer do Sal,5258,5334,6123,3105,2450,2674,2314,1359,137,129,142,74
Grândola,5198,6108,6007,2980,2908,3238,2649,1057,158,155,160,59
Odemira,4783,5134,5519,2865,2092,2025,2238,769,122,117,134,43
Santiago do Cacém,7060,6984,8310,3685,3169,3282,3025,1446,159,150,172,58
Sines,7357,6249,8678,4104,2888,2871,2920,1456,141,123,175,61
Baixo Alentejo,5033,5347,5861,3003,2818,2893,2759,855,164,158,169,44
Aljustrel,6269,5802,7509,3323,3119,3456,2955,1197,180,181,180,53
Almodôvar,4982,4857,5842,2795,3304,3508,3142,1084,181,170,190,44
Alvito,4916,5897,5805,2848,3381,3740,3056,939,187,208,168,48
Barrancos,4106,5206,4722,2567,2858,2775,2926,957,178,185,172,46
Beja,5047,5821,5782,3104,2743,2738,2747,693,155,143,165,36
Castro Verde,6428,5381,7892,3086,2810,2964,2693,1307,149,142,154,50
Cuba,4965,5863,5636,3112,2925,2643,3172,815,186,160,208,46
Ferreira do Alentejo,4872,5209,5711,2893,2840,2900,2796,896,163,151,172,46
Mértola,4740,4824,5495,2901,3220,3478,2965,845,189,202,177,51
Moura,4520,5182,5151,2998,2582,2633,2529,696,160,156,165,44
Ourique,4567,4709,5291,2802,2931,3087,2831,1051,178,173,182,52
Serpa,4569,4925,5225,2912,2627,2542,2687,789,156,144,165,46
Vidigueira,4865,4755,5698,2961,2667,3176,2303,718,157,174,144,43
Lezíria do Tejo,5785,6202,6664,3400,2964,3125,2844,1270,163,155,168,65
Almeirim,5182,5719,5949,3018,2479,2520,2451,1207,143,131,151,66
Alpiarça,4988,5598,5735,2996,2994,3053,2954,1101,165,141,182,64
Azambuja,6188,6239,7207,3584,3259,3429,3116,1064,173,165,181,54
Benavente,6269,6620,7279,3661,3063,3351,2855,1359,161,158,164,62
Cartaxo,6534,7005,7574,3700,3420,3600,3259,1297,185,179,191,64
Chamusca,5116,5580,5851,3122,2464,2294,2563,1202,139,123,148,69
Coruche,5313,5648,6135,3147,2681,2977,2515,1344,156,156,156,71
Golegã,5507,5865,6307,3301,3039,3355,2861,1189,179,181,178,64
Rio Maior,5729,6145,6604,3326,3025,3112,2957,1182,170,160,177,62
Salvaterra de Magos,5889,6218,6807,3358,2815,2905,2758,1701,157,144,165,86
Santarém,5852,6368,6673,3542,3031,3128,2944,1178,163,155,170,60
Alto Alentejo,5151,5672,5902,3148,2829,2850,2813,1034,165,158,170,57
Alter do Chão,5097,4970,5891,3130,2336,2111,2617,1119,135,125,147,69
Arronches,4413,5813,5079,2734,3401,3288,3472,1001,184,173,190,55
Avis,5093,5248,5809,2955,2398,2637,2293,1256,150,148,150,72
Campo Maior,5694,6866,6616,3112,3543,3625,3479,894,194,186,201,44
Castelo de Vide,5155,5511,5864,3246,3212,3525,2910,695,199,209,189,42
Crato,5259,6237,5916,3497,3351,2525,3994,1211,195,147,231,72
Elvas,5004,5356,5759,3154,2838,2879,2808,977,165,162,167,55
Fronteira,5307,5429,6067,3066,3093,2968,3194,1109,194,171,212,63
Gavião,5260,5905,6048,3244,2888,2897,2875,1371,158,149,172,67
Marvão,4914,4979,5740,2893,3360,3472,3256,967,202,204,200,59
Monforte,4893,5030,5778,2792,2519,2842,2267,1043,153,176,135,61
Nisa,5228,5444,5907,3519,2667,2554,2761,1209,160,153,165,67
Ponte de Sor,5320,5980,6120,3113,2565,2568,2563,1307,152,142,159,72
Portalegre,5156,5534,5829,3210,2865,2894,2842,902,162,154,169,49
Sousel,4784,5506,5545,2922,2457,2518,2429,1120,156,156,156,66
Alentejo Central,5565,6112,6354,3283,2873,3133,2703,1101,157,155,159,57
Alandroal,5162,5958,5910,3056,2387,2398,2379,1182,140,124,153,68
Arraiolos,5343,5449,6144,3142,3009,3530,2723,1027,158,170,151,58
Borba,5930,5715,6877,3374,2578,3519,2015,1408,143,171,127,76
Estremoz,5563,6062,6368,3324,3239,3612,3024,1287,173,182,168,72
Évora,5770,6570,6511,3433,2992,3212,2837,943,160,159,161,46
Montemor-o-Novo,5499,6312,6282,3214,2932,3062,2841,982,157,147,164,52
Mora,5569,5961,6336,3259,2640,2760,2551,1091,148,145,150,63
Mourão,4934,5480,5663,2872,3258,3780,2807,947,176,194,161,55
Portel,4630,5242,5235,2849,2790,2841,2756,1005,163,150,171,60
Redondo,5112,5455,5946,2979,2675,2557,2725,921,157,137,165,49
Reguengos de Monsaraz,5253,5950,5999,3143,2865,3154,2688,1117,165,161,168,63
Vendas Novas,5838,6257,6714,3443,2755,3184,2461,1791,144,144,145,79
Viana do Alentejo,5101,5695,5814,3168,2612,2733,2555,1108,156,141,163,58
Vila Viçosa,6310,6442,7294,3586,2555,2653,2483,1149,140,123,152,66
Algarve,5649,5819,6493,3328,2225,2291,2174,1079,130,127,132,55
Albufeira,5889,5730,6804,3375,1828,1856,1805,1186,110,108,111,59
Alcoutim,4299,5237,4871,2673,3305,3598,2996,1091,181,168,194,62
Aljezur,4743,5466,5426,2831,2027,1992,2061,1063,126,117,135,54
Castro Marim,5172,5336,5904,3084,2448,2537,2378,1108,150,152,148,61
Faro,6242,6059,7151,3646,2873,3057,2731,1121,156,152,158,52
Lagoa,5677,6106,6472,3431,2076,2110,2053,1043,124,121,127,51
Lagos,5576,5765,6447,3240,2172,2245,2118,1001,131,130,132,53
Loulé,5713,5946,6599,3260,2208,2272,2159,1204,126,121,129,62
Monchique,4639,5360,5195,2905,2761,2955,2615,1262,168,176,162,69
Olhão,5429,5575,6249,3314,2672,2819,2564,982,154,150,156,52
Portimão,6031,6010,6880,3589,2194,2290,2120,974,132,130,133,49
São Brás de Alportel,5053,5714,5801,2975,3196,2910,3385,1112,173,160,181,55
Silves,5333,5820,6127,3194,2280,2317,2251,1164,135,132,137,62
Tavira,5156,5334,5967,3073,2350,2410,2308,946,133,128,136,49
Vila do Bispo,5386,5035,6256,3212,2007,1989,2020,825,118,115,121,46
Vila Real de Santo António,5521,5794,6341,3303,2153,2275,2066,993,132,131,133,55
R. A. Açores,5557,6133,6579,3338,3089,3250,2935,1377,192,200,185,70
Santa Maria,6720,5819,8969,3590,2854,3024,2704,1392,192,208,178,65
Vila do Porto,6720,5819,8969,3590,2854,3024,2704,1392,192,208,178,65
São Miguel,5860,6417,7125,3482,3091,3230,2955,1560,194,202,186,77
Lagoa (R.A.A.),5771,5624,7520,3369,3120,3228,2977,1520,199,205,190,82
Nordeste,4085,5400,4699,2723,3310,3344,3277,846,225,230,219,57
Ponta Delgada,6641,6956,8106,3850,3047,3161,2946,1659,180,185,175,76
Povoação,4360,5232,5097,3022,3356,3584,3142,1951,225,240,210,101
Ribeira Grande,4989,5861,5978,3026,3034,3106,2954,1481,194,197,190,80
Vila Franca do Campo,4640,5822,5197,3243,2941,3411,2555,1139,186,209,166,62
Terceira,5670,5892,6645,3420,3223,3496,2966,1081,190,196,184,55
Angra do Heroísmo,5259,5849,6058,3241,3240,3500,2996,1041,189,196,182,53
Vila da Praia da Vitória,6361,5963,7632,3723,3187,3487,2904,1151,192,196,188,60
Graciosa,4244,4873,4825,2960,3211,3607,2930,1472,210,234,192,93
Santa Cruz da Graciosa,4244,4873,4825,2960,3211,3607,2930,1472,210,234,192,93
São Jorge,4436,5839,5049,2864,3045,3190,2874,918,197,214,178,54
Calheta (R.A.A.),4097,5680,4566,2830,3136,3579,2519,731,207,238,165,51
Velas,4700,5916,5458,2891,3006,3001,3010,1027,193,202,183,56
Pico,4757,5774,5376,2848,2848,2850,2846,1288,179,178,179,69
Lajes do Pico,4647,5731,5338,2696,2962,2889,3007,1395,192,185,197,78
Madalena,4906,6064,5472,2919,2650,2824,2538,1337,160,167,155,65
São Roque do Pico,4618,5236,5231,2955,2997,2829,3090,1097,188,185,190,64
Faial,4984,5680,5699,2901,3004,3105,2884,1284,180,182,179,66
Horta,4984,5680,5699,2901,3004,3105,2884,1284,180,182,179,66
Flores,4988,5573,5736,3201,3085,3228,2954,1670,207,223,192,83
Lajes das Flores,4764,6679,5332,3040,3400,3571,3240,1958,226,229,222,89
Santa Cruz das Flores,5133,5011,5997,3318,2790,2900,2691,1531,189,216,164,81
Corvo,5068,7176,5998,2990,2605,1715,2986,1162,170,126,189,52
Corvo,5068,7176,5998,2990,2605,1715,2986,1162,170,126,189,52
R. A. Madeira,5393,5739,6297,3200,3063,3220,2928,1538,181,182,180,73
Calheta (R.A.M.),4145,4854,4774,2521,3193,3401,2995,1772,199,207,191,89
Câmara de Lobos,4615,5290,5448,2656,2713,2898,2560,1181,168,171,166,65
Funchal,6107,6221,7131,3646,3255,3348,3177,1297,189,186,191,61
Machico,5350,5852,6123,3321,3027,3174,2861,2997,171,164,179,113
Ponta do Sol,4296,5343,4879,2612,2691,2979,2453,1233,169,178,161,77
Porto Moniz,4085,4515,4708,2562,2638,2841,2463,1247,181,196,168,81
Ribeira Brava,4631,5369,5341,2554,2813,2998,2680,1334,175,178,172,74
Santa Cruz,5403,5751,6316,3221,3256,3455,3096,1405,184,187,182,68
Santana,4175,5161,4824,2520,2511,2842,2141,1601,183,203,159,106
São Vicente,4251,4732,4943,2611,2604,2902,2329,1536,176,193,160,105
Porto Santo,6610,6242,7927,3487,2348,2659,2097,1534,157,167,149,67
