,"Total, Total (milhares de euros)","Total, Pensions on 31 Dec. (milhares de euros)","Disability, Total (milhares de euros)","Disability, Pensions on 31 Dec. (milhares de euros)","Old age, Total (milhares de euros)","Old age, Pensions on 31 Dec. (milhares de euros)","Survival , Total (milhares de euros)","Survival , Pensions on 31 Dec. (milhares de euros)"
Moura,21000,20579,1467,1454,15441,15131,4092,3994
Ourique,9367,9123,396,388,7355,7165,1617,1570
Serpa,23385,22863,1763,1742,17531,17127,4091,3994
Vidigueira,9365,9171,623,617,7140,7001,1602,1553
Lezíria do Tejo,472347,463756,41882,41452,358972,352613,71493,69691
Almeirim,40754,40019,3855,3821,30847,30304,6052,5894
Alpiarça,14172,13920,1282,1272,10604,10421,2286,2227
Azambuja,40018,39232,2271,2259,31580,30980,6168,5993
Benavente,50815,50027,4488,4410,38492,37937,7835,7680
Cartaxo,50173,49380,4280,4241,38596,38029,7296,7110
Chamusca,19405,18996,1986,1964,14340,14044,3078,2988
Coruche,43490,42609,2705,2681,33950,33271,6835,6657
Golegã,11901,11626,1284,1278,8824,8616,1792,1732
Rio Maior,39585,38903,4074,4034,29683,29193,5827,5677
Salvaterra de Magos,47833,46991,5689,5627,35411,34779,6733,6585
Santarém,114202,112052,9966,9865,86644,85038,17592,17149
Alto Alentejo,210042,205394,13488,13324,162201,158750,34353,33320
Alter do Chão,6937,6766,422,413,5379,5259,1136,1094
Arronches,4973,4850,349,349,3698,3623,927,878
Avis,8317,8109,367,363,6779,6615,1170,1130
Campo Maior,14490,14216,1071,1066,11300,11104,2120,2046
Castelo de Vide,6377,6140,298,294,5014,4803,1065,1043
Crato,8452,8250,493,492,6396,6228,1563,1530
Elvas,31740,31019,2298,2253,23853,23346,5589,5421
Fronteira,6719,6578,396,396,5388,5273,935,908
Gavião,9694,9478,703,695,7330,7168,1661,1615
Marvão,6280,6083,234,229,5011,4855,1036,1000
Monforte,5744,5530,221,220,4582,4405,941,905
Nisa,15068,14767,697,691,11577,11340,2794,2737
Ponte de Sor,33708,33112,2942,2894,25588,25180,5178,5039
Portalegre,41927,41133,2496,2476,32893,32321,6538,6337
Sousel,9616,9361,501,493,7414,7231,1701,1636
Alentejo Central,313159,306564,27470,27192,239374,234420,46315,44952
Alandroal,12069,11761,1281,1273,8906,8681,1882,1807
Arraiolos,14025,13690,954,946,10998,10731,2073,2013
Borba,17653,17256,1846,1821,13452,13161,2355,2273
Estremoz,28334,27663,2237,2207,21746,21236,4351,4221
Évora,93312,91564,8074,7976,71799,70521,13439,13068
Montemor-o-Novo,35371,34556,2752,2715,27331,26747,5288,5094
Mora,12141,11906,984,977,9453,9275,1704,1654
Mourão,4007,3868,422,419,2990,2872,595,578
Portel,10839,10582,1132,1124,8014,7832,1692,1626
Redondo,12325,12039,1075,1058,9329,9110,1922,1872
Reguengos de Monsaraz,19676,19185,1880,1873,14735,14366,3061,2945
Vendas Novas,24877,24374,1839,1825,19249,18837,3788,3711
Viana do Alentejo,9599,9406,849,837,7163,7022,1587,1547
Vila Viçosa,18931,18715,2145,2142,14208,14029,2578,2544
Algarve,675735,663756,40483,39830,534050,525184,101201,98742
Albufeira,53710,52896,3283,3253,42813,42211,7615,7432
Alcoutim,5357,5182,246,246,4224,4079,887,856
Aljezur,7413,7209,492,478,5752,5607,1169,1124
Castro Marim,10954,10752,400,386,8904,8745,1650,1621
Faro,102199,100494,5253,5175,82442,81127,14503,14192
Lagoa,35071,34410,2558,2530,27143,26637,5369,5242
Lagos,44410,43563,2779,2727,34957,34370,6674,6465
Loulé,99124,97442,5435,5314,79262,78048,14428,14080
Monchique,9710,9487,600,594,7611,7435,1499,1459
Olhão,63252,62052,4215,4135,48835,47989,10202,9928
Portimão,95819,94124,6539,6451,75601,74307,13680,13366
São Brás de Alportel,14481,14247,874,850,11364,11218,2243,2180
Silves,57667,56633,4027,3987,44517,43711,9123,8934
Tavira,37951,37269,1696,1648,30128,29647,6127,5974
Vila do Bispo,8251,8087,423,415,6531,6412,1298,1259
Vila Real de Santo António,30364,29910,1663,1642,23968,23638,4734,4630
R. A. Açores,292103,286492,46377,45757,193867,190236,51859,50499
Santa Maria,7035,6929,1012,1000,4816,4757,1206,1172
Vila do Porto,7035,6929,1012,1000,4816,4757,1206,1172
São Miguel,144935,142148,26514,26159,91320,89627,27102,26362
Lagoa (R.A.A.),14496,14203,2480,2425,9129,8962,2887,2816
Nordeste,4212,4096,437,427,2824,2748,950,922
Ponta Delgada,87889,86418,16166,15984,56598,55709,15126,14726
Povoação,5105,4926,816,805,3002,2886,1287,1235
Ribeira Grande,25127,24572,5275,5195,14856,14517,4996,4860
Vila Franca do Campo,8106,7932,1339,1323,4912,4806,1855,1803
Terceira,80945,79432,10169,10043,57389,56318,13388,13071
Angra do Heroísmo,47078,46175,6305,6229,32798,32176,7974,7770
