,"No., Visitors per museum, Museums","%, Ratio of school visitors, Museums","€, Local administration total expenditure on cultural and creative activities per inhabitant, Museums","€, Local administration total expenditure on sports activities and equipments per inhabitant, Museums","%, Local administration expenditure on culture and sports as share of total expenditures, Museums"
Celorico da Beira,//,//,46.8,19.2,4.7
Covilhã,13723,18.6,44.6,18.3,8.8
Figueira de Castelo Rodrigo,//,//,178.1,21.2,10.9
Fornos de Algodres,//,//,32,27.5,4.3
Fundão,1792,28.7,52.5,27.5,4.9
Gouveia,2030,48.4,46.9,45.9,8.5
Guarda,20519,8.4,46.4,36.4,8.3
Manteigas,//,//,93.6,88.1,11.7
Mêda,//,//,37,21.8,3.4
Pinhel,//,//,289,29.6,20
Sabugal,4443,7.4,102.1,45,9.2
Seia,25882,12.9,77.7,39.4,7.1
Trancoso,11333,6.9,129.4,51.2,14.7
A. M. Lisboa,108340,8.6,42.5,16,7.2
Alcochete,…,34.6,27.3,29.3,5.9
Almada,…,37.7,42.6,20.9,11.5
Amadora,3610,51.3,19.3,6.6,5.6
Barreiro,//,//,17.9,15.6,4.6
Cascais,20285,11.5,35.5,29.6,6.7
Lisboa,120038,8.4,117.9,11.1,8
Loures,6679,9.9,15.5,8,4.2
Mafra,185553,40.8,27.7,27.6,5.4
Moita,//,//,25.4,14.4,9
Montijo,9999,13.8,26.5,8.2,6
Odivelas,//,//,13.4,11.1,5.5
Oeiras,5473,62.7,19.3,14.6,3.7
Palmela,18637,43.6,78.9,6.5,11.2
Seixal,28184,38.5,20.4,42.5,8.6
Sesimbra,206312,2.5,41.9,20.4,6.4
Setúbal,18922,23.8,57.4,27.1,10.6
Sintra,276783,3.5,12,7.2,4.8
Vila Franca de Xira,19784,38.6,35.4,19.9,10.4
Alentejo,15938,11.2,92.2,47.3,11.6
Alentejo Litoral,4922,13.6,88.3,57.9,10.8
Alcácer do Sal,…,…,210.9,96.2,20.1
Grândola,…,…,163.1,120.1,14.9
Odemira,//,//,39.1,24.5,5.3
Santiago do Cacém,4865,13.8,48.2,38.8,9.2
Sines,5951,14.7,76.5,58.7,7.8
Baixo Alentejo,10108,11.8,138.7,53.3,14.5
Aljustrel,2497,21.9,207.2,100.2,21.1
Almodôvar,//,//,141.7,62.2,10.4
Alvito,//,//,104.9,109.8,10.2
Barrancos,…,11.1,264.8,57.5,12.4
Beja,15376,9.1,89.3,32.3,16.1
Castro Verde,…,…,191.4,94.4,17.9
Cuba,//,//,167.4,19.6,14.6
Ferreira do Alentejo,5863,10.8,64,22.4,6.2
Mértola,42900,8.5,188.4,59.2,10.1
Moura,6276,34.7,90,46.4,11.6
Ourique,//,//,126.6,22.8,7
Serpa,15796,5.2,212.1,69.9,23.2
Vidigueira,2037,…,211.1,87.3,20.9
Lezíria do Tejo,6258,21.2,47.5,39.9,10
Almeirim,…,80,39.5,69.3,9.4
Alpiarça,11503,9.5,75.7,46.7,7.8
Azambuja,1312,…,39.8,29.2,7.4
Benavente,3931,48.3,41.5,48,15.5
Cartaxo,2702,…,16.1,22.2,5.6
Chamusca,//,//,69.3,40.8,8
Coruche,8692,16.9,40.5,56.4,8.6
Golegã,3967,32.1,42.1,18.5,4.5
Rio Maior,//,//,76.5,46.9,12.4
Salvaterra de Magos,//,//,80.6,40.7,19.8
Santarém,…,…,43,29,9.6
Alto Alentejo,6649,9.8,118.6,52.7,12.1
Alter do Chão,//,//,304.1,66.4,17.1
Arronches,//,//,91.8,81,8.6
Avis,2393,14.3,174.5,54.9,12.2
Campo Maior,…,…,60.4,52.3,8.1
Castelo de Vide,//,//,276.8,166.6,22.5
Crato,…,…,207.3,67.5,10.9
Elvas,8160,6.1,162.1,16.8,16.5
Fronteira,1015,16.2,145.2,56.8,11.1
Gavião,6483,4,100.6,11.7,5.3
Marvão,…,…,58.2,4.2,3.1
Monforte,1047,12.2,148.4,69,9.4
Nisa,2395,3.2,154.5,89.3,14.7
Ponte de Sor,//,//,78.9,84.3,13.3
Portalegre,6387,12.8,65,26.6,11.5
Sousel,1730,24.2,52.6,127.1,8.9
Alentejo Central,37933,10.2,110.6,44,11.1
Alandroal,//,//,115.2,32.1,7.1
Arraiolos,7944,…,114.8,64.5,12
Borba,//,//,72.6,23.3,8.8
Estremoz,…,…,121.8,18.2,11.1
Évora,93458,6.7,54.6,11.7,4.9
Montemor-o-Novo,…,…,171.7,67,18.2
Mora,…,…,129.3,53.8,10.6
Mourão,9939,9.6,175.4,96.5,6.4
Portel,//,//,194.6,110.6,15.8
Redondo,1729,8.7,161.4,36.6,14
Reguengos de Monsaraz,13126,1.1,73.3,119,10.9
Vendas Novas,//,//,20.3,76.6,11.2
Viana do Alentejo,//,//,640.4,64.6,54.8
Vila Viçosa,23494,15.5,65.4,41.6,15.9
Algarve,39235,6.4,84.1,67.5,10.9
Albufeira,//,//,72,128.7,9.8
Alcoutim,15063,3.4,361.3,159.2,13.5
Aljezur,1662,0,95.2,77.7,8
Castro Marim,//,//,144.4,59.6,8.8
Faro,22250,16.7,42.3,34.7,11.6
Lagoa,//,//,123.3,127.2,15.2
Lagos,…,…,130.8,101.2,13.9
Loulé,…,…,134.4,88,10.5
Monchique,//,//,68.2,83.3,7.4
Olhão,2221,50.4,40,18.8,8.7
Portimão,81736,8.3,30.2,21.5,5.2
São Brás de Alportel,…,…,113.3,100.1,17.5
Silves,14256,4.1,95.6,52.9,14
Tavira,125425,2.1,126.4,46.7,15.2
Vila do Bispo,14889,0.8,64.8,19.5,3.5
Vila Real de Santo António,//,//,62.5,123.2,13.4
R. A. Açores,16193,16.2,57,19.1,9
Santa Maria,…,7.7,61.7,46.7,10.1
Vila do Porto,…,7.7,61.7,46.7,10.1
São Miguel,13382,29,43.6,19,7.4
Lagoa (R.A.A.),…,…,25.8,8.5,4.2
Nordeste,//,//,39,16.7,4.9
Ponta Delgada,39376,26.7,43.3,22.2,10.5
Povoação,//,//,35,28.7,5.2
Ribeira Grande,4110,15.3,46.6,19.4,10.2
Vila Franca do Campo,…,…,66.6,7.9,3
Terceira,27267,16.6,56.7,10.7,12.3
Angra do Heroísmo,27267,16.6,72.5,10.6,14.7
Vila da Praia da Vitória,//,//,31.5,10.9,8.2
Graciosa,5190,…,125.8,55.2,15.4
Santa Cruz da Graciosa,5190,…,125.8,55.2,15.4
São Jorge,7352,35.5,84.3,11.5,7.6
Calheta (R.A.A.),7352,35.5,65.8,8.1,4.4
Velas,//,//,95.9,13.7,11
Pico,64905,0.2,135.3,18.5,11.4
Lajes do Pico,64905,0.2,121.4,22.8,10.3
Madalena,//,//,98.7,12.8,8.3
São Roque do Pico,//,//,220.4,23,19.3
Faial,19506,6.1,72.9,37.2,13.5
Horta,19506,6.1,72.9,37.2,13.5
Flores,3490,4,63.6,13.6,4.4
Lajes das Flores,//,//,47.6,16.1,2.6
Santa Cruz das Flores,3490,4,74.4,11.9,7
Corvo,//,//,45.3,1.6,1.1
Corvo,//,//,45.3,1.6,1.1
R. A. Madeira,11841,15,34.7,12.6,6.4
Calheta (R.A.M.),22120,20.5,48.9,27.3,7.8
Câmara de Lobos,7601,14.6,27.3,12.6,7.5
Funchal,10760,14.3,39.4,8.1,5.9
Machico,14047,7.5,34.4,19.7,10.6
Ponta do Sol,//,//,86.3,35,17.2
Porto Moniz,//,//,158.3,137.1,11.7
Ribeira Brava,9358,54.8,13.5,13.2,3.5
Santa Cruz,//,//,7.1,3.4,1.9
Santana,//,//,14,14,3
São Vicente,//,//,78.1,38.7,9.5
Porto Santo,16842,3.7,93.8,5.4,8.1
