,"Docentes, Educação pré-escolar, Total (N.º)","Docentes, Educação pré-escolar, Público (N.º)","Docentes, Educação pré-escolar, Privado  (N.º)","Docentes, 1º ciclo do ensino básico, Total (N.º)","Docentes, 1º ciclo do ensino básico, Público (N.º)","Docentes, 1º ciclo do ensino básico, Privado  (N.º)","Docentes, 2º ciclo do ensino básico, Total (N.º)","Docentes, 2º ciclo do ensino básico, Público (N.º)","Docentes, 2º ciclo do ensino básico, Privado  (N.º)"
Oliveira de Frades,15,12,3,25,25,0,26,26,0
Penalva do Castelo,10,10,0,23,23,0,21,21,0
Santa Comba Dão,14,12,2,26,26,0,23,23,0
São Pedro do Sul,31,27,4,46,46,0,38,38,0
Sátão,24,22,2,38,38,0,25,25,0
Tondela,42,37,5,62,62,0,62,62,0
Vila Nova de Paiva,10,10,0,16,16,0,18,18,0
Viseu,216,151,65,389,359,30,300,281,19
Vouzela,19,18,1,31,31,0,32,32,0
Beira Baixa,130,77,53,226,213,13,181,181,0
Castelo Branco,91,50,41,160,147,13,131,131,0
Idanha-a-Nova,15,11,4,21,21,0,12,12,0
Oleiros,6,4,2,10,10,0,10,10,0
Penamacor,4,2,2,8,8,0,9,9,0
Proença-a-Nova,10,6,4,18,18,0,10,10,0
Vila Velha de Ródão,4,4,0,9,9,0,9,9,0
Médio Tejo,381,279,102,684,651,33,464,426,38
Abrantes,49,34,15,87,86,1,62,62,0
Alcanena,24,18,6,35,35,0,25,25,0
Constância,10,10,0,29,29,0,13,13,0
Entroncamento,43,31,12,77,63,14,58,51,7
Ferreira do Zêzere,12,10,2,17,17,0,17,17,0
Mação,7,7,0,9,9,0,17,17,0
Ourém,67,50,17,131,127,4,85,56,29
Sardoal,5,5,0,10,10,0,14,14,0
Sertã,24,16,8,39,39,0,22,20,2
Tomar,58,43,15,104,95,9,49,49,0
Torres Novas,59,35,24,116,111,5,77,77,0
Vila de Rei,7,6,1,11,11,0,6,6,0
Vila Nova da Barquinha,16,14,2,19,19,0,19,19,0
Beiras e Serra da Estrela,366,232,134,579,567,12,439,423,16
Almeida,12,12,0,13,13,0,12,12,0
Belmonte,13,8,5,17,17,0,9,9,0
Celorico da Beira,14,7,7,15,15,0,14,14,0
Covilhã,73,44,29,123,117,6,109,99,10
Figueira de Castelo Rodrigo,12,7,5,18,18,0,12,12,0
Fornos de Algodres,7,7,0,9,9,0,14,14,0
Fundão,43,25,18,77,77,0,49,45,4
Gouveia,23,15,8,38,38,0,30,30,0
Guarda,72,42,30,115,109,6,76,76,0
