,"Place of parturition, Total (N.º)","Place of parturition, Domicile (N.º)","Place of parturition, Hospital establishment (N.º)","Place of parturition, Another place (N.º)"
Alter do Chão,21,0,21,0
Arronches,15,0,15,0
Avis,28,0,28,0
Campo Maior,65,2,62,1
Castelo de Vide,16,0,16,0
Crato,9,0,8,1
Elvas,159,2,155,2
Fronteira,12,1,11,0
Gavião,14,0,14,0
Marvão,24,3,21,0
Monforte,18,1,17,0
Nisa,20,1,19,0
Ponte de Sor,88,2,85,1
Portalegre,155,1,153,1
Sousel,37,1,34,2
Alentejo Central,1122,20,1084,18
Alandroal,32,9,18,5
Arraiolos,46,0,46,0
Borba,51,1,49,1
Estremoz,107,2,104,1
Évora,421,1,418,2
Montemor-o-Novo,105,2,101,2
Mora,13,0,13,0
Mourão,30,0,30,0
Portel,43,2,40,1
Redondo,47,1,44,2
Reguengos de Monsaraz,85,1,83,1
Vendas Novas,64,0,62,2
Viana do Alentejo,31,0,31,0
Vila Viçosa,47,1,45,1
Algarve,4079,86,3975,18
Albufeira,445,6,438,1
Alcoutim,7,0,7,0
Aljezur,46,12,34,0
Castro Marim,46,0,46,0
Faro,589,1,587,1
Lagoa,223,1,222,0
Lagos,254,20,233,1
Loulé,682,17,663,2
Monchique,36,3,32,1
Olhão,357,1,352,4
Portimão,582,10,565,7
São Brás de Alportel,98,0,98,0
Silves,318,1,317,0
Tavira,200,2,197,1
Vila do Bispo,57,9,48,0
Vila Real de Santo António,139,3,136,0
R. A. Açores,2017,18,1958,41
Santa Maria,54,0,53,1
Vila do Porto,54,0,53,1
São Miguel,1211,8,1167,36
Lagoa (R.A.A.),136,0,132,4
Nordeste,26,1,25,0
Ponta Delgada,610,5,579,26
Povoação,45,0,42,3
Ribeira Grande,324,1,321,2
Vila Franca do Campo,70,1,68,1
Terceira,424,4,419,1
Angra do Heroísmo,256,3,252,1
Vila da Praia da Vitória,168,1,167,0
Graciosa,30,1,29,0
Santa Cruz da Graciosa,30,1,29,0
São Jorge,55,1,54,0
Calheta (R.A.A.),20,0,20,0
Velas,35,1,34,0
Pico,101,2,96,3
Lajes do Pico,31,0,31,0
Madalena,47,2,44,1
São Roque do Pico,23,0,21,2
Faial,109,0,109,0
Horta,109,0,109,0
Flores,29,2,27,0
Lajes das Flores,7,0,7,0
Santa Cruz das Flores,22,2,20,0
Corvo,4,0,4,0
Corvo,4,0,4,0
R. A. Madeira,1727,17,1705,5
Calheta (R.A.M.),64,4,60,0
Câmara de Lobos,271,4,266,1
Funchal,712,2,710,0
Machico,110,0,109,1
Ponta do Sol,61,5,56,0
Porto Moniz,10,0,9,1
Ribeira Brava,89,0,88,1
Santa Cruz,328,2,326,0
Santana,28,0,28,0
São Vicente,21,0,20,1
Porto Santo,33,0,33,0
