,Total (€),"Level of education, Below basic education  (€)","Level of education, Basic education - 1st cycle (€)","Level of education, Basic education - 2nd cycle (€)","Level of education, Basic education - 3rd cycle (€)","Level of education, Secondary (€)","Level of education, Short cycle professional course (€)","Level of education, Bachelor degree (€)","Level of education, Graduate degree (€)","Level of education, Masters  degree (€)","Level of education, PhD (€)"
Sousel,1023.29,…,886.58,981.89,913.66,1064.07,//,1274.05,1508.35,1390.13,//
Alentejo Central,1127.29,835.6,919.51,946.02,993.59,1068.66,998.29,1675.72,1616.76,1879.99,2191.2
Alandroal,1020.1,684.08,886.75,949.33,876.86,1028.76,…,1313.01,1880.56,1994.18,…
Arraiolos,1045.33,828.12,892.19,946.12,978.7,987.59,866.25,1149.39,1648.34,1457.85,2057.77
Borba,1016.04,…,906.58,935.81,943.73,987.98,//,2022.98,1479.87,1249.54,//
Estremoz,1050.42,774.15,895.55,940.33,972.34,1025.5,…,1395.2,1399.39,1686.73,…
Évora,1215.56,865.4,933.4,952.91,1020.53,1108.95,1024.98,1692.83,1713.79,2017.85,2598.12
Montemor-o-Novo,1036.09,867.12,945.1,951.76,984.9,979.76,…,1877.58,1375.56,1557.34,2017.14
Mora,1028.81,901.23,867.7,864.7,1014.33,1047.56,…,1063.17,1440.31,1590.77,//
Mourão,1001.76,…,847.09,869.5,921.71,998.79,…,//,1363.12,1600.34,//
Portel,1026.46,…,919.44,883.63,945.15,1039.42,//,1101.15,1514.79,1847.11,//
Redondo,1054.99,…,883.35,934.05,1007.64,984.63,…,2300.63,1559.95,2095.65,…
Reguengos de Monsaraz,1059.26,823.34,826.42,935.41,944.66,1129.06,//,1454.84,1490.73,1448.79,//
Vendas Novas,1080.51,784.48,955.55,924.66,992.53,1035.93,…,1945.15,1655.14,1579.83,…
Viana do Alentejo,968.17,…,862.65,818.46,914.84,965.08,//,2328.03,1206.44,1440.88,//
Vila Viçosa,1119.09,903.25,1073.8,1100.24,1025.02,1107.36,…,1582.33,1425.25,1358.55,1319.9
Algarve,1106.32,831.73,942.77,965.41,976.48,1082.78,999.51,1615.66,1545.91,1844.77,2411.79
Albufeira,1092.27,774.24,953.41,999.09,1002.5,1087.27,865.23,1555.95,1470.41,1837.36,…
Alcoutim,925.49,//,849.14,829.76,802.54,931.61,//,…,1323.62,…,//
Aljezur,970.58,…,834.93,874.89,897.96,989.08,//,1037.88,1234.63,2136.64,…
Castro Marim,938.4,824.65,849.11,857.67,885.22,919.77,…,1350.53,1332.47,…,…
Faro,1257.8,816.55,945.15,978.72,1042.84,1169.78,1093.68,1794.41,1675.19,1983.35,2691.59
Lagoa,1113.22,893.76,988.27,1038.52,1015.96,1094.63,…,1793.9,1448.23,1652.2,2259.13
Lagos,1056.61,859.02,936.55,946.68,965.46,1050.96,843.7,1428.32,1464.46,1485.85,…
Loulé,1114.22,836.12,986.62,1018.05,996.29,1107.43,1078.65,1664.22,1511.68,1872.08,1712.75
Monchique,933.36,784.95,798.56,853.38,826.31,918.1,…,1777.15,1461.38,1423.11,//
Olhão,1039.66,939.45,919.14,912.86,941.96,1016.49,…,1408.79,1483.07,1549.38,2064.74
Portimão,1102.08,833.4,928.39,941.52,949.13,1072.82,928.43,1639.33,1534.71,2099.38,3142.34
São Brás de Alportel,1032.38,691.33,936.76,914.71,887.17,1003.6,//,1267.56,1460.05,1619.19,…
Silves,1050.39,874.64,928.92,926.76,933.38,1043.2,1082.16,1641.7,1538.28,1909.07,2084.25
Tavira,1007.41,835.05,888.26,911.48,899.87,991.09,1370.36,1445.78,1458.74,1370.12,2085.34
Vila do Bispo,1010.22,…,965.79,975.86,962.32,993.03,//,1139.78,1427.89,1042.18,//
Vila Real de Santo António,1027.15,818.46,881.94,889.45,923.67,1032.11,…,1378.95,1750.42,1428.61,//
R. A. Açores,1126.12,882.73,963.88,995.58,955.74,1072.21,1194.12,2030.07,1826.35,2014.32,2133.3
Santa Maria,1821.09,…,1057.5,969.71,1069.13,2015.69,2496.67,4713.83,4866.84,1847.27,//
Vila do Porto,1821.09,…,1057.5,969.71,1069.13,2015.69,2496.67,4713.83,4866.84,1847.27,//
São Miguel,1115.36,889.36,926.94,1016.89,945.95,1059.09,1207.26,2140.1,1810.64,1832.96,2131.19
Lagoa (R.A.A.),980.73,847.25,849.39,853.6,874.56,943.81,1366.66,1505.28,1540.5,1600.25,2523.3
Nordeste,907.28,935.15,911.92,826.14,853.64,876.18,//,//,1300.81,1356.5,…
Ponta Delgada,1181.37,840.57,945.38,1125.97,964.71,1091.95,1203.56,2232.73,1860.92,1855.72,2160.92
Povoação,971.52,771.79,881.56,874.94,982.69,895.92,…,…,1529.26,1627.11,//
Ribeira Grande,1063.01,979.66,954.74,935.7,952.72,1045.59,1117.49,1854.65,1842.98,1957.41,…
Vila Franca do Campo,906.26,832.6,839.32,832.9,845.07,940.32,801.12,1600.97,1515.03,1526.24,…
Terceira,1121.34,868.85,986.21,950.38,954.47,1031.9,1057.57,1732.82,1743.14,2718.78,2453.01
Angra do Heroísmo,1133.93,897.65,982.57,949.87,934.32,1001.86,1101.48,1670.65,1753.77,2940.46,2599.48
Vila da Praia da Vitória,1094.21,836.59,992.27,951.71,996.31,1085.6,1010.74,1919.34,1704.92,1581.49,…
Graciosa,1103.91,…,1005.03,952.67,1000.18,1202.35,…,…,1628.35,…,//
Santa Cruz da Graciosa,1103.91,…,1005.03,952.67,1000.18,1202.35,…,…,1628.35,…,//
São Jorge,1011.03,922.09,995.34,946.5,944.18,992.15,987.15,1439.2,1354.5,1758.13,//
Calheta (R.A.A.),942.07,…,840,918.23,883.63,925.36,…,1130.31,1328.21,1368.68,//
