,Total (N.º),"Level of education, Below basic education  (N.º)","Level of education, Basic education - 1st cycle (N.º)","Level of education, Basic education - 2nd cycle (N.º)","Level of education, Basic education - 3rd cycle (N.º)","Level of education, Secondary (N.º)","Level of education, Short cycle professional course (N.º)","Level of education, Bachelor degree (N.º)","Level of education, Graduate degree (N.º)","Level of education, Masters  degree (N.º)","Level of education, PhD (N.º)"
Santa Comba Dão,1686,…,188,246,404,501,…,19,245,68,…
São Pedro do Sul,2022,…,207,336,607,608,…,15,223,11,0
Sátão,1431,…,171,268,401,443,…,9,116,16,0
Tondela,5318,9,457,668,1258,1839,3,85,834,142,10
Vila Nova de Paiva,473,5,38,89,163,118,0,5,50,5,0
Viseu,22417,96,1352,2489,5663,7274,18,372,4579,492,48
Vouzela,1515,…,116,250,426,493,0,…,190,28,0
Beira Baixa,13285,51,1111,1474,3487,4312,11,242,2271,296,18
Castelo Branco,9727,30,742,1037,2507,3259,…,182,1709,228,…
Idanha-a-Nova,852,…,106,82,246,220,0,19,152,10,…
Oleiros,650,5,64,104,191,218,0,11,52,5,0
Penamacor,313,3,44,41,82,97,0,6,36,4,0
Proença-a-Nova,930,0,92,137,269,237,…,…,170,16,0
Vila Velha de Ródão,813,…,63,73,192,281,0,…,152,33,0
Médio Tejo,40505,172,3065,4574,11338,14280,31,575,5718,674,30
Abrantes,4931,7,432,478,1392,1712,5,88,721,84,8
Alcanena,3301,5,209,405,908,1151,0,52,518,50,0
Constância,838,…,62,95,220,316,0,…,112,19,0
Entroncamento,2888,3,86,179,835,1208,4,49,470,54,0
Ferreira do Zêzere,1600,49,172,245,421,520,0,…,149,19,…
Mação,853,…,94,101,295,265,…,5,82,7,0
Ourém,11037,76,1064,1467,2996,3415,11,160,1608,214,4
Sardoal,271,…,35,37,77,84,…,…,29,…,0
Sertã,2156,…,191,208,586,859,…,35,233,32,5
Tomar,5151,6,302,574,1337,2011,…,59,757,89,…
Torres Novas,6461,14,341,686,1962,2348,…,91,918,88,…
Vila de Rei,527,…,43,52,157,193,0,…,73,…,0
Vila Nova da Barquinha,491,0,34,47,152,198,0,…,48,8,…
Beiras e Serra da Estrela,34693,104,3202,4144,9385,10688,34,649,5653,777,30
Almeida,785,…,70,88,303,239,0,11,70,…,0
Belmonte,1039,12,155,183,255,274,0,15,122,23,0
Celorico da Beira,1004,…,169,159,292,269,0,6,93,9,…
Covilhã,7323,15,531,904,1732,2401,5,177,1321,223,10
Figueira de Castelo Rodrigo,630,…,86,95,217,123,…,…,88,5,0
Fornos de Algodres,603,…,123,80,169,158,0,…,59,…,0
Fundão,5034,24,396,532,1273,1640,20,76,912,149,5
Gouveia,1483,9,188,212,382,424,…,23,208,32,…
Guarda,8966,22,552,794,2488,2917,…,214,1744,222,…
Manteigas,554,0,55,70,137,172,…,13,91,…,…
Mêda,484,0,63,100,117,123,0,6,71,4,0
Pinhel,1054,3,185,155,310,250,0,13,129,9,0
Sabugal,1164,…,132,98,400,330,0,17,160,22,…
Seia,3125,6,364,477,801,1007,…,37,387,41,…
Trancoso,1445,…,133,197,509,361,…,…,198,16,…
A. M. Lisboa,708948,1477,31203,43605,143235,237441,558,16678,190956,37545,3926
Alcochete,4251,20,256,377,1136,1712,…,61,579,65,…
Almada,19980,44,1003,1555,5046,7118,24,324,3887,654,266
Amadora,32216,79,1693,1955,6698,10005,10,834,8387,1793,695
Barreiro,7506,16,368,560,2219,2772,4,84,1302,161,5
Cascais,34305,89,1560,2490,8533,12683,35,826,6979,932,105
Lisboa,312671,470,9425,11390,41459,99831,248,8599,112931,24665,2237
Loures,42910,137,3616,4869,11680,14142,32,980,6315,978,45
Mafra,17053,33,1263,2506,5573,5663,18,136,1619,197,10
Moita,4526,14,270,573,1567,1502,…,49,466,72,…
Montijo,9010,61,655,920,2970,3015,3,97,1095,151,8
Odivelas,15363,29,1002,1347,4563,6017,12,206,1882,247,16
Oeiras,74096,138,2582,2971,10858,23182,77,2184,27170,4423,401
Palmela,20292,23,882,1836,7203,7375,8,340,2232,328,12
Seixal,16281,42,976,1513,5070,6238,8,219,1893,271,17
Sesimbra,5044,32,587,592,1574,1720,…,42,426,57,…
Setúbal,18511,44,980,1657,5336,6936,22,413,2714,340,17
Sintra,52003,144,2922,4487,15003,18999,36,932,7662,1625,66
Vila Franca de Xira,22930,62,1163,2007,6747,8531,10,352,3417,586,18
Alentejo,131584,677,11167,15950,37279,44621,103,1600,17317,2174,137
Alentejo Litoral,23469,179,1791,3144,6543,8308,13,222,2582,316,15
Alcácer do Sal,1910,28,245,264,528,590,0,13,206,29,5
Grândola,2148,7,151,218,605,833,…,23,238,40,…
Odemira,9080,109,742,1613,2749,2798,…,…,671,81,…
Santiago do Cacém,4779,23,363,611,1226,1708,…,…,727,62,…
Sines,5552,12,290,438,1435,2379,…,88,740,104,…
Baixo Alentejo,19219,109,1713,2270,5791,6065,26,254,2626,281,20
Aljustrel,1595,13,138,180,534,487,0,23,197,…,…
Almodôvar,775,8,79,63,227,303,3,4,83,5,0
Alvito,195,0,22,37,63,54,0,0,…,…,0
Barrancos,170,0,12,43,50,47,…,…,…,…,0
Beja,7009,22,443,803,2031,2161,…,94,1270,134,…
Castro Verde,2740,…,239,312,791,962,0,62,339,25,…
Cuba,357,…,40,19,97,132,…,4,50,8,0
Ferreira do Alentejo,1118,18,163,186,323,247,0,…,124,24,…
Mértola,755,…,111,89,192,278,0,…,73,4,0
Moura,1622,…,156,201,464,553,…,27,182,13,…
Ourique,577,3,89,65,186,178,0,4,46,6,0
Serpa,1690,5,140,217,637,490,4,15,159,18,0
Vidigueira,616,7,81,55,196,173,4,6,71,22,0
Lezíria do Tejo,44251,220,3537,5104,12575,15563,22,593,5788,707,42
Almeirim,3173,…,409,335,908,999,…,37,418,33,…
Alpiarça,986,…,109,112,270,341,…,8,122,7,…
Azambuja,7986,11,380,583,1843,4092,…,134,812,115,…
Benavente,6185,24,536,920,1950,1860,…,81,661,110,…
Cartaxo,2496,…,163,300,785,819,…,38,334,38,…
Chamusca,1400,…,153,215,440,372,0,17,173,21,…
Coruche,2487,23,317,373,782,671,…,26,244,35,…
Golegã,795,…,82,76,229,275,0,10,98,20,…
Rio Maior,4319,24,381,602,1293,1343,4,44,522,86,4
Salvaterra de Magos,2632,…,270,425,784,851,…,22,243,19,…
Santarém,11792,59,737,1163,3291,3940,6,176,2161,223,9
Alto Alentejo,15648,65,1699,2166,4515,4637,17,267,1997,242,25
Alter do Chão,413,…,52,73,120,106,…,…,52,…,0
Arronches,366,…,45,67,107,82,…,…,…,…,…
Avis,722,…,101,103,233,204,…,9,…,…,…
Campo Maior,2163,…,178,251,549,736,…,68,327,41,…
Castelo de Vide,467,…,49,67,170,124,0,3,49,…,0
Crato,279,…,39,40,95,69,0,…,…,…,0
Elvas,2647,14,300,321,793,801,…,34,313,46,…
Fronteira,349,…,46,66,123,68,0,…,35,6,0
Gavião,324,…,45,40,124,74,0,…,27,…,0
Marvão,403,…,41,80,115,98,0,…,60,…,0
Monforte,480,…,69,66,118,126,…,6,75,12,…
Nisa,587,5,72,111,167,157,0,12,59,4,0
Ponte de Sor,2222,11,263,321,648,659,…,33,240,37,…
Portalegre,3589,…,308,490,932,1151,…,74,550,70,…
Sousel,637,…,91,70,221,182,0,6,55,…,0
Alentejo Central,28997,104,2427,3266,7855,10048,25,264,4324,628,35
Alandroal,536,…,117,102,156,98,…,3,47,5,…
Arraiolos,1093,6,165,169,293,308,…,7,111,25,…
Borba,888,…,74,133,256,325,0,5,88,…,0
Estremoz,2442,…,192,279,650,948,…,33,299,32,…
Évora,13625,34,717,1154,3284,5260,11,124,2570,441,20
Montemor-o-Novo,2807,18,331,400,795,860,…,29,348,20,…
Mora,678,…,131,102,185,163,…,3,81,8,0
Mourão,237,…,47,30,50,66,…,0,38,…,0
Portel,579,…,73,84,183,166,0,4,63,…,0
Redondo,750,…,102,111,235,204,…,9,79,…,…
Reguengos de Monsaraz,1303,5,149,175,437,335,0,15,162,23,0
Vendas Novas,2109,13,124,273,735,695,…,…,223,23,…
Viana do Alentejo,668,…,61,78,215,217,0,…,75,18,0
Vila Viçosa,1282,…,144,176,381,403,…,10,140,16,3
Algarve,103302,505,7514,9844,31530,36754,61,1436,13525,1408,118
Albufeira,14299,71,1028,1428,4304,5593,…,204,1404,156,…
Alcoutim,300,0,45,…,105,90,0,…,38,…,0
Aljezur,991,…,66,127,334,345,0,14,86,…,…
Castro Marim,1000,9,96,…,301,348,…,12,92,…,…
Faro,16462,132,952,1328,3904,5595,6,297,3648,454,60
Lagoa,6053,25,471,548,1908,2189,…,95,718,61,…
Lagos,7511,50,467,846,2435,2697,…,99,814,72,…
Loulé,21546,78,1564,1765,7075,7956,10,265,2495,208,17
Monchique,588,4,65,78,186,172,…,…,56,7,0
Olhão,5777,29,585,612,1766,1920,…,79,657,87,…
Portimão,12985,46,813,1118,4120,4497,13,194,1913,169,8
São Brás de Alportel,1499,…,115,187,434,491,0,18,220,23,…
Silves,5119,18,485,607,1710,1609,7,37,537,73,8
Tavira,4622,26,413,506,1399,1603,6,63,508,50,5
Vila do Bispo,1051,…,72,168,393,310,0,…,73,15,0
Vila Real de Santo António,3499,…,277,374,1156,1339,…,35,266,19,0
R. A. Açores,40287,209,3660,6373,12565,11509,205,231,4835,635,65
Santa Maria,816,…,86,95,278,246,…,8,93,6,0
Vila do Porto,816,…,86,95,278,246,…,8,93,6,0
São Miguel,23882,133,2141,4013,7368,6696,115,139,2809,428,40
Lagoa (R.A.A.),2130,13,236,385,708,481,21,…,231,45,…
Nordeste,404,…,30,85,149,93,0,0,38,5,…
Ponta Delgada,14655,48,961,2109,4443,4547,75,107,2029,304,32
Povoação,757,…,76,117,284,223,…,…,44,6,0
Ribeira Grande,4808,47,675,1050,1398,1140,…,20,397,65,…
Vila Franca do Campo,1128,18,163,267,386,212,4,…,70,3,…
Terceira,8922,53,795,1272,2682,2643,62,48,1213,141,13
Angra do Heroísmo,6093,28,497,917,1810,1695,32,…,949,118,…
Vila da Praia da Vitória,2829,25,298,355,872,948,30,…,264,23,…
Graciosa,464,…,68,79,154,122,…,…,…,…,0
Santa Cruz da Graciosa,464,…,68,79,154,122,…,…,…,…,0
São Jorge,1169,…,124,183,429,301,…,…,104,12,0
Calheta (R.A.A.),361,…,41,47,137,93,…,…,31,5,0
Velas,808,…,83,136,292,208,…,…,73,7,0
Pico,1944,9,162,265,704,586,6,8,181,16,7
Lajes do Pico,373,…,28,64,134,99,6,…,33,4,0
Madalena,1078,…,93,128,406,325,0,…,101,…,…
São Roque do Pico,493,0,41,73,164,162,0,0,47,…,…
Faial,2602,8,233,376,759,799,14,17,365,26,5
Horta,2602,8,233,376,759,799,14,17,365,26,5
Flores,431,0,48,79,173,94,0,…,…,…,0
Lajes das Flores,149,0,…,37,52,31,0,0,…,0,0
Santa Cruz das Flores,282,0,…,42,121,63,0,…,…,…,0
Corvo,57,0,3,11,18,22,0,0,3,0,0
Corvo,57,0,3,11,18,22,0,0,3,0,0
R. A. Madeira,46279,206,4360,5868,12222,15370,32,469,6782,872,51
Calheta (R.A.M.),1838,4,285,247,611,525,0,8,149,9,0
Câmara de Lobos,2410,18,333,381,720,715,…,…,200,26,0
Funchal,30629,143,2591,3487,7521,10324,…,362,5373,717,…
Machico,2102,3,257,343,578,600,4,31,255,30,0
Ponta do Sol,702,…,95,115,195,225,…,…,62,0,…
Porto Moniz,294,0,42,68,69,95,0,0,…,…,0
Ribeira Brava,1544,…,161,279,442,458,0,3,…,30,0
Santa Cruz,4753,25,374,647,1473,1702,…,41,438,48,…
Santana,487,…,45,77,163,157,0,…,39,0,0
São Vicente,569,…,74,86,165,203,0,…,34,…,0
Porto Santo,951,…,103,138,285,366,…,…,46,…,0
